,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
57,58,,Woody Austin,58,2.08,120.65,-2.73,,USA
58,59,,Sean O'Hair,54,2.08,112.14,-2.3,,USA
59,60,,Ryo Ishikawa,40,2.06,82.59,-0.3,,JPN
60,61,,Richard Green,44,2.03,89.41,-1.76,,AUS
61,62,,Carl Pettersson,59,2.03,119.62,-2.31,,SWE
62,63,,Chad Campbell,55,1.96,107.63,-1.94,,USA
63,64,,Scott Verplank,48,1.96,93.87,-2.42,,USA
64,65,,Brandt Snedeker,60,1.94,116.23,-2.66,,USA
65,66,,Ryuji Imada,59,1.91,112.74,-2.08,,JPN
66,67,,Freddie Jacobson,44,1.9,83.73,-1.56,,SWE
67,68,,Charl Schwartzel,56,1.89,105.87,-1.45,,RSA
68,69,,Azuma Yano,50,1.83,91.52,-0.86,,JPN
69,70,,Darren Clarke,57,1.81,103.26,-1.38,,NIR
70,71,,Alvaro Quiros,41,1.77,72.36,-0.25,,ESP
71,72,,James Kingston,56,1.76,98.84,-1.45,,RSA
72,73,,D.J. Trahan,57,1.76,100.6,-1.73,,USA
73,74,,Rocco Mediate,49,1.76,86.38,-1.79,,USA
74,75,,J.B. Holmes,51,1.75,89.12,-1.78,,USA
75,76,,Gonzalo Fernandez-Castaño,53,1.7,90.32,-1.35,,ESP
76,77,,Davis Love III,43,1.68,72.27,-0.93,,USA
77,78,,Hideto Tanihara,52,1.67,86.97,-1.35,,JPN
78,79,,Francesco Molinari,55,1.64,90.38,-1.15,,ITA
79,80,,Nick Dougherty,52,1.63,84.61,-1.99,,ENG
80,81,,Ken Duke,64,1.62,103.77,-1.79,,USA
81,82,,Pat Perez,54,1.6,86.27,-1.82,,USA
82,83,,Hiroyuki Fujita,47,1.59,74.67,-0.96,,JPN
83,84,,David Smail,50,1.58,78.95,-0.98,,NZL
84,85,,Shintaro Kai,42,1.55,65.29,-0.56,,JPN
85,86,,Peter Hedblom,49,1.55,76.0,-1.15,,SWE
86,87,,Bart Bryant,48,1.54,73.97,-1.68,,USA
87,88,,Jeff Quinney,57,1.53,87.32,-2.06,,USA
88,89,,Gareth Maybin,40,1.53,61.09,-0.5,,IRL
89,90,,Anders Hansen,49,1.52,74.46,-1.75,,DEN
90,91,,Thongchai Jaidee,59,1.52,89.56,-1.11,,THA
91,92,,Billy Mayfair,59,1.48,87.42,-1.77,,USA
92,93,,Toru Taniguchi,53,1.48,78.26,-1.75,,JPN
93,94,,Pablo Larrazabal,46,1.46,67.09,-0.63,,ESP
94,95,,Hennie Otto,40,1.46,58.34,-0.94,,RSA
95,96,,Alex Noren,54,1.45,78.26,-0.97,,SWE
96,97,,Nick O'Hern,56,1.44,80.66,-2.1,,AUS
97,98,,Steve Flesch,61,1.42,86.88,-1.68,,USA
98,99,,Paul Goydos,46,1.42,65.44,-1.49,,USA
99,100,,Ben Crane,40,1.41,56.27,-0.92,,USA
100,101,,Heath Slocum,57,1.4,79.74,-1.96,,USA
101,102,,Grégory Havret,55,1.4,76.73,-1.49,,FRA
102,103,,Jerry Kelly,60,1.39,83.35,-2.18,,USA
103,104,,John Senden,61,1.37,83.63,-1.96,,AUS
104,105,,Mark Brown,53,1.36,72.2,-1.09,,NZL
105,106,,Paul McGinley,53,1.36,72.14,-1.28,,IRL
106,107,,WC Liang,55,1.35,74.09,-1.42,,CHN
107,108,,Anthony Wall,59,1.34,78.94,-0.91,,ENG
108,109,,Steve Marino,64,1.33,85.29,-1.43,,USA
109,110,,Brian Gay,63,1.32,83.3,-1.5,,USA
110,111,,Niclas Fasth,55,1.31,72.26,-2.33,,SWE
111,112,,Steve Webster,51,1.31,66.99,-1.03,,ENG
112,113,,David Toms,41,1.31,53.55,-1.73,,USA
113,114,,Charlie Wi,58,1.31,75.74,-1.13,,KOR
114,115,,Briny Baird,61,1.3,79.51,-1.42,,USA
115,116,,Peter Lonard,63,1.29,81.56,-1.76,,AUS
116,117,,S.K. Ho,45,1.28,57.82,-0.52,,KOR
117,118,,Scott Strange,57,1.28,72.87,-1.07,,AUS
118,119,,Toshinori Muto,47,1.26,59.35,-0.67,,JPN
119,120,,Kevin Streelman,40,1.26,50.33,-0.55,,USA
120,121,,Mark Wilson,54,1.26,67.86,-1.48,,USA
121,122,,Alastair Forsyth,52,1.25,64.94,-1.33,,SCO
122,123,,Colin Montgomerie,51,1.25,63.53,-1.5,,SCO
123,124,,Grégory Bourdy,54,1.24,67.06,-1.1,,FRA
124,125,,Arron Oberholser,40,1.24,49.41,-1.38,,USA
125,126,,Bubba Watson,55,1.23,67.88,-1.67,,USA
126,127,,Taco Remkes,40,1.23,49.35,-0.45,,NED
127,128,,David Horsey,42,1.22,51.31,-0.55,,ENG
128,129,,Tomohiro Kondo,45,1.21,54.52,-0.89,,JPN
129,130,,Simon Dyson,61,1.21,73.85,-1.46,,ENG
130,131,,Daniel Chopra,71,1.21,85.78,-1.78,,SWE
131,132,,Matt Bettencourt,41,1.2,49.32,-0.27,,USA
132,133,,Richard Finch,62,1.2,74.49,-0.99,,ENG
133,134,,Louis Oosthuizen,51,1.18,59.97,-1.46,,RSA
134,135,,Matt Kuchar,54,1.17,63.14,-1.01,,USA
135,136,,Felipe Aguilar,46,1.14,52.59,-0.98,,CHI
136,137,,Taichi Teshima,48,1.14,54.66,-0.54,,JPN
137,138,,Koumei Oda,49,1.13,55.58,-0.65,,JPN
138,139,,Graeme Storm,55,1.13,61.98,-1.36,,ENG
139,140,,George McNeill,59,1.12,66.15,-1.16,,USA
140,141,,Tommy Armour III,49,1.11,54.62,-1.02,,USA
141,142,,Dustin Johnson,40,1.11,44.3,-0.55,,USA
142,143,,David Lynn,56,1.09,61.25,-0.8,,ENG
143,144,,Charles Howell III,58,1.09,63.36,-2.6,,USA
144,145,,Mikael Lundberg,47,1.09,51.14,-0.73,,SWE
145,146,,Marc Turnesa,60,1.08,64.99,-0.61,,USA
146,147,,Jyoti Randhawa,53,1.07,56.78,-1.23,,IND
147,148,,Mark Calcavecchia,53,1.07,56.76,-2.07,,USA
148,149,,Johnson Wagner,60,1.07,64.1,-1.24,,USA
149,150,,Steven Conran,45,1.07,48.0,-0.6,,AUS
150,151,,Thomas Levet,46,1.07,49.03,-0.76,,FRA
151,152,,Markus Brier,54,1.06,57.34,-1.24,,AUT
152,153,,Wen-Teh Lu,40,1.05,42.2,-0.84,,TPE
153,154,,Robert-Jan Derksen,56,1.05,58.99,-1.21,,NED
154,155,,Dean Wilson,59,1.05,61.95,-1.35,,USA
155,156,,Nicholas Thompson,69,1.05,72.27,-1.23,,USA
156,157,,Jonathan Byrd,50,1.05,52.33,-1.31,,USA
157,158,,Tim Herron,54,1.04,56.14,-0.93,,USA
158,159,,Bradley Dredge,47,1.04,48.84,-1.12,,WAL
159,160,,Thaworn Wiratchant,60,1.04,62.32,-0.86,,THA
160,161,,Richie Ramsay,43,1.04,44.59,-0.59,,SCO
161,162,,David Gleeson,48,1.03,49.51,-0.26,,AUS
162,163,,Ryan Moore,54,1.03,55.57,-1.42,,USA
163,164,,D.H. Lee,50,1.03,51.3,-0.83,,KOR
164,165,,Paul Lawrie,55,1.02,56.35,-0.62,,SCO
165,166,,David Howell,50,1.02,50.99,-0.74,,ENG
166,167,,Steve Elkington,51,1.02,51.9,-1.09,,AUS
167,168,,Hidemasa Hoshino,42,1.02,42.68,-0.62,,JPN
168,169,,John Bickerton,50,1.01,50.32,-0.8,,ENG
169,170,,Kenichi Kuboya,48,1.01,48.29,-0.41,,JPN
170,171,,Johan Edfors,53,1.0,53.19,-0.86,,SWE
171,172,,John Mallinger,58,1.0,57.82,-1.14,,USA
172,173,,John Merrick,58,0.99,57.59,-1.01,,USA
173,174,,Damian McGrane,62,0.98,60.85,-0.9,,IRL
174,175,,Fred Couples,40,0.97,38.7,-0.6,,USA
175,176,,John Rollins,56,0.97,54.08,-1.92,,USA
176,177,,Peter Lawrie,58,0.96,55.46,-0.88,,IRL
177,178,,Lucas Glover,55,0.95,52.42,-1.38,,USA
178,179,,Seung-Yul Noh,40,0.95,38.12,-0.32,,KOR
179,180,,Jason Bohn,40,0.95,38.07,-0.82,,USA
180,181,,Chih-Bing Lam,41,0.94,38.49,-0.06,,SIN
181,182,,Michael Allen,50,0.94,46.89,-0.62,,USA
182,183,,Troy Matteson,55,0.94,51.51,-1.09,,USA
183,184,,Michael Campbell,50,0.93,46.35,-0.69,,NZL
184,185,,Tom Lehman,40,0.93,37.03,-0.93,,USA
185,186,,Yasuharu Imano,47,0.93,43.47,-0.39,,JPN
186,187,,Katsumasa Miyamoto,50,0.92,46.15,-0.76,,JPN
187,188,,Gary Orr,40,0.92,36.76,-0.57,,SCO
188,189,,Tano Goya,40,0.92,36.61,-0.28,,ARG
189,190,,Nathan Green,66,0.91,60.18,-1.32,,AUS
190,191,,Steve Lowery,47,0.91,42.77,-0.84,,USA
191,192,,Chris Wood,40,0.91,36.27,-0.26,,ENG
192,193,,Hiroshi Iwata,49,0.9,44.29,-0.72,,JPN
193,194,,Thomas Bjørn,45,0.9,40.58,-0.89,,DEN
194,195,,Scott Piercy,40,0.89,35.72,-0.42,,USA
195,196,,Ryan Palmer,57,0.89,50.74,-0.45,,USA
196,197,,Parker McLachlin,56,0.89,49.83,-0.87,,USA
197,198,,Sangmoon Bae,40,0.89,35.44,-0.56,,KOR
198,199,,Greg Chalmers,58,0.88,51.23,-0.89,,AUS
199,200,,Greg Norman,40,0.88,35.31,-0.47,,AUS
200,201,,Cameron Beckman,58,0.88,51.12,-0.48,,USA
201,202,,Ross McGowan,59,0.88,51.99,-1.07,,ENG
202,203,,Tom Pernice Jr.,61,0.88,53.71,-1.15,,USA
203,204,,Nick Watney,53,0.87,46.21,-1.18,,USA
204,205,,Brian Davis,64,0.87,55.78,-1.13,,ENG
205,206,,Arjun Atwal,59,0.87,51.19,-0.71,,IND
206,207,,Robert Dinwiddie,57,0.85,48.34,-0.85,,ENG
207,208,,Chez Reavie,57,0.84,47.97,-0.87,,USA
208,209,,Michael Letzig,58,0.83,48.42,-0.79,,USA
209,210,,Chapchai Nirat,60,0.83,50.06,-0.86,,THA
210,211,,Spencer Levin,42,0.83,34.92,-0.56,,USA
211,212,,Brendon de Jonge,59,0.83,49.03,-0.63,,ZIM
212,213,,Cliff Kresge,58,0.82,47.69,-1.09,,USA
213,214,,Colt Knost,40,0.82,32.79,-0.35,,USA
214,215,,Oliver Fisher,58,0.81,47.25,-0.73,,ENG
215,216,,Marc Leishman,42,0.81,34.07,-0.26,,AUS
216,217,,Keiichiro Fukabori,50,0.8,39.79,-0.57,,JPN
217,218,,Raphael Jacquelin,54,0.8,42.94,-1.3,,FRA
218,219,,Seve Benson,40,0.8,31.8,-0.41,,ENG
219,220,,Alex Cejka,55,0.79,43.62,-0.88,,GER
220,221,,Will MacKenzie,50,0.79,39.65,-0.94,,USA
221,222,,Mikko Ilonen,50,0.79,39.56,-1.16,,FIN
222,223,,Brett Quigley,50,0.79,39.29,-0.88,,USA
223,224,,Jason Day,47,0.78,36.67,-0.77,,AUS
224,225,,Brett Wetterich,40,0.77,30.61,-1.44,,USA
225,226,,Makoto Inoue,45,0.77,34.42,-0.23,,JPN
226,227,,Joost Luiten,40,0.76,30.58,-0.88,,NED
227,228,,Scott Hend,49,0.76,37.37,-0.79,,AUS
228,229,,Marcus Fraser,52,0.76,39.5,-0.49,,AUS
229,230,,Jeff Klauk,57,0.76,43.24,-0.54,,USA
230,231,,Vaughn Taylor,60,0.75,45.23,-1.22,,USA
231,232,,Bill Lunde,40,0.75,30.15,-0.35,,USA
232,233,,Tim Wilkinson,58,0.74,43.09,-0.45,,NZL
233,234,,Kevin Na,56,0.74,41.4,-0.9,,USA
234,235,,Greg Kraft,49,0.74,36.17,-0.56,,USA
235,236,,Ricardo Gonzalez,48,0.74,35.31,-0.45,,ARG
236,237,,Craig Parry,46,0.73,33.68,-0.68,,AUS
237,238,,José Manuel Lara,56,0.73,40.99,-0.64,,ESP
238,239,,Chris DiMarco,56,0.73,40.92,-1.07,,USA
239,240,,Scott McCarron,40,0.73,29.22,-0.37,,USA
240,241,,Kaname Yokoo,50,0.73,36.52,-0.45,,JPN
241,242,,Joe Ogilvie,60,0.73,43.76,-0.96,,USA
242,243,,Robert Rock,53,0.73,38.62,-0.37,,ENG
243,244,,Jarrod Lyle,61,0.73,44.26,-0.77,,AUS
244,245,,Jeff Overton,58,0.72,41.54,-0.65,,USA
245,246,,Michael Lorenzo-Vera,47,0.72,33.62,-0.73,,FRA
246,247,,Charley Hoffman,61,0.71,43.37,-1.26,,USA
247,248,,Wil Besseling,40,0.71,28.39,-0.38,,NED
248,248,,Andrew McLardy,51,0.71,36.19,-0.86,,RSA
249,250,,Magnus Carlsson,55,0.71,38.99,-0.71,,SWE
250,250,,Yusaku Miyazato,50,0.71,35.45,-0.47,,JPN
251,252,,Corey Pavin,45,0.71,31.77,-0.7,,USA
252,253,,Rafa Cabrera Bello,58,0.71,40.93,-0.38,,ESP
253,254,,Bill Haas,61,0.7,42.96,-0.9,,USA
254,255,,Bo Van Pelt,62,0.7,43.53,-1.16,,USA
255,256,,Shigeki Maruyama,62,0.7,43.13,-0.51,,JPN
256,257,,Greg Owen,49,0.69,34.0,-0.6,,ENG
257,258,,Mark Foster,56,0.69,38.76,-0.77,,ENG
258,259,,David Frost,49,0.69,33.88,-0.65,,RSA
259,260,,Brendon Todd,40,0.69,27.49,-0.28,,USA
260,261,,Jamie Donaldson,57,0.69,39.07,-0.79,,WAL
261,262,,Pelle Edberg,59,0.68,40.41,-0.83,,SWE
262,263,,Jean-Francois Lucquin,61,0.68,41.74,-0.79,,FRA
263,264,,Bernhard Langer,40,0.68,27.33,-0.94,,GER
264,265,,K.T. Kim,40,0.68,27.32,-0.46,,KOR
265,266,,Martin Laird,58,0.68,39.53,-0.68,,SCO
266,267,,Michael Jonzon,41,0.68,27.93,-0.5,,SWE
267,268,,Ignacio Garrido,54,0.68,36.72,-0.58,,ESP
268,269,,Brad Adamonis,58,0.68,39.35,-0.62,,USA
269,270,,Takao Nogami,47,0.68,31.84,-0.21,,JPN
270,271,,Philip Archer,62,0.68,41.99,-1.09,,ENG
271,272,,Matt Jones,58,0.68,39.27,-0.79,,AUS
272,273,,J.J. Henry,59,0.68,39.86,-0.85,,USA
273,274,,Marc Warren,53,0.68,35.79,-0.72,,SCO
274,275,,Robert Garrigus,57,0.67,38.24,-0.86,,USA
275,276,,Chawalit Plaphol,64,0.67,42.91,-0.45,,THA
276,277,,David Dixon,44,0.67,29.4,-0.33,,ENG
277,278,,Paul Waring,40,0.67,26.67,-0.29,,ENG
278,279,,Simon Khan,52,0.66,34.07,-0.73,,ENG
279,280,,D.A. Points,57,0.65,37.11,-0.42,,USA
280,281,,Tim Petrovic,64,0.65,41.6,-0.74,,USA
281,282,,Jay Williamson,60,0.64,38.63,-0.88,,USA
282,283,,Toyokazu Fujishima,44,0.64,28.27,-0.4,,JPN
283,284,,Ben Leong,40,0.64,25.61,-0.26,,MAS
284,285,,Casey Wittenberg,40,0.64,25.44,-0.34,,USA
285,286,,Daisuke Maruyama,62,0.63,39.32,-0.56,,JPN
286,287,,Juvic Pagunsan,42,0.63,26.57,-0.42,,PHI
287,288,,Jason Gore,62,0.63,38.96,-0.85,,USA
288,288,,Michio Matsumura,40,0.63,25.13,-0.14,,JPN
289,290,,Rich Beem,58,0.62,36.01,-0.83,,USA
290,291,,Jeppe Huldahl,46,0.62,28.51,-0.34,,DEN
291,292,,Stephen Gallacher,53,0.62,32.84,-0.54,,SCO
292,293,,Martin Erlandsson,56,0.62,34.57,-0.54,,SWE
293,294,,Jesper Parnevik,58,0.62,35.77,-0.72,,SWE
294,295,,Kris Blanks,41,0.61,25.03,-0.33,,USA
295,296,,Steve Allan,45,0.61,27.37,-0.42,,AUS
296,297,,Klas Eriksson,50,0.61,30.37,-0.39,,SWE
297,298,,Gary Lockerbie,55,0.61,33.28,-0.47,,ENG
298,299,,Alessandro Tadini,58,0.6,34.95,-0.49,,ITA
299,300,,Bob Estes,56,0.6,33.57,-0.6,,USA
300,301,,John Ellis,40,0.6,23.88,-0.39,,USA
301,302,,Joe Durant,55,0.59,32.72,-0.66,,USA
302,303,,Roland Thatcher,43,0.59,25.51,-0.74,,USA
303,304,,Daniel Alfredo Vancsik,55,0.59,32.61,-0.81,,ARG
304,305,,David Mathis,50,0.58,29.23,-0.47,,USA
305,306,,Shane Bertsch,40,0.58,23.36,-0.34,,USA
306,307,,Kiyoshi Miyazato,48,0.58,27.86,-0.3,,JPN
307,308,,Andrew Dodt,40,0.58,23.16,-0.07,,AUS
308,309,,Fabián Gómez,50,0.58,28.83,-0.34,,ARG
309,310,,Kevin Stadler,65,0.57,37.06,-0.8,,USA
310,311,,Michael Sim,40,0.57,22.77,-0.31,,AUS
311,312,,Antti Ahokas,49,0.57,27.84,-0.43,,FIN
312,313,,Maarten Lafeber,52,0.57,29.51,-0.59,,NED
313,314,,John Morgan,40,0.57,22.62,-0.26,,ENG
314,315,,Kane Webber,41,0.56,23.08,-0.4,,AUS
315,316,,Charles Warren,58,0.56,32.63,-0.83,,USA
316,317,,Anthony Kang,55,0.56,30.88,-0.44,,USA
317,318,,Adam Blyth,47,0.56,26.29,-0.33,,AUS
318,319,,Iain Steel,43,0.56,24.03,-0.39,,MAS
319,320,,Simon Wakefield,62,0.55,34.39,-0.7,,ENG
320,321,,Mitchell Brown,41,0.55,22.71,-0.21,,AUS
321,322,,Richard Johnson,55,0.55,30.31,-0.78,,WAL
322,323,,Daniel Summerhays,41,0.55,22.59,-0.37,,USA
323,324,,Fredrik Andersson Hed,52,0.55,28.57,-0.75,,SWE
324,325,,Peter O'Malley,53,0.55,29.12,-0.71,,AUS
325,326,,Jon Mills,60,0.55,32.95,-0.73,,CAN
326,327,,Alejandro Cañizares,55,0.55,30.1,-0.71,,ESP
327,328,,Brian Bateman,40,0.55,21.83,-0.63,,USA
328,329,,Webb Simpson,40,0.54,21.73,-0.14,,USA
329,330,,Alvaro Velasco,54,0.54,29.28,-0.46,,ESP
330,331,,Brett Rumford,60,0.54,32.38,-0.7,,AUS
331,332,,Gavin Coles,55,0.54,29.57,-0.5,,AUS
332,333,,Richard Johnson,55,0.54,29.51,-0.48,,SWE
333,334,,Mark Hensby,54,0.54,28.94,-0.63,,AUS
334,335,,Jarmo Sandelin,61,0.53,32.61,-0.45,,SWE
335,336,,Eric Axley,70,0.53,37.41,-0.61,,USA
336,337,,Rhys Davies,40,0.53,21.37,-0.09,,WAL
337,338,,SSP Chawrasia,43,0.53,22.86,-0.44,,IND
338,339,,Sam Little,56,0.53,29.61,-0.52,,ENG
339,340,,Brandt Jobe,40,0.53,21.08,-0.16,,USA
340,341,,Paul Broadhurst,50,0.53,26.26,-0.6,,ENG
341,342,,Won Joon Lee,48,0.52,25.16,-0.35,,AUS
342,343,,Christian Cévaër,55,0.52,28.71,-0.62,,FRA
343,344,,Garth Mulroy,59,0.52,30.49,-0.53,,RSA
344,345,,Iain Pyman,54,0.52,27.87,-0.59,,ENG
345,346,,Bob Tway,52,0.52,26.78,-0.43,,USA
346,347,,Chinnarat Phadungsil,46,0.51,23.43,-0.42,,THA
347,348,,Chris Riley,46,0.51,23.43,-0.55,,USA
348,349,,Steven O'Hara,56,0.51,28.42,-0.42,,SCO
349,350,,Adam Bland,43,0.51,21.76,-0.44,,AUS
350,351,,Rick Kulacz,40,0.51,20.21,-0.2,,AUS
351,352,,Andrew McArthur,49,0.5,24.57,-0.42,,SCO
352,353,,Chris Tidland,46,0.5,23.02,-0.41,,USA
353,354,,Rich Bland,59,0.5,29.51,-0.4,,ENG
354,355,,Darron Stiles,59,0.5,29.46,-0.42,,USA
355,356,,Scott Gutschewski,52,0.5,25.87,-0.41,,USA
356,357,,Takuya Taniguchi,50,0.5,24.86,-0.41,,JPN
357,358,,Tommy Gainey,40,0.5,19.82,-0.02,,USA
358,359,,Patrick Sheehan,65,0.49,32.05,-0.67,,USA
359,360,,Matt Weibring,48,0.49,23.62,-0.33,,USA
360,361,,Masaya Tomida,47,0.49,23.03,-0.28,,JPN
361,362,,Alexandre Rocha,51,0.49,24.77,-0.38,,BRA
362,363,,Todd Hamilton,56,0.48,27.14,-0.34,,USA
363,364,,Peter Tomasulo,55,0.48,26.65,-0.36,,USA
364,365,,Tetsuji Hiratsuka,50,0.48,24.19,-0.55,,JPN
365,366,,Gary Clark,54,0.48,25.91,-0.44,,ENG
366,367,,Marcus Higley,57,0.47,26.82,-0.47,,ENG
367,368,,Toru Suzuki,45,0.47,21.16,-0.21,,JPN
368,369,,Taichiro Kiyota,48,0.47,22.48,-0.44,,JPN
369,370,,Benn Barham,57,0.47,26.62,-0.48,,ENG
370,371,,,40,0.47,18.64,-0.25,,KOR
371,372,,Rafael Echenique,56,0.47,26.06,-0.49,,ARG
372,373,,James Kamte,50,0.46,23.21,-0.5,,RSA
373,374,,Mark Haastrup,40,0.46,18.57,-0.24,,DEN
374,375,,Francois DeLamontagne,49,0.46,22.69,-0.5,,FRA
375,376,,Justin Hicks,40,0.46,18.42,-0.26,,USA
376,377,,James Driscoll,54,0.46,24.75,-0.49,,USA
377,378,,Daniel Im,40,0.46,18.29,-0.19,,USA
378,379,,Terry Pilkadaris,59,0.46,26.91,-0.27,,AUS
379,380,,Sushi Ishigaki,45,0.45,20.47,-0.2,,JPN
380,381,,Michael Hoey,51,0.45,23.18,-0.37,,NIR
381,382,,Bryce Molder,53,0.45,24.08,-0.19,,USA
382,383,,Christian Nilsson,44,0.45,19.81,-0.27,,ENG
383,384,,Marcel Siem,55,0.45,24.75,-0.4,,GER
384,385,,Satoru Hirota,46,0.45,20.59,-0.32,,JPN
385,386,,Branden Grace,40,0.45,17.81,-0.18,,RSA
386,387,,Thomas Aiken,44,0.44,19.48,-0.18,,RSA
387,387,,Yuta Ikeda,40,0.44,17.71,-0.15,,JPN
388,389,,Tag Ridings,59,0.44,25.96,-0.44,,USA
389,390,,Marc Cayeux,40,0.44,17.47,-0.33,,ZIM
390,391,,Scott Sterling,59,0.44,25.71,-0.43,,USA
391,392,,Marc Pucay,40,0.44,17.4,-0.18,,PHI
392,393,,Simon Griffiths,40,0.43,17.37,-0.24,,ENG
393,394,,Ewan Porter,40,0.43,17.29,-0.25,,AUS
394,395,,Mamo Osanai,47,0.43,20.23,-0.21,,JPN
395,396,,Marco Ruiz,40,0.43,17.19,-0.25,,PAR
396,397,,Andrew Tampion,52,0.43,22.3,-0.38,,AUS
397,398,,Han Lee,40,0.42,16.99,-0.16,,USA
398,399,,D.J. Brigman,46,0.42,19.17,-0.37,,USA
399,400,,Akio Sadakata,40,0.42,16.66,-0.12,,JPN
400,401,,Simon Yates,40,0.42,16.64,-0.55,,SCO
401,402,,Wes Heffernan,40,0.41,16.57,-0.32,,CAN
402,403,,Dinesh Chand,40,0.41,16.57,-0.18,,FIJ
403,404,,Gary Murphy,58,0.41,23.98,-0.45,,IRL
404,405,,Raphael De Sousa,40,0.41,16.47,-0.22,,SUI
405,406,,Aron Price,60,0.41,24.58,-0.41,,AUS
406,407,,Paul Sheehan,56,0.41,22.82,-0.36,,AUS
407,408,,Hunter Haas,52,0.41,21.16,-0.28,,USA
