,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
175,176,176,Gene Sauers,87,45.9,84,183
176,177,177,Joey Sindelar,93,45.71,80,175
177,178,178,Kenneth Staton,59,45.52,61,134
178,179,179,Brad Elder,51,45.13,51,113
179,180,180,Jay Don Blake,77,45.03,68,151
180,181,181,Mathew Goggin,90,44.93,62,138
181,182,182,Chris Smith,92,44.76,64,143
182,183,183,John Morgan,81,44.32,82,185
183,184,184,John Daly,56,43.65,55,126
184,185,185,Tom Gillis,71,43.54,64,147
185,186,186,Jeff Klein,60,43.48,60,138
186,187,187,Kaname Yokoo,56,43.42,66,152
187,188,188,Michael Clark II,54,43.09,53,123
188,189,189,Akio Sadakata,83,41.83,64,153
189,190,190,Rich Beem,80,37.66,58,154
