,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
130,131,131,Jeff Brehaut,110,49.02,50,102
131,132,132,Scott Laycock,71,48.78,40,82
132,133,133,Dicky Pride,73,48.72,38,78
133,134,134,Pat Perez,95,48.45,47,97
134,135,135,Mark Brooks,90,48.41,61,126
135,136,136,Steve Stricker,59,48.21,27,56
136,137,137,Jason Buha,61,47.95,35,73
137,138,138,"Dave Stockton, Jr.",79,47.78,43,90
138,139,139,Esteban Toledo,109,47.24,60,127
139,140,140,David Gossett,92,47.22,34,72
140,141,141,Jesper Parnevik,102,47.0,47,100
141,142,142,Jim Furyk,104,46.74,43,92
142,143,143,Richard Johnson,89,46.53,47,101
143,144,144,Jeff Maggert,81,46.38,32,69
144,145,145,Akio Sadakata,83,46.34,38,82
145,146,146,Kent Jones,74,46.15,30,65
146,147,147,Brian Bateman,70,45.83,33,72
147,148,148,J.L. Lewis,99,45.74,43,94
148,T149,T149,Jonathan Byrd,101,45.71,48,105
149,T149,T149,José Coceres,62,45.71,32,70
150,151,151,Olin Browne,113,45.69,53,116
151,152,152,Rocco Mediate,80,45.57,36,79
152,T153,T153,Steve Allan,53,45.45,30,66
153,T153,T153,Brad Elder,51,45.45,20,44
154,T153,T153,Brent Schwarzrock,60,45.45,30,66
155,156,156,Bob Tway,89,45.24,38,84
156,157,157,Aaron Barber,94,45.05,50,111
157,158,158,Thomas Levet,85,44.87,35,78
158,159,159,Retief Goosen,69,44.74,17,38
159,160,160,Patrick Sheehan,101,44.55,45,101
160,161,161,Chad Campbell,105,44.32,39,88
161,T162,T162,Marco Dawson,86,44.3,35,79
162,T162,T162,Jonathan Kaye,91,44.3,35,79
163,164,164,Hank Kuehne,73,44.12,30,68
164,165,165,Woody Austin,107,43.9,54,123
165,166,166,Glen Day,103,43.88,43,98
166,167,167,Joey Sindelar,93,43.33,39,90
167,168,168,Tom Lehman,87,43.08,28,65
168,169,169,Shaun Micheel,97,42.7,38,89
169,170,170,Jeff Klein,60,42.57,43,101
170,171,171,Heath Slocum,101,42.06,53,126
171,172,172,Vance Veazey,66,42.03,29,69
172,173,173,Ty Tryon,52,41.67,25,60
173,174,174,Hal Sutton,81,41.18,28,68
174,175,175,Kaname Yokoo,56,41.1,30,73
175,176,176,Joel Edwards,60,40.98,25,61
176,177,177,Tommy Armour III,66,38.98,23,59
177,178,178,Joe Durant,96,38.89,28,72
178,179,179,Michael Clark II,54,38.78,19,49
179,180,180,Brandt Jobe,77,38.71,24,62
180,181,181,Harrison Frazar,88,38.67,29,75
181,182,182,J.J. Henry,100,38.55,32,83
182,183,183,David Sutherland,77,38.36,28,73
183,184,184,Spike McRoy,103,38.1,40,105
184,185,185,Frank Lickliter II,94,37.8,31,82
185,186,186,Cameron Yancey,58,37.5,30,80
186,187,187,Mike Heinen,89,36.71,29,79
187,188,188,Mark O'Meara,69,33.33,22,66
188,189,189,Chris Smith,92,33.01,34,103
189,190,190,Kenneth Staton,59,30.19,16,53
