,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
33,34,34,Craig Parry,16,8.06,"$1,308,585","$16,228,272"
34,35,35,Tom Lehman,19,7.92,"$1,343,276","$16,954,272"
35,36,36,Luke Donald,21,7.91,"$1,646,267","$20,821,272"
36,T37,T37,Carlos Franco,27,7.84,"$1,955,394","$24,927,000"
37,T37,T37,Fred Funk,29,7.84,"$2,103,730","$26,844,000"
38,39,39,Scott Hoch,17,7.67,"$1,239,360","$16,156,000"
39,40,40,Ángel Cabrera,8,7.38,"$599,338","$8,124,000"
40,41,41,Rod Pampling,26,7.24,"$1,737,725","$23,986,272"
41,42,42,Kirk Triplett,24,7.07,"$1,566,425","$22,141,000"
42,43,43,Jesper Parnevik,24,6.99,"$1,550,134","$22,161,000"
43,44,44,Jonathan Kaye,25,6.82,"$1,695,332","$24,872,272"
44,45,45,Tim Herron,26,6.78,"$1,727,576","$25,465,272"
45,46,46,Thomas Levet,5,6.74,"$404,304","$5,998,272"
46,47,47,Harrison Frazar,25,6.7,"$1,446,763","$21,582,000"
47,48,48,Lee Westwood,11,6.63,"$767,899","$11,590,272"
48,49,49,Bernhard Langer,15,6.49,"$943,589","$14,529,000"
49,50,50,Arron Oberholser,23,6.44,"$1,355,433","$21,033,000"
50,51,51,Duffy Waldorf,26,6.3,"$1,487,911","$23,628,000"
51,52,52,James McLean,1,6.24,"$57,324","$918,000"
52,53,53,Justin Leonard,25,6.14,"$1,531,022","$24,953,272"
53,54,54,Justin Rose,22,6.06,"$1,236,764","$20,397,000"
54,55,55,Woody Austin,29,5.92,"$1,495,980","$25,281,000"
55,56,56,Robert Allenby,26,5.9,"$1,513,536","$25,666,272"
56,57,57,Charles Howell III,30,5.88,"$1,703,484","$28,987,272"
57,58,58,Ryan Palmer,33,5.87,"$1,592,344","$27,117,000"
58,59,59,Bo Van Pelt,30,5.81,"$1,553,824","$26,746,272"
59,60,60,Alex Cejka,24,5.72,"$1,313,483","$22,950,000"
60,T61,T61,Paul Casey,11,5.65,"$704,272","$12,454,272"
61,T61,T61,Ted Purdy,35,5.65,"$1,636,876","$28,971,000"
62,T63,T63,Chris Riley,23,5.57,"$1,292,731","$23,227,272"
63,T63,T63,Joey Sindelar,31,5.57,"$1,536,880","$27,588,000"
64,65,65,Barry Lane,3,5.52,"$206,801","$3,748,272"
65,66,66,Vaughn Taylor,27,5.43,"$1,176,433","$21,681,000"
66,67,67,Carl Pettersson,28,5.41,"$1,367,961","$25,270,272"
67,T68,T68,Freddie Jacobson,24,5.37,"$1,259,048","$23,425,272"
68,T68,T68,Geoff Ogilvy,26,5.37,"$1,236,909","$23,040,000"
69,T70,T70,Paul McGinley,5,5.33,"$310,475","$5,827,272"
70,T70,T70,Tom Pernice Jr.,31,5.33,"$1,475,273","$27,702,000"
71,72,72,Bart Bryant,23,5.31,"$962,167","$18,117,000"
72,73,73,Gary Evans,1,5.29,"$71,346","$1,348,272"
73,74,74,Joe Ogilvie,32,5.27,"$1,443,362","$27,378,000"
74,75,75,Wayne Levi,1,5.22,"$28,162","$540,000"
75,76,76,Nick Price,15,5.2,"$796,086","$15,304,272"
76,77,77,Loren Roberts,22,5.15,"$998,677","$19,380,000"
77,78,78,Frank Lickliter II,27,5.14,"$1,259,233","$24,494,272"
78,79,79,Jim Furyk,14,5.05,"$691,675","$13,700,272"
79,80,80,Andre Stolz,20,4.94,"$808,373","$16,365,000"
80,T81,T81,Bob Estes,23,4.88,"$1,046,064","$21,448,272"
81,T81,T81,Brent Geiberger,31,4.88,"$1,259,779","$25,830,000"
82,83,83,Stephen Leaney,24,4.84,"$1,166,559","$24,118,272"
83,84,84,Brett Rumford,1,4.83,"$58,000","$1,200,000"
84,85,85,Steve Lowery,28,4.76,"$1,191,245","$25,018,272"
85,86,86,Jonathan Byrd,27,4.69,"$1,133,164","$24,156,000"
86,T87,T87,José Coceres,20,4.63,"$779,196","$16,839,000"
87,T87,T87,John Huston,20,4.63,"$874,279","$18,881,272"
88,89,89,Tim Clark,26,4.58,"$1,108,189","$24,202,272"
89,90,90,Skip Kendall,29,4.56,"$1,206,438","$26,440,272"
90,91,91,Brian Bateman,24,4.53,"$919,254","$20,313,000"
91,92,92,Corey Pavin,23,4.48,"$881,938","$19,665,000"
92,93,93,Tag Ridings,18,4.42,"$623,262","$14,094,000"
93,94,94,Patrick Sheehan,33,4.38,"$1,234,344","$28,152,000"
94,95,95,Ben Crane,27,4.35,"$1,036,957","$23,848,000"
95,96,96,Joe Durant,26,4.21,"$952,547","$22,617,000"
96,97,97,Briny Baird,30,4.2,"$1,156,517","$27,516,000"
97,98,98,Dudley Hart,23,4.18,"$854,638","$20,430,000"
98,99,99,John Morgan,16,4.16,"$487,032","$11,718,000"
99,100,100,Tim Petrovic,32,4.11,"$1,193,354","$29,034,000"
100,T101,T101,Ian Poulter,9,4.04,"$401,318","$9,928,272"
101,T101,T101,Heath Slocum,31,4.04,"$1,066,836","$26,406,000"
102,103,103,Takashi Kamiyama,1,4.03,"$54,305","$1,348,272"
103,104,104,Bill Haas,10,3.98,"$315,259","$7,929,000"
104,105,105,Tim Wilkinson,1,3.94,"$29,820","$756,000"
105,106,106,Jeff Sluman,28,3.93,"$1,007,635","$25,635,000"
106,T107,T107,Michael Allen,28,3.91,"$882,872","$22,581,000"
107,T107,T107,Kevin Sutherland,27,3.91,"$928,759","$23,778,000"
108,109,109,Tom Byrum,25,3.9,"$873,139","$22,365,000"
109,110,110,Dennis Paulson,21,3.88,"$677,034","$17,460,000"
110,111,111,Robert Damron,28,3.84,"$933,388","$24,327,000"
111,112,112,Nick O'Hern,2,3.82,"$88,875","$2,325,000"
112,113,113,Bob Tway,26,3.78,"$966,552","$25,538,272"
113,114,114,Matt Gogel,25,3.75,"$817,117","$21,798,000"
114,T115,T115,Brad Faxon,28,3.72,"$1,016,898","$27,340,272"
115,T115,T115,Shaun Micheel,27,3.72,"$949,918","$25,553,272"
116,117,117,Lee Janzen,25,3.69,"$837,481","$22,689,000"
117,T118,T118,Kevin Na,32,3.45,"$901,158","$26,127,000"
118,T118,T118,Hidemichi Tanaka,27,3.45,"$795,205","$23,067,000"
119,120,120,Paul Stankowski,14,3.44,"$442,872","$12,861,000"
120,121,121,Scott McCarron,27,3.38,"$790,719","$23,418,000"
121,122,122,Mark Calcavecchia,24,3.37,"$717,875","$21,301,272"
122,123,123,Desvonde Botes,1,3.35,"$40,250","$1,200,000"
123,T124,T124,Tommy Armour III,28,3.32,"$844,634","$25,408,000"
124,T124,T124,José María Olazábal,17,3.32,"$495,050","$14,895,000"
125,126,126,Colin Montgomerie,6,3.29,"$245,978","$7,483,272"
126,127,127,J.J. Henry,30,3.28,"$848,823","$25,848,000"
127,128,128,Mark O'Meara,17,3.27,"$543,865","$16,642,272"
128,129,129,Hunter Mahan,30,3.2,"$813,088","$25,387,272"
129,T130,T130,Hank Kuehne,30,3.18,"$816,888","$25,695,000"
130,T130,T130,Camilo Villegas,10,3.18,"$237,984","$7,479,000"
131,132,132,Brett Quigley,31,3.12,"$836,379","$26,766,000"
132,133,133,Paul Azinger,23,3.11,"$601,438","$19,332,000"
133,134,134,Jean-Francois Remesy,3,3.07,"$112,607","$3,673,272"
134,135,135,Todd Fischer,33,3.05,"$847,996","$27,819,000"
135,T136,T136,Cameron Beckman,30,3.04,"$779,188","$25,603,272"
136,T136,T136,Chip Sullivan,1,3.04,"$34,250","$1,125,000"
137,138,138,Notah Begay III,23,2.97,"$583,536","$19,647,000"
138,T139,T139,Miguel Angel Jiménez,7,2.93,"$238,366","$8,143,272"
139,T139,T139,Peter Lonard,23,2.93,"$675,189","$23,074,272"
140,141,141,Peter Senior,2,2.91,"$69,750","$2,400,000"
141,142,142,John Senden,28,2.9,"$698,202","$24,048,000"
142,143,143,Craig Barlow,25,2.86,"$595,820","$20,835,000"
143,T144,T144,Daniel Chopra,33,2.84,"$763,253","$26,892,000"
144,T144,T144,John Rollins,29,2.84,"$737,956","$25,995,000"
145,146,146,Brandt Jobe,9,2.83,"$247,911","$8,766,000"
146,147,147,J.L. Lewis,32,2.8,"$807,345","$28,846,000"
147,148,148,Doug Barron,1,2.75,"$23,291","$846,000"
148,149,149,David Roesch,2,2.74,"$48,024","$1,755,000"
149,T150,T150,Joel Kribel,13,2.71,"$276,861","$10,206,000"
150,T150,T150,Y.E. Yang,1,2.71,"$32,500","$1,200,000"
151,152,152,Robert Gamez,31,2.7,"$725,367","$26,838,000"
152,153,153,John Riegger,17,2.68,"$423,262","$15,777,000"
153,154,154,Bill Glasson,17,2.64,"$346,029","$13,122,000"
154,155,155,Pat Perez,32,2.63,"$723,724","$27,522,000"
155,156,156,Kim Felton,1,2.6,"$35,111","$1,348,272"
156,157,157,Aaron Baddeley,27,2.58,"$632,876","$24,532,272"
157,T158,T158,Ben Curtis,20,2.53,"$500,817","$19,817,272"
158,T158,T158,Peter Jacobsen,10,2.53,"$232,850","$9,196,000"
159,160,160,Kent Jones,32,2.51,"$674,908","$26,919,000"
160,161,161,Chris Smith,33,2.5,"$692,784","$27,666,000"
161,162,162,Neal Lancaster,33,2.48,"$701,239","$28,269,000"
162,163,163,Olin Browne,30,2.45,"$597,033","$24,345,000"
163,164,164,Brian Gay,32,2.44,"$645,194","$26,406,000"
164,T165,T165,Jason Bohn,29,2.43,"$567,930","$23,391,000"
165,T165,T165,Joakim Haeggman,5,2.43,"$145,566","$5,998,272"
166,167,167,Jay Williamson,33,2.42,"$660,038","$27,225,000"
167,168,168,Andrew McLardy,3,2.38,"$79,026","$3,318,000"
168,169,169,Greg Chalmers,22,2.36,"$402,379","$17,046,000"
169,170,170,Billy Andrade,31,2.35,"$631,142","$26,865,000"
170,171,171,Steve Allan,33,2.33,"$648,479","$27,774,000"
171,172,172,Lucas Glover,30,2.31,"$557,453","$24,129,000"
172,T173,T173,Danny Ellis,26,2.29,"$490,413","$21,447,000"
173,T173,T173,Jyoti Randhawa,3,2.29,"$60,665","$2,644,272"
174,T175,T175,Franklin Langham,1,2.28,"$18,450","$810,000"
175,T175,T175,Craig Stadler,6,2.28,"$137,475","$6,028,000"
176,177,177,Bob Burns,30,2.25,"$581,420","$25,821,000"
177,T178,T178,S.K. Ho,4,2.24,"$109,200","$4,873,272"
178,T178,T178,Trevor Immelman,12,2.24,"$300,559","$13,417,272"
179,T178,T178,David Peoples,26,2.24,"$479,464","$21,420,000"
180,181,181,Shingo Katayama,3,2.23,"$78,650","$3,525,000"
181,T182,T182,Pierre Fulke,1,2.21,"$26,500","$1,200,000"
182,T182,T182,Scott Hend,29,2.21,"$531,262","$24,084,000"
183,184,184,Matt Kuchar,28,2.2,"$509,256","$23,139,000"
184,185,185,Richard Green,2,2.14,"$54,625","$2,548,272"
185,186,186,Michael Campbell,6,2.13,"$152,506","$7,168,272"
186,187,187,Mark Wilson,19,2.1,"$300,317","$14,274,000"
187,188,188,Mathias Grönberg,32,2.09,"$565,013","$27,088,272"
188,T189,T189,Kenneth Ferrie,1,2.06,"$27,714","$1,348,272"
189,T189,T189,Andy Oldcorn,1,2.06,"$27,714","$1,348,272"
190,T189,T189,Dean Wilson,33,2.06,"$561,339","$27,234,000"
191,192,192,Craig Bowden,30,2.02,"$494,568","$24,480,000"
192,193,193,Deane Pappas,22,1.97,"$346,632","$17,595,000"
193,194,194,Sandy Lyle,2,1.95,"$49,141","$2,518,272"
194,195,195,Steve Friesen,1,1.94,"$18,550","$954,000"
195,196,196,Arjun Atwal,30,1.9,"$486,052","$25,606,272"
196,T197,T197,David Frost,26,1.89,"$402,589","$21,303,000"
197,T197,T197,Steve Stricker,27,1.89,"$440,905","$23,373,000"
198,199,199,Glen Day,33,1.85,"$519,935","$28,105,272"
199,200,200,Brenden Pappas,34,1.84,"$524,905","$28,503,000"
200,201,201,Billy Mayfair,32,1.83,"$503,251","$27,468,000"
201,202,202,David Sutherland,16,1.82,"$216,419","$11,862,000"
202,T203,T203,Aaron Barber,17,1.81,"$229,914","$12,726,000"
203,T203,T203,Hideto Tanihara,3,1.81,"$41,729","$2,304,000"
204,T205,T205,Scott Drummond,4,1.79,"$87,100","$4,873,272"
205,T205,T205,Phillip Price,12,1.79,"$223,749","$12,496,272"
206,207,207,Thongchai Jaidee,5,1.78,"$95,500","$5,370,000"
207,208,208,Danny Briggs,28,1.77,"$397,606","$22,473,000"
208,T209,T209,Brian Davis,7,1.75,"$145,250","$8,308,272"
209,T209,T209,Richard Johnson,32,1.75,"$461,182","$26,361,000"
210,211,211,Craig Perks,27,1.7,"$423,747","$24,856,272"
211,212,212,Mike Small,2,1.68,"$33,360","$1,989,000"
212,T213,T213,Paul Bradshaw,1,1.66,"$22,404","$1,348,272"
213,T213,T213,Alastair Forsyth,1,1.66,"$22,404","$1,348,272"
214,T213,T213,Sean Whiffin,1,1.66,"$22,404","$1,348,272"
215,216,216,Michael Bradley,9,1.63,"$106,336","$6,534,000"
216,217,217,Keiichiro Fukabori,5,1.61,"$73,063","$4,543,272"
217,218,218,D.J. Brigman,27,1.6,"$356,943","$22,293,000"
218,219,219,David Duval,9,1.59,"$121,044","$7,632,000"
219,220,220,Jeff Brehaut,34,1.58,"$448,913","$28,395,000"
220,221,221,Robin Freeman,13,1.57,"$144,000","$9,162,000"
221,222,222,Tom Kite,1,1.54,"$17,304","$1,125,000"
222,223,223,Rocco Mediate,19,1.53,"$257,691","$16,851,000"
223,224,224,Omar Uresti,28,1.52,"$345,797","$22,824,000"
224,225,225,Geoffrey Sisk,2,1.51,"$30,672","$2,025,000"
225,226,226,Per-Ulrik Johansson,12,1.5,"$146,733","$9,792,000"
226,T227,T227,Ignacio Garrido,1,1.47,"$19,755","$1,348,272"
227,T227,T227,Jim Rutledge,1,1.47,"$11,898","$810,000"
228,229,229,Steve Elkington,20,1.44,"$243,238","$16,875,000"
229,230,230,Jason Dufner,28,1.43,"$317,769","$22,221,000"
230,T231,T231,Ricky Barnes,7,1.42,"$85,519","$6,012,000"
231,T231,T231,James Kingston,1,1.42,"$19,100","$1,348,272"
232,233,233,Roland Thatcher,23,1.41,"$247,986","$17,568,000"
233,234,234,Scott Simpson,18,1.4,"$190,986","$13,608,000"
234,T235,T235,Paul Broadhurst,1,1.38,"$18,538","$1,348,272"
235,T235,T235,Tom Carter,35,1.38,"$395,780","$28,584,000"
236,T235,T235,Gary Emerson,1,1.38,"$18,538","$1,348,272"
237,T238,T238,John Cook,19,1.36,"$210,447","$15,525,000"
238,T238,T238,"Jim Gallagher, Jr.",9,1.36,"$82,385","$6,048,000"
239,240,240,Larry Mize,13,1.35,"$136,020","$10,098,000"
240,T241,T241,Niclas Fasth,22,1.34,"$265,423","$19,761,000"
241,T241,T241,Dan Forsman,28,1.34,"$315,539","$23,607,000"
242,T241,T241,Mark Foster,1,1.34,"$18,070","$1,348,272"
243,244,244,David Edwards,13,1.33,"$123,681","$9,333,000"
244,T245,T245,Brad Bryant,4,1.31,"$32,210","$2,466,000"
245,T245,T245,Paul Goydos,2,1.31,"$19,366","$1,476,000"
246,T245,T245,Charley Hoffman,1,1.31,"$11,296","$864,000"
247,T245,T245,Mårten Olander,1,1.31,"$17,696","$1,348,272"
248,T245,T245,Garrett Willis,17,1.31,"$165,209","$12,582,000"
249,250,250,Spike McRoy,33,1.3,"$374,186","$28,780,272"
250,T251,T251,Dicky Pride,23,1.29,"$230,329","$17,874,000"
251,T251,T251,Willie Wood,9,1.29,"$78,936","$6,138,000"
252,T253,T253,Martin Erlandsson,1,1.28,"$17,321","$1,348,272"
253,T253,T253,Glen Hnatiuk,9,1.28,"$103,500","$8,064,000"
254,T253,T253,Paul Wesselingh,1,1.28,"$17,321","$1,348,272"
255,T256,T256,Darren Fichardt,3,1.27,"$44,382","$3,493,272"
256,T256,T256,Jason Hartwick,2,1.27,"$21,306","$1,674,000"
257,T256,T256,Mike Heinen,17,1.27,"$166,185","$13,122,000"
258,T256,T256,Kenichi Kuboya,1,1.27,"$10,944","$864,000"
259,T256,T256,Edward Loar,1,1.27,"$11,400","$900,000"
260,T261,T261,Ken Duke,30,1.25,"$301,308","$24,021,000"
261,T261,T261,Chris Stroud,1,1.25,"$10,350","$828,000"
262,T263,T263,Christian Cévaër,1,1.24,"$16,759","$1,348,272"
263,T263,T263,Tjaart van der Walt,12,1.24,"$138,785","$11,221,272"
264,265,265,Matt Weibring,1,1.23,"$9,324","$756,000"
265,266,266,David Branshaw,30,1.22,"$293,617","$24,147,000"
266,267,267,David Ishii,1,1.21,"$10,464","$864,000"
267,268,268,Kelly Mitchum,2,1.2,"$22,432","$1,872,000"
268,T269,T269,Jim Benepe,2,1.19,"$13,900","$1,170,000"
269,T269,T269,Tim Conley,1,1.19,"$6,420","$540,000"
270,T269,T269,Adam Meyer,1,1.19,"$7,490","$630,000"
271,272,272,Ricardo Gonzalez,3,1.18,"$38,000","$3,225,000"
272,273,273,Pete Jordan,2,1.17,"$23,280","$1,989,000"
273,274,274,Vance Veazey,1,1.16,"$9,776","$846,000"
274,275,275,Eduardo Romero,6,1.15,"$78,750","$6,832,272"
275,T276,T276,Kevin Durkin,2,1.14,"$21,197","$1,854,000"
276,T276,T276,J.P. Hayes,27,1.14,"$260,815","$22,788,000"
277,T276,T276,Graeme McDowell,3,1.14,"$42,000","$3,673,272"
278,T276,T276,Gene Sauers,30,1.14,"$287,150","$25,236,000"
279,280,280,Kevin Stadler,5,1.13,"$49,541","$4,383,000"
280,T281,T281,Pat Bates,32,1.12,"$299,383","$26,721,000"
281,T281,T281,Phil Blackmar,1,1.12,"$10,100","$900,000"
282,T281,T281,Bobby Kalinowski,1,1.12,"$9,648","$864,000"
283,T284,T284,Marco Dawson,6,1.11,"$59,550","$5,364,000"
284,T284,T284,Casey Wittenberg,9,1.11,"$85,670","$7,749,000"
285,T286,T286,Dirk Ayers,1,1.06,"$8,550","$810,000"
286,T286,T286,Joel Edwards,11,1.06,"$83,572","$7,893,000"
287,T286,T286,Casey Martin,2,1.06,"$15,858","$1,494,000"
288,289,289,Jeff Coston,1,1.05,"$11,800","$1,125,000"
289,T290,T290,Rich Barcelo,26,1.04,"$223,596","$21,429,000"
290,T290,T290,Brandel Chamblee,1,1.04,"$6,580","$630,000"
291,T290,T290,Steve Pate,24,1.04,"$199,568","$19,179,000"
292,T293,T293,Brad Adamonis,1,1.03,"$9,712","$945,000"
293,T293,T293,Nick Gilliam,1,1.03,"$6,510","$630,000"
294,T293,T293,Scott Gutschewski,1,1.03,"$9,858","$954,000"
295,T293,T293,Grant Waite,29,1.03,"$239,318","$23,175,000"
296,T297,T297,Mike Sullivan,1,1.02,"$5,520","$540,000"
297,T297,T297,Roger Tambellini,28,1.02,"$234,164","$22,986,000"
298,T297,T297,Lian-Wei Zhang,4,1.02,"$42,572","$4,161,000"
299,T300,T300,Michael Clark II,14,1.0,"$101,639","$10,152,000"
300,T300,T300,Toshi Izawa,3,1.0,"$35,000","$3,495,000"
301,T302,T302,Mark Brooks,31,0.99,"$264,075","$26,775,000"
302,T302,T302,Len Mattiace,25,0.99,"$213,706","$21,690,000"
303,304,304,Kris Cox,26,0.98,"$205,171","$21,042,000"
304,T305,T305,Cliff Kresge,33,0.92,"$258,061","$27,918,000"
305,T305,T305,Jim McGovern,11,0.92,"$72,377","$7,848,000"
306,307,307,Jay Delsing,26,0.91,"$190,184","$20,871,000"
307,308,308,Rich Beem,28,0.9,"$230,499","$25,669,272"
308,309,309,Russ Cochran,25,0.89,"$185,107","$20,799,000"
309,T310,T310,Brian Kortan,24,0.87,"$159,938","$18,468,000"
310,T310,T310,"Wes Short, Jr.",12,0.87,"$75,535","$8,658,000"
311,312,312,Tetsuji Hiratsuka,4,0.84,"$35,111","$4,201,272"
312,313,313,Stan Utley,8,0.83,"$45,610","$5,508,000"
313,314,314,Jim Carter,18,0.81,"$111,105","$13,797,000"
314,315,315,Raphael Jacquelin,2,0.8,"$19,755","$2,473,272"
315,316,316,Tommy Tolles,25,0.78,"$151,851","$19,593,000"
316,T317,T317,Hirofumi Miyase,27,0.76,"$162,119","$21,222,000"
317,T317,T317,David Morland IV,27,0.76,"$164,435","$21,600,000"
318,T319,T319,Blaine McCallister,27,0.75,"$162,700","$21,663,000"
319,T319,T319,Carl Paulson,13,0.75,"$70,087","$9,315,000"
320,321,321,Guy Boros,24,0.71,"$130,782","$18,513,000"
321,322,322,Donnie Hammond,13,0.7,"$65,023","$9,306,000"
322,323,323,Hal Sutton,16,0.69,"$103,698","$15,021,000"
323,T324,T324,Mike Grob,13,0.66,"$60,103","$9,144,000"
324,T324,T324,Brandt Snedeker,9,0.66,"$54,215","$8,172,000"
325,T326,T326,Erik Compton,2,0.65,"$11,050","$1,710,000"
326,T326,T326,Tim Thelen,5,0.65,"$21,306","$3,258,000"
327,328,328,Mike Springer,10,0.64,"$44,616","$7,002,000"
328,329,329,Gabriel Hjertstedt,5,0.63,"$22,870","$3,645,000"
329,330,330,Mark Wiebe,6,0.62,"$25,435","$4,104,000"
330,T331,T331,Roy Biancalana,2,0.6,"$11,900","$1,989,000"
331,T331,T331,Hiroyuki Fujita,2,0.6,"$7,387","$1,224,000"
332,333,333,Nick Faldo,6,0.57,"$40,460","$7,108,272"
333,T334,T334,Paul Lawrie,5,0.55,"$32,663","$5,893,272"
334,T334,T334,David Ogrin,2,0.55,"$6,420","$1,170,000"
335,T334,T334,Boyd Summerhays,8,0.55,"$37,126","$6,696,000"
336,T337,T337,Chris Couch,24,0.53,"$100,282","$18,882,000"
337,T337,T337,Jack Nicklaus,2,0.53,"$11,130","$2,115,000"
338,T337,T337,Dan Olsen,31,0.53,"$135,730","$25,614,000"
339,340,340,Tom Watson,2,0.5,"$10,350","$2,070,000"
340,T341,T341,Tripp Isenhour,22,0.49,"$90,698","$18,495,000"
341,T341,T341,Dan Pohl,3,0.49,"$10,706","$2,178,000"
342,T341,T341,Sven Struver,2,0.49,"$11,050","$2,248,272"
343,T344,T344,Kelly Gibson,10,0.47,"$34,510","$7,326,000"
344,T344,T344,Chris Nallen,3,0.47,"$10,365","$2,196,000"
345,346,346,Don Yrene,2,0.44,"$6,480","$1,476,000"
346,T347,T347,Jay Don Blake,14,0.42,"$41,555","$9,918,000"
347,T347,T347,Chez Reavie,2,0.42,"$7,840","$1,845,000"
348,349,349,Bryce Molder,3,0.41,"$10,716","$2,610,000"
349,350,350,Esteban Toledo,36,0.38,"$115,184","$30,249,000"
350,351,351,Matt Hendrix,3,0.35,"$6,750","$1,944,000"
351,352,352,Brian Watts,9,0.33,"$23,770","$7,254,000"
352,353,353,Brock Mackenzie,3,0.31,"$7,387","$2,349,000"
353,T354,T354,Ken Green,18,0.3,"$43,356","$14,220,000"
354,T354,T354,Brad Lardon,17,0.3,"$40,253","$13,275,000"
355,356,356,Trevor Dodds,20,0.29,"$45,015","$15,318,000"
356,357,357,John Morse,3,0.27,"$6,420","$2,358,000"
357,358,358,John Maginnes,12,0.25,"$26,420","$10,557,000"
358,T359,T359,Ian Leggatt,5,0.2,"$8,280","$4,104,000"
359,T359,T359,Greg Norman,7,0.2,"$14,160","$7,126,272"
360,361,361,Kevin Muncrief,21,0.14,"$21,660","$15,876,000"
361,362,362,Patrick Moore,14,0.13,"$15,448","$11,781,000"
362,363,363,Phil Tataurangi,8,0.11,"$6,540","$5,742,000"
363,T364,T364,David Gossett,25,0.1,"$21,250","$21,105,000"
364,T364,T364,Brian Henninger,9,0.1,"$6,240","$6,174,000"
365,T364,T364,Mike Standly,9,0.1,"$6,000","$6,282,000"
366,367,367,Fulton Allem,13,0.09,"$9,792","$11,403,000"
367,368,368,Nick Flanagan,10,0.07,"$6,180","$9,304,272"
