,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
61,62,62,Steve Stricker,75,216.0,1296,6
62,63,63,Bubba Watson,97,218.3,1746,8
63,T64,T64,Jonathan Byrd,88,218.6,1530,7
64,T64,T64,J.B. Holmes,86,218.6,1530,7
65,T64,T64,Hunter Mahan,87,218.6,1530,7
66,67,67,Carlos Franco,73,219.0,1314,6
67,68,68,Carl Pettersson,110,220.0,1980,9
68,T69,T69,Bill Haas,99,222.8,1782,8
69,T69,T69,Charles Howell III,101,222.8,1782,8
70,T71,T71,Brad Adamonis,87,223.7,1566,7
71,T71,T71,Justin Bolli,87,223.7,1566,7
72,T71,T71,Mike Weir,88,223.7,1566,7
73,74,74,Michael Letzig,88,226.3,1584,7
74,75,75,Bo Van Pelt,101,227.3,1818,8
75,76,76,Rory Sabbatini,77,228.0,1368,6
76,77,77,David Duval,51,229.5,918,4
77,78,78,Robert Garrigus,90,231.4,1620,7
78,T79,T79,Phil Mickelson,80,234.0,1404,6
79,T79,T79,Vijay Singh,82,234.0,1404,6
80,81,81,John Senden,93,236.6,1656,7
81,82,82,Ben Curtis,80,240.0,1440,6
82,83,83,Robert Allenby,108,240.8,1926,8
83,84,84,Andres Romero,69,241.2,1206,5
84,T85,T85,Jim Furyk,95,241.7,1692,7
85,T85,T85,Charley Hoffman,94,241.7,1692,7
86,87,87,Bart Bryant,81,243.0,1458,6
87,88,88,Jon Mills,95,244.3,1710,7
88,89,89,David Toms,70,244.8,1224,5
89,90,90,Jay Williamson,96,246.9,1728,7
90,91,91,Bob Tway,70,252.0,1260,5
91,92,92,Briny Baird,113,254.3,2034,8
92,93,93,James Driscoll,85,255.0,1530,6
93,T94,T94,Ryan Armour,87,261.0,1566,6
94,T94,T94,Jeff Quinney,87,261.0,1566,6
95,96,96,Chez Reavie,102,262.3,1836,7
96,97,97,Billy Mayfair,103,264.9,1854,7
97,98,98,Omar Uresti,74,266.4,1332,5
98,99,99,Scott Sterling,89,267.0,1602,6
99,100,100,Steve Marino,119,267.8,2142,8
100,T101,T101,Richard Johnson,60,270.0,1080,4
101,T101,T101,Jim McGovern,75,270.0,1350,5
102,103,103,Lucas Glover,91,273.0,1638,6
103,104,104,Peter Lonard,92,276.0,1656,6
104,105,105,Troy Matteson,94,282.0,1692,6
105,T106,T106,Ian Poulter,51,294.0,882,3
106,T106,T106,Kevin Sutherland,98,294.0,1764,6
107,108,108,Padraig Harrington,52,300.0,900,3
108,T109,T109,Ángel Cabrera,55,306.0,918,3
109,T109,T109,Tom Lehman,51,306.0,918,3
110,T109,T109,Jin Park,85,306.0,1530,5
111,T109,T109,Chris Riley,51,306.0,918,3
112,113,113,Jeff Overton,103,309.0,1854,6
113,114,114,Brandt Jobe,52,312.0,936,3
114,T115,T115,Cameron Beckman,87,313.2,1566,5
115,T115,T115,Chris DiMarco,87,313.2,1566,5
116,T115,T115,Rocco Mediate,87,313.2,1566,5
117,T118,T118,Woody Austin,109,315.0,1890,6
118,T118,T118,Sergio Garcia,72,315.0,1260,4
119,120,120,Tim Clark,90,320.4,1602,5
120,T121,T121,Chad Collins,72,324.0,1296,4
121,T121,T121,Brian Davis,108,324.0,1944,6
122,T121,T121,Bob Estes,90,324.0,1620,5
123,T124,T124,John Huston,56,336.0,1008,3
124,T124,T124,Tom Scherrer,56,336.0,1008,3
125,T126,T126,Nathan Green,95,342.0,1710,5
126,T126,T126,Tim Wilkinson,95,342.0,1710,5
127,T128,T128,Tim Herron,97,349.2,1746,5
128,T128,T128,Kenny Perry,97,349.2,1746,5
129,130,130,Freddie Jacobson,78,351.0,1404,4
130,131,131,Stephen Ames,83,369.0,1476,4
131,132,132,Patrick Sheehan,124,372.0,2232,6
132,133,133,Boo Weekley,86,373.5,1494,4
133,134,134,Heath Slocum,104,374.4,1872,5
134,T135,T135,Zach Johnson,85,378.0,1512,4
135,T135,T135,Cliff Kresge,84,378.0,1512,4
136,T137,T137,Marco Dawson,64,384.0,1152,3
137,T137,T137,Geoff Ogilvy,65,384.0,1152,3
138,139,139,Jeff Maggert,86,387.0,1548,4
139,140,140,Marc Turnesa,87,391.5,1566,4
140,141,141,Dean Wilson,109,392.4,1962,5
141,142,142,Ted Purdy,68,408.0,1224,3
142,143,143,Ryan Palmer,69,414.0,1242,3
143,144,144,Ken Duke,116,417.6,2088,5
144,145,145,Kyle Thompson,70,420.0,1260,3
145,146,146,Billy Andrade,71,426.0,1278,3
146,147,147,Justin Leonard,101,427.5,1710,4
147,T148,T148,Kenneth Ferrie,72,432.0,1296,3
148,T148,T148,Ryan Moore,72,432.0,1296,3
149,T148,T148,Brett Rumford,72,432.0,1296,3
150,T151,T151,Ernie Els,51,450.0,900,2
151,T151,T151,Jeff Gove,50,450.0,900,2
152,T151,T151,Shigeki Maruyama,50,450.0,900,2
153,T151,T151,Joe Ogilvie,100,450.0,1800,4
154,155,155,Paul Casey,55,468.0,936,2
155,156,156,Robert Gamez,79,474.0,1422,3
156,157,157,Mark Wilson,107,481.5,1926,4
157,T158,T158,Gavin Coles,54,486.0,972,2
158,T158,T158,J.J. Henry,108,486.0,1944,4
159,160,160,Johnson Wagner,83,498.0,1494,3
160,161,161,Stuart Appleby,87,504.0,1512,3
161,162,162,Ben Crane,86,516.0,1548,3
162,163,163,Jesper Parnevik,88,528.0,1584,3
163,164,164,David Lutterus,59,531.0,1062,2
164,165,165,Todd Hamilton,92,552.0,1656,3
165,T166,T166,Jason Allred,63,567.0,1134,2
166,T166,T166,Paul Claxton,63,567.0,1134,2
167,T166,T166,Greg Kraft,63,567.0,1134,2
168,169,169,Craig Kanada,65,585.0,1170,2
169,170,170,Cody Freeman,66,594.0,1188,2
170,171,171,Trevor Immelman,70,612.0,1224,2
171,172,172,Corey Pavin,69,621.0,1242,2
172,173,173,Harrison Frazar,73,657.0,1314,2
173,174,174,Dudley Hart,74,666.0,1332,2
174,175,175,Tommy Armour III,77,693.0,1386,2
175,176,176,Paul Goydos,78,702.0,1404,2
176,177,177,Ryuji Imada,80,720.0,1440,2
177,178,178,Scott Verplank,82,729.0,1458,2
178,179,179,Steve Elkington,84,756.0,1512,2
179,180,180,Jerry Kelly,89,792.0,1584,2
180,181,181,Lee Janzen,89,801.0,1602,2
181,182,182,John Mallinger,95,855.0,1710,2
182,183,183,Shane Bertsch,96,864.0,1728,2
183,184,184,Tim Petrovic,97,873.0,1746,2
184,185,185,Brian Gay,102,918.0,1836,2
185,186,186,Vaughn Taylor,103,927.0,1854,2
186,T187,T187,Stephen Leaney,53,954.0,954,1
187,T187,T187,Travis Perkins,53,954.0,954,1
188,189,189,Scott McCarron,63,1134.0,1134,1
189,190,190,Glen Day,64,1152.0,1152,1
190,191,191,Doug LaBelle II,65,1170.0,1170,1
191,192,192,J.P. Hayes,67,1206.0,1206,1
192,193,193,Alex Cejka,75,1350.0,1350,1
193,194,194,Olin Browne,77,1386.0,1386,1
