,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
132,133,133,Jimmy Walker,73,20.11,150,746
133,134,134,Harrison Frazar,73,20.1,161,801
134,135,135,Brad Adamonis,87,20.02,190,949
135,136,136,Matt Kuchar,88,20.0,190,950
136,137,137,Chad Collins,72,19.95,166,832
137,138,138,Todd Demsey,80,19.92,189,949
138,T139,T139,Jeff Gove,50,19.91,129,648
139,T139,T139,John Rollins,94,19.91,218,1095
140,141,141,Kevin Stadler,90,19.89,189,950
141,142,142,Matt Jones,95,19.8,199,1005
142,T143,T143,Todd Hamilton,92,19.73,206,1044
143,T143,T143,Tom Scherrer,56,19.73,118,598
144,145,145,Peter Lonard,92,19.71,217,1101
145,146,146,Shigeki Maruyama,50,19.7,104,528
146,147,147,Cliff Kresge,84,19.68,194,986
147,T148,T148,David Lutterus,59,19.66,128,651
148,T148,T148,Chez Reavie,102,19.66,258,1312
149,150,150,Ben Curtis,80,19.55,174,890
150,151,151,Tom Lehman,51,19.53,100,512
151,152,152,Briny Baird,113,19.5,260,1333
152,T153,T153,David Duval,51,19.49,99,508
153,T153,T153,Jay Williamson,96,19.49,222,1139
154,155,155,Doug LaBelle II,65,19.47,140,719
155,156,156,Nick Flanagan,89,19.43,206,1060
156,T157,T157,Bart Bryant,81,19.41,191,984
157,T157,T157,Alex Cejka,75,19.41,159,819
158,T157,T157,John Senden,93,19.41,224,1154
159,T157,T157,Bob Sowards,61,19.41,131,675
160,161,161,Robert Gamez,79,19.35,197,1018
161,162,162,Jerry Kelly,89,19.28,199,1032
162,163,163,Charles Warren,79,19.27,191,991
163,164,164,Alejandro Cañizares,52,19.26,104,540
164,165,165,John Merrick,98,19.24,202,1050
165,166,166,Will MacKenzie,62,19.2,148,771
166,167,167,Jim McGovern,75,19.18,163,850
167,168,168,Chris Riley,51,19.14,107,559
168,169,169,Kenneth Ferrie,72,19.09,156,817
169,170,170,Brandt Jobe,52,19.07,115,603
170,171,171,Heath Slocum,104,19.01,241,1268
171,172,172,Billy Mayfair,103,19.0,259,1363
172,T173,T173,Paul Goydos,78,18.99,180,948
173,T173,T173,Sean O'Hair,81,18.99,170,895
174,175,175,Brett Quigley,80,18.95,184,971
175,176,176,Justin Bolli,87,18.93,194,1025
176,177,177,Omar Uresti,74,18.91,173,915
177,178,178,Richard Johnson,60,18.89,122,646
178,179,179,Ian Poulter,51,18.83,90,478
179,180,180,Trevor Immelman,70,18.81,139,739
180,181,181,Scott Sterling,89,18.62,194,1042
181,182,182,Jin Park,85,18.57,184,991
182,183,183,Chris Stroud,81,18.56,168,905
183,184,184,Jon Mills,95,18.42,189,1026
184,185,185,Ron Whittaker,54,18.23,109,598
185,186,186,Kyle Thompson,70,18.12,135,745
186,187,187,Rocco Mediate,87,18.11,172,950
187,188,188,Cody Freeman,66,18.09,125,691
188,189,189,J.J. Henry,108,18.06,250,1384
189,190,190,Paul Claxton,63,17.67,126,713
190,191,191,Billy Andrade,71,17.63,141,800
191,192,192,Ted Purdy,68,17.55,136,775
192,193,193,Steve Lowery,74,17.39,149,857
193,194,194,J.P. Hayes,67,17.36,146,841
194,195,195,Stephen Leaney,53,17.27,109,631
195,196,196,Olin Browne,77,16.1,172,1068
196,197,197,Travis Perkins,53,15.61,76,487
