,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
48,T46,T46,Frank Lickliter II,107,4.66,1562,335
49,T46,T46,Sean O'Hair,81,4.66,1062,228
50,T46,T46,Jesper Parnevik,88,4.66,1271,273
51,T46,T46,Pat Perez,93,4.66,1309,281
52,T46,T46,Chris Riley,51,4.66,779,167
53,T46,T46,Kevin Streelman,114,4.66,1623,348
54,T46,T46,Boo Weekley,86,4.66,1207,259
55,T56,T56,Steve Flesch,95,4.67,1444,309
56,T56,T56,Nathan Green,95,4.67,1434,307
57,T56,T56,Peter Lonard,92,4.67,1274,273
58,T56,T56,Parker McLachlin,88,4.67,1302,279
59,T56,T56,Tom Pernice Jr.,104,4.67,1442,309
60,T56,T56,Kevin Stadler,90,4.67,1365,292
61,T56,T56,Mark Wilson,107,4.67,1528,327
62,T63,T63,Robert Allenby,108,4.68,1577,337
63,T63,T63,Padraig Harrington,52,4.68,697,149
64,T63,T63,Charley Hoffman,94,4.68,1385,296
65,T63,T63,Hunter Mahan,87,4.68,1193,255
66,T63,T63,Shigeki Maruyama,50,4.68,734,157
67,T63,T63,Billy Mayfair,103,4.68,1394,298
68,T63,T63,Andres Romero,69,4.68,921,197
69,T63,T63,Rory Sabbatini,77,4.68,1057,226
70,T63,T63,David Toms,70,4.68,918,196
71,T63,T63,Marc Turnesa,87,4.68,1310,280
72,T63,T63,Bo Van Pelt,101,4.68,1483,317
73,T74,T74,Cameron Beckman,87,4.69,1332,284
74,T74,T74,Jonathan Byrd,88,4.69,1280,273
75,T74,T74,James Driscoll,85,4.69,1317,281
76,T74,T74,Ken Duke,116,4.69,1699,362
77,T74,T74,Matt Jones,95,4.69,1434,306
78,T74,T74,Rod Pampling,83,4.69,1178,251
79,T74,T74,Carl Pettersson,110,4.69,1571,335
80,T74,T74,Tom Scherrer,56,4.69,909,194
81,T74,T74,Scott Sterling,89,4.69,1351,288
82,T74,T74,Nicholas Thompson,113,4.69,1665,355
83,T74,T74,D.J. Trahan,94,4.69,1350,288
84,T74,T74,Omar Uresti,74,4.69,1145,244
85,T74,T74,Charlie Wi,97,4.69,1350,288
86,T74,T74,Tim Wilkinson,95,4.69,1464,312
