,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
95,96,96,Kevin Na,97,70.94,1135,16
96,97,97,J.J. Henry,108,70.96,1632,23
97,T98,T98,Woody Austin,109,71.0,1207,17
98,T98,T98,Harrison Frazar,73,71.0,781,11
99,T98,T98,Robert Gamez,79,71.0,1065,15
100,T98,T98,Trevor Immelman,70,71.0,923,13
101,T98,T98,Richard Johnson,60,71.0,852,12
102,T98,T98,John Merrick,98,71.0,923,13
103,104,104,Dean Wilson,109,71.05,1421,20
104,T105,T105,Brad Elder,67,71.06,1137,16
105,T105,T105,Lucas Glover,91,71.06,1137,16
106,T107,T107,Ryuji Imada,80,71.13,1067,15
107,T107,T107,Ryan Moore,72,71.13,1138,16
108,109,109,Steve Marino,119,71.14,1494,21
109,110,110,Peter Lonard,92,71.16,1352,19
110,111,111,Frank Lickliter II,107,71.17,1637,23
111,112,112,Lee Janzen,89,71.18,1566,22
112,113,113,Patrick Sheehan,124,71.22,1638,23
113,T114,T114,Eric Axley,113,71.23,1852,26
114,T114,T114,Geoff Ogilvy,65,71.23,926,13
115,116,116,Davis Love III,78,71.25,855,12
116,117,117,Justin Bolli,87,71.26,1354,19
117,118,118,Nathan Green,95,71.28,1283,18
118,119,119,Scott McCarron,63,71.3,1426,20
119,120,120,Jeff Quinney,87,71.31,927,13
120,T121,T121,Ángel Cabrera,55,71.33,428,6
121,T121,T121,Todd Demsey,80,71.33,1284,18
122,123,123,Jerry Kelly,89,71.38,928,13
123,124,124,Troy Matteson,94,71.39,1642,23
124,T125,T125,Zach Johnson,85,71.4,1071,15
125,T125,T125,Mike Weir,88,71.4,1428,20
126,T127,T127,Tommy Gainey,60,71.41,1214,17
127,T127,T127,Tag Ridings,88,71.41,1571,22
128,129,129,Chris Riley,51,71.44,643,9
129,T130,T130,Daniel Chopra,84,71.47,1072,15
130,T130,T130,Jeff Maggert,86,71.47,1215,17
131,T130,T130,Rocco Mediate,87,71.47,1215,17
132,T133,T133,J.B. Holmes,86,71.5,1573,22
133,T133,T133,Doug LaBelle II,65,71.5,1001,14
134,T135,T135,Rich Beem,90,71.54,930,13
135,T135,T135,Alex Cejka,75,71.54,1717,24
136,T137,T137,Nick Flanagan,89,71.56,1789,25
137,T137,T137,Robert Garrigus,90,71.56,1288,18
138,T137,T137,Rory Sabbatini,77,71.56,1288,18
139,T140,T140,Ken Duke,116,71.58,1360,19
140,T140,T140,Freddie Jacobson,78,71.58,859,12
141,T140,T140,Steve Lowery,74,71.58,859,12
142,T140,T140,John Riegger,73,71.58,859,12
143,144,144,Tim Wilkinson,95,71.6,1432,20
144,T145,T145,Craig Kanada,65,71.62,931,13
145,T145,T145,George McNeill,97,71.62,931,13
146,T147,T147,Martin Laird,98,71.63,1146,16
147,T147,T147,Tim Petrovic,97,71.63,1361,19
148,149,149,Shigeki Maruyama,50,71.64,788,11
149,150,150,Parker McLachlin,88,71.65,1648,23
150,151,151,Jeff Gove,50,71.7,717,10
151,152,152,Rod Pampling,83,71.74,1363,19
152,153,153,Tim Herron,97,71.79,1364,19
153,154,154,Y.E. Yang,89,71.81,1508,21
154,T155,T155,Matt Jones,95,71.83,1724,24
155,T155,T155,David Lutterus,59,71.83,862,12
156,157,157,Sean O'Hair,81,71.85,934,13
157,T158,T158,Paul Goydos,78,71.86,1006,14
158,T158,T158,Chris Stroud,81,71.86,1006,14
159,T160,T160,Ernie Els,51,71.88,575,8
160,T160,T160,Charles Warren,79,71.88,1150,16
161,T162,T162,Jason Gore,94,71.89,2013,28
162,T162,T162,Tom Scherrer,56,71.89,1294,18
163,164,164,Nicholas Thompson,113,71.9,1510,21
164,T165,T165,Paul Claxton,63,71.92,863,12
165,T165,T165,Kenneth Ferrie,72,71.92,935,13
166,T167,T167,Cliff Kresge,84,71.93,1079,15
167,T167,T167,Johnson Wagner,83,71.93,1007,14
168,169,169,James Driscoll,85,71.94,1223,17
169,T170,T170,Ryan Armour,87,72.0,1872,26
170,T170,T170,Mark Calcavecchia,67,72.0,504,7
171,T170,T170,Kent Jones,68,72.0,1224,17
172,173,173,Will MacKenzie,62,72.12,1226,17
173,174,174,Mark Hensby,71,72.14,1010,14
174,175,175,Jason Allred,63,72.17,866,12
175,176,176,Mathias Grönberg,87,72.19,1155,16
176,177,177,Stephen Leaney,53,72.21,1011,14
177,178,178,Richard Johnson,77,72.23,939,13
178,179,179,Jin Park,85,72.25,1445,20
179,180,180,Cody Freeman,66,72.29,1229,17
180,T181,T181,Brandt Jobe,52,72.33,651,9
181,T181,T181,Chez Reavie,102,72.33,1302,18
182,183,183,Bob Sowards,61,72.42,869,12
183,184,184,J.P. Hayes,67,72.46,942,13
184,T185,T185,Paul Casey,55,72.55,798,11
185,T185,T185,Jon Mills,95,72.55,1451,20
186,187,187,Olin Browne,77,72.59,1234,17
187,188,188,Travis Perkins,53,72.75,873,12
188,189,189,Tom Lehman,51,72.77,946,13
189,T190,T190,Greg Kraft,63,72.88,583,8
190,T190,T190,Kyle Thompson,70,72.88,1239,17
191,192,192,Chad Collins,72,73.0,803,11
192,193,193,Billy Andrade,71,73.09,1681,23
193,194,194,Dustin Johnson,92,73.23,952,13
194,195,195,Chris DiMarco,87,73.25,1172,16
195,196,196,David Duval,51,74.0,962,13
196,197,197,Andres Romero,69,74.5,447,6
