,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
51,T52,T52,Cameron Beckman,70.71,990,14
52,T52,T52,Andres Romero,70.71,990,14
53,T52,T52,Tim Wilkinson,70.71,1202,17
54,55,55,Scott Sterling,70.73,1061,15
55,56,56,Steve Marino,70.74,1910,27
56,57,57,Justin Leonard,70.78,1628,23
57,T58,T58,Brian Gay,70.8,1416,20
58,T58,T58,Jason Gore,70.8,1062,15
59,60,60,Scott Verplank,70.82,1204,17
60,T61,T61,Tim Herron,70.84,1346,19
61,T61,T61,Joe Ogilvie,70.84,1346,19
62,T63,T63,James Driscoll,70.86,992,14
63,T63,T63,Tom Pernice Jr.,70.86,1559,22
64,T65,T65,Nathan Green,70.88,1205,17
65,T65,T65,Scott McCarron,70.88,567,8
66,T65,T65,Carl Pettersson,70.88,1772,25
67,68,68,Bill Haas,70.89,1276,18
68,69,69,Heath Slocum,70.91,1560,22
69,70,70,Fred Couples,70.92,851,12
70,71,71,Jon Mills,70.93,993,14
71,T72,T72,Robert Garrigus,70.94,1206,17
72,T72,T72,Anthony Kim,70.94,1277,18
73,74,74,J.J. Henry,70.95,1348,19
74,T75,T75,Stewart Cink,71.0,1278,18
75,T75,T75,Joe Durant,71.0,1207,17
76,T75,T75,Harrison Frazar,71.0,923,13
77,T75,T75,Jeff Gove,71.0,497,7
78,T75,T75,Chris Riley,71.0,639,9
79,80,80,Nicholas Thompson,71.05,1421,20
80,T81,T81,Bob Estes,71.06,1208,17
81,T81,T81,Steve Flesch,71.06,1208,17
82,T83,T83,Eric Axley,71.11,1351,19
83,T83,T83,Mike Weir,71.11,1351,19
84,85,85,Kevin Streelman,71.13,1636,23
85,T86,T86,Jason Allred,71.14,498,7
86,T86,T86,Brandt Jobe,71.14,498,7
87,T88,T88,Tommy Armour III,71.15,925,13
88,T88,T88,Brian Davis,71.15,1423,20
89,T88,T88,Chris DiMarco,71.15,925,13
90,91,91,Tim Clark,71.17,1281,18
91,92,92,Paul Casey,71.18,783,11
92,T93,T93,Davis Love III,71.19,1139,16
93,T93,T93,Tim Petrovic,71.19,1139,16
94,T93,T93,Charlie Wi,71.19,1495,21
95,T96,T96,Craig Kanada,71.2,712,10
96,T96,T96,John Mallinger,71.2,1424,20
97,98,98,Lucas Glover,71.21,1353,19
98,T99,T99,Robert Allenby,71.23,1852,26
99,T99,T99,Todd Demsey,71.23,926,13
100,T101,T101,Sergio Garcia,71.24,1211,17
101,T101,T101,Billy Mayfair,71.24,1496,21
102,T103,T103,Stuart Appleby,71.25,1425,20
103,T103,T103,Charley Hoffman,71.25,1140,16
104,105,105,Bubba Watson,71.26,1354,19
105,106,106,Omar Uresti,71.27,784,11
106,107,107,Boo Weekley,71.28,1283,18
107,108,108,Nick Watney,71.29,1497,21
108,109,109,John Merrick,71.32,1355,19
109,T110,T110,Michael Allen,71.33,1284,18
110,T110,T110,Zach Johnson,71.33,1284,18
111,112,112,Gavin Coles,71.36,785,11
112,113,113,Bo Van Pelt,71.37,1356,19
113,114,114,Bob Sowards,71.38,571,8
114,115,115,Ben Curtis,71.39,1285,18
115,116,116,Greg Kraft,71.4,714,10
116,T117,T117,Carlos Franco,71.42,857,12
117,T117,T117,Retief Goosen,71.42,857,12
118,119,119,Brad Adamonis,71.43,1000,14
119,T120,T120,Brad Elder,71.44,643,9
120,T120,T120,Mark Hensby,71.44,643,9
121,T120,T120,Troy Matteson,71.44,1143,16
122,T120,T120,Ted Purdy,71.44,643,9
123,T120,T120,Jeff Quinney,71.44,1143,16
124,T125,T125,Jim Furyk,71.45,1572,22
125,T125,T125,Kenny Perry,71.45,1572,22
126,127,127,Marc Turnesa,71.46,929,13
127,T128,T128,Bart Bryant,71.47,1215,17
128,T128,T128,David Toms,71.47,1072,15
129,130,130,John Rollins,71.5,1287,18
130,131,131,Sean O'Hair,71.53,1073,15
131,132,132,Briny Baird,71.54,1860,26
132,133,133,Ryan Moore,71.55,787,11
133,T134,T134,Vaughn Taylor,71.56,1288,18
134,T134,T134,Charles Warren,71.56,644,9
135,T136,T136,Woody Austin,71.57,1646,23
136,T136,T136,David Lutterus,71.57,501,7
137,T136,T136,Tom Scherrer,71.57,501,7
138,T139,T139,Kevin Na,71.58,1360,19
139,T139,T139,Chris Stroud,71.58,859,12
140,T141,T141,Alejandro Cañizares,71.6,716,10
141,T141,T141,John Huston,71.6,716,10
142,143,143,Jimmy Walker,71.64,788,11
143,144,144,Robert Gamez,71.67,860,12
144,T145,T145,Mark Calcavecchia,71.7,717,10
145,T145,T145,Doug LaBelle II,71.7,717,10
146,147,147,Jeff Maggert,71.73,1076,15
147,148,148,Jonathan Byrd,71.75,1148,16
148,149,149,Geoff Ogilvy,71.77,933,13
149,150,150,Matt Kuchar,71.81,1149,16
150,151,151,Parker McLachlin,71.82,1221,17
151,152,152,Cliff Kresge,71.85,934,13
152,T153,T153,Brett Quigley,71.87,1078,15
153,T153,T153,Y.E. Yang,71.87,1078,15
154,155,155,Chez Reavie,71.9,1438,20
155,T156,T156,Marco Dawson,71.92,863,12
156,T156,T156,Paul Goydos,71.92,935,13
157,T156,T156,Trevor Immelman,71.92,935,13
158,159,159,Johnson Wagner,71.93,1007,14
159,160,160,Rory Sabbatini,71.94,1151,16
160,T161,T161,Brandt Snedeker,72.0,1224,17
161,T161,T161,Kevin Stadler,72.0,1008,14
162,163,163,Lee Janzen,72.07,1009,14
163,164,164,Ian Poulter,72.09,793,11
164,165,165,Adam Scott,72.1,721,10
165,166,166,Will MacKenzie,72.11,649,9
166,167,167,John Riegger,72.15,938,13
167,168,168,Olin Browne,72.18,794,11
168,T169,T169,Dustin Johnson,72.19,1155,16
169,T169,T169,Patrick Sheehan,72.19,1877,26
170,171,171,Jesper Parnevik,72.2,1083,15
171,172,172,Todd Hamilton,72.24,1228,17
172,173,173,Stephen Leaney,72.25,578,8
173,174,174,Rich Beem,72.31,1157,16
174,175,175,J.B. Holmes,72.35,1230,17
175,176,176,Tag Ridings,72.36,1013,14
176,177,177,Justin Bolli,72.38,941,13
177,178,178,Jeff Overton,72.42,1376,19
178,179,179,Daniel Chopra,72.43,1014,14
179,180,180,Frank Lickliter II,72.52,1523,21
180,181,181,Matt Jones,72.53,1088,15
181,T182,T182,Billy Andrade,72.6,726,10
182,T182,T182,David Duval,72.6,363,5
183,T182,T182,Cody Freeman,72.6,363,5
184,T182,T182,Dudley Hart,72.6,1089,15
185,186,186,Nick Flanagan,72.64,1017,14
186,T187,T187,Tom Lehman,72.88,583,8
187,T187,T187,Shigeki Maruyama,72.88,583,8
188,189,189,Ángel Cabrera,72.89,656,9
189,190,190,Jim McGovern,72.91,802,11
190,191,191,Jay Williamson,72.94,1167,16
191,192,192,Jin Park,73.0,876,12
192,193,193,Rocco Mediate,73.06,1169,16
193,194,194,Paul Claxton,73.29,513,7
194,195,195,Travis Perkins,73.33,220,3
195,196,196,Kyle Thompson,73.75,590,8
196,197,197,Kenneth Ferrie,73.8,738,10
