,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
59,T60,T60,D.A. Points,99,1.5319999999999998,2730,1782
60,T60,T60,Scott Verplank,88,1.5319999999999998,2427,1584
61,62,62,Greg Owen,97,1.5330000000000001,2676,1746
62,T63,T63,Brian Davis,103,1.534,2844,1854
63,T63,T63,Greg Kraft,51,1.534,1408,918
64,T65,T65,Jason Dufner,90,1.538,2492,1620
65,T65,T65,Jason Gore,74,1.538,2049,1332
66,67,67,Nathan Green,104,1.5390000000000001,2881,1872
67,68,68,Mark Wilson,99,1.54,2745,1782
68,69,69,John Rollins,92,1.5430000000000001,2555,1656
69,T70,T70,Michael Allen,73,1.544,2029,1314
70,T70,T70,Freddie Jacobson,83,1.544,2307,1494
71,T70,T70,David Toms,98,1.544,2723,1764
72,T70,T70,Y.E. Yang,83,1.544,2306,1494
73,T74,T74,Nick O'Hern,90,1.548,2508,1620
74,T74,T74,Scott Piercy,85,1.548,2369,1530
75,T76,T76,Bill Haas,91,1.5490000000000002,2538,1638
76,T76,T76,Chez Reavie,81,1.5490000000000002,2259,1458
77,78,78,Cameron Beckman,87,1.55,2428,1566
78,79,79,George McNeill,82,1.5530000000000002,2292,1476
79,T80,T80,Chad Campbell,90,1.556,2520,1620
80,T80,T80,Brad Faxon,59,1.556,1652,1062
81,T80,T80,Steve Marino,98,1.556,2744,1764
82,83,83,Brad Adamonis,70,1.5590000000000002,1964,1260
83,84,84,Marc Leishman,91,1.56,2556,1638
84,T85,T85,Aaron Baddeley,66,1.561,1826,1170
85,T85,T85,Luke Donald,79,1.561,2136,1368
86,87,87,Kevin Streelman,97,1.564,2731,1746
87,T88,T88,Troy Matteson,95,1.565,2677,1710
88,T88,T88,Rocco Mediate,79,1.565,2226,1422
89,T88,T88,Ian Poulter,59,1.565,1578,1008
90,T88,T88,Heath Slocum,95,1.565,2677,1710
91,92,92,Tim Petrovic,97,1.5659999999999998,2735,1746
92,T93,T93,Brendon de Jonge,90,1.567,2538,1620
93,T93,T93,Webb Simpson,94,1.567,2652,1692
94,T95,T95,Jim Furyk,86,1.569,2344,1494
95,T95,T95,Steve Stricker,81,1.569,2231,1422
96,97,97,Robert Garrigus,83,1.57,2345,1494
97,T98,T98,Jonathan Byrd,89,1.571,2516,1602
98,T98,T98,Chris Stroud,88,1.571,2489,1584
99,T100,T100,Paul Goydos,79,1.5719999999999998,2236,1422
100,T100,T100,Padraig Harrington,66,1.5719999999999998,1839,1170
101,T100,T100,Peter Lonard,86,1.5719999999999998,2434,1548
102,103,103,Parker McLachlin,71,1.574,2012,1278
103,T104,T104,Briny Baird,89,1.575,2523,1602
104,T104,T104,Matt Kuchar,82,1.575,2324,1476
105,T106,T106,Daniel Chopra,89,1.5759999999999998,2525,1602
106,T106,T106,Anthony Kim,76,1.5759999999999998,2099,1332
107,108,108,Ryuji Imada,85,1.578,2415,1530
108,T109,T109,Jeff Klauk,97,1.579,2757,1746
109,T109,T109,Pat Perez,74,1.579,2046,1296
110,T109,T109,Mike Weir,85,1.579,2388,1512
111,112,112,Tiger Woods,64,1.58,1763,1116
112,113,113,Ben Crane,93,1.5830000000000002,2650,1674
113,114,114,Geoff Ogilvy,78,1.584,2053,1296
114,T115,T115,Tim Clark,81,1.585,2225,1404
115,T115,T115,Bob Estes,78,1.585,2225,1404
116,117,117,Charlie Wi,92,1.5859999999999999,2626,1656
117,118,118,Todd Hamilton,83,1.589,2374,1494
118,T119,T119,Tom Lehman,55,1.59,1574,990
119,T119,T119,Bill Lunde,83,1.59,2375,1494
120,121,121,Retief Goosen,74,1.591,2090,1314
121,T122,T122,Jeff Quinney,78,1.5919999999999999,2235,1404
122,T122,T122,Brendon Todd,53,1.5919999999999999,1519,954
123,T124,T124,J.J. Henry,97,1.5930000000000002,2781,1746
124,T124,T124,Justin Leonard,95,1.5930000000000002,2609,1638
125,T124,T124,Scott McCarron,91,1.5930000000000002,2610,1638
126,127,127,Martin Laird,72,1.594,2066,1296
127,128,128,Tim Herron,87,1.597,2501,1566
128,T129,T129,Zach Johnson,94,1.598,2646,1656
129,T129,T129,Tom Pernice Jr.,82,1.598,2359,1476
130,131,131,Richard Johnson,85,1.601,2449,1530
131,132,132,Ángel Cabrera,55,1.6019999999999999,1557,972
132,T133,T133,Lucas Glover,93,1.6030000000000002,2684,1674
133,T133,T133,Charley Hoffman,97,1.6030000000000002,2798,1746
134,135,135,Dustin Johnson,85,1.604,2426,1512
135,T136,T136,Rod Pampling,72,1.6059999999999999,2052,1278
136,T136,T136,Bubba Watson,73,1.6059999999999999,2110,1314
137,T138,T138,Stephen Ames,77,1.607,2169,1350
138,T138,T138,Phil Mickelson,66,1.607,1822,1134
139,140,140,Woody Austin,84,1.608,2431,1512
140,141,141,David Duval,56,1.609,1622,1008
141,142,142,Ryan Palmer,78,1.61,2261,1404
142,143,143,Nicholas Thompson,96,1.6119999999999999,2785,1728
143,144,144,Steve Lowery,83,1.615,2413,1494
144,T145,T145,Stewart Cink,79,1.6159999999999999,2123,1314
145,T145,T145,Carl Pettersson,86,1.6159999999999999,2501,1548
146,147,147,Hunter Mahan,94,1.617,2677,1656
147,148,148,Kenny Perry,92,1.618,2650,1638
148,T149,T149,Ken Duke,87,1.619,2536,1566
149,T149,T149,Justin Rose,71,1.619,2040,1260
150,T151,T151,Matt Bettencourt,98,1.62,2858,1764
151,T151,T151,Nick Watney,86,1.62,2508,1548
152,153,153,Rory Sabbatini,81,1.6219999999999999,2335,1440
153,154,154,Kevin Sutherland,96,1.6230000000000002,2775,1710
154,155,155,Ben Curtis,63,1.625,1813,1116
155,156,156,Steve Flesch,77,1.626,2254,1386
156,T157,T157,Mark Calcavecchia,72,1.6269999999999998,2108,1296
157,T157,T157,Johnson Wagner,81,1.6269999999999998,2372,1458
158,159,159,Ernie Els,70,1.6280000000000001,1934,1188
159,160,160,Camilo Villegas,76,1.63,2142,1314
160,161,161,Sergio Garcia,59,1.631,1703,1044
161,162,162,Andres Romero,58,1.632,1674,1026
162,163,163,Fred Couples,54,1.633,1587,972
163,T164,T164,Tommy Armour III,58,1.6380000000000001,1710,1044
164,T164,T164,Steve Elkington,70,1.6380000000000001,2064,1260
165,T166,T166,Mathew Goggin,76,1.64,2185,1332
166,T166,T166,Davis Love III,89,1.64,2568,1566
167,T168,T168,Brian Bateman,55,1.641,1625,990
168,T168,T168,Sean O'Hair,80,1.641,2245,1368
169,170,170,Stuart Appleby,79,1.6440000000000001,2308,1404
170,171,171,K.J. Choi,65,1.646,1896,1152
171,172,172,Jason Bohn,88,1.6469999999999998,2609,1584
172,173,173,J.B. Holmes,74,1.652,2200,1332
173,174,174,Jeff Maggert,79,1.655,2353,1422
174,175,175,John Senden,100,1.6569999999999998,2983,1800
175,176,176,D.J. Trahan,96,1.6580000000000001,2865,1728
176,T177,T177,Vijay Singh,71,1.66,2062,1242
177,T177,T177,Kirk Triplett,60,1.66,1793,1080
178,179,179,Marc Turnesa,77,1.662,2303,1386
179,180,180,Robert Allenby,71,1.666,2099,1260
180,181,181,Boo Weekley,79,1.6669999999999998,2310,1386
181,182,182,Adam Scott,53,1.672,1565,936
182,183,183,Will MacKenzie,69,1.68,2086,1242
183,184,184,Billy Mayfair,83,1.683,2514,1494
