,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
53,T53,T53,Harrison Frazar,93,99.75,1188,34,1151
54,T53,T53,Justin Rose,71,99.75,810,29,779
55,T53,T53,Webb Simpson,94,99.75,1197,47,1147
56,57,57,Bryce Molder,69,99.73,744,20,722
57,T58,T58,Chad Campbell,90,99.71,1019,32,984
58,T58,T58,Hunter Mahan,94,99.71,1050,37,1010
59,T58,T58,Ryan Moore,89,99.71,1034,33,998
60,T61,T61,Padraig Harrington,66,99.7,670,17,651
61,T61,T61,Y.E. Yang,83,99.7,996,26,967
62,T63,T63,John Merrick,91,99.69,975,29,943
63,T63,T63,Nick Watney,86,99.69,960,27,930
64,65,65,David Mathis,82,99.68,942,31,908
65,66,66,Andres Romero,58,99.67,613,21,590
66,T67,T67,Stewart Cink,79,99.64,834,21,810
67,T67,T67,Lucas Glover,93,99.64,1110,31,1075
68,69,69,Justin Leonard,95,99.63,1071,29,1038
69,70,70,George McNeill,82,99.62,1055,30,1021
70,71,71,Eric Axley,71,99.52,828,20,804
71,72,72,John Senden,100,99.48,1335,40,1288
72,73,73,Charles Warren,63,99.47,761,18,739
73,T74,T74,Steve Flesch,77,99.45,905,27,873
74,T74,T74,Troy Matteson,95,99.45,1265,36,1222
75,T74,T74,Rod Pampling,72,99.45,914,32,877
76,77,77,Steve Elkington,70,99.44,891,28,858
77,78,78,Nick O'Hern,90,99.43,1235,49,1179
78,T79,T79,Bob Estes,78,99.4,995,29,960
79,T79,T79,Sean O'Hair,80,99.4,830,27,798
80,81,81,Chris Riley,77,99.38,960,32,922
81,T82,T82,Charley Hoffman,97,99.35,1239,27,1204
82,T82,T82,Scott Piercy,85,99.35,1075,36,1032
83,T82,T82,Mike Weir,85,99.35,926,26,894
84,T85,T85,Daniel Chopra,89,99.32,1184,36,1140
85,T85,T85,Chez Reavie,81,99.32,1028,30,991
86,87,87,Jason Day,61,99.3,715,25,685
87,88,88,Kris Blanks,60,99.26,678,22,651
88,T89,T89,Tommy Armour III,58,99.2,749,21,722
89,T89,T89,David Duval,56,99.2,626,14,607
90,T89,T89,Martin Laird,72,99.2,879,29,843
91,92,92,Mark Wilson,99,99.19,1230,45,1175
92,93,93,Jimmy Walker,74,99.15,940,20,912
93,T94,T94,Brian Bateman,55,99.14,699,19,674
94,T94,T94,Kevin Sutherland,96,99.14,1049,34,1006
95,T94,T94,D.J. Trahan,96,99.14,1168,36,1122
96,97,97,Brendon de Jonge,90,99.13,1147,36,1101
97,T98,T98,Marc Turnesa,77,99.12,1024,37,978
98,T98,T98,Scott Verplank,88,99.12,1139,30,1099
99,100,100,Patrick Sheehan,51,99.11,559,17,537
100,T101,T101,Charles Howell III,99,99.09,1210,25,1174
101,T101,T101,Steve Marino,98,99.09,1209,38,1160
102,T101,T101,Pat Perez,74,99.09,877,25,844
103,T104,T104,Anthony Kim,76,99.06,850,19,823
104,T104,T104,Cliff Kresge,78,99.06,957,24,924
105,T104,T104,Scott McCarron,91,99.06,1169,29,1129
106,107,107,D.A. Points,99,99.05,1261,38,1211
107,T108,T108,Jason Dufner,90,99.02,1122,29,1082
108,T108,T108,John Mallinger,90,99.02,1021,25,986
109,110,110,Todd Hamilton,83,99.01,911,22,880
110,111,111,Chris DiMarco,97,98.98,1272,35,1224
111,112,112,Robert Garrigus,83,98.95,1047,32,1004
112,113,113,Kevin Streelman,97,98.94,1225,30,1182
113,114,114,Ángel Cabrera,55,98.87,533,12,515
114,115,115,Jeff Quinney,78,98.8,1001,26,963
115,T116,T116,Mark Brooks,55,98.79,577,18,552
116,T116,T116,Bubba Watson,73,98.79,829,20,799
117,118,118,Robert Allenby,71,98.78,822,22,790
118,119,119,Camilo Villegas,76,98.76,808,18,780
119,120,120,Sergio Garcia,59,98.75,641,20,613
120,T121,T121,Glen Day,79,98.74,951,27,912
121,T121,T121,Casey Wittenberg,71,98.74,791,22,759
122,123,123,Gary Woodland,53,98.71,541,17,517
123,124,124,Michael Letzig,96,98.7,1232,35,1181
124,125,125,Colt Knost,71,98.64,810,24,775
125,126,126,Aron Price,89,98.63,1093,25,1053
126,127,127,Brian Davis,103,98.54,1297,38,1240
127,128,128,Paul Goydos,79,98.46,908,27,867
128,T129,T129,Bill Lunde,83,98.4,1062,31,1014
129,T129,T129,Chris Stroud,88,98.4,1122,28,1076
130,T131,T131,Jarrod Lyle,65,98.38,743,16,715
131,T131,T131,Kevin Stadler,65,98.38,804,25,766
132,133,133,Matt Weibring,65,98.36,791,27,751
133,134,134,Tag Ridings,50,98.35,605,20,575
134,T135,T135,Woody Austin,84,98.31,1062,31,1013
135,T135,T135,Mathew Goggin,76,98.31,886,21,850
136,137,137,Alex Cejka,82,98.28,1048,27,1003
137,138,138,Davis Love III,89,98.24,1137,29,1088
138,T139,T139,K.J. Choi,65,98.21,728,15,700
139,T139,T139,Dustin Johnson,85,98.21,893,26,851
140,141,141,Phil Mickelson,66,98.16,705,20,672
141,142,142,Peter Lonard,86,98.14,1132,32,1079
142,143,143,Johnson Wagner,81,98.13,1070,33,1017
143,144,144,Brett Quigley,92,98.11,1111,29,1061
144,145,145,Greg Owen,97,98.09,1205,29,1153
145,146,146,Tom Pernice Jr.,82,98.07,1089,30,1038
146,147,147,Leif Olson,51,98.04,612,16,584
147,148,148,Jason Bohn,88,98.03,1220,31,1165
148,T149,T149,Michael Allen,73,98.01,855,21,817
149,T149,T149,Briny Baird,89,98.01,1056,27,1008
150,151,151,Ernie Els,70,97.99,796,16,764
151,152,152,Brendon Todd,53,97.96,687,24,649
152,153,153,Vijay Singh,71,97.91,764,16,732
153,154,154,Rick Price,54,97.87,610,12,585
154,155,155,Brian Vranesh,51,97.85,605,15,577
155,T156,T156,Steve Lowery,83,97.8,1093,26,1043
156,T156,T156,Heath Slocum,95,97.8,1229,19,1183
157,158,158,Jeff Maggert,79,97.69,1039,22,993
158,159,159,Adam Scott,53,97.67,643,19,609
159,160,160,Kent Jones,73,97.66,897,23,853
160,T161,T161,Matt Bettencourt,98,97.58,1240,40,1170
161,T161,T161,Rocco Mediate,79,97.58,990,23,943
162,163,163,Greg Kraft,51,97.57,617,19,583
163,164,164,Mark Calcavecchia,72,97.53,889,24,843
164,165,165,Boo Weekley,79,97.49,957,27,906
165,166,166,Stuart Appleby,79,97.48,994,18,951
166,167,167,Joe Durant,62,97.43,700,19,663
167,T168,T168,Ken Duke,87,97.37,1064,25,1011
168,T168,T168,Tim Herron,87,97.37,1179,24,1124
169,170,170,Jay Williamson,69,97.23,866,17,825
170,171,171,J.B. Holmes,74,97.2,893,14,854
171,172,172,Tom Lehman,55,97.14,524,8,501
172,173,173,Rory Sabbatini,81,97.02,974,17,928
173,174,174,Peter Tomasulo,61,97.0,700,15,664
174,175,175,Billy Mayfair,83,96.82,1068,26,1008
175,176,176,Jonathan Byrd,89,96.81,1190,33,1119
176,177,177,Jason Gore,74,96.78,931,18,883
177,178,178,Derek Fathauer,63,96.66,748,18,705
178,179,179,Fred Couples,54,96.45,619,15,582
179,180,180,Nicholas Thompson,96,96.44,1293,26,1221
180,181,181,Darron Stiles,52,96.42,615,13,580
181,182,182,Will MacKenzie,69,95.48,929,22,865
182,183,183,Ricky Barnes,67,95.09,814,13,761
183,184,184,Kirk Triplett,60,94.58,831,20,766
