,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
102,103,103,D.J. Trahan,96,29.04,352,1212
103,104,104,Michael Allen,73,29.02,242,834
104,105,105,Alex Cejka,82,28.88,266,921
105,106,106,Kevin Sutherland,96,28.85,328,1137
106,107,107,Charles Warren,63,28.82,202,701
107,108,108,John Mallinger,90,28.8,288,1000
108,109,109,Mark Wilson,99,28.63,325,1135
109,T110,T110,Robert Garrigus,83,28.59,285,997
110,T110,T110,Peter Tomasulo,61,28.59,183,640
111,112,112,Ernie Els,70,28.57,224,784
112,113,113,Bob Estes,78,28.54,256,897
113,114,114,Chad Campbell,90,28.49,304,1067
114,T115,T115,Sergio Garcia,59,28.47,195,685
115,T115,T115,Nathan Green,104,28.47,322,1131
116,T115,T115,Carl Pettersson,86,28.47,275,966
117,118,118,Corey Pavin,73,28.38,208,733
118,119,119,Nick O'Hern,90,28.32,292,1031
119,120,120,Davis Love III,89,28.28,295,1043
120,121,121,Johnson Wagner,81,28.24,270,956
121,122,122,Colt Knost,71,28.23,212,751
122,123,123,Boo Weekley,79,28.11,260,925
123,124,124,Jason Bohn,88,28.07,309,1101
124,125,125,Greg Owen,97,28.04,316,1127
125,126,126,John Senden,100,27.94,356,1274
126,T127,T127,Tom Pernice Jr.,82,27.91,266,953
127,T127,T127,Kirk Triplett,60,27.91,204,731
128,129,129,Charles Howell III,99,27.89,306,1097
129,130,130,Brad Faxon,59,27.88,155,556
130,131,131,Jason Gore,74,27.8,226,813
131,132,132,Mathew Goggin,76,27.78,242,871
132,133,133,Adam Scott,53,27.77,163,587
133,134,134,David Mathis,82,27.73,239,862
134,135,135,Richard Johnson,85,27.7,274,989
135,136,136,Bill Lunde,83,27.69,270,975
136,137,137,Vijay Singh,71,27.59,226,819
137,138,138,Briny Baird,89,27.57,290,1052
138,139,139,Chris DiMarco,97,27.48,296,1077
139,140,140,Darron Stiles,52,27.43,155,565
140,141,141,Rich Beem,77,27.39,232,847
141,142,142,Jeff Klauk,97,27.36,310,1133
142,143,143,Troy Matteson,95,27.24,304,1116
143,144,144,Stewart Cink,79,27.23,226,830
144,145,145,Tommy Armour III,58,27.22,190,698
145,146,146,Eric Axley,71,27.1,187,690
146,147,147,Brian Vranesh,51,27.09,146,539
147,148,148,Will MacKenzie,69,27.05,228,843
148,149,149,Cameron Beckman,87,27.02,264,977
149,150,150,Kevin Stadler,65,26.98,184,682
150,151,151,Heath Slocum,95,26.95,297,1102
151,152,152,Todd Hamilton,83,26.83,249,928
152,153,153,Aron Price,89,26.75,256,957
153,154,154,Steve Elkington,70,26.66,225,844
154,155,155,Ken Duke,87,26.63,262,984
155,156,156,Scott Sterling,51,26.55,141,531
156,157,157,Jeff Maggert,79,26.49,257,970
157,158,158,Steve Flesch,77,26.46,244,922
158,159,159,Bart Bryant,58,26.44,161,609
159,160,160,Ben Curtis,63,26.4,189,716
160,161,161,Patrick Sheehan,51,26.38,139,527
161,162,162,Chez Reavie,81,26.34,240,911
162,163,163,Rocco Mediate,79,26.24,232,884
163,164,164,Brad Adamonis,70,26.14,201,769
164,165,165,Rick Price,54,26.05,149,572
165,166,166,K.J. Choi,65,26.02,198,761
166,167,167,Brian Bateman,55,25.94,166,640
167,168,168,Spencer Levin,75,25.93,223,860
168,169,169,Peter Lonard,86,25.89,247,954
169,170,170,Kent Jones,73,25.88,198,765
170,171,171,Mark Brooks,55,25.56,138,540
171,T172,T172,Stuart Appleby,79,25.51,226,886
172,T172,T172,J.J. Henry,97,25.51,290,1137
173,174,174,Casey Wittenberg,71,25.26,193,764
174,175,175,Billy Mayfair,83,25.08,248,989
175,176,176,Ricky Barnes,67,24.9,180,723
176,177,177,Glen Day,79,24.82,211,850
177,178,178,Robert Allenby,71,24.8,212,855
178,179,179,Brendon Todd,53,24.73,139,562
179,180,180,Marc Turnesa,77,24.63,215,873
180,181,181,Jay Williamson,69,24.48,189,772
181,182,182,Greg Kraft,51,23.58,125,530
182,183,183,Jarrod Lyle,65,23.54,157,667
183,184,184,Tom Lehman,55,21.36,135,632
