,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
94,T94,T94,Casey Wittenberg,71,"73' 3""",47451,54,"4' 1""","164' 4"""
95,T94,T94,Y.E. Yang,83,"73' 3""",61545,70,"4' 1""","150' 9"""
96,T97,T97,Bob Estes,78,"73' 2""",60596,69,"4' 1""","142' 3"""
97,T97,T97,Robert Garrigus,83,"73' 2""",63202,72,"4' 1""","144' 2"""
98,99,99,Matt Jones,56,"73' 1""",39460,45,"4' 2""","172' 11"""
99,T100,T100,Brian Davis,103,"72' 11""",79611,91,"4' 1""","111' 5"""
100,T100,T100,Phil Mickelson,66,"72' 11""",42001,48,"4' 1""","138' 11"""
101,T102,T102,Rich Beem,77,"72' 10""",50668,58,"4' 1""","135' 10"""
102,T102,T102,Ángel Cabrera,55,"72' 10""",33210,38,"4' 1""","142' 9"""
103,T102,T102,Stewart Cink,79,"72' 10""",51554,59,"4' 1""","122' 0"""
104,T105,T105,Bill Haas,91,"72' 9""",71560,82,"4' 1""","146' 9"""
105,T105,T105,Scott McCarron,91,"72' 9""",70715,81,"4' 1""","147' 11"""
106,107,107,John Mallinger,90,"72' 8""",61893,71,"4' 1""","123' 10"""
107,T108,T108,Todd Hamilton,83,"72' 7""",55731,64,"4' 1""","141' 0"""
108,T108,T108,Greg Kraft,51,"72' 7""",35697,41,"4' 1""","132' 6"""
109,T108,T108,Chris Stroud,88,"72' 7""",66231,76,"4' 1""","135' 4"""
110,111,111,Leif Olson,51,"72' 6""",37411,43,"4' 1""","137' 4"""
111,112,112,Justin Leonard,95,"72' 5""",65154,75,"4' 1""","143' 5"""
112,T113,T113,Mark Brooks,55,"72' 3""",34675,40,"4' 1""","149' 9"""
113,T113,T113,Bart Bryant,58,"72' 3""",45098,52,"4' 1""","162' 11"""
114,T115,T115,Kent Jones,73,"72' 2""",52836,61,"4' 1""","131' 10"""
115,T115,T115,Colt Knost,71,"72' 2""",48484,56,"4' 1""","136' 4"""
116,117,117,David Duval,56,"71' 11""",37993,44,"4' 0""","169' 1"""
117,118,118,Jason Dufner,90,"71' 10""",67206,78,"4' 0""","138' 11"""
118,T119,T119,Derek Fathauer,63,"71' 9""",43908,51,"4' 0""","119' 9"""
119,T119,T119,Padraig Harrington,66,"71' 9""",41305,48,"4' 1""","116' 9"""
120,T119,T119,Cliff Kresge,78,"71' 9""",57686,67,"4' 0""","144' 5"""
121,T119,T119,Peter Lonard,86,"71' 9""",66266,77,"4' 0""","150' 10"""
122,T119,T119,Tom Pernice Jr.,82,"71' 9""",64562,75,"4' 0""","131' 1"""
123,T119,T119,Rory Sabbatini,81,"71' 9""",57700,67,"4' 1""","129' 1"""
124,T125,T125,Michael Allen,73,"71' 7""",49841,58,"4' 0""","131' 6"""
125,T125,T125,Brett Quigley,92,"71' 7""",64391,75,"4' 0""","123' 10"""
126,T127,T127,Chad Campbell,90,"71' 6""",60937,71,"4' 0""","127' 5"""
127,T127,T127,Ian Poulter,59,"71' 6""",36047,42,"4' 1""","138' 8"""
128,129,129,Brendon de Jonge,90,"71' 3""",67506,79,"4' 0""","127' 1"""
129,130,130,Steve Flesch,77,"71' 1""",53732,63,"3' 12""","121' 3"""
130,T131,T131,Tommy Armour III,58,"70' 11""",44238,52,"3' 12""","131' 10"""
131,T131,T131,Vaughn Taylor,88,"70' 11""",67205,79,"3' 12""","136' 3"""
132,T131,T131,Scott Verplank,88,"70' 11""",67199,79,"3' 12""","143' 0"""
133,T131,T131,Bubba Watson,73,"70' 11""",48522,57,"4' 0""","138' 2"""
134,135,135,Steve Elkington,70,"70' 9""",52637,62,"3' 12""","134' 1"""
135,T136,T136,Charley Hoffman,97,"70' 8""",73763,87,"3' 12""","129' 0"""
136,T136,T136,Troy Matteson,95,"70' 8""",74638,88,"3' 12""","156' 9"""
137,T136,T136,Chez Reavie,81,"70' 8""",59372,70,"3' 12""","133' 10"""
138,139,139,Jonathan Byrd,89,"70' 7""",66890,79,"3' 12""","163' 10"""
139,T140,T140,J.J. Henry,97,"70' 6""",71059,84,"3' 12""","133' 6"""
140,T140,T140,John Merrick,91,"70' 6""",57522,68,"3' 12""","139' 10"""
141,T140,T140,Tag Ridings,50,"70' 6""",34666,41,"4' 0""","113' 2"""
142,143,143,Davis Love III,89,"70' 4""",65025,77,"3' 12""","161' 8"""
143,T144,T144,Retief Goosen,74,"70' 3""",47222,56,"3' 11""","136' 4"""
144,T144,T144,Scott Sterling,51,"70' 3""",33738,40,"3' 11""","132' 8"""
145,T146,T146,Fred Couples,54,"70' 2""",35363,42,"3' 12""","112' 0"""
146,T146,T146,Jeff Maggert,79,"70' 2""",61447,73,"3' 11""","120' 8"""
147,T148,T148,Heath Slocum,95,"70' 0""",71424,85,"3' 11""","156' 2"""
148,T148,T148,Kevin Stadler,65,"70' 0""",45339,54,"3' 11""","125' 9"""
149,T150,T150,Chris DiMarco,97,"69' 8""",72759,87,"3' 11""","145' 5"""
150,T150,T150,Tim Herron,87,"69' 8""",67724,81,"3' 11""","129' 10"""
151,152,152,Alex Cejka,82,"69' 7""",59303,71,"3' 11""","170' 6"""
152,153,153,Camilo Villegas,76,"69' 6""",46716,56,"3' 11""","131' 4"""
153,154,154,Boo Weekley,79,"69' 4""",54051,65,"3' 11""","130' 5"""
154,T155,T155,Glen Day,79,"69' 2""",53093,64,"3' 11""","110' 6"""
155,T155,T155,Mathew Goggin,76,"69' 2""",49784,60,"3' 11""","114' 2"""
156,T155,T155,Jimmy Walker,74,"69' 2""",53090,64,"3' 11""","115' 2"""
157,158,158,Joe Durant,62,"69' 1""",38957,47,"3' 10""","113' 7"""
158,159,159,Jason Gore,74,"69' 0""",51318,62,"3' 11""","123' 4"""
159,160,160,Rocco Mediate,79,"68' 11""",54610,66,"3' 11""","124' 9"""
160,161,161,Nicholas Thompson,96,"68' 10""",71903,87,"3' 10""","132' 5"""
161,162,162,Brad Adamonis,70,"68' 9""",50318,61,"3' 10""","142' 3"""
162,T163,T163,K.J. Choi,65,"68' 4""",40995,50,"3' 10""","115' 11"""
163,T163,T163,Will MacKenzie,69,"68' 4""",50028,61,"3' 10""","117' 3"""
164,T165,T165,Briny Baird,89,"68' 2""",58925,72,"3' 10""","117' 8"""
165,T165,T165,Peter Tomasulo,61,"68' 2""",37625,46,"3' 10""","131' 9"""
166,167,167,Greg Owen,97,"68' 1""",66953,82,"3' 10""","128' 1"""
167,168,168,Robert Allenby,71,"67' 11""",45667,56,"3' 10""","153' 5"""
168,169,169,Darron Stiles,52,"67' 10""",34172,42,"3' 10""","129' 7"""
169,170,170,Tom Lehman,55,"67' 9""",28449,35,"3' 10""","113' 2"""
170,171,171,Jason Bohn,88,"67' 5""",66341,82,"3' 9""","114' 10"""
171,172,172,Charles Warren,63,"67' 3""",42750,53,"3' 9""","136' 6"""
172,173,173,Ken Duke,87,"67' 1""",57138,71,"3' 9""","108' 4"""
173,174,174,Adam Scott,53,"66' 11""",33739,42,"3' 9""","154' 2"""
174,175,175,Billy Mayfair,83,"66' 7""",55164,69,"3' 9""","152' 0"""
175,176,176,Charles Howell III,99,"66' 5""",66155,83,"3' 9""","118' 7"""
176,177,177,Ernie Els,70,"66' 4""",42996,54,"3' 9""","108' 5"""
177,178,178,J.B. Holmes,74,"66' 3""",48499,61,"3' 9""","128' 3"""
178,179,179,Rick Price,54,"66' 0""",32470,41,"3' 9""","160' 3"""
179,180,180,Vijay Singh,71,"65' 11""",40334,51,"3' 8""","117' 6"""
180,181,181,Jay Williamson,69,"65' 4""",44661,57,"3' 8""","120' 10"""
181,182,182,Stuart Appleby,79,"65' 2""",50823,65,"3' 8""","107' 8"""
182,183,183,Jarrod Lyle,65,"64' 7""",38769,50,"3' 8""","117' 6"""
183,184,184,Ricky Barnes,67,"60' 10""",37235,51,"3' 5""","117' 1"""
