,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
53,54,54,Michael Letzig,96,39.18,677,1728
54,55,55,Harrison Frazar,93,39.07,654,1674
55,56,56,Carl Pettersson,86,38.95,603,1548
56,T57,T57,Ben Curtis,63,38.89,434,1116
57,T57,T57,Bubba Watson,73,38.89,511,1314
58,59,59,Kirk Triplett,60,38.8,419,1080
59,T60,T60,Ryan Moore,89,38.76,621,1602
60,T60,T60,Nick Watney,86,38.76,600,1548
61,62,62,Steve Flesch,77,38.74,537,1386
62,63,63,Eric Axley,71,38.73,495,1278
63,64,64,Mark Wilson,99,38.72,690,1782
64,T65,T65,David Duval,56,38.69,390,1008
65,T65,T65,Dustin Johnson,85,38.69,585,1512
66,T65,T65,Andres Romero,58,38.69,397,1026
67,68,68,Ken Duke,87,38.57,604,1566
68,69,69,Dean Wilson,81,38.55,562,1458
69,70,70,Kevin Sutherland,96,38.48,658,1710
70,71,71,Ernie Els,70,38.47,457,1188
71,72,72,Brad Adamonis,70,38.41,484,1260
72,73,73,Sean O'Hair,80,38.38,525,1368
73,T74,T74,Chris DiMarco,97,38.37,670,1746
74,T74,T74,Richard Johnson,85,38.37,587,1530
75,76,76,Jeff Klauk,97,38.32,669,1746
76,77,77,Bo Van Pelt,100,38.28,689,1800
77,78,78,Jerry Kelly,90,38.27,620,1620
78,79,79,Vaughn Taylor,88,38.26,606,1584
79,80,80,James Nitties,86,38.24,592,1548
80,T81,T81,J.B. Holmes,74,38.21,509,1332
81,T81,T81,John Mallinger,90,38.21,619,1620
82,83,83,Jason Dufner,90,38.15,618,1620
83,84,84,David Mathis,82,38.14,563,1476
84,85,85,Rory Sabbatini,81,38.13,549,1440
85,86,86,Stewart Cink,79,38.05,500,1314
86,87,87,John Rollins,92,38.04,630,1656
87,88,88,Chris Riley,77,38.02,527,1386
88,89,89,Paul Goydos,79,37.97,540,1422
89,90,90,Fred Couples,54,37.86,368,972
90,91,91,Cliff Kresge,78,37.75,530,1404
91,92,92,Matt Weibring,65,37.69,441,1170
92,93,93,Camilo Villegas,76,37.67,495,1314
93,T94,T94,Bill Haas,91,37.61,616,1638
94,T94,T94,Jimmy Walker,74,37.61,501,1332
95,T96,T96,Sergio Garcia,59,37.55,392,1044
96,T96,T96,Bill Lunde,83,37.55,561,1494
97,98,98,Lee Janzen,74,37.54,500,1332
98,99,99,Nick O'Hern,90,37.53,608,1620
99,100,100,Scott Verplank,88,37.5,594,1584
100,101,101,Greg Chalmers,85,37.45,573,1530
101,102,102,Jason Day,61,37.43,411,1098
102,103,103,Johnson Wagner,81,37.38,545,1458
103,104,104,David Toms,98,37.24,657,1764
104,105,105,Y.E. Yang,83,37.22,556,1494
105,106,106,Todd Hamilton,83,37.08,554,1494
106,107,107,Leif Olson,51,37.04,340,918
107,108,108,Davis Love III,89,36.97,579,1566
108,109,109,Nicholas Thompson,96,36.92,638,1728
109,110,110,Brian Bateman,55,36.77,364,990
110,111,111,Marc Leishman,91,36.75,602,1638
111,112,112,Stuart Appleby,79,36.68,515,1404
112,113,113,Mathew Goggin,76,36.64,488,1332
113,114,114,Derek Fathauer,63,36.6,415,1134
114,115,115,Martin Laird,72,36.57,474,1296
115,116,116,Jason Bohn,88,36.55,579,1584
116,117,117,Steve Marino,98,36.51,644,1764
117,118,118,D.A. Points,99,36.42,649,1782
118,119,119,Kevin Streelman,97,36.31,634,1746
119,120,120,Chad Campbell,90,36.3,588,1620
120,121,121,Jeff Maggert,79,36.29,516,1422
121,122,122,K.J. Choi,65,36.2,417,1152
122,T123,T123,Michael Allen,73,36.15,475,1314
123,T123,T123,Vijay Singh,71,36.15,449,1242
124,125,125,Alex Cejka,82,36.11,533,1476
125,126,126,Brendon de Jonge,90,36.05,584,1620
126,127,127,Cameron Beckman,87,36.02,564,1566
127,128,128,Spencer Levin,75,36.0,486,1350
128,129,129,Bryce Molder,69,35.99,447,1242
129,T130,T130,Steve Elkington,70,35.95,453,1260
130,T130,T130,Scott Piercy,85,35.95,550,1530
131,132,132,Marc Turnesa,77,35.86,497,1386
132,133,133,Brian Vranesh,51,35.84,329,918
133,134,134,Tommy Armour III,58,35.82,374,1044
134,135,135,Brett Quigley,92,35.81,593,1656
135,136,136,D.J. Trahan,96,35.76,618,1728
136,137,137,Heath Slocum,95,35.67,610,1710
137,138,138,Jonathan Byrd,89,35.64,571,1602
138,139,139,John Senden,100,35.61,641,1800
139,140,140,Ted Purdy,101,35.53,646,1818
140,141,141,Chez Reavie,81,35.46,517,1458
141,142,142,Bart Bryant,58,35.34,369,1044
142,143,143,Chris Stroud,88,35.29,559,1584
143,144,144,Robert Garrigus,83,35.27,527,1494
144,145,145,Robert Allenby,71,35.16,443,1260
145,146,146,Will MacKenzie,69,35.1,436,1242
146,147,147,Corey Pavin,73,35.08,461,1314
147,148,148,Adam Scott,53,35.04,328,936
148,149,149,Peter Lonard,86,35.01,542,1548
149,150,150,Boo Weekley,79,34.99,485,1386
150,151,151,Troy Matteson,95,34.97,598,1710
151,152,152,Billy Mayfair,83,34.87,521,1494
152,153,153,Brendon Todd,53,34.8,332,954
153,T154,T154,Kris Blanks,60,34.72,375,1080
154,T154,T154,Darron Stiles,52,34.72,325,936
155,156,156,Jason Gore,74,34.61,461,1332
156,157,157,Rocco Mediate,79,34.46,490,1422
157,158,158,Charles Howell III,99,34.34,612,1782
158,159,159,Aron Price,89,34.33,550,1602
159,160,160,Greg Kraft,51,34.2,314,918
160,161,161,Briny Baird,89,34.14,547,1602
161,162,162,Matt Jones,56,34.03,343,1008
162,T163,T163,Mark Brooks,55,33.94,336,990
163,T163,T163,John Merrick,91,33.94,556,1638
164,165,165,Peter Tomasulo,61,33.7,370,1098
165,166,166,Colt Knost,71,33.65,430,1278
166,167,167,Rich Beem,77,33.55,465,1386
167,168,168,Kevin Stadler,65,33.42,391,1170
168,169,169,Glen Day,79,33.4,475,1422
169,170,170,Charles Warren,63,33.07,375,1134
170,171,171,J.J. Henry,97,33.05,577,1746
171,172,172,Rick Price,54,32.51,316,972
172,173,173,Greg Owen,97,32.36,565,1746
173,174,174,Kent Jones,73,32.34,425,1314
174,175,175,Casey Wittenberg,71,32.08,410,1278
175,176,176,Scott Sterling,51,31.37,288,918
176,177,177,Jarrod Lyle,65,31.28,366,1170
177,178,178,Joe Durant,62,30.91,345,1116
178,179,179,Patrick Sheehan,51,30.83,283,918
179,180,180,Tag Ridings,50,30.67,276,900
180,181,181,Gary Woodland,53,30.4,290,954
181,182,182,Ricky Barnes,67,29.77,359,1206
182,183,183,Jay Williamson,69,29.71,369,1242
183,184,184,Tom Lehman,55,28.89,286,990
