,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
82,T80,T80,Kirk Triplett,101,29.04,2701,93,23
83,T84,T84,Matt Gogel,86,29.05,2440,84,22
84,T84,T84,Craig Perks,82,29.05,2382,82,22
85,86,86,Dennis Paulson,82,29.06,2238,77,22
86,T87,T87,Gabriel Hjertstedt,86,29.07,2413,83,23
87,T87,T87,Greg Kraft,106,29.07,3081,106,23
88,T89,T89,David Duval,73,29.08,1832,63,24
89,T89,T89,Steve Gotsche,91,29.08,2588,89,22
90,T89,T89,Mike Hulbert,82,29.08,2326,80,23
91,T92,T92,Robert Allenby,98,29.09,2618,90,23
92,T92,T92,Craig Spence,89,29.09,2473,85,20
93,T92,T92,Kevin Sutherland,98,29.09,2734,94,23
94,95,95,Dan Forsman,88,29.1,2561,88,23
95,T96,T96,Bobby Cochran,78,29.11,2212,76,23
96,T96,T96,Brad Elder,110,29.11,3202,110,22
97,98,98,Edward Fryatt,101,29.13,2826,97,23
98,T99,T99,Mark Calcavecchia,99,29.14,2564,88,22
99,T99,T99,Chris DiMarco,118,29.14,3264,112,24
100,T99,T99,Carl Paulson,105,29.14,3001,103,23
101,T102,T102,Michael Clark II,84,29.15,2332,80,24
102,T102,T102,Tom Scherrer,104,29.15,2886,99,22
103,T102,T102,Omar Uresti,94,29.15,2740,94,23
104,T105,T105,Nick Faldo,51,29.16,1312,45,22
105,T105,T105,Scott Hoch,108,29.16,3033,104,23
106,T107,T107,Jimmy Green,85,29.17,2421,83,24
107,T107,T107,Mark Wiebe,95,29.17,2684,92,22
108,T109,T109,Russ Cochran,71,29.18,2072,71,24
109,T109,T109,Tim Herron,96,29.18,2685,92,23
110,T111,T111,Harrison Frazar,72,29.19,2043,70,24
111,T111,T111,Jay Haas,80,29.19,2248,77,22
112,T113,T113,Mike Brisky,89,29.21,2512,86,22
113,T113,T113,Tom Byrum,91,29.21,2600,89,20
114,T115,T115,Blaine McCallister,104,29.22,3039,104,23
115,T115,T115,David Morland IV,88,29.22,2513,86,24
116,T115,T115,Grant Waite,85,29.22,2484,85,25
117,118,118,Emlyn Aubrey,68,29.23,1871,64,25
118,119,119,Charles Raulerson,98,29.24,2866,98,24
119,120,120,Robin Freeman,98,29.26,2867,98,24
120,T121,T121,Craig Barlow,98,29.27,2810,96,23
121,T121,T121,Bob Burns,91,29.27,2605,89,24
122,T121,T121,Joel Edwards,99,29.27,2898,99,23
123,T121,T121,David Toms,113,29.27,3073,105,23
124,125,125,Hal Sutton,93,29.28,2547,87,23
125,T126,T126,K.J. Choi,92,29.29,2607,89,23
126,T126,T126,Trevor Dodds,86,29.29,2460,84,22
127,T128,T128,Scott Dunlap,106,29.3,3047,104,25
128,T128,T128,Steve Pate,97,29.3,2578,88,22
129,T130,T130,Ronnie Black,82,29.32,2316,79,23
130,T130,T130,P.H. Horgan III,65,29.32,1906,65,24
131,132,132,Craig Stadler,70,29.33,1936,66,23
132,T133,T133,Neal Lancaster,99,29.34,2787,95,23
133,T133,T133,J.L. Lewis,104,29.34,2993,102,23
134,T133,T133,Craig Parry,73,29.34,1907,65,24
135,136,136,Doug Dunakey,83,29.35,2348,80,23
136,137,137,Fred Funk,110,29.36,3141,107,23
137,T138,T138,Jay Delsing,97,29.37,2731,93,23
138,T138,T138,Dudley Hart,74,29.37,2085,71,21
139,T138,T138,Joe Ozaki,55,29.37,1498,51,24
140,T141,T141,Peter Jacobsen,65,29.38,1910,65,23
141,T141,T141,Bob May,95,29.38,2556,87,22
142,T141,T141,Mike Reid,76,29.38,2115,72,22
143,144,144,Bob Tway,91,29.39,2557,87,24
144,T145,T145,Shaun Micheel,94,29.4,2675,91,24
145,T145,T145,Frank Nobilo,98,29.4,2793,95,24
146,147,147,Brian Watts,89,29.41,2588,88,24
147,T148,T148,Doug Barron,85,29.43,2413,82,24
148,T148,T148,Jason Caron,77,29.43,2207,75,22
149,T148,T148,David Peoples,99,29.43,2914,99,25
150,T148,T148,David Sutherland,109,29.43,3061,104,23
151,152,152,Dicky Pride,98,29.44,2767,94,25
152,153,153,Robert Gamez,76,29.47,2240,76,25
153,154,154,Cameron Beckman,81,29.48,2388,81,23
154,155,155,Kenny Perry,76,29.49,2241,76,23
155,156,156,Woody Austin,104,29.5,2980,101,22
156,157,157,John Daly,71,29.55,2039,69,23
157,158,158,Brandel Chamblee,72,29.56,2069,70,25
158,159,159,Rocco Mediate,79,29.57,2129,72,23
159,160,160,Jeff Maggert,86,29.58,2307,78,23
160,T161,T161,Ben Bates,107,29.59,3077,104,23
161,T161,T161,Notah Begay III,82,29.59,2190,74,21
162,T161,T161,Eric Booker,87,29.59,2515,85,24
163,164,164,Chris Perry,109,29.6,3049,103,23
164,165,165,Gary Nicklaus,84,29.61,2428,82,24
165,T166,T166,Olin Browne,103,29.62,2932,99,24
166,T166,T166,Barry Cheesman,96,29.62,2755,93,23
167,168,168,Joey Sindelar,88,29.63,2489,84,24
168,169,169,Tommy Armour III,91,29.66,2640,89,24
169,T170,T170,Fulton Allem,77,29.67,2225,75,24
170,T170,T170,Fred Couples,71,29.67,1958,66,23
171,T170,T170,Vijay Singh,97,29.67,2611,88,23
172,173,173,Duffy Waldorf,80,29.69,2227,75,23
173,T174,T174,Rich Beem,84,29.72,2407,81,23
174,T174,T174,Jeff Gove,86,29.72,2437,82,24
175,176,176,Jason Buha,82,29.73,2438,82,25
176,177,177,Bart Bryant,73,29.74,2171,73,23
177,178,178,Casey Martin,90,29.75,2618,88,24
178,T179,T179,Craig Bowden,54,29.78,1608,54,23
179,T179,T179,Glen Hnatiuk,94,29.78,2680,90,22
180,181,181,Billy Mayfair,93,29.82,2624,88,25
181,T182,T182,Brandt Jobe,91,29.86,2628,88,24
182,T182,T182,John Rollins,72,29.86,2150,72,24
183,T184,T184,Aaron Bengoechea,75,29.89,2182,73,24
184,T184,T184,Bradley Hughes,93,29.89,2690,90,24
185,186,186,Mathew Goggin,91,29.9,2661,89,21
186,T187,T187,Tom Lehman,71,29.91,1944,65,25
187,T187,T187,Perry Moss,53,29.91,1585,53,24
188,189,189,John Cook,90,29.93,2634,88,24
189,190,190,Joe Durant,94,29.97,2817,94,23
190,191,191,Scott Gump,108,30.11,3162,105,23
191,T192,T192,Steve Elkington,59,30.22,1632,54,25
192,T192,T192,Nolan Henke,79,30.22,2387,79,26
193,194,194,Tom Purtzer,58,30.38,1701,56,26
194,195,195,Kelly Gibson,84,30.65,2513,82,24
