,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
34,T35,T35,Jim Carter,96,1.557,2634,1692
35,T35,T35,Steve Pate,97,1.557,2578,1656
36,37,37,Brad Faxon,98,1.558,2693,1728
37,T38,T38,Notah Begay III,82,1.56,2190,1404
38,T38,T38,Bob May,95,1.56,2556,1638
39,T40,T40,Steve Elkington,59,1.5630000000000002,1632,1044
40,T40,T40,Jeff Maggert,86,1.5630000000000002,2307,1476
41,T40,T40,Ted Tryba,112,1.5630000000000002,3122,1998
42,T43,T43,Carlos Franco,85,1.565,2367,1512
43,T43,T43,John Huston,81,1.565,2254,1440
44,T43,T43,Tom Lehman,71,1.565,1944,1242
45,46,46,David Toms,113,1.5659999999999998,3073,1962
46,T47,T47,Lee Janzen,92,1.57,2572,1638
47,T47,T47,Joe Ozaki,55,1.57,1498,954
48,T49,T49,Paul Curry,64,1.577,1817,1152
49,T49,T49,Vijay Singh,97,1.577,2611,1656
50,T51,T51,Billy Andrade,89,1.578,2442,1548
51,T51,T51,Scott Verplank,106,1.578,3011,1908
52,53,53,Paul Goydos,99,1.58,2759,1746
53,T54,T54,Jonathan Kaye,115,1.581,3188,2016
54,T54,T54,Scott McCarron,100,1.581,2789,1764
55,T56,T56,Rick Fehr,73,1.5819999999999999,2022,1278
56,T56,T56,Mike Springer,83,1.5819999999999999,2307,1458
57,58,58,Larry Mize,71,1.5859999999999999,1970,1242
58,T59,T59,Dudley Hart,74,1.587,2085,1314
59,T59,T59,Tim Herron,96,1.587,2685,1692
60,T59,T59,Tom Scherrer,104,1.587,2886,1818
61,62,62,Rory Sabbatini,85,1.589,2374,1494
62,T63,T63,Robert Damron,93,1.59,2604,1638
63,T63,T63,Hal Sutton,93,1.59,2547,1602
64,T65,T65,Chris DiMarco,118,1.591,3264,2052
65,T65,T65,Tommy Tolles,60,1.591,1718,1080
66,67,67,Bob Heintz,87,1.5930000000000002,2437,1530
67,T68,T68,Brian Gay,101,1.594,2840,1782
68,T68,T68,Kevin Wentworth,83,1.594,2295,1440
69,T70,T70,John Daly,71,1.595,2039,1278
70,T70,T70,Glen Day,93,1.595,2641,1656
71,T70,T70,Brad Fabel,88,1.595,2527,1584
72,T70,T70,Chris Riley,98,1.595,2698,1692
73,T70,T70,Paul Stankowski,77,1.595,2096,1314
74,75,75,Bob Tway,91,1.5959999999999999,2557,1602
75,T76,T76,Scott Dunlap,106,1.597,3047,1908
76,T76,T76,Frank Lickliter II,107,1.597,3018,1890
77,78,78,Skip Kendall,114,1.599,3223,2016
78,T79,T79,Chip Beck,51,1.6,1411,882
79,T79,T79,Jay Don Blake,95,1.6,2678,1674
80,T79,T79,Tom Pernice Jr.,98,1.6,2764,1728
81,T82,T82,Fred Funk,110,1.601,3141,1962
82,T82,T82,Franklin Langham,95,1.601,2623,1638
83,T82,T82,Len Mattiace,107,1.601,3083,1926
84,T85,T85,Michael Bradley,73,1.6030000000000002,2106,1314
85,T85,T85,Steve Lowery,107,1.6030000000000002,3001,1872
86,T87,T87,Sean Murphy,102,1.604,2888,1800
87,T87,T87,David Sutherland,109,1.604,3061,1908
88,T89,T89,Steve Hart,72,1.605,2022,1260
89,T89,T89,Keith Nolan,57,1.605,1647,1026
90,T91,T91,Joe Ogilvie,95,1.6059999999999999,2631,1638
91,T91,T91,Jay Williamson,105,1.6059999999999999,2948,1836
92,93,93,Brent Geiberger,79,1.607,2169,1350
93,T94,T94,Bill Glasson,93,1.608,2692,1674
94,T94,T94,John Maginnes,99,1.608,2866,1782
95,T94,T94,Jerry Smith,104,1.608,2924,1818
96,T94,T94,Esteban Toledo,113,1.608,3213,1998
97,T98,T98,Stephen Ames,99,1.609,2752,1710
98,T98,T98,J.P. Hayes,91,1.609,2577,1602
99,T98,T98,Jerry Kelly,111,1.609,3215,1998
100,T101,T101,Bob Friend,96,1.61,2666,1656
101,T101,T101,Jim McGovern,55,1.61,1536,954
102,T103,T103,Greg Chalmers,96,1.611,2668,1656
103,T103,T103,Brian Henninger,93,1.611,2581,1602
104,T105,T105,Brett Quigley,63,1.6119999999999999,1828,1134
105,T105,T105,Mike Sposa,73,1.6119999999999999,2118,1314
106,T105,T105,"Dave Stockton, Jr.",89,1.6119999999999999,2524,1566
107,T108,T108,Ryan Howison,83,1.6130000000000002,2352,1458
108,T108,T108,Pete Jordan,102,1.6130000000000002,2962,1836
109,T108,T108,Andrew Magee,78,1.6130000000000002,2120,1314
110,T108,T108,Chris Perry,109,1.6130000000000002,3049,1890
111,T112,T112,Matt Gogel,86,1.614,2440,1512
112,T112,T112,Craig Perks,82,1.614,2382,1476
113,T114,T114,Steve Gotsche,91,1.615,2588,1602
114,T114,T114,Gabriel Hjertstedt,86,1.615,2413,1494
115,T114,T114,Mike Hulbert,82,1.615,2326,1440
116,T114,T114,Greg Kraft,106,1.615,3081,1908
117,T118,T118,Craig Spence,89,1.6159999999999999,2473,1530
118,T118,T118,Kevin Sutherland,98,1.6159999999999999,2734,1692
119,T120,T120,Bobby Cochran,78,1.617,2212,1368
120,T120,T120,Brad Elder,110,1.617,3202,1980
121,T120,T120,Dan Forsman,88,1.617,2561,1584
122,T123,T123,Michael Clark II,84,1.619,2332,1440
123,T123,T123,Edward Fryatt,101,1.619,2826,1746
124,T123,T123,Carl Paulson,105,1.619,3001,1854
125,T123,T123,Omar Uresti,94,1.619,2740,1692
126,T127,T127,Jimmy Green,85,1.62,2421,1494
127,T127,T127,Scott Hoch,108,1.62,3033,1872
128,T129,T129,Russ Cochran,71,1.621,2072,1278
129,T129,T129,Harrison Frazar,72,1.621,2043,1260
130,T129,T129,Mark Wiebe,95,1.621,2684,1656
131,132,132,Jay Haas,80,1.6219999999999999,2248,1386
132,T133,T133,Mike Brisky,89,1.6230000000000002,2512,1548
133,T133,T133,Tom Byrum,91,1.6230000000000002,2600,1602
134,T133,T133,Blaine McCallister,104,1.6230000000000002,3039,1872
135,T133,T133,David Morland IV,88,1.6230000000000002,2513,1548
136,T137,T137,Emlyn Aubrey,68,1.624,1871,1152
137,T137,T137,Grant Waite,85,1.624,2484,1530
138,T139,T139,Robin Freeman,98,1.625,2867,1764
139,T139,T139,Charles Raulerson,98,1.625,2866,1764
140,T141,T141,Craig Barlow,98,1.626,2810,1728
141,T141,T141,Bob Burns,91,1.626,2605,1602
142,T141,T141,Joel Edwards,99,1.626,2898,1782
143,T144,T144,K.J. Choi,92,1.6269999999999998,2607,1602
144,T144,T144,Trevor Dodds,86,1.6269999999999998,2460,1512
145,T146,T146,Ronnie Black,82,1.629,2316,1422
146,T146,T146,P.H. Horgan III,65,1.629,1906,1170
147,T148,T148,Neal Lancaster,99,1.63,2787,1710
148,T148,T148,J.L. Lewis,104,1.63,2993,1836
149,T148,T148,Craig Stadler,70,1.63,1936,1188
150,T151,T151,Jay Delsing,97,1.631,2731,1674
151,T151,T151,Doug Dunakey,83,1.631,2348,1440
152,T153,T153,Peter Jacobsen,65,1.632,1910,1170
153,T153,T153,Mike Reid,76,1.632,2115,1296
154,T155,T155,Shaun Micheel,94,1.633,2675,1638
155,T155,T155,Frank Nobilo,98,1.633,2793,1710
156,157,157,Brian Watts,89,1.6340000000000001,2588,1584
157,T158,T158,Doug Barron,85,1.635,2413,1476
158,T158,T158,Jason Caron,77,1.635,2207,1350
159,T158,T158,David Peoples,99,1.635,2914,1782
160,T158,T158,Dicky Pride,98,1.635,2767,1692
161,162,162,Robert Gamez,76,1.6369999999999998,2240,1368
162,T163,T163,Cameron Beckman,81,1.6380000000000001,2388,1458
163,T163,T163,Kenny Perry,76,1.6380000000000001,2241,1368
164,165,165,Woody Austin,104,1.639,2980,1818
165,166,166,Brandel Chamblee,72,1.642,2069,1260
166,T167,T167,Ben Bates,107,1.6440000000000001,3077,1872
167,T167,T167,Eric Booker,87,1.6440000000000001,2515,1530
168,T169,T169,Olin Browne,103,1.645,2932,1782
169,T169,T169,Gary Nicklaus,84,1.645,2428,1476
170,T171,T171,Barry Cheesman,96,1.646,2755,1674
171,T171,T171,Joey Sindelar,88,1.646,2489,1512
172,T173,T173,Fulton Allem,77,1.6480000000000001,2225,1350
173,T173,T173,Tommy Armour III,91,1.6480000000000001,2640,1602
174,175,175,Duffy Waldorf,80,1.65,2227,1350
175,T176,T176,Rich Beem,84,1.651,2407,1458
176,T176,T176,Jeff Gove,86,1.651,2437,1476
177,T178,T178,Bart Bryant,73,1.652,2171,1314
178,T178,T178,Jason Buha,82,1.652,2438,1476
179,180,180,Casey Martin,90,1.653,2618,1584
180,T181,T181,Craig Bowden,54,1.6540000000000001,1608,972
181,T181,T181,Glen Hnatiuk,94,1.6540000000000001,2680,1620
182,183,183,Billy Mayfair,93,1.6569999999999998,2624,1584
183,T184,T184,Brandt Jobe,91,1.659,2628,1584
184,T184,T184,John Rollins,72,1.659,2150,1296
185,186,186,Bradley Hughes,93,1.66,2690,1620
186,T187,T187,Aaron Bengoechea,75,1.661,2182,1314
187,T187,T187,Mathew Goggin,91,1.661,2721,1638
188,T187,T187,Perry Moss,53,1.661,1585,954
189,190,190,John Cook,90,1.663,2634,1584
190,191,191,Joe Durant,94,1.665,2817,1692
191,192,192,Scott Gump,108,1.673,3162,1890
192,193,193,Nolan Henke,79,1.679,2387,1422
193,194,194,Tom Purtzer,58,1.6880000000000002,1701,1008
194,195,195,Kelly Gibson,84,1.703,2513,1476
