,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
108,109,109,Alex Cejka,81,14.13,26,184
109,110,110,Steve Lowery,67,14.07,28,199
110,111,111,Ryuji Imada,90,14.05,43,306
111,112,112,David Duval,71,14.03,31,221
112,T113,T113,Scott McCarron,90,14.02,37,264
113,T113,T113,Nicholas Thompson,88,14.02,37,264
114,115,115,Matt Kuchar,97,13.99,34,243
115,116,116,Ted Purdy,86,13.98,39,279
116,117,117,Derek Lamely,81,13.94,40,287
117,118,118,Jeff Quinney,91,13.88,34,245
118,119,119,Lee Janzen,77,13.87,38,274
119,120,120,Will MacKenzie,72,13.84,31,224
120,121,121,Steve Marino,81,13.81,33,239
121,122,122,Brian Gay,101,13.73,28,204
122,T123,T123,Chad Collins,87,13.69,36,263
123,T123,T123,Johnson Wagner,85,13.69,33,241
124,125,125,David Lutterus,69,13.66,31,227
125,126,126,Charles Warren,64,13.59,25,184
126,127,127,Chris Wilson,65,13.5,27,200
127,128,128,Andrew McLardy,52,13.41,22,164
128,129,129,Heath Slocum,97,13.33,26,195
129,130,130,Paul Goydos,78,13.3,25,188
130,131,131,Tim Clark,88,13.29,23,173
131,132,132,Pat Perez,90,13.28,34,256
132,133,133,Scott Verplank,74,13.25,22,166
133,134,134,Brendon de Jonge,114,13.24,38,287
134,135,135,Justin Bolli,55,13.22,16,121
135,136,136,Brian Davis,101,13.19,38,288
136,137,137,Michael Bradley,77,13.1,33,252
137,138,138,David Toms,86,13.09,25,191
138,139,139,Michael Connell,89,13.06,35,268
139,140,140,Vaughn Taylor,87,13.01,32,246
140,T141,T141,Kris Blanks,91,12.97,31,239
141,T141,T141,John Merrick,109,12.97,38,293
142,143,143,Tom Pernice Jr.,74,12.95,25,193
143,144,144,Matt Bettencourt,91,12.91,39,302
144,145,145,Stuart Appleby,101,12.82,45,351
145,146,146,Jerry Kelly,99,12.76,31,243
146,147,147,Tim Petrovic,105,12.7,39,307
147,148,148,Joe Ogilvie,99,12.68,43,339
148,T149,T149,John Mallinger,78,12.63,24,190
149,T149,T149,Charlie Wi,95,12.63,37,293
150,151,151,Troy Matteson,84,12.5,37,296
151,152,152,Rocco Mediate,71,12.36,22,178
152,153,153,Jeff Gove,57,12.33,18,146
153,154,154,Carl Pettersson,99,12.32,35,284
154,155,155,Rod Pampling,77,12.29,29,236
155,156,156,Kevin Na,94,12.18,33,271
156,157,157,Steve Elkington,74,12.04,23,191
157,158,158,Mathew Goggin,85,12.0,30,250
158,159,159,Richard Johnson,90,11.96,25,209
159,160,160,Joe Durant,67,11.94,16,134
160,161,161,Brenden Pappas,66,11.91,28,235
161,162,162,Trevor Immelman,55,11.84,18,152
162,163,163,J.P. Hayes,79,11.82,26,220
163,164,164,Roger Tambellini,77,11.76,26,221
164,165,165,Ryan Moore,80,11.5,23,200
165,166,166,Kevin Johnson,62,11.49,20,174
166,167,167,Freddie Jacobson,83,11.31,32,283
167,168,168,Brent Delahoussaye,57,11.19,16,143
168,169,169,Jim Furyk,76,11.17,20,179
169,170,170,Vance Veazey,58,11.11,21,189
170,171,171,Jeev Milkha Singh,59,11.05,21,190
171,172,172,Mark Wilson,87,11.02,26,236
172,173,173,Kenny Perry,69,10.71,18,168
173,174,174,Brian Stuard,81,10.64,25,235
174,175,175,Omar Uresti,74,10.63,17,160
175,176,176,Ian Poulter,55,10.61,14,132
176,177,177,Chris Riley,73,10.45,21,201
177,T178,T178,Briny Baird,87,10.39,29,279
178,T178,T178,Josh Teater,101,10.39,32,308
179,180,180,Tim Herron,79,10.32,32,310
180,181,181,Boo Weekley,88,10.29,25,243
181,182,182,Greg Owen,69,10.28,22,214
182,183,183,Craig Bowden,56,10.07,14,139
183,184,184,Aron Price,70,10.05,19,189
184,T185,T185,Cameron Beckman,68,9.55,21,220
185,T185,T185,Shaun Micheel,70,9.55,19,199
186,187,187,Ben Curtis,78,9.18,18,196
187,188,188,Rich Barcelo,70,9.13,23,252
188,189,189,Brad Faxon,58,8.47,16,189
189,190,190,Greg Kraft,52,8.33,11,132
190,191,191,Mike Weir,59,8.14,14,172
191,192,192,Skip Kendall,58,6.3,8,127
