,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
161,T162,53,Ben Crane,85,76,The Greenbrier Classic,1,17
162,T162,163,Michael Connell,89,76,Children's Miracle Network Classic,4,8
163,T162,131,Rickie Fowler,98,76,the Memorial Tournament presented by Nationwide Insurance,1,7
164,T165,165,James Driscoll,78,74,RBC Canadian Open,1,9
165,T165,22,Paul Goydos,78,74,Quail Hollow Championship,1,8
166,167,167,Casey Wittenberg,4,70,St. Jude Classic presented by Smith & Nephew,3,3
167,T168,34,Kenny Perry,69,67,HP Byron Nelson Championship,2,10
168,T168,77,Tim Clark,88,67,Northern Trust Open,4,10
169,170,170,Jim Furyk,76,64,World Golf Championships-Bridgestone Invitational,4,2
170,T171,36,Justin Leonard,89,63,Deutsche Bank Championship,1,18
171,T171,172,Aaron Baddeley,94,63,Wyndham Championship,1,8
172,173,92,Stewart Cink,84,61,SBS Championship,2,9
173,174,174,Brian Stuard,81,57,Sony Open in Hawaii,3,15
174,175,38,Billy Mayfair,78,55,The McGladrey Classic,4,5
175,176,153,Lee Janzen,77,54,Waste Management Phoenix Open,3,17
176,T177,177,Charles Howell III,103,53,Justin Timberlake Shriners Hospitals for Children Open,1,13
177,T177,37,Ernie Els,72,53,Arnold Palmer Invitational presented by MasterCard,4,9
178,T179,36,Justin Leonard,89,51,Shell Houston Open,3,8
179,T179,180,Brett Quigley,96,51,The McGladrey Classic,4,7
180,181,181,Scott Piercy,88,50,Quail Hollow Championship,2,8
181,182,182,Tyson Shinaut,2,49,Zurich Classic of New Orleans,1,13
182,183,183,James Nitties,92,48,The Greenbrier Classic,1,10
183,184,12,Jason Dufner,87,47,The Barclays,2,3
184,185,185,John Daly,63,46,Transitions Championship,4,14
185,186,186,Eric Axley,16,45,Valero Texas Open,2,14
186,187,75,Trevor Immelman,55,44,Verizon Heritage,3,15
187,T188,30,Chez Reavie,44,43,Valero Texas Open,3,17
188,T188,157,John Rollins,81,43,SBS Championship,1,17
189,T190,4,Robert Allenby,76,42,BMW Championship,3,10
190,T190,63,Josh Teater,101,42,Justin Timberlake Shriners Hospitals for Children Open,2,13
191,T190,65,Steve Flesch,78,42,The Honda Classic,1,18
192,T193,193,Paul Stankowski,62,41,Wyndham Championship,2,14
193,T193,194,J.P. Hayes,79,41,Transitions Championship,1,1
194,T193,195,Derek Lamely,81,41,Wyndham Championship,2,15
195,T193,196,Steve Marino,81,41,World Golf Championships-CA Championship,1,10
196,T193,197,Fran Quinn,19,41,Zurich Classic of New Orleans,4,8
197,T193,198,Robert Garrigus,71,41,AT&T Pebble Beach National Pro-Am,4,18
198,T193,199,Shaun Micheel,70,41,Turning Stone Resort Championship,2,12
199,200,5,Webb Simpson,98,40,Northern Trust Open,3,15
