,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
109,T109,T109,Omar Uresti,74,0.042,2.543,61
110,111,111,Tim Petrovic,105,0.031,2.9139999999999997,94
111,112,112,Jay Williamson,76,0.027999999999999997,1.726,61
112,T113,T113,J.B. Holmes,100,0.026000000000000002,2.322,88
113,T113,T113,Ryan Moore,80,0.026000000000000002,1.578,61
114,115,115,Robert Garrigus,71,0.025,1.516,61
115,T116,T116,John Merrick,109,0.01,0.927,92
116,T116,T116,Ryan Palmer,84,0.01,0.708,71
117,118,118,Richard Johnson,90,0.006,0.446,73
118,119,119,Trevor Immelman,55,0.005,0.20600000000000002,43
119,120,120,Pat Perez,90,-0.001,-0.059000000000000004,83
120,121,121,Steve Marino,81,-0.016,-1.0090000000000001,63
121,122,122,Cameron Beckman,68,-0.02,-1.17,59
122,123,123,Ángel Cabrera,64,-0.027000000000000003,-1.3940000000000001,51
123,124,124,Jeff Gove,57,-0.045,-1.96,44
124,125,125,Webb Simpson,98,-0.046,-4.189,92
125,126,126,Cameron Tringale,55,-0.055,-2.48,45
126,127,127,Jeff Maggert,76,-0.06,-3.801,63
127,128,128,Scott Piercy,88,-0.065,-5.268,81
128,T129,T129,Brenden Pappas,66,-0.07400000000000001,-4.058,55
129,T129,T129,John Rollins,81,-0.07400000000000001,-5.574,75
130,131,131,Vance Veazey,58,-0.084,-4.0360000000000005,48
131,132,132,Roland Thatcher,72,-0.095,-6.434,68
132,133,133,Andres Romero,73,-0.10099999999999999,-7.2829999999999995,72
133,134,134,Greg Owen,69,-0.10300000000000001,-6.404,62
134,135,135,Brent Delahoussaye,57,-0.114,-5.348,47
135,136,136,Chad Collins,87,-0.11599999999999999,-8.728,75
136,137,137,Michael Letzig,84,-0.121,-9.673,80
137,138,138,Jeev Milkha Singh,59,-0.139,-7.205,52
138,139,139,Josh Teater,101,-0.142,-13.074000000000002,92
139,140,140,Carl Pettersson,99,-0.152,-12.629000000000001,83
140,T141,T141,Mathew Goggin,85,-0.177,-13.435,76
141,T141,T141,Chris Riley,73,-0.177,-11.145999999999999,63
142,T143,T143,J.J. Henry,92,-0.19,-15.032,79
143,T143,T143,Joe Ogilvie,99,-0.19,-16.35,86
144,145,145,Steve Elkington,74,-0.191,-11.274000000000001,59
145,146,146,Nathan Green,86,-0.192,-15.571,81
146,147,147,Ryuji Imada,90,-0.207,-17.369,84
147,148,148,Tim Herron,79,-0.21100000000000002,-14.569,69
148,149,149,Rory Sabbatini,79,-0.218,-14.618,67
149,150,150,Matt Jones,89,-0.21899999999999997,-17.519000000000002,80
150,151,151,Roger Tambellini,77,-0.235,-14.597999999999999,62
151,T152,T152,Mathias Grönberg,61,-0.23600000000000002,-11.790999999999999,50
152,T152,T152,Kevin Streelman,90,-0.23600000000000002,-18.881,80
153,154,154,Michael Sim,64,-0.237,-12.567,53
154,155,155,Chris Couch,66,-0.242,-14.274000000000001,59
155,156,156,Y.E. Yang,72,-0.252,-14.6,58
156,157,157,James Driscoll,78,-0.26,-19.245,74
157,158,158,Bill Lunde,79,-0.263,-17.63,67
158,T159,T159,Matt Every,60,-0.292,-14.899000000000001,51
159,T159,T159,Mark Wilson,87,-0.292,-23.044,79
160,161,161,Tom Gillis,97,-0.297,-26.69,90
161,162,162,Alex Prugh,88,-0.304,-24.348000000000003,80
162,163,163,Steve Lowery,67,-0.31,-17.333,56
163,164,164,John Mallinger,78,-0.32299999999999995,-21.011,65
164,165,165,Derek Lamely,81,-0.332,-21.237,64
165,166,166,Rod Pampling,77,-0.35600000000000004,-24.896,70
166,167,167,John Daly,63,-0.374,-17.566,47
167,168,168,J.P. Hayes,79,-0.4,-27.179000000000002,68
168,169,169,Ted Purdy,86,-0.405,-30.34,75
169,170,170,David Lutterus,69,-0.439,-24.564,56
170,171,171,Jarrod Lyle,54,-0.441,-20.289,46
171,172,172,Troy Merritt,86,-0.45,-34.678000000000004,77
172,173,173,Craig Bowden,56,-0.45799999999999996,-22.005,48
173,174,174,Justin Bolli,55,-0.46299999999999997,-19.436,42
174,175,175,Steve Flesch,78,-0.493,-32.034,65
175,176,176,Chris Tidland,77,-0.508,-34.547,68
176,177,177,Scott McCarron,90,-0.529,-43.88,83
177,178,178,Andrew McLardy,52,-0.536,-23.585,44
178,179,179,Martin Flores,75,-0.5529999999999999,-35.393,64
179,180,180,Greg Kraft,52,-0.5720000000000001,-22.319000000000003,39
180,181,181,Brad Faxon,58,-0.622,-29.869,48
181,182,182,Chris Wilson,65,-0.629,-32.688,52
182,183,183,Steve Wheatcroft,74,-0.65,-37.689,58
183,184,184,Skip Kendall,58,-0.6509999999999999,-31.895,49
184,185,185,Ian Poulter,55,-0.655,-22.261999999999997,34
185,186,186,Blake Adams,84,-0.726,-54.425,75
186,187,187,Brian Stuard,81,-0.77,-54.70399999999999,71
187,188,188,Aaron Baddeley,94,-0.797,-70.141,88
188,189,189,Matt Bettencourt,91,-0.831,-58.16,70
189,190,190,Kevin Johnson,62,-0.895,-43.863,49
190,191,191,Daniel Chopra,74,-1.07,-71.65899999999999,67
191,192,192,Jerod Turner,54,-1.179,-47.168,40
