,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
87,88,88,Ángel Cabrera,64,56.72,76,134,-79,+4.00
88,89,89,Brian Stuard,81,56.7,55,97,-58,-2.00
89,90,90,Chris Couch,66,56.64,81,143,-87,+2.00
90,91,91,Stephen Ames,75,56.6,60,106,-63,-3.00
91,92,92,Ryan Moore,80,56.59,73,129,-78,-3.00
92,93,93,Steve Elkington,74,56.57,56,99,-59,-7.00
93,94,94,D.J. Trahan,92,56.41,110,195,-119,-8.00
94,95,95,Henrik Bjornstad,72,56.35,71,126,-74,+2.00
95,96,96,John Daly,63,56.31,58,103,-63,+16.00
96,97,97,Heath Slocum,97,56.19,59,105,-62,-18.00
97,98,98,Derek Lamely,81,56.14,64,114,-72,+7.00
98,99,99,Charles Warren,64,56.06,74,132,-81,+3.00
99,100,100,Dustin Johnson,83,55.93,99,177,-109,-1.00
100,101,101,Ted Purdy,86,55.9,90,161,-92,+15.00
101,T102,T102,Brandt Snedeker,89,55.88,57,102,-63,-37.00
102,T102,T102,Kevin Sutherland,86,55.88,76,136,-84,-22.00
103,104,104,Jerry Kelly,99,55.81,72,129,-77,-21.00
104,105,105,Freddie Jacobson,83,55.66,59,106,-61,-13.00
105,T106,T106,Zach Johnson,93,55.65,69,124,-71,-25.00
106,T106,T106,Mark Wilson,87,55.65,69,124,-72,-18.00
107,T108,T108,Rickie Fowler,98,55.56,80,144,-87,-18.00
108,T108,T108,Spencer Levin,110,55.56,80,144,-82,-31.00
109,T110,T110,Matt Every,60,55.45,56,101,-59,+1.00
110,T110,T110,Carl Pettersson,99,55.45,61,110,-68,-13.00
111,112,112,Geoff Ogilvy,62,55.42,46,83,-47,-24.00
112,113,113,Scott Verplank,74,55.41,41,74,-44,-15.00
113,114,114,Adam Scott,70,55.36,62,112,-66,+3.00
114,115,115,Y.E. Yang,72,55.26,63,114,-66,-8.00
115,116,116,Chris Riley,73,55.13,43,78,-46,-21.00
116,117,117,Justin Bolli,55,55.1,27,49,-27,-3.00
117,118,118,James Nitties,92,55.03,82,149,-88,-21.00
118,119,119,John Senden,103,54.86,96,175,-99,-18.00
119,120,120,Scott Piercy,88,54.19,97,179,-107,+8.00
120,121,121,Michael Bradley,77,54.12,46,85,-47,-17.00
121,122,122,Brian Davis,101,54.07,73,135,-77,-19.00
122,123,123,Kevin Stadler,86,54.04,87,161,-94,-11.00
123,124,124,Hunter Mahan,85,54.0,81,150,-89,E
124,125,125,Jeff Overton,89,53.85,70,130,-74,-3.00
125,126,126,Ben Crane,85,53.76,50,93,-54,-21.00
126,127,127,D.A. Points,90,53.73,72,134,-76,-15.00
127,128,128,Chad Collins,87,53.7,58,108,-59,-26.00
128,T129,T129,Rory McIlroy,54,53.54,53,99,-58,+9.00
129,T129,T129,David Toms,86,53.54,53,99,-56,-29.00
130,131,131,J.J. Henry,92,53.42,78,146,-84,-19.00
131,132,132,Tim Herron,79,53.27,57,107,-59,-7.00
132,133,133,Greg Chalmers,93,53.23,66,124,-71,-38.00
133,134,134,Greg Owen,69,53.21,58,109,-60,+5.00
134,135,135,Mark Calcavecchia,50,53.13,34,64,-37,-1.00
135,136,136,Aron Price,70,53.1,60,113,-64,-14.00
136,T137,T137,Tom Pernice Jr.,74,53.03,35,66,-38,-34.00
137,T137,T137,Jay Williamson,76,53.03,35,66,-37,-15.00
138,T139,T139,Joe Durant,67,52.87,46,87,-51,-15.00
139,T139,T139,Jarrod Lyle,54,52.87,46,87,-48,-7.00
140,T141,T141,Ricky Barnes,103,52.7,78,148,-83,-13.00
141,T141,T141,Paul Goydos,78,52.7,39,74,-40,-26.00
142,T143,T143,Greg Kraft,52,52.63,20,38,-21,-11.00
143,T143,T143,Rod Pampling,77,52.63,70,133,-76,-1.00
144,T145,T145,Alex Cejka,81,52.58,51,97,-55,-15.00
145,T145,T145,Chris Wilson,65,52.58,51,97,-52,+10.00
146,147,147,Kris Blanks,91,52.55,72,137,-74,-3.00
147,148,148,Tim Petrovic,105,52.48,74,141,-76,-31.00
148,T149,T149,Cameron Percy,73,52.46,64,122,-66,+4.00
149,T149,T149,Charlie Wi,95,52.46,64,122,-68,-35.00
150,151,151,Chad Campbell,94,52.42,65,124,-67,-17.00
151,152,152,Robert Garrigus,71,52.35,78,149,-82,+10.00
152,153,153,Ben Curtis,78,52.17,36,69,-38,-25.00
153,154,154,Chris DiMarco,88,51.92,54,104,-57,-20.00
154,155,155,Dean Wilson,54,51.85,28,54,-28,-22.00
155,156,156,Roger Tambellini,77,51.79,58,112,-61,+11.00
156,157,157,Richard Johnson,90,51.72,45,87,-52,-23.00
157,158,158,David Duval,71,51.65,47,91,-49,-13.00
158,159,159,Brett Wetterich,54,51.64,63,122,-65,+1.00
159,160,160,Brenden Pappas,66,51.61,48,93,-50,-1.00
160,161,161,Garrett Willis,82,51.56,66,128,-69,-7.00
161,162,162,Andrew McLardy,52,51.47,35,68,-36,+8.00
162,163,163,Andres Romero,73,51.25,82,160,-91,+3.00
163,164,164,Troy Matteson,84,51.16,88,172,-92,-10.00
164,165,165,Cameron Beckman,68,51.11,46,90,-48,+10.00
165,166,166,Mathew Goggin,85,50.96,80,157,-86,E
166,167,167,Scott McCarron,90,50.88,87,171,-94,+2.00
167,168,168,Mathias Grönberg,61,50.5,51,101,-53,+1.00
168,169,169,Jimmy Walker,82,50.38,66,131,-69,+2.00
169,170,170,Boo Weekley,88,50.34,73,145,-81,+3.00
170,T171,T171,Brian Gay,101,50.0,34,68,-36,-57.00
171,T171,T171,Billy Mayfair,78,50.0,54,108,-58,-4.00
172,T171,T171,Ian Poulter,55,50.0,27,54,-29,+1.00
173,174,174,Ryuji Imada,90,49.56,56,113,-59,-38.00
174,175,175,Shaun Micheel,70,49.28,34,69,-35,-8.00
175,176,176,Will MacKenzie,72,49.24,65,132,-68,-8.00
176,177,177,Skip Kendall,58,49.15,29,59,-29,-9.00
177,178,178,Craig Bowden,56,48.65,18,37,-18,-6.00
178,179,179,Jeff Maggert,76,48.19,40,83,-42,-15.00
179,180,180,David Lutterus,69,48.0,48,100,-50,+8.00
180,181,181,Cameron Tringale,55,47.83,44,92,-47,-3.00
181,182,182,Kevin Johnson,62,47.62,30,63,-31,+18.00
182,183,183,Steve Lowery,67,47.57,49,103,-51,+8.00
183,184,184,Roland Thatcher,72,46.83,59,126,-62,-5.00
184,185,185,Jerod Turner,54,46.81,22,47,-24,E
185,186,186,Jeev Milkha Singh,59,46.75,36,77,-38,+2.00
186,187,187,Jeff Gove,57,45.83,33,72,-35,+6.00
187,188,188,Brent Delahoussaye,57,45.65,21,46,-22,-3.00
188,189,189,Vance Veazey,58,45.61,26,57,-28,+12.00
189,190,190,Nicholas Thompson,88,43.83,71,162,-76,+1.00
190,191,191,Brad Faxon,58,42.11,16,38,-18,-19.00
191,192,192,Omar Uresti,74,40.74,22,54,-23,-25.00
