,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
37,T38,T38,Brendon de Jonge,32,252.9,1420496.0,156
38,T38,T38,Retief Goosen,19,252.9,974062.0,107
39,T38,T38,Tim Herron,24,252.9,974209.0,107
40,T41,T41,Garth Mulroy,19,253.1,856404.0,94
41,T41,T41,Webb Simpson,31,253.1,1193416.0,131
42,43,43,Steve Marino,24,253.2,1075673.0,118
43,44,44,Daniel Chopra,28,253.4,1194816.0,131
44,45,45,Charles Howell III,28,253.5,1478525.0,162
45,T46,T46,Jason Bohn,25,253.6,1022700.0,112
46,T46,T46,Heath Slocum,25,253.6,958460.0,105
47,48,48,Matt Kuchar,26,253.7,1278398.0,140
48,49,49,Y.E. Yang,21,253.8,1041751.0,114
49,50,50,Sean O'Hair,25,253.9,1197283.0,131
50,51,51,Kevin Streelman,28,254.0,1445035.0,158
51,T52,T52,Rickie Fowler,28,254.2,1317763.0,144
52,T52,T52,Robert Garrigus,22,254.2,1363529.0,149
53,T52,T52,Justin Leonard,27,254.2,668057.0,73
54,T55,T55,Matt Every,18,254.3,924545.0,101
55,T55,T55,Brenden Pappas,24,254.3,851333.0,93
56,57,57,Nick Watney,24,254.4,1483763.0,162
57,T58,T58,Briny Baird,28,254.7,1035950.0,113
58,T58,T58,Paul Casey,17,254.7,733555.0,80
59,T58,T58,Phil Mickelson,20,254.7,1338806.0,146
60,T58,T58,Bryce Molder,26,254.7,724426.0,79
61,62,62,Ryan Moore,24,254.8,1183102.0,129
62,T63,T63,Ernie Els,20,254.9,981958.0,107
63,T63,T63,Martin Laird,26,254.9,1734200.0,189
64,65,65,Jason Day,24,255.0,1312711.0,143
65,66,66,Mathias Grönberg,22,255.1,927511.0,101
66,67,67,Jimmy Walker,27,255.2,1203398.0,131
67,T68,T68,Jason Dufner,25,255.3,1139695.0,124
68,T68,T68,Jerry Kelly,29,255.3,1185429.0,129
69,T68,T68,Vijay Singh,24,255.3,937528.0,102
70,T68,T68,Brett Wetterich,16,255.3,1121496.0,122
71,T72,T72,Troy Matteson,28,255.4,1581451.0,172
72,T72,T72,Brian Stuard,28,255.4,891980.0,97
73,74,74,Ryuji Imada,28,255.5,1039556.0,113
74,75,75,Justin Bolli,23,255.6,450852.0,49
75,76,76,John Merrick,31,255.8,1565702.0,170
76,T77,T77,Alex Cejka,28,256.0,893923.0,97
77,T77,T77,Freddie Jacobson,24,256.0,976971.0,106
78,T77,T77,Greg Kraft,22,256.0,350215.0,38
79,T77,T77,Jeff Overton,26,256.0,1198002.0,130
80,T77,T77,Roger Tambellini,26,256.0,1032057.0,112
81,T82,T82,Ben Crane,24,256.1,857489.0,93
82,T82,T82,Jeff Gove,22,256.1,663915.0,72
83,T84,T84,Andrew McLardy,21,256.2,627191.0,68
84,T84,T84,Carl Pettersson,29,256.2,1014571.0,110
85,T86,T86,Kevin Na,26,256.3,1116514.0,121
86,T86,T86,Ryan Palmer,27,256.3,1273532.0,138
87,T88,T88,Stuart Appleby,31,256.5,1348245.0,146
88,T88,T88,Lee Janzen,26,256.5,914042.0,99
89,90,90,Cliff Kresge,17,256.6,572660.0,62
90,T91,T91,Chad Campbell,28,256.7,1145985.0,124
91,T91,T91,David Toms,25,256.7,914708.0,99
92,T91,T91,Bubba Watson,22,256.7,1543195.0,167
93,T91,T91,Jay Williamson,24,256.7,609989.0,66
94,T95,T95,Ricky Barnes,28,256.9,1368756.0,148
95,T95,T95,Brian Davis,32,256.9,1248696.0,135
96,T95,T95,J.J. Henry,27,256.9,1350260.0,146
97,98,98,Zach Johnson,25,257.0,1147383.0,124
98,T99,T99,J.P. Hayes,25,257.1,860709.0,93
99,T99,T99,Scott Piercy,28,257.1,1656914.0,179
100,101,101,Martin Flores,26,257.2,1388788.0,150
101,T102,T102,John Senden,30,257.3,1620828.0,175
102,T102,T102,Omar Uresti,27,257.3,500174.0,54
103,T102,T102,Charles Warren,21,257.3,1222750.0,132
104,T105,T105,Kris Blanks,30,257.4,1269333.0,137
105,T105,T105,Ben Curtis,24,257.4,639440.0,69
106,T105,T105,Josh Teater,31,257.4,1538202.0,166
107,108,108,Brett Quigley,29,257.6,1326108.0,143
108,T109,T109,Jeff Quinney,29,257.7,816268.0,88
109,T109,T109,Kevin Sutherland,25,257.7,1261642.0,136
110,T111,T111,Aaron Baddeley,26,257.8,1995424.0,215
111,T111,T111,Joe Ogilvie,32,257.8,1401424.0,151
112,113,113,Chris Stroud,27,257.9,1123397.0,121
113,T114,T114,Ángel Cabrera,19,258.0,1244757.0,134
114,T114,T114,Tom Gillis,27,258.0,1672004.0,180
115,T116,T116,Cameron Beckman,25,258.1,836355.0,90
116,T116,T116,Henrik Bjornstad,26,258.1,1170794.0,126
117,118,118,Michael Sim,20,258.2,678512.0,73
118,T119,T119,Brad Faxon,23,258.3,353415.0,38
119,T119,T119,Bill Lunde,28,258.3,1134451.0,122
120,T119,T119,Rory Sabbatini,26,258.3,1432253.0,154
121,T122,T122,Steve Flesch,25,258.5,809571.0,87
122,T122,T122,Troy Merritt,29,258.5,1349565.0,145
123,T124,T124,Geoff Ogilvy,19,258.6,772761.0,83
124,T124,T124,Rod Pampling,26,258.6,1237941.0,133
125,126,126,Matt Jones,27,258.7,1471592.0,158
126,127,127,Vance Veazey,23,258.8,531158.0,57
127,128,128,Paul Goydos,25,258.9,689776.0,74
128,T129,T129,Steve Elkington,22,259.0,922947.0,99
129,T129,T129,Will MacKenzie,23,259.0,1230735.0,132
130,131,131,John Mallinger,29,259.1,923298.0,99
131,132,132,Rory McIlroy,16,259.2,923873.0,99
132,133,133,Rich Barcelo,25,259.3,793599.0,85
133,134,134,Joe Durant,19,259.4,812574.0,87
134,T135,T135,Spencer Levin,31,259.5,1345360.0,144
135,T135,T135,Jarrod Lyle,18,259.5,812737.0,87
136,T135,T135,Hunter Mahan,25,259.5,1401542.0,150
137,138,138,Padraig Harrington,18,259.6,775679.0,83
138,T139,T139,D.A. Points,29,259.7,1252972.0,134
139,T139,T139,Steve Wheatcroft,27,259.7,962784.0,103
140,T139,T139,Charlie Wi,27,259.7,1140490.0,122
141,T142,T142,David Lutterus,25,260.1,936191.0,100
142,T142,T142,Chris Wilson,26,260.1,908246.0,97
143,144,144,Charley Hoffman,24,260.2,1779624.0,190
144,145,145,Scott McCarron,29,260.4,1602879.0,171
145,146,146,Ian Poulter,15,260.7,506735.0,54
146,T147,T147,Chad Collins,26,260.8,1014038.0,108
147,T147,T147,James Driscoll,26,260.8,1511322.0,161
148,T147,T147,Steve Lowery,25,260.8,966908.0,103
149,T147,T147,John Rollins,26,260.8,1530519.0,163
150,T151,T151,Chris Couch,23,260.9,1342870.0,143
151,T151,T151,John Daly,20,260.9,967260.0,103
152,T151,T151,Shaun Micheel,21,260.9,647954.0,69
153,154,154,Jerod Turner,21,261.0,441641.0,47
154,T155,T155,Andres Romero,21,261.2,1504430.0,160
155,T155,T155,Chris Tidland,24,261.2,1146991.0,122
156,T157,T157,Tom Pernice Jr.,22,261.3,620912.0,66
157,T157,T157,Jeev Milkha Singh,19,261.3,724188.0,77
158,T159,T159,Jeff Maggert,28,261.5,781336.0,83
159,T159,T159,Tim Petrovic,32,261.5,1327412.0,141
160,T159,T159,Paul Stankowski,18,261.5,894427.0,95
161,T162,T162,Chris DiMarco,25,261.6,979452.0,104
162,T162,T162,Nathan Green,27,261.6,1111478.0,118
163,T162,T162,Kenny Perry,20,261.6,979408.0,104
164,165,165,Kevin Stadler,28,261.8,1517290.0,161
165,T166,T166,Craig Bowden,20,262.0,348973.0,37
166,T166,T166,Brent Delahoussaye,21,262.0,433896.0,46
167,T166,T166,Pat Perez,27,262.0,1490019.0,158
168,T169,T169,Greg Chalmers,27,262.2,1170377.0,124
169,T169,T169,Brandt Snedeker,26,262.2,962747.0,102
170,T171,T171,Ted Purdy,30,262.3,1520118.0,161
171,T171,T171,Adam Scott,20,262.3,1057664.0,112
172,T171,T171,Nicholas Thompson,29,262.3,1529447.0,162
173,T174,T174,Brian Gay,30,262.4,642391.0,68
174,T174,T174,Cameron Percy,25,262.4,1152245.0,122
175,T176,T176,Billy Mayfair,26,262.5,1020542.0,108
176,T176,T176,Cameron Tringale,22,262.5,869490.0,92
177,178,178,Rocco Mediate,25,262.7,766153.0,81
178,179,179,Mathew Goggin,28,262.9,1485939.0,157
179,T180,T180,Kevin Johnson,26,263.1,596739.0,63
180,T180,T180,Chris Riley,24,263.1,738699.0,78
181,182,182,David Duval,24,263.7,863896.0,91
182,T183,T183,Vaughn Taylor,26,264.0,1292625.0,136
183,T183,T183,Mark Wilson,28,264.0,1178423.0,124
184,185,185,James Nitties,30,264.2,1417421.0,149
185,186,186,Michael Connell,25,264.5,866419.0,91
186,T187,T187,Sergio Garcia,15,264.6,685739.0,72
187,T187,T187,Aron Price,22,264.6,1076572.0,113
188,T187,T187,Dean Wilson,18,264.6,514440.0,54
189,190,190,Johnson Wagner,28,264.8,1115442.0,117
190,191,191,Garrett Willis,24,266.1,1226261.0,128
191,192,192,Skip Kendall,18,267.0,567088.0,59
