,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
32,33,33,Robert Allenby,76,74.04,813,1098,-223.0
33,34,34,Will MacKenzie,72,74.02,906,1224,-203.0
34,T35,T35,Steve Elkington,74,74.01,786,1062,-173.0
35,T35,T35,Charles Howell III,103,74.01,1199,1620,-304.0
36,37,37,John Rollins,81,74.0,999,1350,-247.0
37,38,38,Brett Quigley,96,73.93,1171,1584,-263.0
38,39,39,David Toms,86,73.89,931,1260,-234.0
39,40,40,Dean Wilson,54,73.88,625,846,-150.0
40,41,41,Jay Williamson,76,73.86,811,1098,-168.0
41,42,42,Aron Price,70,73.84,824,1116,-196.0
42,43,43,Brett Wetterich,54,73.58,702,954,-167.0
43,44,44,Vijay Singh,75,73.56,754,1025,-182.0
44,45,45,Mathew Goggin,85,73.54,1006,1368,-221.0
45,46,46,Jim Furyk,76,73.52,794,1080,-200.0
46,47,47,Jason Bohn,84,73.5,979,1332,-258.0
47,T48,T48,Stewart Cink,84,73.42,859,1170,-218.0
48,T48,T48,Billy Mayfair,78,73.42,859,1170,-163.0
49,50,50,Ben Crane,85,73.4,872,1188,-224.0
50,51,51,Heath Slocum,97,73.36,964,1314,-218.0
51,52,52,Stephen Ames,75,73.35,911,1242,-224.0
52,53,53,Ben Curtis,78,73.32,871,1188,-182.0
53,54,54,Jerry Kelly,99,73.31,1082,1476,-245.0
54,T55,T55,Ricky Barnes,103,73.29,1095,1494,-271.0
55,T55,T55,Richard Johnson,90,73.29,963,1314,-208.0
56,57,57,Henrik Bjornstad,72,73.26,778,1062,-178.0
57,58,58,Sean O'Hair,84,73.25,857,1170,-188.0
58,59,59,Mathias Grönberg,61,73.22,659,900,-141.0
59,60,60,Greg Owen,69,73.21,817,1116,-164.0
60,61,61,Spencer Levin,110,73.19,1291,1764,-315.0
61,62,62,Zach Johnson,93,73.11,987,1350,-274.0
62,63,63,Hunter Mahan,85,72.97,880,1206,-216.0
63,64,64,Roger Tambellini,77,72.94,814,1116,-141.0
64,65,65,Brent Delahoussaye,57,72.93,617,846,-115.0
65,66,66,Michael Bradley,77,72.88,892,1224,-189.0
66,67,67,Robert Garrigus,71,72.86,800,1098,-200.0
67,68,68,Cliff Kresge,50,72.84,590,810,-114.0
68,69,69,Nicholas Thompson,88,72.66,1007,1386,-204.0
69,70,70,John Mallinger,78,72.65,850,1170,-200.0
70,71,71,Vaughn Taylor,87,72.64,1033,1422,-262.0
71,72,72,Ernie Els,72,72.63,719,990,-197.0
72,73,73,Kevin Stadler,86,72.61,941,1296,-226.0
73,74,74,Lucas Glover,75,72.6,771,1062,-200.0
74,75,75,Omar Uresti,74,72.59,797,1098,-135.0
75,76,76,Josh Teater,101,72.58,1202,1656,-266.0
76,77,77,Chris Riley,73,72.57,823,1134,-193.0
77,78,78,Geoff Ogilvy,62,72.56,653,900,-181.0
78,79,79,Tim Clark,88,72.55,888,1224,-228.0
79,80,80,Adam Scott,70,72.54,679,936,-169.0
80,81,81,K.J. Choi,82,72.5,796,1098,-202.0
81,82,82,Sergio Garcia,58,72.38,469,648,-114.0
82,83,83,Lee Janzen,77,72.3,911,1260,-199.0
83,84,84,Freddie Jacobson,83,72.29,1002,1386,-248.0
84,T85,T85,Paul Casey,64,72.22,572,792,-176.0
85,T85,T85,Jason Day,82,72.22,923,1278,-220.0
86,87,87,Roland Thatcher,72,72.14,883,1224,-174.0
87,88,88,Jeff Gove,57,72.1,571,792,-105.0
88,89,89,Tim Petrovic,105,72.04,1219,1692,-284.0
89,90,90,Pat Perez,90,72.02,1076,1494,-291.0
90,91,91,Marc Leishman,87,71.99,933,1296,-244.0
91,T92,T92,Woody Austin,93,71.95,1075,1494,-253.0
92,T92,T92,Ryan Moore,80,71.95,790,1098,-212.0
93,94,94,Kevin Na,94,71.93,984,1368,-269.0
94,95,95,Retief Goosen,75,71.91,686,954,-203.0
95,96,96,Bubba Watson,77,71.89,867,1206,-246.0
96,97,97,Charley Hoffman,85,71.86,996,1386,-289.0
97,98,98,Justin Leonard,89,71.84,931,1296,-236.0
98,T99,T99,Scott Piercy,88,71.81,1047,1458,-291.0
99,T99,T99,Alex Prugh,88,71.81,1034,1440,-263.0
100,101,101,Shaun Micheel,70,71.8,685,954,-154.0
101,102,102,Dustin Johnson,83,71.78,814,1134,-242.0
102,103,103,Johnson Wagner,85,71.75,955,1331,-206.0
103,104,104,Jeff Maggert,76,71.69,813,1134,-163.0
104,105,105,Ángel Cabrera,64,71.68,658,918,-158.0
105,106,106,Bob Estes,79,71.67,916,1278,-201.0
106,107,107,Cameron Beckman,68,71.66,761,1062,-160.0
107,108,108,Rory Sabbatini,79,71.64,864,1206,-229.0
108,109,109,D.A. Points,90,71.59,1018,1422,-232.0
109,110,110,Jason Dufner,87,71.58,889,1242,-190.0
110,111,111,Paul Goydos,78,71.55,850,1188,-211.0
111,T112,T112,James Driscoll,78,71.47,952,1332,-236.0
112,T112,T112,Charlie Wi,95,71.47,1145,1602,-285.0
113,114,114,Martin Laird,91,71.45,1016,1422,-260.0
114,115,115,Camilo Villegas,78,71.43,720,1008,-175.0
115,116,116,Brenden Pappas,66,71.31,706,990,-158.0
116,117,117,John Daly,63,71.28,603,846,-144.0
117,118,118,Steve Marino,81,71.25,808,1134,-220.0
118,119,119,Chris DiMarco,88,71.23,1000,1404,-237.0
119,120,120,Ryan Palmer,84,71.21,910,1278,-258.0
120,121,121,David Duval,71,71.13,717,1008,-186.0
121,122,122,Michael Letzig,84,71.11,1024,1440,-260.0
122,123,123,Chris Tidland,77,71.08,870,1224,-208.0
123,124,124,Blake Adams,84,71.04,959,1350,-238.0
124,125,125,Webb Simpson,98,71.01,1176,1656,-305.0
125,126,126,Alex Cejka,81,71.0,869,1224,-196.0
126,127,127,Jarrod Lyle,54,70.89,587,828,-128.0
127,128,128,Scott McCarron,90,70.88,1059,1494,-258.0
128,129,129,Justin Rose,78,70.87,893,1260,-249.0
129,130,130,Michael Connell,89,70.85,982,1386,-241.0
130,T131,T131,J.B. Holmes,100,70.83,1122,1584,-307.0
131,T131,T131,Jeev Milkha Singh,59,70.83,663,936,-140.0
132,T133,T133,Tom Gillis,97,70.8,1147,1620,-318.0
133,T133,T133,Trevor Immelman,55,70.8,548,774,-114.0
134,135,135,Tim Herron,79,70.77,879,1242,-192.0
135,T136,T136,Mark Calcavecchia,50,70.71,420,594,-81.0
136,T136,T136,James Nitties,92,70.71,1031,1458,-254.0
137,138,138,Andres Romero,73,70.68,916,1296,-228.0
138,139,139,Kevin Streelman,90,70.49,1015,1440,-268.0
139,140,140,Chris Couch,66,70.43,748,1062,-226.0
140,141,141,Rory McIlroy,54,70.42,507,720,-124.0
141,142,142,Andrew McLardy,52,70.33,557,792,-112.0
142,143,143,Greg Chalmers,93,70.18,1099,1566,-287.0
143,144,144,Bill Lunde,79,70.15,846,1206,-174.0
144,145,145,Luke Donald,71,70.13,669,954,-191.0
145,146,146,Michael Sim,64,70.02,668,954,-169.0
146,147,147,Jeff Overton,89,69.95,894,1278,-259.0
147,148,148,Matt Every,60,69.93,642,918,-172.0
148,149,149,Brian Gay,101,69.85,1031,1476,-262.0
149,T150,T150,George McNeill,79,69.84,880,1260,-234.0
150,T150,T150,Troy Merritt,86,69.84,968,1386,-258.0
151,152,152,Joe Ogilvie,99,69.83,1081,1548,-258.0
152,153,153,Bryce Molder,84,69.79,917,1314,-225.0
153,154,154,J.P. Hayes,79,69.77,854,1224,-221.0
154,155,155,Y.E. Yang,72,69.73,728,1044,-206.0
155,156,156,Brian Stuard,81,69.64,890,1278,-201.0
156,157,157,Phil Mickelson,76,69.59,714,1026,-213.0
157,158,158,Scott Verplank,74,69.54,701,1008,-178.0
158,T159,T159,Aaron Baddeley,94,69.51,1101,1584,-332.0
159,T159,T159,Jeff Quinney,91,69.51,1001,1440,-263.0
160,161,161,Carl Pettersson,99,69.41,1037,1494,-288.0
161,162,162,Martin Flores,75,69.36,799,1152,-189.0
162,163,163,Matt Jones,89,69.31,998,1440,-282.0
163,164,164,David Lutterus,69,69.25,698,1008,-127.0
164,165,165,Jimmy Walker,82,69.21,872,1260,-220.0
165,166,166,Brian Davis,101,69.16,1108,1602,-248.0
166,167,167,Ted Purdy,86,69.11,933,1350,-194.0
167,168,168,Padraig Harrington,57,68.94,546,792,-150.0
168,169,169,Steve Lowery,67,68.85,694,1008,-153.0
169,170,170,Stuart Appleby,101,68.81,1090,1584,-262.0
170,171,171,Ryuji Imada,90,68.78,1040,1512,-255.0
171,172,172,Chris Wilson,65,68.7,643,936,-124.0
172,173,173,Steve Wheatcroft,74,68.36,713,1043,-174.0
173,174,174,Rod Pampling,77,68.33,861,1260,-187.0
174,175,175,Skip Kendall,58,68.14,601,882,-129.0
175,176,176,Nathan Green,86,68.04,992,1458,-230.0
176,177,177,Brandt Snedeker,89,68.0,918,1350,-268.0
177,178,178,Rich Barcelo,70,67.91,709,1044,-179.0
178,179,179,Craig Bowden,56,67.82,586,864,-106.0
179,180,180,Chad Collins,87,67.78,915,1350,-231.0
180,181,181,Justin Bolli,55,67.59,511,756,-92.0
181,182,182,Vance Veazey,58,67.36,582,864,-112.0
182,183,183,Ian Poulter,55,67.32,412,612,-95.0
183,184,184,Daniel Chopra,74,66.83,806,1206,-204.0
184,185,185,Derek Lamely,81,66.49,766,1152,-181.0
185,186,186,Steve Flesch,78,66.24,775,1170,-193.0
186,187,187,Kevin Johnson,62,65.65,579,882,-112.0
187,188,188,Greg Kraft,52,64.96,456,702,-83.0
188,189,189,Matt Bettencourt,91,64.52,813,1260,-223.0
189,190,190,Jerod Turner,54,63.89,460,720,-100.0
190,191,191,Mike Weir,59,62.64,451,720,-123.0
191,192,192,Brad Faxon,58,62.5,540,864,-129.0
