,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
33,T32,T32,Kenny Perry,69,22.7,84832.0,104
34,T32,T32,Roland Thatcher,72,22.7,103172.0,126
35,T36,T36,Bill Haas,87,22.8,128217.0,156
36,T36,T36,Spencer Levin,110,22.8,118380.0,144
37,T38,T38,Jonathan Byrd,85,22.9,119397.0,145
38,T38,T38,Luke Donald,71,22.9,49455.0,60
39,T38,T38,Jim Furyk,76,22.9,70081.0,85
40,41,41,Joe Ogilvie,99,23.3,126547.0,151
41,T42,T42,Michael Bradley,77,23.4,71482.0,85
42,T42,T42,J.J. Henry,92,23.4,123077.0,146
43,T42,T42,Matt Jones,89,23.4,132873.0,158
44,T42,T42,D.J. Trahan,92,23.4,163925.0,195
45,T46,T46,Steve Flesch,78,23.5,73628.0,87
46,T46,T46,Lucas Glover,75,23.5,114360.0,135
47,T46,T46,Derek Lamely,81,23.5,96436.0,114
48,T46,T46,Bill Lunde,79,23.5,103125.0,122
49,T46,T46,George McNeill,79,23.5,107612.0,127
50,T46,T46,Troy Merritt,86,23.5,122639.0,145
51,T46,T46,Kevin Na,94,23.5,102547.0,121
52,T46,T46,Josh Teater,101,23.5,140250.0,166
53,T54,T54,Carl Pettersson,99,23.6,93341.0,110
54,T54,T54,Chris Tidland,77,23.6,103796.0,122
55,T54,T54,Brett Wetterich,54,23.6,103445.0,122
56,T57,T57,Alex Cejka,81,23.7,82670.0,97
57,T57,T57,K.J. Choi,82,23.7,75163.0,88
58,T57,T57,Brian Davis,101,23.7,114974.0,135
59,T57,T57,Tim Herron,79,23.7,91202.0,107
60,T57,T57,Billy Mayfair,78,23.7,92216.0,108
61,T57,T57,John Merrick,109,23.7,145181.0,170
62,T57,T57,Vaughn Taylor,87,23.7,115806.0,136
63,T64,T64,James Driscoll,78,23.8,137834.0,161
64,T64,T64,Justin Rose,78,23.8,100273.0,117
65,T66,T66,Kris Blanks,91,23.9,117950.0,137
66,T66,T66,Padraig Harrington,57,23.9,71552.0,83
67,T66,T66,Hunter Mahan,85,23.9,128817.0,150
68,T66,T66,Greg Owen,69,23.9,93939.0,109
69,T66,T66,Jeev Milkha Singh,59,23.9,66169.0,77
70,T66,T66,Chris Stroud,90,23.9,104033.0,121
71,T72,T72,Ángel Cabrera,64,24.0,115952.0,134
72,T72,T72,Steve Elkington,74,24.0,85414.0,99
73,T72,T72,Jeff Gove,57,24.0,62300.0,72
74,T75,T75,David Duval,71,24.1,79108.0,91
75,T75,T75,Ernie Els,72,24.1,92675.0,107
76,T75,T75,Retief Goosen,75,24.1,92925.0,107
77,T75,T75,Scott McCarron,90,24.1,148512.0,171
78,T75,T75,Ian Poulter,55,24.1,46928.0,54
79,T75,T75,Jeff Quinney,91,24.1,76463.0,88
80,T81,T81,Michael Connell,89,24.2,79319.0,91
81,T81,T81,Ryan Moore,80,24.2,112402.0,129
82,T81,T81,Pat Perez,90,24.2,137500.0,158
83,T81,T81,Scott Piercy,88,24.2,155857.0,179
84,T81,T81,John Rollins,81,24.2,141952.0,163
85,T81,T81,Vijay Singh,75,24.2,88779.0,102
86,T87,T87,Mathias Grönberg,61,24.3,88384.0,101
87,T87,T87,Jeff Overton,89,24.3,113790.0,130
88,T89,T89,Briny Baird,87,24.4,99412.0,113
89,T89,T89,Matt Every,60,24.4,88702.0,101
90,T89,T89,Lee Janzen,77,24.4,87052.0,99
91,T89,T89,Jerod Turner,54,24.4,41218.0,47
92,T89,T89,Nick Watney,91,24.4,142015.0,162
93,T94,T94,Bob Estes,79,24.5,86542.0,98
94,T94,T94,Steve Marino,81,24.5,104060.0,118
95,T94,T94,Andrew McLardy,52,24.5,59926.0,68
96,T97,T97,Ricky Barnes,103,24.6,130848.0,148
97,T97,T97,Michael Letzig,84,24.6,130860.0,148
98,T97,T97,David Lutterus,69,24.6,88588.0,100
99,T97,T97,Tom Pernice Jr.,74,24.6,58376.0,66
100,T97,T97,Roger Tambellini,77,24.6,98990.0,112
101,T102,T102,Matt Bettencourt,91,24.7,128077.0,144
102,T102,T102,Martin Laird,91,24.7,167744.0,189
103,T102,T102,Steve Lowery,67,24.7,91735.0,103
104,T102,T102,Will MacKenzie,72,24.7,117554.0,132
105,T102,T102,Rory McIlroy,54,24.7,87911.0,99
106,T102,T102,Y.E. Yang,72,24.7,101444.0,114
107,T108,T108,Stuart Appleby,101,24.8,130535.0,146
108,T108,T108,Alex Prugh,88,24.8,145574.0,163
109,T108,T108,Kevin Stadler,86,24.8,144009.0,161
110,T111,T111,Woody Austin,93,24.9,113900.0,127
111,T111,T111,Aaron Baddeley,94,24.9,193043.0,215
112,T111,T111,Ben Crane,85,24.9,83446.0,93
113,T111,T111,Sergio Garcia,58,24.9,64617.0,72
114,T111,T111,D.A. Points,90,24.9,120150.0,134
115,T116,T116,Stephen Ames,75,25.0,95431.0,106
116,T116,T116,Chad Campbell,94,25.0,111659.0,124
117,T116,T116,Joe Durant,67,25.0,78300.0,87
118,T116,T116,Boo Weekley,88,25.0,130315.0,145
119,120,120,Bryce Molder,84,25.1,71281.0,79
120,T121,T121,Heath Slocum,97,25.2,95227.0,105
121,T121,T121,Chris Wilson,65,25.2,88071.0,97
122,T123,T123,Jason Day,82,25.3,130345.0,143
123,T123,T123,Rickie Fowler,98,25.3,130897.0,144
124,T123,T123,Sean O'Hair,84,25.3,119327.0,131
125,T123,T123,Cameron Percy,73,25.3,110914.0,122
126,T127,T127,J.P. Hayes,79,25.4,85030.0,93
127,T127,T127,Jimmy Walker,82,25.4,119894.0,131
128,T129,T129,Richard Johnson,90,25.5,79864.0,87
129,T129,T129,Andres Romero,73,25.5,146698.0,160
130,T131,T131,Tom Gillis,97,25.6,165766.0,180
131,T131,T131,John Mallinger,78,25.6,91163.0,99
132,133,133,Martin Flores,75,25.7,138785.0,150
133,T134,T134,Greg Chalmers,93,25.8,115021.0,124
134,T134,T134,John Daly,63,25.8,95619.0,103
135,T134,T134,Rod Pampling,77,25.8,123555.0,133
136,T137,T137,Mathew Goggin,85,25.9,146373.0,157
137,T137,T137,Zach Johnson,93,25.9,115441.0,124
138,T137,T137,Rocco Mediate,71,25.9,75384.0,81
139,T137,T137,Brenden Pappas,66,25.9,86805.0,93
140,T137,T137,Rory Sabbatini,79,25.9,143324.0,154
141,T137,T137,Charlie Wi,95,25.9,113886.0,122
142,T143,T143,Blake Adams,84,26.0,98385.0,105
143,T143,T143,Tim Petrovic,105,26.0,131858.0,141
144,T143,T143,John Senden,103,26.0,163971.0,175
145,T143,T143,Johnson Wagner,85,26.0,109326.0,117
146,T147,T147,Jason Bohn,84,26.1,105288.0,112
147,T147,T147,Daniel Chopra,74,26.1,123199.0,131
148,T147,T147,Nicholas Thompson,88,26.1,152256.0,162
149,150,150,Cameron Beckman,68,26.2,84735.0,90
150,T151,T151,Rich Barcelo,70,26.4,80818.0,85
151,T151,T151,Brent Delahoussaye,57,26.4,43776.0,46
152,T151,T151,Brad Faxon,58,26.4,36182.0,38
153,T151,T151,Charles Howell III,103,26.4,153750.0,162
154,T151,T151,Michael Sim,64,26.4,69317.0,73
155,T156,T156,Troy Matteson,84,26.6,164531.0,172
156,T156,T156,David Toms,86,26.6,94918.0,99
157,T156,T156,Steve Wheatcroft,74,26.6,98777.0,103
158,159,159,Jerry Kelly,99,26.7,123807.0,129
159,160,160,Paul Stankowski,62,27.0,92174.0,95
160,T161,T161,Chris DiMarco,88,27.1,101576.0,104
161,T161,T161,Aron Price,70,27.1,110390.0,113
162,T161,T161,Brandt Snedeker,89,27.1,99484.0,102
163,164,164,Dean Wilson,54,27.3,53123.0,54
164,T165,T165,Vance Veazey,58,27.4,56301.0,57
165,T165,T165,Scott Verplank,74,27.4,72986.0,74
166,167,167,Justin Bolli,55,27.6,48602.0,49
167,168,168,Shaun Micheel,70,27.7,68926.0,69
168,T169,T169,Ryuji Imada,90,27.8,113051.0,113
169,T169,T169,James Nitties,92,27.8,148939.0,149
170,171,171,Mark Wilson,87,27.9,124515.0,124
171,172,172,Ted Purdy,86,28.0,162193.0,161
172,173,173,Jay Williamson,76,28.1,66750.0,66
173,174,174,Mike Weir,59,28.5,56428.0,55
174,175,175,Ben Curtis,78,28.7,71169.0,69
175,176,176,Garrett Willis,82,28.8,132493.0,128
176,177,177,Justin Leonard,89,28.9,75956.0,73
177,178,178,Freddie Jacobson,83,29.0,110477.0,106
178,179,179,Jeff Maggert,76,29.1,87076.0,83
179,T180,T180,Chad Collins,87,29.5,114653.0,108
180,T180,T180,Paul Goydos,78,29.5,78496.0,74
181,T182,T182,Craig Bowden,56,29.7,39511.0,37
182,T182,T182,Chris Riley,73,29.7,83368.0,78
183,184,184,Brian Gay,101,29.8,73002.0,68
184,185,185,Brian Stuard,81,30.3,105784.0,97
185,186,186,Kevin Johnson,62,30.4,68944.0,63
186,187,187,Nathan Green,86,30.6,130018.0,118
187,T188,T188,Geoff Ogilvy,62,30.8,92081.0,83
188,T188,T188,Webb Simpson,98,30.8,145102.0,131
189,190,190,Skip Kendall,58,31.3,66438.0,59
190,191,191,Greg Kraft,52,34.4,47004.0,38
191,192,192,Omar Uresti,74,35.3,68642.0,54
