,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
59,T58,T58,Adam Scott,70,"41' 2""",94374,191,7864.5,12.0
60,T61,T61,Sergio Garcia,58,"41' 3""",63390,128,5282.5,10.0
61,T61,T61,Pat Perez,90,"41' 3""",126638,256,10553.167,39.0
62,T63,T63,James Driscoll,78,"41' 4""",159193,321,13266.083,21.0
63,T63,T63,David Lutterus,69,"41' 4""",112485,227,9373.75,19.0
64,T65,T65,Matt Bettencourt,91,"41' 5""",150048,302,12504.0,48.0
65,T65,T65,Brian Davis,101,"41' 5""",143041,288,11920.083,37.0
66,T65,T65,Luke Donald,71,"41' 5""",100943,203,8411.917,1.0
67,T65,T65,Justin Rose,78,"41' 5""",124292,250,10357.667,-3.0
68,T65,T65,Chris Tidland,77,"41' 5""",119806,241,9983.833,18.0
69,T70,T70,K.J. Choi,82,"41' 6""",96194,193,8016.1669999999995,14.0
70,T70,T70,Bill Lunde,79,"41' 6""",120484,242,10040.333,27.0
71,T70,T70,Alex Prugh,88,"41' 6""",170721,343,14226.75,38.0
72,T73,T73,Jarrod Lyle,54,"41' 7""",73298,147,6108.1669999999995,10.0
73,T73,T73,Bo Van Pelt,104,"41' 7""",151674,304,12639.5,23.0
74,T73,T73,Camilo Villegas,78,"41' 7""",109208,219,9100.667,22.0
75,T76,T76,Ricky Barnes,103,"41' 8""",154374,309,12864.5,18.0
76,T76,T76,Alex Cejka,81,"41' 8""",91983,184,7665.25,21.0
77,T76,T76,Vijay Singh,75,"41' 8""",110913,222,9242.75,18.0
78,T76,T76,Brandt Snedeker,89,"41' 8""",125592,251,10466.0,26.0
79,80,80,Brett Wetterich,54,"41' 9""",106260,212,8855.0,-3.0
80,81,81,Marc Leishman,87,"41' 10""",155032,309,12919.333,20.0
81,T82,T82,Ángel Cabrera,64,"41' 11""",119208,237,9934.0,7.0
82,T82,T82,J.P. Hayes,79,"41' 11""",110723,220,9226.917,28.0
83,T84,T84,David Duval,71,"42' 0""",111388,221,9282.333,26.0
84,T84,T84,Mathias Grönberg,61,"42' 0""",92735,184,7727.9169999999995,37.0
85,T86,T86,Joe Durant,67,"42' 1""",67624,134,5635.3330000000005,20.0
86,T86,T86,Tom Gillis,97,"42' 1""",143296,284,11941.333,38.0
87,T88,T88,Jeff Overton,89,"42' 2""",160544,317,13378.667,26.0
88,T88,T88,Chris Stroud,90,"42' 2""",124980,247,10415.0,6.0
89,T90,T90,John Mallinger,78,"42' 3""",96266,190,8022.1669999999995,37.0
90,T90,T90,Carl Pettersson,99,"42' 3""",143963,284,11996.917,28.0
91,T92,T92,Martin Flores,75,"42' 4""",159579,314,13298.25,36.0
92,T92,T92,Kevin Stadler,86,"42' 4""",133032,262,11086.0,44.0
93,T94,T94,Cameron Beckman,68,"42' 5""",112085,220,9340.417,44.0
94,T94,T94,Retief Goosen,75,"42' 5""",91065,179,7588.75,6.0
95,T94,T94,Freddie Jacobson,83,"42' 5""",144134,283,12011.167,33.0
96,97,97,Michael Sim,64,"42' 6""",94266,185,7855.5,8.0
97,T98,T98,Chad Campbell,94,"42' 7""",119072,233,9922.667,33.0
98,T98,T98,Lucas Glover,75,"42' 7""",104196,204,8683.0,15.0
99,T98,T98,Charles Howell III,103,"42' 7""",196912,385,16409.333,8.0
100,T98,T98,Joe Ogilvie,99,"42' 7""",173353,339,14446.083,47.0
101,T98,T98,Brett Quigley,96,"42' 7""",168565,330,14047.083,51.0
102,T103,T103,Jason Dufner,87,"42' 8""",112026,219,9335.5,28.0
103,T103,T103,Martin Laird,91,"42' 8""",163426,319,13618.833,25.0
104,T103,T103,Sean O'Hair,84,"42' 8""",129650,253,10804.167,16.0
105,T103,T103,Vaughn Taylor,87,"42' 8""",125867,246,10488.917,39.0
106,T107,T107,Craig Bowden,56,"42' 9""",71296,139,5941.3330000000005,27.0
107,T107,T107,Ryan Moore,80,"42' 9""",102639,200,8553.25,17.0
108,T109,T109,Michael Letzig,84,"42' 10""",144502,281,12041.833,39.0
109,T109,T109,Billy Mayfair,78,"42' 10""",96605,188,8050.4169999999995,12.0
110,T109,T109,Roger Tambellini,77,"42' 10""",113628,221,9469.0,53.0
111,T112,T112,Matt Jones,89,"42' 11""",164420,319,13701.667,24.0
112,T112,T112,Tim Petrovic,105,"42' 11""",158003,307,13166.917,45.0
113,T112,T112,Dean Wilson,54,"42' 11""",82477,160,6873.0830000000005,8.0
114,T115,T115,Matt Every,60,"43' 0""",97976,190,8164.6669999999995,34.0
115,T115,T115,James Nitties,92,"43' 0""",138348,268,11529.0,49.0
116,T115,T115,Mike Weir,59,"43' 0""",88717,172,7393.0830000000005,33.0
117,T118,T118,Blake Adams,84,"43' 1""",127681,247,10640.083,40.0
118,T118,T118,Tim Herron,79,"43' 1""",160348,310,13362.333,45.0
119,T118,T118,Kevin Sutherland,86,"43' 1""",121920,236,10160.0,3.0
120,T121,T121,Brendon de Jonge,114,"43' 2""",148538,287,12378.167,33.0
121,T121,T121,Mark Wilson,87,"43' 2""",122134,236,10177.833,34.0
122,T123,T123,John Merrick,109,"43' 3""",152105,293,12675.417,52.0
123,T123,T123,Jeff Quinney,91,"43' 3""",127148,245,10595.667,28.0
124,T125,T125,Henrik Bjornstad,72,"43' 4""",97761,188,8146.75,28.0
125,T125,T125,J.B. Holmes,100,"43' 4""",198812,382,16567.667,12.0
126,T125,T125,Kevin Streelman,90,"43' 4""",135709,261,11309.083,25.0
127,T125,T125,Jimmy Walker,82,"43' 4""",172691,332,14390.917,14.0
128,T129,T129,Justin Bolli,55,"43' 5""",63056,121,5254.6669999999995,22.0
129,T129,T129,Jeff Maggert,76,"43' 5""",104804,201,8733.667,38.0
130,131,131,Jason Day,82,"43' 6""",153057,293,12754.75,31.0
131,T132,T132,Lee Janzen,77,"43' 7""",143296,274,11941.333,40.0
132,T132,T132,George McNeill,79,"43' 7""",171995,329,14332.917,26.0
133,T132,T132,Brenden Pappas,66,"43' 7""",122966,235,10247.167,38.0
134,T135,T135,Shaun Micheel,70,"43' 8""",104215,199,8684.583,29.0
135,T135,T135,Tom Pernice Jr.,74,"43' 8""",101083,193,8423.583,17.0
136,T135,T135,Boo Weekley,88,"43' 8""",127353,243,10612.75,31.0
137,T138,T138,Rich Barcelo,70,"43' 10""",132473,252,11039.417,49.0
138,T138,T138,Troy Merritt,86,"43' 10""",159329,303,13277.417,34.0
139,T138,T138,Vance Veazey,58,"43' 10""",99369,189,8280.75,35.0
140,T141,T141,Briny Baird,87,"44' 0""",147192,279,12266.0,37.0
141,T141,T141,Jeev Milkha Singh,59,"44' 0""",100313,190,8359.417,14.0
142,143,143,Ben Curtis,78,"44' 1""",103713,196,8642.75,32.0
143,T144,T144,Mark Calcavecchia,50,"44' 2""",69456,131,5788.0,36.0
144,T144,T144,Michael Connell,89,"44' 2""",142005,268,11833.75,32.0
145,T146,T146,Derek Lamely,81,"44' 4""",152663,287,12721.917,32.0
146,T146,T146,Bryce Molder,84,"44' 4""",132494,249,11041.167,20.0
147,T146,T146,Brian Stuard,81,"44' 4""",124942,235,10411.833,44.0
148,T146,T146,Charlie Wi,95,"44' 4""",155832,293,12986.0,28.0
149,T150,T150,Kevin Johnson,62,"44' 5""",92792,174,7732.6669999999995,46.0
150,T150,T150,Richard Johnson,90,"44' 5""",111370,209,9280.833,48.0
151,T152,T152,Stewart Cink,84,"44' 6""",123956,232,10329.667,11.0
152,T152,T152,Trevor Immelman,55,"44' 6""",81136,152,6761.3330000000005,19.0
153,T154,T154,Paul Casey,64,"44' 8""",87916,164,7326.3330000000005,8.0
154,T154,T154,Greg Owen,69,"44' 8""",114714,214,9559.5,48.0
155,T154,T154,David Toms,86,"44' 8""",102423,191,8535.25,23.0
156,T157,T157,Aaron Baddeley,94,"44' 9""",197146,367,16428.833,14.0
157,T157,T157,Matt Kuchar,97,"44' 9""",130490,243,10874.167,19.0
158,T157,T157,Scott Piercy,88,"44' 9""",187512,349,15626.0,46.0
159,160,160,D.A. Points,90,"44' 10""",153216,285,12768.0,32.0
160,161,161,Steve Lowery,67,"44' 11""",107306,199,8942.167,38.0
161,T162,T162,Robert Allenby,76,"45' 0""",107387,199,8948.917,13.0
162,T162,T162,Brian Gay,101,"45' 0""",110062,204,9171.833,10.0
163,T162,T162,Steve Marino,81,"45' 0""",129006,239,10750.5,26.0
164,T165,T165,Stephen Ames,75,"45' 1""",119644,221,9970.333,32.0
165,T165,T165,Michael Bradley,77,"45' 1""",136457,252,11371.417,28.0
166,T165,T165,Jeff Gove,57,"45' 1""",79027,146,6585.5830000000005,32.0
167,T165,T165,Paul Goydos,78,"45' 1""",101695,188,8474.583,40.0
168,169,169,Jerod Turner,54,"45' 3""",84179,155,7014.9169999999995,37.0
169,170,170,Jason Bohn,84,"45' 4""",130018,239,10834.833,29.0
170,171,171,Garrett Willis,82,"45' 5""",110177,202,9181.417,37.0
171,T172,T172,Jim Furyk,76,"45' 6""",97792,179,8149.3330000000005,12.0
172,T172,T172,Mathew Goggin,85,"45' 6""",136387,250,11365.583,58.0
173,T172,T172,Aron Price,70,"45' 6""",103277,189,8606.417,37.0
174,T172,T172,Josh Teater,101,"45' 6""",168054,308,14004.5,59.0
175,T172,T172,Scott Verplank,74,"45' 6""",90686,166,7557.1669999999995,22.0
176,177,177,Zach Johnson,93,"45' 7""",117583,215,9798.583,26.0
177,178,178,Ian Poulter,55,"45' 8""",72334,132,6027.8330000000005,27.0
178,179,179,John Rollins,81,"45' 11""",140473,255,11706.083,16.0
179,T180,T180,J.J. Henry,92,"46' 1""",144758,262,12063.167,8.0
180,T180,T180,Paul Stankowski,62,"46' 1""",98486,178,8207.167,17.0
181,T182,T182,Brad Faxon,58,"46' 2""",104799,189,8733.25,66.0
182,T182,T182,Skip Kendall,58,"46' 2""",70379,127,5864.9169999999995,25.0
183,T184,T184,Chad Collins,87,"46' 3""",145985,263,12165.417,31.0
184,T184,T184,Kevin Na,94,"46' 3""",150414,271,12534.5,27.0
185,186,186,Ted Purdy,86,"46' 4""",155060,279,12921.667,50.0
186,T187,T187,Justin Leonard,89,"46' 5""",115763,208,9646.917,8.0
187,T187,T187,Scott McCarron,90,"46' 5""",147086,264,12257.167,19.0
188,189,189,Ryuji Imada,90,"47' 2""",173156,306,14429.667,25.0
189,190,190,Jerry Kelly,99,"49' 8""",144798,243,12066.5,32.0
190,191,191,Nathan Green,86,"49' 9""",179005,300,14917.083,46.0
191,192,192,Greg Kraft,52,"50' 9""",80384,132,6698.6669999999995,39.0
