,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
112,T111,T111,Kevin Sutherland,86,177.0,6842694.0,1074
113,114,114,James Nitties,92,177.2,7074927.0,1109
114,T115,T115,Mark Calcavecchia,50,177.3,2879222.0,451
115,T115,T115,Freddie Jacobson,83,177.3,6785370.0,1063
116,T115,T115,Lee Janzen,77,177.3,6120629.0,959
117,T115,T115,Justin Rose,78,177.3,6166604.0,966
118,119,119,Billy Mayfair,78,177.5,5713480.0,894
119,T120,T120,Cliff Kresge,50,177.6,3924719.0,614
120,T120,T120,David Toms,86,177.6,6196386.0,969
121,T122,T122,Michael Bradley,77,177.7,5948806.0,930
122,T122,T122,Geoff Ogilvy,62,177.7,4439909.0,694
123,T122,T122,Jerod Turner,54,177.7,3504681.0,548
124,T125,T125,Jeff Maggert,76,177.8,5562713.0,869
125,T125,T125,Chris Riley,73,177.8,5588759.0,873
126,T127,T127,Rod Pampling,77,177.9,6166854.0,963
127,T127,T127,Vaughn Taylor,87,177.9,6950021.0,1085
128,129,129,Shaun Micheel,70,178.2,4714574.0,735
129,T130,T130,Bob Estes,79,178.5,6257742.0,974
130,T130,T130,Spencer Levin,110,178.5,8715991.0,1356
131,T130,T130,Aron Price,70,178.5,5506013.0,857
132,T133,T133,Woody Austin,93,178.7,7340048.0,1141
133,T133,T133,Michael Sim,64,178.7,4696994.0,730
134,135,135,Zach Johnson,93,179.1,6733013.0,1044
135,T136,T136,Jason Dufner,87,179.2,6155124.0,954
136,T136,T136,Mark Wilson,87,179.2,7011555.0,1087
137,138,138,Briny Baird,87,179.3,7021070.0,1088
138,139,139,Ernie Els,72,179.4,4933081.0,764
139,140,140,David Duval,71,179.5,4916383.0,761
140,T141,T141,Ben Crane,85,179.6,5915597.0,915
141,T141,T141,J.P. Hayes,79,179.6,6077259.0,940
142,T141,T141,John Mallinger,78,179.6,5780756.0,894
143,T141,T141,Heath Slocum,97,179.6,6542179.0,1012
144,T145,T145,Stephen Ames,75,179.7,6178220.0,955
145,T145,T145,K.J. Choi,82,179.7,5420075.0,838
146,T145,T145,Brett Quigley,96,179.7,7801586.0,1206
147,148,148,Ian Poulter,55,179.8,3028452.0,468
148,149,149,Chris DiMarco,88,180.0,6945712.0,1072
149,150,150,Dean Wilson,54,180.3,4192581.0,646
150,T151,T151,Jerry Kelly,99,180.4,7401675.0,1140
151,T151,T151,Steve Stricker,73,180.4,5072243.0,781
152,T151,T151,Charlie Wi,95,180.4,7935258.0,1222
153,T154,T154,Rocco Mediate,71,180.5,5470417.0,842
154,T154,T154,Garrett Willis,82,180.5,6327371.0,974
155,156,156,Michael Connell,89,180.6,6954787.0,1070
156,T157,T157,D.A. Points,90,180.7,7084399.0,1089
157,T157,T157,Johnson Wagner,85,180.7,6563370.0,1009
158,159,159,Tim Petrovic,105,180.9,8485978.0,1303
159,160,160,Justin Bolli,55,181.0,3752332.0,576
160,T161,T161,Brian Davis,101,181.3,8028436.0,1230
161,T161,T161,Trevor Immelman,55,181.3,3798195.0,582
162,T161,T161,Vance Veazey,58,181.3,4208830.0,645
163,164,164,Scott Verplank,74,181.4,5048514.0,773
164,165,165,Justin Leonard,89,181.6,6485361.0,992
165,166,166,Ryuji Imada,90,181.7,7606531.0,1163
166,T167,T167,Brent Delahoussaye,57,181.9,4204305.0,642
167,T167,T167,Skip Kendall,58,181.9,4433869.0,677
168,T167,T167,Kevin Na,94,181.9,6855792.0,1047
169,T170,T170,Jason Bohn,84,182.2,6676183.0,1018
170,T170,T170,Brandt Snedeker,89,182.2,6717076.0,1024
171,172,172,Kevin Johnson,62,182.3,4356822.0,664
172,173,173,Greg Chalmers,93,182.4,7847427.0,1195
173,174,174,Chad Collins,87,182.9,6769028.0,1028
174,175,175,Nathan Green,86,183.0,7377814.0,1120
175,176,176,Richard Johnson,90,183.4,6633692.0,1005
176,177,177,Tom Pernice Jr.,74,183.6,5313379.0,804
177,178,178,Bryce Molder,84,183.9,6632605.0,1002
178,179,179,Greg Kraft,52,184.2,3534717.0,533
179,180,180,Steve Flesch,78,184.5,5905798.0,889
180,181,181,Jim Furyk,76,184.6,5534381.0,833
181,182,182,Ben Curtis,78,184.8,6099107.0,917
182,183,183,Alex Cejka,81,184.9,6191022.0,930
183,184,184,Tim Clark,88,185.6,6320737.0,946
184,185,185,Jeff Quinney,91,185.8,7344940.0,1098
185,186,186,Omar Uresti,74,186.3,5667865.0,845
186,187,187,Paul Goydos,78,186.4,6107792.0,910
187,188,188,Mike Weir,59,187.6,3701254.0,548
188,189,189,Luke Donald,71,188.5,4913805.0,724
189,190,190,Brian Gay,101,189.0,7710389.0,1133
190,191,191,Craig Bowden,56,190.7,4579347.0,667
191,192,192,Brad Faxon,58,191.7,4512938.0,654
