,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
34,35,35,Bubba Watson,85,62.03,116,187,-130,+2.00
35,36,36,Josh Teater,104,61.72,129,209,-138,+1.00
36,37,37,Ryuji Imada,83,61.6,77,125,-80,-2.00
37,38,38,Charles Howell III,108,61.54,112,182,-120,-21.00
38,39,39,Aaron Baddeley,77,61.44,94,153,-99,-6.00
39,40,40,Ian Poulter,52,61.29,38,62,-41,-10.00
40,41,41,Steve Flesch,88,61.26,68,111,-71,-19.00
41,42,42,Brandt Jobe,100,61.22,90,147,-92,-6.00
42,43,43,Steve Marino,76,61.11,77,126,-86,-6.00
43,44,44,Chris Couch,73,61.05,105,172,-113,-2.00
44,T45,T45,Jim Furyk,87,61.0,61,100,-64,-29.00
45,T45,T45,Davis Love III,70,61.0,61,100,-63,+4.00
46,47,47,Rory Sabbatini,85,60.94,78,128,-79,-11.00
47,48,48,Jhonattan Vegas,84,60.87,112,184,-118,+4.00
48,T49,T49,Jason Day,76,60.71,85,140,-89,+3.00
49,T49,T49,Martin Piller,63,60.71,51,84,-53,-4.00
50,51,51,Geoff Ogilvy,69,60.67,54,89,-55,-6.00
51,52,52,Kyle Stanley,98,60.51,118,195,-128,-6.00
52,53,53,David Toms,78,60.47,52,86,-55,-31.00
53,54,54,Hunter Mahan,92,60.37,99,164,-106,-25.00
54,55,55,Zack Miller,86,60.26,91,151,-98,+22.00
55,56,56,Padraig Harrington,60,60.24,50,83,-53,E
56,57,57,Michael Connell,76,60.22,56,93,-58,-6.00
57,T58,T58,Tim Herron,85,60.0,75,125,-76,-2.00
58,T58,T58,Graeme McDowell,50,60.0,45,75,-47,-13.00
59,T58,T58,Kevin Na,84,60.0,78,130,-84,-24.00
60,61,61,Justin Leonard,82,59.57,56,94,-59,-14.00
61,62,62,Kris Blanks,92,59.56,81,136,-87,-19.00
62,T63,T63,Harrison Frazar,58,59.49,47,79,-49,-4.00
63,T63,T63,Lee Janzen,62,59.49,47,79,-52,-1.00
64,65,65,Matt Kuchar,94,59.38,76,128,-81,-27.00
65,66,66,Chad Campbell,99,59.18,87,147,-90,-10.00
66,67,67,Stuart Appleby,65,59.14,55,93,-58,-6.00
67,68,68,Gary Woodland,93,59.12,107,181,-114,+23.00
68,69,69,Billy Mayfair,94,59.01,95,161,-105,-20.00
69,70,70,Paul Stankowski,78,58.93,66,112,-67,-13.00
70,T71,T71,Tim Petrovic,88,58.87,73,124,-73,-7.00
71,T71,T71,Charlie Wi,83,58.87,73,124,-75,-20.00
72,73,73,Bryce Molder,82,58.51,55,94,-56,-29.00
73,74,74,Arjun Atwal,91,58.46,76,130,-78,-1.00
74,75,75,Woody Austin,59,58.44,45,77,-46,-23.00
75,76,76,Rickie Fowler,84,58.39,80,137,-86,-3.00
76,77,77,J.B. Holmes,57,58.21,78,134,-82,-8.00
77,78,78,Charl Schwartzel,58,58.14,50,86,-52,+3.00
78,79,79,Derek Lamely,65,58.06,72,124,-79,+12.00
79,80,80,Sergio Garcia,61,58.04,65,112,-72,+3.00
80,81,81,Ángel Cabrera,50,57.95,51,88,-57,-4.00
81,82,82,Chris Kirk,87,57.86,81,140,-85,-9.00
82,83,83,Jim Renner,65,57.84,59,102,-61,+4.00
83,84,84,Marc Leishman,87,57.83,96,166,-103,+7.00
84,85,85,Steven Bowditch,86,57.81,111,192,-119,-3.00
85,86,86,Ernie Els,71,57.76,67,116,-68,-5.00
86,87,87,Fabián Gómez,84,57.6,72,125,-77,-14.00
87,88,88,Shane Bertsch,62,57.53,42,73,-46,-22.00
88,89,89,Spencer Levin,113,57.5,92,160,-96,-23.00
89,90,90,David Mathis,83,57.47,50,87,-53,-11.00
90,T91,T91,Robert Garrigus,83,57.35,117,204,-124,+5.00
91,T91,T91,Matt Jones,71,57.35,78,136,-83,-4.00
92,93,93,Hunter Haas,96,57.14,96,168,-99,-13.00
93,94,94,Martin Laird,77,56.96,90,158,-99,-5.00
94,95,95,Michael Bradley,74,56.67,51,90,-57,-7.00
95,96,96,Anthony Kim,72,56.56,69,122,-74,-3.00
96,97,97,John Merrick,71,56.48,61,108,-67,-13.00
97,98,98,Carl Pettersson,95,56.47,96,170,-104,-23.00
98,99,99,Jim Herman,69,56.25,63,112,-66,+11.00
99,T100,T100,John Rollins,85,56.21,86,153,-96,-2.00
100,T100,T100,Bo Van Pelt,92,56.21,95,169,-102,-11.00
101,102,102,Will Strickler,51,56.18,50,89,-57,+9.00
102,103,103,Kevin Streelman,90,56.16,82,146,-88,-15.00
103,104,104,Bill Haas,93,56.0,98,175,-105,-8.00
104,105,105,Keegan Bradley,91,55.84,86,154,-93,+1.00
105,106,106,Freddie Jacobson,92,55.65,64,115,-65,-5.00
106,T107,T107,Bobby Gates,82,55.56,80,144,-88,+5.00
107,T107,T107,Billy Horschel,75,55.56,65,117,-70,-6.00
108,109,109,Matt Bettencourt,84,55.41,87,157,-95,+12.00
109,110,110,Rod Pampling,72,55.37,67,121,-71,-3.00
110,111,111,Mark Wilson,89,55.36,62,112,-66,-21.00
111,112,112,Alex Prugh,82,55.3,73,132,-78,+4.00
112,113,113,Robert Karlsson,61,55.21,53,96,-57,-3.00
113,114,114,Tag Ridings,87,55.17,96,174,-104,+9.00
114,115,115,Pat Perez,76,55.15,75,136,-79,-17.00
115,T116,T116,David Hearn,88,55.14,59,107,-64,-12.00
116,T116,T116,Roland Thatcher,67,55.14,59,107,-64,-5.00
117,118,118,Alex Cejka,59,55.13,43,78,-46,-9.00
118,119,119,Ricky Barnes,78,55.12,70,127,-77,+2.00
119,120,120,Matt McQuillan,59,55.07,38,69,-43,+1.00
120,121,121,Bill Lunde,92,55.06,87,158,-90,-15.00
121,122,122,Cameron Beckman,71,55.05,60,109,-64,-13.00
122,123,123,Rocco Mediate,53,54.93,39,71,-41,+1.00
123,124,124,Steve Elkington,50,54.79,40,73,-41,+1.00
124,125,125,James Driscoll,71,54.74,75,137,-77,+3.00
125,126,126,Vaughn Taylor,89,54.69,70,128,-75,-17.00
126,127,127,Jimmy Walker,79,54.42,80,147,-87,-4.00
127,T128,T128,Ben Crane,76,54.21,58,107,-62,-8.00
128,T128,T128,Scott Gutschewski,67,54.21,58,107,-62,+8.00
129,130,130,John Senden,94,54.05,100,185,-108,+2.00
130,131,131,Boo Weekley,66,53.85,77,143,-82,+4.00
131,132,132,D.J. Trahan,91,53.81,106,197,-118,+5.00
132,133,133,Kevin Chappell,78,53.68,73,136,-80,+9.00
133,134,134,Kevin Kisner,70,53.66,44,82,-48,+4.00
134,135,135,Scott Stallings,84,53.6,67,125,-70,-12.00
135,136,136,Chez Reavie,92,53.55,83,155,-87,-6.00
136,T137,T137,K.J. Choi,77,53.33,48,90,-53,-22.00
137,T137,T137,Ryan Palmer,82,53.33,80,150,-81,+2.00
138,139,139,Brian Davis,105,53.25,90,169,-94,-27.00
139,140,140,Greg Chalmers,88,53.15,59,111,-66,-31.00
140,141,141,Stewart Cink,72,53.13,51,96,-54,-20.00
141,142,142,Ryan Moore,79,52.94,72,136,-75,-9.00
142,T143,T143,Daniel Summerhays,75,52.83,56,106,-62,+17.00
143,T143,T143,Garrett Willis,71,52.83,56,106,-56,-1.00
144,145,145,Scott Piercy,78,52.8,85,161,-91,E
145,146,146,Chris DiMarco,93,52.78,57,108,-59,-11.00
146,147,147,Tommy Gainey,104,52.72,97,184,-104,-1.00
147,148,148,Jeff Overton,92,52.66,89,169,-96,-6.00
148,149,149,J.P. Hayes,56,52.5,42,80,-46,-9.00
149,150,150,Camilo Villegas,69,52.48,53,101,-57,-7.00
150,151,151,Sean O'Hair,71,52.38,55,105,-61,+5.00
151,152,152,Shaun Micheel,77,52.27,46,88,-48,+2.00
152,153,153,Joe Durant,71,52.13,49,94,-52,-16.00
153,154,154,Jason Bohn,74,52.07,63,121,-69,-22.00
154,155,155,Johnson Wagner,81,52.04,51,98,-52,-19.00
155,156,156,Scott McCarron,65,51.89,55,106,-63,+5.00
156,157,157,Joseph Bramlett,73,51.88,69,133,-71,+2.00
157,158,158,D.J. Brigman,67,51.61,48,93,-52,+5.00
158,159,159,Andres Gonzales,60,51.35,38,74,-40,-3.00
159,160,160,Richard Johnson,64,51.02,25,49,-25,-8.00
160,161,161,Cameron Tringale,110,50.97,105,206,-110,-5.00
161,162,162,Briny Baird,60,50.7,36,71,-38,-3.00
162,163,163,Alexandre Rocha,65,50.65,39,77,-41,-1.00
163,164,164,Ben Curtis,66,50.63,40,79,-41,-20.00
164,165,165,J.J. Henry,96,50.59,86,170,-89,-7.00
165,166,166,Ben Martin,74,50.41,61,121,-66,-11.00
166,T167,T167,Troy Matteson,91,50.0,86,172,-90,+3.00
167,T167,T167,Kevin Stadler,88,50.0,79,158,-83,+1.00
168,169,169,Nathan Green,81,49.59,60,121,-64,+4.00
169,T170,T170,Sung Kang,63,49.51,51,103,-61,-7.00
170,T170,T170,Troy Merritt,63,49.51,51,103,-57,+1.00
171,T172,T172,William McGirt,103,49.3,70,142,-74,-13.00
172,T172,T172,Aron Price,58,49.3,35,71,-35,-14.00
173,174,174,Dean Wilson,62,48.65,36,74,-38,-20.00
174,175,175,Tom Gillis,55,48.39,45,93,-47,-4.00
175,176,176,Robert Allenby,84,48.32,72,149,-75,-9.00
176,177,177,Kent Jones,76,48.24,41,85,-45,-19.00
177,178,178,Michael Thompson,79,48.18,53,110,-56,-6.00
178,179,179,Michael Putnam,67,47.62,50,105,-50,+9.00
179,180,180,Stephen Ames,69,47.56,39,82,-39,-15.00
180,181,181,Rich Beem,53,47.37,36,76,-36,-6.00
181,182,182,Justin Hicks,60,45.45,25,55,-27,+5.00
182,183,183,Marc Turnesa,54,44.64,25,56,-27,-12.00
183,184,184,David Duval,67,43.14,44,102,-46,-5.00
184,185,185,Colt Knost,80,43.04,34,79,-37,-7.00
185,186,186,Paul Goydos,81,41.89,31,74,-32,-26.00
