,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
26,T25,T25,Charl Schwartzel,15,253.1,783660.0,86
27,28,28,Nick Watney,22,253.3,1395232.0,153
28,T29,T29,Scott Stallings,28,253.7,1141571.0,125
29,T29,T29,Bubba Watson,22,253.7,1707598.0,187
30,31,31,Andres Gonzales,21,253.8,676033.0,74
31,T32,T32,George McNeill,21,254.0,1051408.0,115
32,T32,T32,Mark Wilson,26,254.0,1024002.0,112
33,T34,T34,Stewart Cink,22,254.2,878509.0,96
34,T34,T34,Jim Furyk,26,254.2,915020.0,100
35,T34,T34,Ben Martin,25,254.2,1107309.0,121
36,T34,T34,Rocco Mediate,23,254.2,649843.0,71
37,38,38,Bio Kim,25,254.3,1016053.0,111
38,39,39,Marc Leishman,27,254.4,1520294.0,166
39,40,40,Luke Donald,19,254.5,760374.0,83
40,T41,T41,Jonathan Byrd,26,254.7,1457921.0,159
41,T41,T41,Justin Leonard,26,254.7,861816.0,94
42,T43,T43,Bobby Gates,29,254.8,1321082.0,144
43,T43,T43,Dustin Johnson,21,254.8,1421823.0,155
44,T43,T43,Chris Kirk,28,254.8,1283981.0,140
45,T46,T46,David Duval,24,254.9,935882.0,102
46,T46,T46,J.P. Hayes,19,254.9,734185.0,80
47,T46,T46,Zach Johnson,23,254.9,935861.0,102
48,T46,T46,William McGirt,32,254.9,1302848.0,142
49,T50,T50,Jason Day,21,255.0,1285214.0,140
50,T50,T50,Bill Haas,26,255.0,1606222.0,175
51,T50,T50,Trevor Immelman,25,255.0,963809.0,105
52,T50,T50,Richard Johnson,23,255.0,449800.0,49
53,T50,T50,Jerry Kelly,26,255.0,816981.0,89
54,T55,T55,Stuart Appleby,24,255.1,854236.0,93
55,T55,T55,Justin Hicks,23,255.1,505046.0,55
56,T55,T55,Derek Lamely,26,255.1,1138769.0,124
57,T55,T55,Davis Love III,22,255.1,918334.0,100
58,T59,T59,Arjun Atwal,29,255.2,1194325.0,130
59,T59,T59,Sung Kang,21,255.2,946167.0,103
60,61,61,Graeme McDowell,16,255.3,689241.0,75
61,T62,T62,Ernie Els,21,255.4,1066669.0,116
62,T62,T62,Jhonattan Vegas,25,255.4,1691598.0,184
63,T64,T64,Stephen Ames,22,255.5,754327.0,82
64,T64,T64,Chad Campbell,29,255.5,1351906.0,147
65,T64,T64,Charlie Wi,25,255.5,1140664.0,124
66,67,67,Retief Goosen,16,255.6,634816.0,69
67,68,68,Y.E. Yang,18,255.7,736298.0,80
68,T69,T69,Harrison Frazar,19,255.8,727598.0,79
69,T69,T69,Padraig Harrington,18,255.8,764244.0,83
70,T69,T69,Sean O'Hair,24,255.8,966745.0,105
71,T69,T69,Brandt Snedeker,26,255.8,1086574.0,118
72,73,73,David Hearn,26,255.9,985626.0,107
73,T74,T74,Phil Mickelson,21,256.0,1373204.0,149
74,T74,T74,Scott Piercy,23,256.0,1483646.0,161
75,T76,T76,Kevin Kisner,24,256.1,756009.0,82
76,T76,T76,Tim Petrovic,29,256.1,1143337.0,124
77,78,78,Ángel Cabrera,17,256.2,811688.0,88
78,79,79,Adam Scott,18,256.3,996384.0,108
79,80,80,Blake Adams,34,256.6,1588762.0,172
80,81,81,Zack Miller,30,256.7,1395182.0,151
81,T82,T82,Ricky Barnes,23,256.8,1174293.0,127
82,T82,T82,Keegan Bradley,28,256.8,1423801.0,154
83,T84,T84,Freddie Jacobson,25,257.0,1063862.0,115
84,T84,T84,Justin Rose,23,257.0,1276575.0,138
85,86,86,Michael Putnam,21,257.1,971802.0,105
86,T87,T87,Spencer Levin,31,257.2,1481339.0,160
87,T87,T87,Chez Reavie,27,257.2,1435447.0,155
88,T89,T89,Jarrod Lyle,29,257.3,1139355.0,123
89,T89,T89,Marc Turnesa,20,257.3,518807.0,56
90,91,91,Robert Allenby,25,257.4,1380842.0,149
91,T92,T92,Brendon de Jonge,30,257.5,1409175.0,152
92,T92,T92,Pat Perez,24,257.5,1260525.0,136
93,94,94,Troy Matteson,28,257.6,1595120.0,172
94,T95,T95,Kris Blanks,29,257.7,1261734.0,136
95,T95,T95,Tommy Gainey,34,257.7,1706882.0,184
96,T95,T95,Will Strickler,19,257.7,825658.0,89
97,T98,T98,Cameron Beckman,25,257.8,1011533.0,109
98,T98,T98,Webb Simpson,26,257.8,1698064.0,183
99,T98,T98,Kyle Stanley,28,257.8,1810087.0,195
100,101,101,Matt McQuillan,21,257.9,640708.0,69
101,T102,T102,Bill Lunde,28,258.0,1467471.0,158
102,T102,T102,Chris Riley,25,258.0,798710.0,86
103,T102,T102,John Rollins,27,258.0,1421011.0,153
104,T102,T102,John Senden,26,258.0,1718360.0,185
105,T102,T102,Michael Thompson,25,258.0,1021520.0,110
106,T107,T107,Brendan Steele,27,258.1,1403083.0,151
107,T107,T107,Daniel Summerhays,29,258.1,985059.0,106
108,T109,T109,Ben Crane,23,258.2,994686.0,107
109,T109,T109,Tim Herron,28,258.2,1161957.0,125
110,T109,T109,Hunter Mahan,25,258.2,1524432.0,164
111,T109,T109,D.J. Trahan,30,258.2,1831164.0,197
112,T109,T109,Bo Van Pelt,27,258.2,1570937.0,169
113,114,114,Scott Gutschewski,23,258.5,995787.0,107
114,T115,T115,Martin Laird,23,258.6,1470966.0,158
115,T115,T115,D.A. Points,26,258.6,1377608.0,148
116,T115,T115,Jim Renner,22,258.6,949716.0,102
117,T118,T118,David Toms,23,258.7,800988.0,86
118,T118,T118,Boo Weekley,23,258.7,1332000.0,143
119,T120,T120,Sergio Garcia,16,258.9,1043698.0,112
120,T120,T120,Ryan Moore,22,258.9,1267595.0,136
121,T120,T120,Martin Piller,23,258.9,782866.0,84
122,T123,T123,Michael Bradley,24,259.1,839467.0,90
123,T123,T123,Alex Cejka,21,259.1,727630.0,78
124,T123,T123,Paul Goydos,25,259.1,690328.0,74
125,126,126,Colt Knost,27,259.2,737198.0,79
126,T127,T127,Woody Austin,18,259.3,718667.0,77
127,T127,T127,Steve Elkington,17,259.3,681488.0,73
128,T127,T127,Charles Howell III,30,259.3,1698741.0,182
129,T127,T127,Kevin Streelman,26,259.3,1362749.0,146
130,T127,T127,Josh Teater,31,259.3,1951327.0,209
131,T132,T132,Steve Flesch,27,259.4,1036724.0,111
132,T132,T132,Hunter Haas,30,259.4,1568619.0,168
133,T132,T132,John Merrick,21,259.4,1008674.0,108
134,T135,T135,Matt Bettencourt,30,259.6,1467501.0,157
135,T135,T135,Scott McCarron,22,259.6,990539.0,106
136,137,137,Dean Wilson,22,259.7,691870.0,74
137,T138,T138,Michael Connell,26,259.8,869716.0,93
138,T138,T138,Shaun Micheel,27,259.8,823002.0,88
139,T138,T138,Rory Sabbatini,24,259.8,1197352.0,128
140,T141,T141,Kevin Chappell,26,259.9,1272666.0,136
141,T141,T141,Rickie Fowler,24,259.9,1281663.0,137
142,T141,T141,Matt Jones,25,259.9,1272333.0,136
143,T144,T144,Greg Chalmers,28,260.0,1039034.0,111
144,T144,T144,Bryce Molder,27,260.0,879716.0,94
145,146,146,Nate Smith,24,260.1,552373.0,59
146,T147,T147,Shane Bertsch,20,260.3,684195.0,73
147,T147,T147,Chris Stroud,28,260.3,1368394.0,146
148,T149,T149,D.J. Brigman,23,260.4,871683.0,93
149,T149,T149,Brian Davis,30,260.4,1584008.0,169
150,151,151,Tag Ridings,28,260.6,1632443.0,174
151,152,152,Jeff Overton,26,260.7,1586057.0,169
152,153,153,Kevin Na,26,260.8,1220490.0,130
153,T154,T154,Rod Pampling,21,261.2,1137681.0,121
154,T154,T154,Johnson Wagner,25,261.2,921457.0,98
155,156,156,Joe Ogilvie,24,261.5,950756.0,101
156,157,157,Anthony Kim,26,261.6,1148955.0,122
157,T158,T158,Chris DiMarco,31,261.9,1018154.0,108
158,T158,T158,Kevin Stadler,27,261.9,1489838.0,158
159,T160,T160,Ben Curtis,23,262.0,745257.0,79
160,T160,T160,Ryan Palmer,24,262.0,1414960.0,150
161,T160,T160,Alexandre Rocha,22,262.0,726134.0,77
162,163,163,Vaughn Taylor,27,262.1,1207787.0,128
163,T164,T164,Steven Bowditch,28,262.2,1812669.0,192
164,T164,T164,Geoff Ogilvy,21,262.2,840073.0,89
165,T166,T166,Nathan Green,26,262.3,1142555.0,121
166,T166,T166,J.J. Henry,28,262.3,1605001.0,170
167,T168,T168,Joe Durant,25,262.5,888212.0,94
168,T168,T168,Cameron Tringale,32,262.5,1946517.0,206
169,170,170,Billy Horschel,25,262.6,1106050.0,117
170,171,171,Paul Stankowski,24,262.7,1059279.0,112
171,172,172,James Driscoll,24,263.1,1297835.0,137
172,T173,T173,Charley Hoffman,27,263.2,1999192.0,211
173,T173,T173,David Mathis,25,263.2,824390.0,87
174,T175,T175,Fabián Gómez,26,263.5,1185576.0,125
175,T175,T175,Roland Thatcher,22,263.5,1015007.0,107
176,177,177,Troy Merritt,23,263.6,977596.0,103
177,T178,T178,Rich Beem,21,263.7,721394.0,76
178,T178,T178,Nick O'Hern,29,263.7,854527.0,90
179,180,180,Billy Mayfair,29,263.8,1529133.0,161
180,181,181,Andres Romero,22,264.1,1492450.0,157
181,182,182,Ryuji Imada,29,264.5,1190411.0,125
182,183,183,Aron Price,18,264.8,676788.0,71
183,184,184,Joseph Bramlett,25,266.0,1273552.0,133
184,185,185,Briny Baird,19,266.6,681554.0,71
185,186,186,Garrett Willis,24,266.9,1018413.0,106
