,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
82,83,83,Derek Lamely,65,14.0,21,150
83,84,84,Tim Herron,85,13.89,20,144
84,85,85,Stuart Appleby,65,13.82,17,123
85,86,86,George McNeill,69,13.79,12,87
86,87,87,Robert Allenby,84,13.71,17,124
87,88,88,Ryuji Imada,83,13.61,20,147
88,89,89,Scott McCarron,65,13.59,14,103
89,90,90,Carl Pettersson,95,13.58,22,162
90,91,91,Brendan Steele,89,13.51,15,111
91,92,92,Arjun Atwal,91,13.5,27,200
92,T93,T93,Graeme McDowell,50,13.46,7,52
93,T93,T93,Scott Stallings,84,13.46,14,104
94,T95,T95,Harrison Frazar,58,13.4,13,97
95,T95,T95,Bio Kim,71,13.4,13,97
96,97,97,Sean O'Hair,71,13.39,15,112
97,T98,T98,Geoff Ogilvy,69,13.33,12,90
98,T98,T98,John Senden,94,13.33,18,135
99,T98,T98,Michael Thompson,79,13.33,14,105
100,101,101,Brendon de Jonge,105,13.16,20,152
101,T102,T102,Bill Haas,93,13.1,19,145
102,T102,T102,Kevin Streelman,90,13.1,11,84
103,104,104,D.J. Brigman,67,12.96,14,108
104,105,105,Matt Jones,71,12.93,15,116
105,106,106,Jason Day,76,12.9,16,124
106,107,107,Will Strickler,51,12.86,9,70
107,T108,T108,Blake Adams,116,12.82,15,117
108,T108,T108,Anthony Kim,72,12.82,20,156
109,110,110,Chris Stroud,88,12.8,16,125
110,111,111,Nate Smith,66,12.79,11,86
111,112,112,Freddie Jacobson,92,12.71,15,118
112,T113,T113,Zach Johnson,79,12.64,11,87
113,T113,T113,Boo Weekley,66,12.64,11,87
114,115,115,Rod Pampling,72,12.63,12,95
115,116,116,J.J. Henry,96,12.61,14,111
116,T117,T117,Sung Kang,63,12.5,11,88
117,T117,T117,Bryce Molder,82,12.5,9,72
118,T119,T119,Jason Dufner,78,12.36,11,89
119,T119,T119,David Mathis,83,12.36,11,89
120,121,121,Garrett Willis,71,12.3,15,122
121,122,122,Webb Simpson,98,12.26,19,155
122,123,123,Stewart Cink,72,12.24,12,98
123,124,124,Paul Goydos,81,12.17,14,115
124,125,125,Steve Flesch,88,12.14,17,140
125,126,126,Chris DiMarco,93,11.97,14,117
126,T127,T127,Briny Baird,60,11.94,8,67
127,T127,T127,Aron Price,58,11.94,8,67
128,129,129,Shaun Micheel,77,11.9,15,126
129,130,130,Bill Lunde,92,11.86,14,118
130,131,131,Troy Merritt,63,11.83,11,93
131,T132,T132,Greg Chalmers,88,11.76,12,102
132,T132,T132,Nathan Green,81,11.76,16,136
133,134,134,Gary Woodland,93,11.69,18,154
134,135,135,Keegan Bradley,91,11.64,17,146
135,136,136,Joe Durant,71,11.59,8,69
136,137,137,Kris Blanks,92,11.5,13,113
137,138,138,Alexandre Rocha,65,11.49,10,87
138,139,139,Richard Johnson,64,11.4,13,114
139,140,140,Jarrod Lyle,83,11.38,14,123
140,141,141,Jason Bohn,74,11.3,13,115
141,142,142,Rocco Mediate,53,11.11,8,72
142,143,143,Michael Putnam,67,10.92,13,119
143,144,144,Charlie Wi,83,10.91,12,110
144,145,145,David Duval,67,10.85,14,129
145,146,146,Jerry Kelly,85,10.84,9,83
146,147,147,Vaughn Taylor,89,10.83,17,157
147,148,148,Colt Knost,80,10.78,11,102
148,149,149,Charl Schwartzel,58,10.77,7,65
149,150,150,D.A. Points,89,10.66,13,122
150,151,151,Kent Jones,76,10.64,10,94
151,152,152,Kevin Chappell,78,10.53,10,95
152,153,153,Jimmy Walker,79,10.46,16,153
153,T154,T154,Bobby Gates,82,10.43,12,115
154,T154,T154,Jeff Overton,92,10.43,12,115
155,T156,T156,Billy Horschel,75,10.38,11,106
156,T156,T156,Dean Wilson,62,10.38,11,106
157,158,158,Ernie Els,71,10.31,10,97
158,159,159,Tim Petrovic,88,10.17,12,118
159,160,160,Chez Reavie,92,9.92,12,121
160,161,161,Justin Hicks,60,9.72,7,72
161,162,162,Spencer Levin,113,9.68,18,186
162,163,163,Kevin Stadler,88,9.59,14,146
163,164,164,Daniel Summerhays,75,9.57,9,94
164,165,165,Mark Wilson,89,9.47,9,95
165,166,166,Luke Donald,73,9.41,8,85
166,167,167,Chad Campbell,99,9.32,11,118
167,168,168,Billy Mayfair,94,9.24,11,119
168,169,169,K.J. Choi,77,9.18,9,98
169,170,170,Brandt Jobe,100,9.01,10,111
170,171,171,Jim Furyk,87,8.51,8,94
171,172,172,Tom Gillis,55,8.33,8,96
172,173,173,Nick O'Hern,89,7.95,7,88
173,174,174,Justin Leonard,82,7.92,8,101
174,175,175,David Hearn,88,7.77,8,103
175,176,176,Johnson Wagner,81,7.76,9,116
176,177,177,Josh Teater,104,7.58,10,132
177,178,178,Robert Karlsson,61,7.53,7,93
178,179,179,Michael Connell,76,7.46,10,134
179,180,180,Chris Riley,76,6.52,6,92
180,181,181,Scott Gutschewski,67,6.36,7,110
181,182,182,Alex Prugh,82,6.29,9,143
182,183,183,Ben Martin,74,6.12,6,98
183,184,184,John Merrick,71,5.88,4,68
184,185,185,Martin Piller,63,5.77,6,104
185,186,186,Jim Renner,65,5.56,5,90
