,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
39,40,40,Kevin Streelman,90,53.73,245,456
40,41,41,Steven Bowditch,86,53.61,275,513
41,42,42,Ryuji Imada,83,53.59,246,459
42,43,43,Marc Leishman,87,53.53,296,553
43,44,44,Troy Matteson,91,53.51,267,499
44,45,45,Trevor Immelman,84,53.35,239,448
45,46,46,Justin Rose,79,53.28,211,396
46,T47,T47,Retief Goosen,50,53.23,140,263
47,T47,T47,Hunter Mahan,92,53.23,247,464
48,49,49,Michael Bradley,74,53.22,223,419
49,50,50,Chris Stroud,88,53.21,249,468
50,51,51,Adam Scott,60,53.18,159,299
51,52,52,David Hearn,88,53.17,218,410
52,53,53,Vijay Singh,79,53.15,236,444
53,54,54,Kevin Stadler,88,53.06,217,409
54,55,55,Chez Reavie,92,52.98,222,419
55,56,56,Tim Herron,85,52.8,255,483
56,57,57,Ernie Els,71,52.71,204,387
57,58,58,Brendon de Jonge,105,52.57,266,506
58,59,59,Bobby Gates,82,52.55,216,411
59,60,60,Briny Baird,60,52.54,124,236
60,61,61,Chris Couch,73,52.53,187,356
61,62,62,Ryan Palmer,82,52.42,271,517
62,63,63,Will Strickler,51,52.14,146,280
63,64,64,Stewart Cink,72,52.13,208,399
64,65,65,David Duval,67,52.12,234,449
65,66,66,Tommy Gainey,104,52.1,298,572
66,67,67,Jason Bohn,74,51.88,166,320
67,68,68,Jonathan Byrd,83,51.87,236,455
68,69,69,Chris DiMarco,93,51.69,214,414
69,T70,T70,Luke Donald,73,51.64,173,335
70,T70,T70,Rory Sabbatini,85,51.64,252,488
71,72,72,Spencer Levin,113,51.62,286,554
72,73,73,Geoff Ogilvy,69,51.61,176,341
73,74,74,Robert Karlsson,61,51.54,184,357
74,75,75,Matt Kuchar,94,51.49,224,435
75,76,76,George McNeill,69,51.47,175,340
76,77,77,Kevin Chappell,78,51.46,212,412
77,78,78,Brandt Jobe,100,51.42,235,457
78,79,79,Nathan Green,81,51.38,224,436
79,80,80,Charl Schwartzel,58,51.33,154,300
80,81,81,Joe Durant,71,51.28,120,234
81,82,82,Michael Putnam,67,51.26,204,398
82,83,83,Blake Adams,116,50.94,272,534
83,84,84,Carl Pettersson,95,50.92,250,491
84,85,85,Alex Cejka,59,50.91,140,275
85,86,86,Jeff Overton,92,50.89,256,503
86,87,87,Roland Thatcher,67,50.83,184,362
87,88,88,Matt Jones,71,50.8,223,439
88,T89,T89,Scott Piercy,78,50.78,227,447
89,T89,T89,Cameron Tringale,110,50.78,293,577
90,91,91,K.J. Choi,77,50.75,202,398
91,92,92,Brandt Snedeker,85,50.7,216,426
92,93,93,David Toms,78,50.69,147,290
93,94,94,Rocco Mediate,53,50.65,117,231
94,95,95,James Driscoll,71,50.37,202,401
95,96,96,Tom Gillis,55,50.36,139,276
96,97,97,Jason Day,76,50.32,233,463
97,98,98,Paul Goydos,81,50.29,176,350
98,99,99,Harrison Frazar,58,50.26,197,392
99,100,100,Paul Stankowski,78,50.24,207,412
100,101,101,Michael Thompson,79,50.12,204,407
101,102,102,Jimmy Walker,79,50.1,259,517
102,103,103,Alexandre Rocha,65,49.83,150,301
103,T104,T104,Woody Austin,59,49.8,124,249
104,T104,T104,Ian Poulter,52,49.8,126,253
105,106,106,Vaughn Taylor,89,49.77,221,444
106,107,107,Lucas Glover,74,49.75,200,402
107,108,108,Anthony Kim,72,49.72,263,529
108,109,109,Y.E. Yang,63,49.68,155,312
109,T110,T110,Robert Allenby,84,49.65,214,431
110,T110,T110,John Merrick,71,49.65,143,288
111,112,112,Steve Elkington,50,49.53,105,212
112,113,113,Steve Marino,76,49.52,205,414
113,114,114,Zack Miller,86,49.39,242,490
114,115,115,Charlie Wi,83,49.33,221,448
115,116,116,J.J. Henry,96,49.3,212,430
116,117,117,J.P. Hayes,56,49.25,132,268
117,118,118,Pat Perez,76,49.09,189,385
118,119,119,Ángel Cabrera,50,48.97,142,290
119,120,120,Troy Merritt,63,48.92,158,323
120,121,121,Graeme McDowell,50,48.88,109,223
121,T122,T122,Scott Gutschewski,67,48.84,169,346
122,T122,T122,Padraig Harrington,60,48.84,189,387
123,124,124,Jarrod Lyle,83,48.79,221,453
124,T125,T125,Joseph Bramlett,73,48.77,179,367
125,T125,T125,Joe Ogilvie,75,48.77,198,406
126,T127,T127,Johnson Wagner,81,48.72,171,351
127,T127,T127,Mark Wilson,89,48.72,191,392
128,129,129,Alex Prugh,82,48.71,226,464
129,130,130,Freddie Jacobson,92,48.7,224,460
130,131,131,D.A. Points,89,48.68,203,417
131,T132,T132,Bryce Molder,82,48.66,182,374
132,T132,T132,Rod Pampling,72,48.66,145,298
133,134,134,Ben Curtis,66,48.65,126,259
134,135,135,Billy Horschel,75,48.62,158,325
135,136,136,Fabián Gómez,84,48.59,190,391
136,137,137,Tag Ridings,87,48.56,236,486
137,T138,T138,Nick O'Hern,89,48.51,163,336
138,T138,T138,Marc Turnesa,54,48.51,130,268
139,140,140,Camilo Villegas,69,48.5,194,400
140,141,141,Kevin Na,84,48.48,240,495
141,142,142,Shaun Micheel,77,48.22,217,450
142,143,143,Greg Chalmers,88,48.12,217,451
143,144,144,Lee Janzen,62,48.1,139,289
144,145,145,Sean O'Hair,71,47.92,207,432
145,146,146,Brian Davis,105,47.7,207,434
146,147,147,Andres Gonzales,60,47.5,133,280
147,148,148,Kent Jones,76,47.46,159,335
148,149,149,Andres Romero,77,47.39,209,441
149,150,150,David Mathis,83,47.34,169,357
150,151,151,Keegan Bradley,91,47.32,221,467
151,T152,T152,Bio Kim,71,47.31,202,427
152,T152,T152,Brendan Steele,89,47.31,202,427
153,154,154,Jim Renner,65,47.24,154,326
154,T155,T155,Justin Leonard,82,47.22,187,396
155,T155,T155,Tim Petrovic,88,47.22,195,413
156,157,157,Kevin Kisner,70,46.99,164,349
157,158,158,Richard Johnson,64,46.96,139,296
158,159,159,Ben Martin,74,46.93,168,358
159,160,160,Shane Bertsch,62,46.9,121,258
160,161,161,Stuart Appleby,65,46.84,178,380
161,162,162,Matt Bettencourt,84,46.58,238,511
162,163,163,Derek Lamely,65,46.56,203,436
163,164,164,Scott McCarron,65,46.51,140,301
164,165,165,Dean Wilson,62,46.49,139,299
165,166,166,Arjun Atwal,91,46.32,258,557
166,167,167,Steve Flesch,88,46.24,209,452
167,168,168,Justin Hicks,60,46.12,101,219
168,169,169,Rich Beem,53,46.07,123,267
169,170,170,Zach Johnson,79,45.89,145,316
170,171,171,Cameron Beckman,71,45.75,167,365
171,172,172,Brian Gay,90,45.71,149,326
172,173,173,Daniel Summerhays,75,45.5,172,378
173,174,174,Chris Riley,76,45.48,136,299
174,175,175,Michael Connell,76,45.45,165,363
175,176,176,Martin Piller,63,45.38,172,379
176,177,177,Aron Price,58,45.37,98,216
177,178,178,Jim Furyk,87,45.19,174,385
178,179,179,Garrett Willis,71,44.98,139,309
179,180,180,Nate Smith,66,44.95,147,327
180,181,181,Sung Kang,63,44.76,141,315
181,182,182,Colt Knost,80,44.73,157,351
182,183,183,D.J. Brigman,67,44.44,164,369
183,184,184,Jerry Kelly,85,43.96,131,298
184,185,185,Ryan Moore,79,43.78,169,386
185,186,186,Matt McQuillan,59,42.49,116,273
