,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
50,T51,T51,Ángel Cabrera,50,-.093
51,T51,T51,Carl Pettersson,95,-.093
52,T53,T53,Chez Reavie,92,-.091
53,T53,T53,Kyle Stanley,98,-.091
54,55,55,Freddie Jacobson,92,-.090
55,T56,T56,Jim Furyk,87,-.089
56,T56,T56,Vijay Singh,79,-.089
57,T58,T58,Jason Bohn,74,-.088
58,T58,T58,Jimmy Walker,79,-.088
59,T60,T60,John Merrick,71,-.086
60,T60,T60,Rory Sabbatini,85,-.086
61,T62,T62,Kris Blanks,92,-.085
62,T62,T62,Heath Slocum,89,-.085
63,T62,T62,Brendan Steele,89,-.085
64,T65,T65,Jason Dufner,78,-.084
65,T65,T65,Steve Marino,76,-.084
66,67,67,D.A. Points,89,-.083
67,T68,T68,Blake Adams,116,-.082
68,T68,T68,Greg Chalmers,88,-.082
69,T68,T68,Marc Leishman,87,-.082
70,T68,T68,Jim Renner,65,-.082
71,72,72,J.B. Holmes,57,-.081
72,73,73,Rod Pampling,72,-.080
73,74,74,Brian Gay,90,-.079
74,T75,T75,Tommy Gainey,104,-.078
75,T75,T75,Bill Lunde,92,-.078
76,T75,T75,Michael Thompson,79,-.078
77,T75,T75,Camilo Villegas,69,-.078
78,T79,T79,Stewart Cink,72,-.077
79,T79,T79,Chris Couch,73,-.077
80,T79,T79,Ben Crane,76,-.077
81,T79,T79,Sergio Garcia,61,-.077
82,T79,T79,Ben Martin,74,-.077
83,T79,T79,Geoff Ogilvy,69,-.077
84,T79,T79,Paul Stankowski,78,-.077
85,T79,T79,Vaughn Taylor,89,-.077
86,T87,T87,Arjun Atwal,91,-.076
87,T87,T87,Graeme McDowell,50,-.076
88,89,89,Robert Garrigus,83,-.075
89,T90,T90,Jim Herman,69,-.074
90,T90,T90,Pat Perez,76,-.074
91,T90,T90,Tag Ridings,87,-.074
92,T93,T93,Padraig Harrington,60,-.073
93,T93,T93,Jeff Overton,92,-.073
94,T93,T93,Josh Teater,104,-.073
95,T93,T93,D.J. Trahan,91,-.073
96,97,97,Troy Matteson,91,-.072
97,98,98,Sung Kang,63,-.071
98,T99,T99,Retief Goosen,50,-.070
99,T99,T99,Boo Weekley,66,-.070
100,T101,T101,Ian Poulter,52,-.069
101,T101,T101,Charlie Wi,83,-.069
102,T103,T103,Keegan Bradley,91,-.068
103,T103,T103,Garrett Willis,71,-.068
104,105,105,Cameron Tringale,110,-.067
105,T106,T106,Aron Price,58,-.066
106,T106,T106,Scott Stallings,84,-.066
107,T108,T108,Chris DiMarco,93,-.065
108,T108,T108,Hunter Haas,96,-.065
109,T108,T108,Billy Horschel,75,-.065
110,T108,T108,Billy Mayfair,94,-.065
111,T108,T108,Nick O'Hern,89,-.065
112,113,113,Scott Gutschewski,67,-.064
113,T114,T114,Anthony Kim,72,-.063
114,T114,T114,William McGirt,103,-.063
115,T114,T114,Tim Petrovic,88,-.063
116,T114,T114,Dean Wilson,62,-.063
117,T118,T118,Steve Elkington,50,-.062
118,T118,T118,Kevin Stadler,88,-.062
119,T120,T120,J.J. Henry,96,-.061
120,T120,T120,Tim Herron,85,-.061
121,T120,T120,Roland Thatcher,67,-.061
122,123,123,Joe Ogilvie,75,-.060
123,T124,T124,Shane Bertsch,62,-.058
124,T124,T124,Ryuji Imada,83,-.058
125,T124,T124,Chris Riley,76,-.058
126,T127,T127,Ricky Barnes,78,-.057
127,T127,T127,Michael Bradley,74,-.057
128,T127,T127,Sean O'Hair,71,-.057
129,T130,T130,George McNeill,69,-.056
130,T130,T130,Matt McQuillan,59,-.056
131,132,132,Lee Janzen,62,-.055
132,T133,T133,Trevor Immelman,84,-.054
133,T133,T133,Ryan Palmer,82,-.054
134,T133,T133,Jhonattan Vegas,84,-.054
135,T133,T133,Johnson Wagner,81,-.054
136,137,137,Steven Bowditch,86,-.051
137,T138,T138,Alex Cejka,59,-.050
138,T138,T138,Andres Gonzales,60,-.050
139,T140,T140,Michael Connell,76,-.049
140,T140,T140,Kent Jones,76,-.049
141,T142,T142,Cameron Beckman,71,-.048
142,T142,T142,Ben Curtis,66,-.048
143,T142,T142,Steve Flesch,88,-.048
144,145,145,Chris Stroud,88,-.047
145,T146,T146,James Driscoll,71,-.045
146,T146,T146,Scott McCarron,65,-.045
147,T146,T146,Alexandre Rocha,65,-.045
148,T146,T146,Y.E. Yang,63,-.045
149,150,150,Kevin Chappell,78,-.043
150,151,151,Nathan Green,81,-.042
151,T152,T152,Matt Jones,71,-.041
152,T152,T152,Alex Prugh,82,-.041
153,T154,T154,Shaun Micheel,77,-.040
154,T154,T154,Nate Smith,66,-.040
155,156,156,Troy Merritt,63,-.039
156,157,157,David Mathis,83,-.037
157,T158,T158,Matt Bettencourt,84,-.036
158,T158,T158,Fabián Gómez,84,-.036
159,160,160,Michael Putnam,67,-.035
160,T161,T161,Joseph Bramlett,73,-.034
161,T161,T161,Joe Durant,71,-.034
162,163,163,Tom Gillis,55,-.033
163,T164,T164,David Duval,67,-.031
164,T164,T164,J.P. Hayes,56,-.031
165,T164,T164,Will Strickler,51,-.031
166,T167,T167,Stephen Ames,69,-.030
167,T167,T167,Bobby Gates,82,-.030
168,169,169,Justin Leonard,82,-.028
169,170,170,Jarrod Lyle,83,-.020
170,171,171,Colt Knost,80,-.018
171,172,172,Martin Piller,63,-.017
172,T173,T173,D.J. Brigman,67,-.016
173,T173,T173,Harrison Frazar,58,-.016
174,T173,T173,Derek Lamely,65,-.016
175,176,176,Marc Turnesa,54,-.014
176,T177,T177,Stuart Appleby,65,-.013
177,T177,T177,Paul Goydos,81,-.013
178,179,179,Rocco Mediate,53,-.009
179,180,180,Richard Johnson,64,-.001
180,181,181,Bio Kim,71,E
181,182,182,Daniel Summerhays,75,+.001
182,183,183,Zack Miller,86,+.004
183,184,184,Kevin Kisner,70,+.007
184,185,185,Rich Beem,53,+.013
185,186,186,Justin Hicks,60,+.027
