,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
49,50,50,John Rollins,85,22.84,227,994
50,T51,T51,Blake Adams,116,22.83,331,1450
51,T51,T51,Boo Weekley,66,22.83,176,771
52,T53,T53,Brian Davis,105,22.82,303,1328
53,T53,T53,Kevin Streelman,90,22.82,222,973
54,55,55,Rory Sabbatini,85,22.79,175,768
55,56,56,Brendon de Jonge,105,22.78,285,1251
56,T57,T57,John Merrick,71,22.74,191,840
57,T57,T57,Bryce Molder,82,22.74,229,1007
58,T57,T57,Jim Renner,65,22.74,156,686
59,60,60,Jason Dufner,78,22.73,203,893
60,61,61,Ernie Els,71,22.69,177,780
61,62,62,Josh Teater,104,22.66,273,1205
62,63,63,Anthony Kim,72,22.45,145,646
63,64,64,Garrett Willis,71,22.4,198,884
64,65,65,Aron Price,58,22.39,159,710
65,66,66,Kevin Stadler,88,22.36,218,975
66,67,67,Freddie Jacobson,92,22.32,206,923
67,T68,T68,David Hearn,88,22.31,228,1022
68,T68,T68,Graeme McDowell,50,22.31,114,511
69,T68,T68,D.A. Points,89,22.31,222,995
70,T71,T71,Bill Lunde,92,22.28,229,1028
71,T71,T71,Troy Matteson,91,22.28,229,1028
72,73,73,Mark Wilson,89,22.22,216,972
73,74,74,Jason Bohn,74,22.18,210,947
74,75,75,Stewart Cink,72,22.17,149,672
75,76,76,Arjun Atwal,91,22.13,229,1035
76,77,77,Jeff Overton,92,22.11,205,927
77,78,78,Lee Janzen,62,22.06,152,689
78,79,79,Retief Goosen,50,22.03,117,531
79,T80,T80,K.J. Choi,77,22.0,174,791
80,T80,T80,Marc Leishman,87,22.0,213,968
81,82,82,Chad Campbell,99,21.99,265,1205
82,83,83,Chris Couch,73,21.98,200,910
83,84,84,Shane Bertsch,62,21.97,163,742
84,T85,T85,Sergio Garcia,61,21.95,126,574
85,T85,T85,Joe Ogilvie,75,21.95,164,747
86,87,87,Charles Howell III,108,21.9,254,1160
87,88,88,Jhonattan Vegas,84,21.82,182,834
88,89,89,Jim Herman,69,21.79,158,725
89,90,90,Michael Thompson,79,21.76,203,933
90,91,91,Tag Ridings,87,21.75,199,915
91,92,92,Keegan Bradley,91,21.73,221,1017
92,93,93,Jimmy Walker,79,21.68,201,927
93,94,94,Greg Chalmers,88,21.67,228,1052
94,95,95,Scott Stallings,84,21.63,191,883
95,96,96,Kris Blanks,92,21.61,242,1120
96,97,97,Billy Horschel,75,21.59,185,857
97,98,98,Woody Austin,59,21.56,149,691
98,T99,T99,Hunter Haas,96,21.52,240,1115
99,T99,T99,Jerry Kelly,85,21.52,213,990
100,101,101,Spencer Levin,113,21.51,273,1269
101,102,102,Paul Stankowski,78,21.47,178,829
102,103,103,Brian Gay,90,21.44,235,1096
103,104,104,Matt Jones,71,21.38,174,814
104,T105,T105,Briny Baird,60,21.36,148,693
105,T105,T105,Vaughn Taylor,89,21.36,236,1105
106,107,107,Steve Flesch,88,21.34,220,1031
107,T108,T108,Sung Kang,63,21.33,141,661
108,T108,T108,Charlie Wi,83,21.33,218,1022
109,110,110,Ian Poulter,52,21.31,114,535
110,T111,T111,Kent Jones,76,21.3,196,920
111,T111,T111,Derek Lamely,65,21.3,147,690
112,T111,T111,Alex Prugh,82,21.3,193,906
113,114,114,Tom Gillis,55,21.28,140,658
114,115,115,Davis Love III,70,21.24,144,678
115,116,116,Billy Mayfair,94,21.2,254,1198
116,117,117,Chris DiMarco,93,21.19,238,1123
117,118,118,Andres Gonzales,60,21.12,132,625
118,T119,T119,George McNeill,69,21.04,158,751
119,T119,T119,Will Strickler,51,21.04,117,556
120,121,121,Sean O'Hair,71,21.03,159,756
121,122,122,Cameron Tringale,110,21.01,266,1266
122,123,123,Fabián Gómez,84,20.93,193,922
123,124,124,Harrison Frazar,58,20.91,106,507
124,T125,T125,James Driscoll,71,20.9,158,756
125,T125,T125,Heath Slocum,89,20.9,224,1072
126,127,127,Tim Petrovic,88,20.84,218,1046
127,128,128,Rod Pampling,72,20.81,174,836
128,T129,T129,Ben Crane,76,20.79,180,866
129,T129,T129,Roland Thatcher,67,20.79,163,784
130,T131,T131,Jim Furyk,87,20.77,210,1011
131,T131,T131,Nick O'Hern,89,20.77,232,1117
132,133,133,Tim Herron,85,20.72,201,970
133,134,134,Scott Gutschewski,67,20.71,145,700
134,135,135,Ryuji Imada,83,20.67,203,982
135,136,136,Y.E. Yang,63,20.61,115,558
136,137,137,Padraig Harrington,60,20.6,116,563
137,T138,T138,Scott McCarron,65,20.59,147,714
138,T138,T138,Matt McQuillan,59,20.59,139,675
139,140,140,D.J. Trahan,91,20.51,217,1058
140,141,141,Cameron Beckman,71,20.45,172,841
141,142,142,Ricky Barnes,78,20.42,167,818
142,143,143,Matt Bettencourt,84,20.38,194,952
143,144,144,Ryan Palmer,82,20.36,148,727
144,145,145,Dean Wilson,62,20.34,157,772
145,146,146,Johnson Wagner,81,20.33,199,979
146,147,147,David Mathis,83,20.31,198,975
147,148,148,Bio Kim,71,20.2,139,688
148,149,149,David Duval,67,20.11,141,701
149,150,150,Alex Cejka,59,20.03,129,644
150,151,151,Joseph Bramlett,73,19.92,158,793
151,T152,T152,Michael Bradley,74,19.84,150,756
152,T152,T152,William McGirt,103,19.84,241,1215
153,154,154,Chris Riley,76,19.78,194,981
154,155,155,Chris Stroud,88,19.76,199,1007
155,156,156,Bobby Gates,82,19.72,171,867
156,157,157,Michael Connell,76,19.62,194,989
157,158,158,J.J. Henry,96,19.61,220,1122
158,159,159,Nathan Green,81,19.6,176,898
159,160,160,Rocco Mediate,53,19.55,131,670
160,161,161,D.J. Brigman,67,19.51,135,692
161,162,162,Stuart Appleby,65,19.45,149,766
162,163,163,Martin Piller,63,19.44,126,648
163,164,164,Jarrod Lyle,83,19.4,180,928
164,165,165,Kevin Kisner,70,19.34,146,755
165,166,166,Alexandre Rocha,65,19.32,125,647
166,167,167,J.P. Hayes,56,19.31,124,642
167,168,168,Paul Goydos,81,19.3,203,1052
168,169,169,Kevin Chappell,78,19.25,148,769
169,170,170,Steve Elkington,50,19.16,114,595
170,171,171,Nate Smith,66,18.8,132,702
171,T172,T172,Stephen Ames,69,18.74,160,854
172,T172,T172,Ben Curtis,66,18.74,167,891
173,174,174,Joe Durant,71,18.72,178,951
174,T175,T175,Troy Merritt,63,18.58,139,748
175,T175,T175,Zack Miller,86,18.58,180,969
176,177,177,Marc Turnesa,54,18.52,115,621
177,178,178,Shaun Micheel,77,18.47,152,823
178,179,179,Michael Putnam,67,18.14,115,634
179,180,180,Trevor Immelman,84,17.98,162,901
180,181,181,Justin Hicks,60,17.73,111,626
181,182,182,Justin Leonard,82,17.69,188,1063
182,183,183,Daniel Summerhays,75,17.56,157,894
183,184,184,Colt Knost,80,17.55,165,940
184,185,185,Richard Johnson,64,16.25,118,726
185,186,186,Rich Beem,53,16.08,100,622
