,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
46,47,47,Jeff Overton,92,157.9,1290247.0,227
47,48,48,David Hearn,88,158.0,1171975.0,206
48,T49,T49,Jason Day,76,158.1,842623.0,148
49,T49,T49,Billy Mayfair,94,158.1,1371398.0,241
50,T49,T49,Alex Prugh,82,158.1,1451129.0,255
51,T52,T52,Blake Adams,116,158.3,1703438.0,299
52,T52,T52,Matt Bettencourt,84,158.3,1476119.0,259
53,T52,T52,D.J. Brigman,67,158.3,1168558.0,205
54,T52,T52,Tim Herron,85,158.3,1293959.0,227
55,T56,T56,Padraig Harrington,60,158.5,713255.0,125
56,T56,T56,David Mathis,83,158.5,1198021.0,210
57,T56,T56,George McNeill,69,158.5,1015710.0,178
58,T56,T56,D.J. Trahan,91,158.5,1346192.0,236
59,60,60,Rickie Fowler,84,158.6,1164621.0,204
60,T61,T61,Colt Knost,80,158.7,1262441.0,221
61,T61,T61,Pat Perez,76,158.7,1182743.0,207
62,T63,T63,Steve Stricker,70,158.9,617634.0,108
63,T63,T63,Jhonattan Vegas,84,158.9,1349853.0,236
64,65,65,Geoff Ogilvy,69,159.0,921379.0,161
65,T66,T66,Ángel Cabrera,50,159.3,670974.0,117
66,T66,T66,Paul Goydos,81,159.3,1416488.0,247
67,T66,T66,Ben Martin,74,159.3,1250025.0,218
68,T69,T69,Charles Howell III,108,159.4,1216442.0,212
69,T69,T69,Scott McCarron,65,159.4,1004226.0,175
70,T71,T71,Kris Blanks,92,159.5,1377950.0,240
71,T71,T71,Bryce Molder,82,159.5,1010358.0,176
72,73,73,Adam Scott,60,159.6,723804.0,126
73,T74,T74,Jim Herman,69,159.7,988622.0,172
74,T74,T74,Dustin Johnson,72,159.7,960159.0,167
75,T74,T74,Ian Poulter,52,159.7,609475.0,106
76,77,77,Michael Thompson,79,159.9,1116932.0,194
77,T78,T78,Jason Bohn,74,160.0,1083180.0,188
78,T78,T78,Michael Putnam,67,160.0,881208.0,153
79,T78,T78,Paul Stankowski,78,160.0,1122936.0,195
80,81,81,Harrison Frazar,58,160.1,847059.0,147
81,82,82,James Driscoll,71,160.2,1141769.0,198
82,83,83,Chris Stroud,88,160.3,1350600.0,234
83,T84,T84,John Merrick,71,160.4,975955.0,169
84,T84,T84,Joe Ogilvie,75,160.4,1172158.0,203
85,86,86,Vaughn Taylor,89,160.5,1363847.0,236
86,T87,T87,Woody Austin,59,160.6,745700.0,129
87,T87,T87,Aaron Baddeley,77,160.6,959792.0,166
88,T87,T87,Kevin Na,84,160.6,1040912.0,180
89,T87,T87,Sean O'Hair,71,160.6,1190743.0,206
90,T87,T87,Aron Price,58,160.6,878846.0,152
91,T87,T87,Marc Turnesa,54,160.6,907652.0,157
92,T93,T93,Luke Donald,73,160.7,572672.0,99
93,T93,T93,Jarrod Lyle,83,160.7,1532684.0,265
94,95,95,Matt Jones,71,160.8,1221805.0,211
95,96,96,Vijay Singh,79,160.9,1216294.0,210
96,T97,T97,Martin Piller,63,161.1,1136572.0,196
97,T97,T97,Rory Sabbatini,85,161.1,980137.0,169
98,T97,T97,John Senden,94,161.1,1252434.0,216
99,T100,T100,Briny Baird,60,161.2,708090.0,122
100,T100,T100,Steve Flesch,88,161.2,1526308.0,263
101,T100,T100,Charlie Wi,83,161.2,1288241.0,222
102,T103,T103,Alex Cejka,59,161.4,795872.0,137
103,T103,T103,Ben Curtis,66,161.4,987912.0,170
104,T103,T103,Sergio Garcia,61,161.4,674035.0,116
105,T103,T103,Carl Pettersson,95,161.4,1470067.0,253
106,T107,T107,Sung Kang,63,161.5,953536.0,164
107,T107,T107,Rocco Mediate,53,161.5,1046231.0,180
108,T109,T109,Chris Couch,73,161.6,1081947.0,186
109,T109,T109,Chris DiMarco,93,161.6,1425355.0,245
110,T109,T109,Richard Johnson,64,161.6,1041240.0,179
111,T112,T112,Jim Furyk,87,161.7,1030397.0,177
112,T112,T112,Heath Slocum,89,161.7,1152647.0,198
113,114,114,Charl Schwartzel,58,161.8,693129.0,119
114,115,115,Tim Petrovic,88,161.9,1311006.0,225
115,T116,T116,Kevin Streelman,90,162.0,1067176.0,183
116,T116,T116,Camilo Villegas,69,162.0,1096447.0,188
117,T118,T118,Jason Dufner,78,162.1,1056397.0,181
118,T118,T118,Marc Leishman,87,162.1,1383194.0,237
119,120,120,Chris Riley,76,162.2,1168101.0,200
120,T121,T121,Stewart Cink,72,162.3,841275.0,144
121,T121,T121,Roland Thatcher,67,162.3,1168262.0,200
122,123,123,Scott Piercy,78,162.5,1064958.0,182
123,T124,T124,Joseph Bramlett,73,162.6,1193876.0,204
124,T124,T124,Chad Campbell,99,162.6,1410987.0,241
125,T124,T124,Brendan Steele,89,162.6,1398810.0,239
126,T124,T124,Y.E. Yang,63,162.6,679088.0,116
127,128,128,Robert Garrigus,83,162.8,1295609.0,221
128,T129,T129,Brendon de Jonge,105,162.9,1413157.0,241
129,T129,T129,Kent Jones,76,162.9,1278052.0,218
130,T129,T129,Jimmy Walker,79,162.9,1372515.0,234
131,T132,T132,Ricky Barnes,78,163.0,1155758.0,197
132,T132,T132,Scott Gutschewski,67,163.0,1120652.0,191
133,T132,T132,Anthony Kim,72,163.0,1109150.0,189
134,T132,T132,Tag Ridings,87,163.0,1413854.0,241
135,T136,T136,Robert Allenby,84,163.1,1103887.0,188
136,T136,T136,Bubba Watson,85,163.1,1044952.0,178
137,138,138,Fabián Gómez,84,163.2,1380816.0,235
138,T139,T139,K.J. Choi,77,163.5,906524.0,154
139,T139,T139,Gary Woodland,93,163.5,1077370.0,183
140,141,141,Stephen Ames,69,163.6,1001285.0,170
141,T142,T142,Arjun Atwal,91,163.7,1643976.0,279
142,T142,T142,Retief Goosen,50,163.7,636397.0,108
143,144,144,Alexandre Rocha,65,163.8,884475.0,150
144,T145,T145,Justin Hicks,60,163.9,991418.0,168
145,T145,T145,Nick O'Hern,89,163.9,1239345.0,210
146,T147,T147,Matt Kuchar,94,164.0,950317.0,161
147,T147,T147,Chez Reavie,92,164.0,1428800.0,242
148,T149,T149,Hunter Mahan,92,164.1,1240717.0,210
149,T149,T149,Brandt Snedeker,85,164.1,1128024.0,191
150,T149,T149,Nick Watney,80,164.1,832857.0,141
151,152,152,Ryan Moore,79,164.2,981134.0,166
152,153,153,Spencer Levin,113,164.3,1366002.0,231
153,154,154,Martin Laird,77,164.4,935013.0,158
154,155,155,Steve Marino,76,164.6,1119978.0,189
155,T156,T156,Lucas Glover,74,164.7,1067458.0,180
156,T156,T156,J.P. Hayes,56,164.7,954339.0,161
157,158,158,Hunter Haas,96,164.9,1394747.0,235
158,159,159,Phil Mickelson,79,165.0,926654.0,156
159,T160,T160,Kevin Kisner,70,165.3,1225736.0,206
160,T160,T160,Daniel Summerhays,75,165.3,1380956.0,232
161,162,162,Robert Karlsson,61,165.5,714915.0,120
162,T163,T163,Charley Hoffman,93,165.6,1263670.0,212
163,T163,T163,William McGirt,103,165.6,1442970.0,242
164,T163,T163,Dean Wilson,62,165.6,989846.0,166
165,166,166,Davis Love III,70,165.9,770269.0,129
166,167,167,D.A. Points,89,166.3,1371096.0,229
167,T168,T168,Rich Beem,53,166.4,982488.0,164
168,T168,T168,Bill Haas,93,166.4,1066522.0,178
169,T168,T168,Chris Kirk,87,166.4,1359643.0,227
170,T171,T171,Ryuji Imada,83,166.7,1398351.0,233
171,T171,T171,David Toms,78,166.7,804282.0,134
172,173,173,Brian Davis,105,166.8,1530778.0,255
173,T174,T174,Greg Chalmers,88,166.9,1250054.0,208
174,T174,T174,Brian Gay,90,166.9,1147700.0,191
175,T174,T174,Nathan Green,81,166.9,1322201.0,220
176,T177,T177,Joe Durant,71,167.0,1112105.0,185
177,T177,T177,Justin Rose,79,167.0,986061.0,164
178,179,179,Rod Pampling,72,167.2,950940.0,158
179,180,180,Kyle Stanley,98,167.3,1499564.0,249
180,181,181,Ernie Els,71,167.4,1054916.0,175
181,182,182,Michael Connell,76,167.7,1298248.0,215
182,183,183,Jerry Kelly,85,168.2,987156.0,163
183,184,184,Ben Crane,76,168.5,933973.0,154
184,185,185,Johnson Wagner,81,169.1,1186929.0,195
185,186,186,Zach Johnson,79,171.0,898537.0,146
