,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
33,34,34,Keegan Bradley,91,168.0,6434012.0,1064
34,35,35,Andres Romero,77,168.1,5621371.0,929
35,T36,T36,Kevin Chappell,78,168.2,5081574.0,839
36,T36,T36,Phil Mickelson,79,168.2,4794316.0,792
37,T38,T38,Aaron Baddeley,77,168.4,5177662.0,854
38,T38,T38,Bill Haas,93,168.4,6085056.0,1004
39,40,40,Tom Gillis,55,168.5,4155035.0,685
40,T41,T41,James Driscoll,71,168.7,5029734.0,828
41,T41,T41,Anthony Kim,72,168.7,4821262.0,794
42,T41,T41,Webb Simpson,98,168.7,6976856.0,1149
43,44,44,Jim Herman,69,169.0,4813606.0,791
44,45,45,Michael Putnam,67,169.1,4413529.0,725
45,46,46,Joe Ogilvie,75,169.6,5108945.0,837
46,47,47,Kevin Streelman,90,169.7,6011941.0,984
47,48,48,Chris Stroud,88,169.8,6534979.0,1069
48,T49,T49,John Merrick,71,169.9,5126243.0,838
49,T49,T49,Carl Pettersson,95,169.9,7606953.0,1244
50,T51,T51,Derek Lamely,65,170.0,4827329.0,789
51,T51,T51,Jim Renner,65,170.0,4466961.0,730
52,53,53,Zack Miller,86,170.5,6296486.0,1026
53,T54,T54,Bio Kim,71,170.6,4844894.0,789
54,T54,T54,Chris Kirk,87,170.6,6467332.0,1053
55,T54,T54,Steve Marino,76,170.6,5287454.0,861
56,57,57,Vijay Singh,79,170.8,6099810.0,992
57,58,58,Sean O'Hair,71,170.9,5058003.0,822
58,59,59,Kevin Stadler,88,171.0,6139249.0,997
59,60,60,Cameron Tringale,110,171.1,8239347.0,1338
60,61,61,Charles Howell III,108,171.2,7765884.0,1260
61,T62,T62,Graeme McDowell,50,171.3,3194679.0,518
62,T62,T62,Martin Piller,63,171.3,4372996.0,709
63,T64,T64,Ricky Barnes,78,171.4,5447663.0,883
64,T64,T64,Bill Lunde,92,171.4,6553455.0,1062
65,66,66,Joseph Bramlett,73,171.5,5167205.0,837
66,T67,T67,Matt Bettencourt,84,171.6,6500190.0,1052
67,T67,T67,Marc Leishman,87,171.6,6740722.0,1091
68,T67,T67,Jimmy Walker,79,171.6,6424034.0,1040
69,70,70,Robert Karlsson,61,171.7,3850099.0,623
70,71,71,David Hearn,88,171.9,6539991.0,1057
71,72,72,Hunter Mahan,92,172.0,6513967.0,1052
72,73,73,George McNeill,69,172.2,4942006.0,797
73,T74,T74,Jonathan Byrd,83,172.3,6179051.0,996
74,T74,T74,Ernie Els,71,172.3,5087615.0,820
75,T76,T76,Bobby Gates,82,172.4,5709267.0,920
76,T76,T76,Padraig Harrington,60,172.4,3815873.0,615
77,T78,T78,Andres Gonzales,60,172.5,3899362.0,628
78,T78,T78,Brandt Jobe,100,172.5,6916424.0,1114
79,80,80,Sung Kang,63,172.6,4380521.0,705
80,T81,T81,Michael Bradley,74,172.7,4999483.0,804
81,T81,T81,Billy Horschel,75,172.7,5297244.0,852
82,T81,T81,Michael Thompson,79,172.7,5870682.0,944
83,84,84,Rory Sabbatini,85,172.9,5227710.0,840
84,T85,T85,Blake Adams,116,173.0,9010690.0,1447
85,T85,T85,Rod Pampling,72,173.0,5199722.0,835
86,87,87,Tim Herron,85,173.1,6617148.0,1062
87,T88,T88,Robert Allenby,84,173.3,6058961.0,971
88,T88,T88,Scott Gutschewski,67,173.3,4723659.0,757
89,T88,T88,William McGirt,103,173.3,7922641.0,1270
90,91,91,Pat Perez,76,173.4,6037033.0,967
91,92,92,Brendan Steele,89,173.5,6602118.0,1057
92,93,93,Roland Thatcher,67,173.6,5235799.0,838
93,94,94,Brandt Snedeker,85,173.7,5745999.0,919
94,T95,T95,Ben Crane,76,173.8,5386547.0,861
95,T95,T95,David Duval,67,173.8,4980958.0,796
96,T95,T95,Lucas Glover,74,173.8,5248080.0,839
97,T95,T95,Camilo Villegas,69,173.8,4931665.0,788
98,99,99,Lee Janzen,62,174.0,4316597.0,689
99,T100,T100,Scott McCarron,65,174.3,4680963.0,746
100,T100,T100,Alexandre Rocha,65,174.3,4228022.0,674
101,T102,T102,Briny Baird,60,174.5,4272886.0,680
102,T102,T102,Jason Dufner,78,174.5,5653602.0,900
103,T102,T102,Kevin Kisner,70,174.5,4924629.0,784
104,T102,T102,Ben Martin,74,174.5,5604424.0,892
105,106,106,Chad Campbell,99,174.7,7495805.0,1192
106,107,107,Matt Kuchar,94,174.8,6249053.0,993
107,108,108,Matt Jones,71,174.9,5529538.0,878
108,T109,T109,Geoff Ogilvy,69,175.3,4676046.0,741
109,T109,T109,John Senden,94,175.3,7068444.0,1120
110,T111,T111,J.J. Henry,96,175.7,6889390.0,1089
111,T111,T111,Freddie Jacobson,92,175.7,6111081.0,966
112,T111,T111,Spencer Levin,113,175.7,8188932.0,1295
113,T111,T111,Charl Schwartzel,58,175.7,3535349.0,559
114,T115,T115,Troy Merritt,63,175.9,4944602.0,781
115,T115,T115,Chez Reavie,92,175.9,7186532.0,1135
116,T117,T117,Hunter Haas,96,176.0,7424693.0,1172
117,T117,T117,Trevor Immelman,84,176.0,5836818.0,921
118,T117,T117,Ryan Moore,79,176.0,5251788.0,829
119,T120,T120,D.J. Brigman,67,176.1,4755399.0,750
120,T120,T120,Ian Poulter,52,176.1,3435351.0,542
121,T122,T122,Jason Bohn,74,176.3,5907578.0,931
122,T122,T122,Heath Slocum,89,176.3,6518255.0,1027
123,124,124,Cameron Beckman,71,176.4,5588739.0,880
124,T125,T125,Brendon de Jonge,105,176.6,8028752.0,1263
125,T125,T125,Justin Hicks,60,176.6,3878193.0,610
126,127,127,Justin Rose,79,176.7,5558641.0,874
127,128,128,Stuart Appleby,65,176.8,5236996.0,823
128,T129,T129,Shane Bertsch,62,176.9,4585617.0,720
129,T129,T129,Fabián Gómez,84,176.9,6016754.0,945
130,T129,T129,Steve Stricker,70,176.9,4720193.0,741
131,T129,T129,Vaughn Taylor,89,176.9,7234727.0,1136
132,133,133,Arjun Atwal,91,177.2,7247858.0,1136
133,134,134,Y.E. Yang,63,177.3,3715176.0,582
134,T135,T135,Kris Blanks,92,177.6,7369960.0,1153
135,T135,T135,Stewart Cink,72,177.6,4570248.0,715
136,137,137,D.A. Points,89,177.7,6519048.0,1019
137,138,138,Retief Goosen,50,177.8,3469489.0,542
138,139,139,Steve Flesch,88,177.9,6840154.0,1068
139,140,140,Matt McQuillan,59,178.1,4258391.0,664
140,T141,T141,Paul Stankowski,78,178.3,5724312.0,892
141,T141,T141,Charlie Wi,83,178.3,6798095.0,1059
142,143,143,Ryuji Imada,83,178.5,6719757.0,1046
143,144,144,Jarrod Lyle,83,178.6,6353840.0,988
144,T145,T145,Tim Petrovic,88,178.8,6817223.0,1059
145,T145,T145,Mark Wilson,89,178.8,6199739.0,963
146,147,147,Billy Mayfair,94,178.9,7591539.0,1179
147,T148,T148,Stephen Ames,69,179.0,5340860.0,829
148,T148,T148,Joe Durant,71,179.0,5697115.0,884
149,T148,T148,Kent Jones,76,179.0,5972456.0,927
150,T151,T151,Brian Davis,105,179.2,8192843.0,1270
151,T151,T151,J.P. Hayes,56,179.2,4277012.0,663
152,153,153,Jim Furyk,87,179.4,6309973.0,977
153,154,154,Aron Price,58,179.5,4400386.0,681
154,T155,T155,Woody Austin,59,179.7,4464860.0,690
155,T155,T155,Steve Elkington,50,179.7,3752184.0,580
156,157,157,Nathan Green,81,179.9,6225342.0,961
157,158,158,Rich Beem,53,180.1,4058339.0,626
158,159,159,Shaun Micheel,77,180.4,5759897.0,887
159,160,160,Johnson Wagner,81,181.0,6325677.0,971
160,161,161,Luke Donald,73,181.2,4715505.0,723
161,T162,T162,Colt Knost,80,181.3,6062986.0,929
162,T162,T162,David Toms,78,181.3,5318373.0,815
163,T162,T162,Garrett Willis,71,181.3,5762612.0,883
164,T165,T165,Chris DiMarco,93,181.4,7410564.0,1135
165,T165,T165,Bryce Molder,82,181.4,6385296.0,978
166,T165,T165,Chris Riley,76,181.4,6130686.0,939
167,168,168,Jerry Kelly,85,181.6,6157004.0,942
168,T169,T169,Michael Connell,76,181.9,6494333.0,992
169,T169,T169,David Mathis,83,181.9,6369869.0,973
170,T169,T169,Kevin Na,84,181.9,6111276.0,933
171,172,172,Justin Leonard,82,182.1,6659430.0,1016
172,173,173,Greg Chalmers,88,182.2,7169140.0,1093
173,T174,T174,Zach Johnson,79,182.4,5845245.0,890
174,T174,T174,Daniel Summerhays,75,182.4,5908339.0,900
175,176,176,K.J. Choi,77,182.5,5295807.0,806
176,177,177,Ben Curtis,66,183.1,5676858.0,861
177,178,178,Rocco Mediate,53,183.4,4391258.0,665
178,179,179,Nick O'Hern,89,183.5,6990909.0,1058
179,180,180,Nate Smith,66,184.4,4826236.0,727
180,181,181,Alex Cejka,59,184.5,4271825.0,643
181,T182,T182,Paul Goydos,81,185.1,6808707.0,1022
182,T182,T182,Marc Turnesa,54,185.1,4231294.0,635
183,184,184,Dean Wilson,62,186.4,5192978.0,774
184,185,185,Brian Gay,90,186.5,6862150.0,1022
185,186,186,Richard Johnson,64,187.5,4993907.0,740
