,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
45,46,46,Bob Estes,92,69.9,734,1050,-0.23
46,47,47,Garrett Willis,97,69.88,877,1255,-0.16
47,48,48,Jeff Sluman,106,69.69,883,1267,-0.22
48,49,49,Spike McRoy,103,69.65,943,1354,-0.14
49,50,50,Duffy Waldorf,90,69.47,735,1058,-0.2
50,51,51,Bob Burns,88,69.45,739,1064,-0.11
51,52,52,Steven Alker,87,69.41,783,1128,-0.1
52,53,53,John Maginnes,87,69.37,752,1084,-0.1
53,54,54,Tommy Armour III,66,69.32,549,792,-0.15
54,55,55,Jeff Brehaut,110,69.31,971,1401,-0.2
55,T56,T56,John Huston,76,69.26,694,1002,-0.22
56,T56,T56,John Rollins,89,69.26,640,924,-0.22
57,58,58,Gene Sauers,87,69.23,783,1131,-0.08
58,59,59,Aaron Barber,94,69.21,854,1234,-0.15
59,60,60,Briny Baird,113,69.19,1013,1464,-0.21
60,61,61,Arron Oberholser,80,69.18,743,1074,-0.18
61,62,62,Tom Lehman,87,69.13,665,962,-0.19
62,63,63,Brad Elder,51,69.11,434,628,-0.1
63,T64,T64,Darren Clarke,61,68.98,367,532,-0.22
64,T64,T64,Joey Sindelar,93,68.98,854,1238,-0.13
65,66,66,Frank Lickliter II,94,68.89,784,1138,-0.13
66,T67,T67,Robert Allenby,87,68.86,617,896,-0.27
67,T67,T67,Shigeki Maruyama,87,68.86,723,1050,-0.16
68,69,69,Darron Stiles,93,68.82,777,1129,-0.15
69,70,70,Mark Brooks,90,68.68,752,1095,-0.12
70,71,71,Chris Anderson,96,68.59,832,1213,-0.15
71,72,72,Alex Cejka,98,68.58,753,1098,-0.15
72,73,73,J.P. Hayes,79,68.56,700,1021,-0.17
73,74,74,Tim Petrovic,108,68.42,884,1292,-0.19
74,75,75,Rod Pampling,87,68.41,695,1016,-0.2
75,76,76,Ben Curtis,69,68.38,573,838,-0.1
76,77,77,Kenneth Staton,59,68.28,523,766,-0.08
77,78,78,Dan Forsman,98,68.26,856,1254,-0.18
78,79,79,Harrison Frazar,88,68.25,789,1156,-0.18
79,80,80,Chris DiMarco,98,68.23,756,1108,-0.24
80,81,81,Matt Kuchar,63,68.19,566,830,-0.15
81,82,82,J.L. Lewis,99,68.12,827,1214,-0.16
82,83,83,Esteban Toledo,109,68.03,966,1420,-0.13
83,84,84,David Gossett,92,68.0,833,1225,-0.17
84,85,85,Dean Wilson,82,67.94,693,1020,-0.15
85,86,86,Cameron Yancey,58,67.84,483,712,-0.04
86,87,87,Jim Carter,95,67.74,840,1240,-0.11
87,88,88,Robert Gamez,114,67.6,987,1460,-0.23
88,89,89,Matt Gogel,77,67.59,634,938,-0.14
89,T90,T90,Akio Sadakata,83,67.58,717,1061,-0.13
90,T90,T90,Mark Wilson,82,67.58,715,1058,-0.09
91,92,92,Brent Schwarzrock,60,67.49,519,769,-0.17
92,93,93,Kenichi Kuboya,91,67.47,788,1168,-0.11
93,T94,T94,Michael Clark II,54,67.46,479,710,-0.1
94,T94,T94,Chris Smith,92,67.46,792,1174,-0.16
95,96,96,J.J. Henry,100,67.42,900,1335,-0.19
96,97,97,Jay Don Blake,77,67.4,610,905,-0.15
97,98,98,Jay Haas,89,67.36,677,1005,-0.21
98,99,99,Brandt Jobe,77,67.35,685,1017,-0.18
99,T100,T100,Dudley Hart,66,67.3,564,838,-0.14
100,T100,T100,Dicky Pride,73,67.3,599,890,-0.17
101,102,102,Cameron Beckman,86,67.24,780,1160,-0.16
102,103,103,Joel Edwards,60,67.22,562,836,-0.12
103,104,104,Craig Barlow,95,67.09,848,1264,-0.21
104,105,105,Nick Price,65,67.05,472,704,-0.19
105,106,106,Per-Ulrik Johansson,96,67.01,841,1255,-0.18
106,107,107,Len Mattiace,94,66.95,703,1050,-0.16
107,108,108,David Frost,80,66.89,701,1048,-0.19
108,109,109,Brian Gay,100,66.77,830,1243,-0.14
109,110,110,Davis Love III,85,66.63,593,890,-0.26
110,111,111,Stephen Ames,91,66.53,785,1180,-0.24
111,112,112,Bob Tway,89,66.52,735,1105,-0.23
112,113,113,Jonathan Kaye,91,66.51,695,1045,-0.17
113,114,114,David Toms,90,66.35,621,936,-0.22
114,115,115,Brian Bateman,70,66.32,573,864,-0.15
115,116,116,Kaname Yokoo,56,66.23,453,684,-0.09
116,117,117,Mark Calcavecchia,84,66.16,649,981,-0.17
117,118,118,Chris Riley,96,66.08,711,1076,-0.18
118,119,119,Steve Flesch,110,66.07,882,1335,-0.22
119,120,120,Jesper Parnevik,102,66.03,801,1213,-0.17
120,121,121,Bernhard Langer,65,66.02,478,724,-0.16
121,122,122,David Sutherland,77,66.0,623,944,-0.18
122,123,123,Brian Henninger,56,65.95,459,696,-0.11
123,124,124,Vijay Singh,106,65.58,762,1162,-0.29
124,125,125,Mike Weir,80,65.51,509,777,-0.21
125,126,126,Mark O'Meara,69,65.37,453,693,-0.12
126,127,127,Jonathan Byrd,101,65.27,795,1218,-0.2
127,128,128,Rory Sabbatini,95,65.15,718,1102,-0.15
128,129,129,Shaun Micheel,97,65.1,815,1252,-0.19
129,130,130,Scott Laycock,71,65.05,592,910,-0.16
130,131,131,Tim Herron,102,65.03,822,1264,-0.24
131,132,132,Tiger Woods,74,64.97,473,728,-0.29
132,133,133,Rich Beem,80,64.78,572,883,-0.16
133,134,134,Ian Leggatt,71,64.63,561,868,-0.15
134,135,135,Thomas Levet,85,64.53,675,1046,-0.17
135,136,136,Charles Howell III,120,64.43,873,1355,-0.22
136,137,137,Pat Perez,95,64.41,751,1166,-0.17
137,138,138,Woody Austin,107,64.2,814,1268,-0.22
138,139,139,Peter Lonard,96,64.06,679,1060,-0.2
139,140,140,Mathew Goggin,90,64.03,689,1076,-0.14
140,141,141,Steve Lowery,86,63.99,613,958,-0.18
141,142,142,Paul Stankowski,67,63.86,562,880,-0.25
142,143,143,Kevin Sutherland,97,63.7,688,1080,-0.2
143,144,144,K.J. Choi,112,63.69,791,1242,-0.22
144,145,145,Lee Janzen,83,63.64,567,891,-0.19
145,146,146,Retief Goosen,69,63.57,445,700,-0.27
146,147,147,Marco Dawson,86,63.51,665,1047,-0.18
147,148,148,Stuart Appleby,90,63.38,630,994,-0.2
148,149,149,Carl Pettersson,80,63.36,664,1048,-0.18
149,150,150,"Dave Stockton, Jr.",79,63.35,636,1004,-0.12
150,151,151,Todd Fischer,97,63.27,801,1266,-0.17
151,152,152,Patrick Sheehan,101,63.21,828,1310,-0.19
152,153,153,Paul Gow,62,63.19,503,796,-0.13
153,154,154,Anthony Painter,87,62.72,700,1116,-0.11
154,155,155,Steve Allan,53,62.54,409,654,-0.14
155,156,156,Ernie Els,65,62.5,385,616,-0.25
156,157,157,Geoff Ogilvy,86,62.43,643,1030,-0.19
157,158,158,Adam Scott,52,62.39,297,476,-0.22
158,159,159,John Morgan,81,62.24,651,1046,-0.14
159,160,160,Mike Sposa,72,62.22,565,908,-0.18
160,161,161,Neal Lancaster,110,62.21,884,1421,-0.18
161,162,162,Jason Buha,61,61.98,476,768,-0.09
162,163,163,Paul Azinger,73,61.84,577,933,-0.16
163,164,164,Billy Andrade,100,61.6,762,1237,-0.2
164,165,165,Scott McCarron,86,61.59,542,880,-0.18
165,166,166,Deane Pappas,75,61.43,591,962,-0.21
166,167,167,Tom Pernice Jr.,105,61.31,802,1308,-0.2
167,168,168,Ben Crane,94,61.03,714,1170,-0.24
168,169,169,Andrew Magee,91,60.87,703,1155,-0.18
169,170,170,Fred Couples,71,60.82,416,684,-0.26
170,171,171,Stewart Cink,104,60.69,744,1226,-0.26
171,172,172,Brent Geiberger,51,60.17,429,713,-0.21
172,173,173,Brenden Pappas,105,60.16,820,1363,-0.2
173,174,174,Andy Miller,75,60.1,595,990,-0.17
174,175,175,Sergio Garcia,62,60.03,347,578,-0.16
175,176,176,Brad Faxon,97,59.93,652,1088,-0.21
176,177,177,Greg Chalmers,98,59.77,774,1295,-0.21
177,178,178,Carlos Franco,99,59.62,756,1268,-0.21
178,179,179,Vance Veazey,66,59.47,515,866,-0.14
179,180,180,Ty Tryon,52,58.25,367,630,-0.13
180,181,181,Brett Quigley,92,58.08,654,1126,-0.22
181,182,182,Jason Caron,74,57.92,541,934,-0.13
182,183,183,Todd Barranger,78,57.73,564,977,-0.14
183,184,184,Jason Gore,83,57.25,628,1097,-0.19
184,185,185,Craig Perks,82,57.18,585,1023,-0.16
185,186,186,Aaron Baddeley,71,56.67,497,877,-0.24
186,187,187,John Daly,56,52.29,343,656,-0.16
187,188,188,Hank Kuehne,73,51.85,477,920,-0.27
188,189,189,Phil Mickelson,87,50.93,410,805,-0.23
189,190,190,Steve Stricker,59,48.4,378,781,-0.14
