,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
74,T75,T75,Tommy Armour III,66,11.11,88,792,+0.09
75,T75,T75,John Senden,111,11.11,158,1422,+0.08
76,77,77,Joel Edwards,60,11.12,93,836,+0.11
77,78,78,Mark Brooks,90,11.14,122,1095,+0.25
78,79,79,Dudley Hart,66,11.22,94,838,+0.03
79,80,80,Jay Williamson,93,11.23,133,1184,+0.13
80,81,81,Dan Forsman,98,11.24,141,1254,+0.08
81,82,82,Jonathan Kaye,91,11.29,118,1045,+0.19
82,T83,T83,Brad Elder,51,11.31,71,628,+0.32
83,T83,T83,Loren Roberts,87,11.31,112,990,+0.14
84,85,85,Donnie Hammond,92,11.32,135,1193,+0.24
85,86,86,Stuart Appleby,90,11.37,113,994,+0.03
86,87,87,Sergio Garcia,62,11.42,66,578,+0.12
87,88,88,Mathew Goggin,90,11.52,124,1076,+0.15
88,T89,T89,Stephen Ames,91,11.53,136,1180,+0.04
89,T89,T89,Todd Fischer,97,11.53,146,1266,+0.23
90,91,91,Chris Anderson,96,11.54,140,1213,+0.09
91,92,92,David Frost,80,11.55,121,1048,+0.17
92,93,93,Corey Pavin,88,11.57,127,1098,+0.16
93,94,94,John Huston,76,11.58,116,1002,+0.02
94,95,95,Woody Austin,107,11.59,147,1268,+0.01
95,T96,T96,Rod Pampling,87,11.71,119,1016,+0.12
96,T96,T96,Jesper Parnevik,102,11.71,142,1213,+0.14
97,T96,T96,Chris Riley,96,11.71,126,1076,+0.09
98,99,99,Paul Azinger,73,11.79,110,933,+0.20
99,100,100,Rory Sabbatini,95,11.8,130,1102,+0.02
100,101,101,J.J. Henry,100,11.84,158,1335,+0.11
101,102,102,Mark Calcavecchia,84,11.93,117,981,+0.11
102,103,103,Kevin Sutherland,97,11.94,129,1080,+0.18
103,T104,T104,Craig Barlow,95,11.95,151,1264,+0.18
104,T104,T104,Per-Ulrik Johansson,96,11.95,150,1255,+0.22
105,106,106,Robert Gamez,114,11.99,175,1460,+0.06
106,107,107,Bernhard Langer,65,12.02,87,724,+0.17
107,T108,T108,Thomas Levet,85,12.05,126,1046,+0.13
108,T108,T108,John Morgan,81,12.05,126,1046,+0.10
109,T110,T110,Chris DiMarco,98,12.09,134,1108,+0.01
110,T110,T110,Tiger Woods,74,12.09,88,728,+0.03
111,112,112,Notah Begay III,92,12.1,145,1198,+0.07
112,113,113,Mike Sposa,72,12.11,110,908,+0.03
113,114,114,Carl Pettersson,80,12.12,127,1048,+0.21
114,T115,T115,Marco Dawson,86,12.13,127,1047,+0.06
115,T115,T115,Steve Flesch,110,12.13,162,1335,+0.12
116,T115,T115,Davis Love III,85,12.13,108,890,+0.06
117,118,118,Akio Sadakata,83,12.16,129,1061,+0.19
118,119,119,David Toms,90,12.18,114,936,+0.14
119,120,120,Shaun Micheel,97,12.22,153,1252,+0.16
120,121,121,Jonathan Byrd,101,12.23,149,1218,+0.12
121,122,122,Matt Gogel,77,12.26,115,938,+0.26
122,T123,T123,Tom Lehman,87,12.27,118,962,+0.19
123,T123,T123,Kenneth Staton,59,12.27,94,766,+0.09
124,125,125,Mark Wilson,82,12.29,130,1058,+0.24
125,126,126,"Dave Stockton, Jr.",79,12.35,124,1004,+0.21
126,127,127,Scott Verplank,97,12.46,141,1132,+0.10
127,128,128,Kenichi Kuboya,91,12.5,146,1168,+0.14
128,129,129,Harrison Frazar,88,12.54,145,1156,+0.07
129,130,130,Dicky Pride,73,12.58,112,890,+0.08
130,T131,T131,Darren Clarke,61,12.59,67,532,+0.10
131,T131,T131,Brandt Jobe,77,12.59,128,1017,+0.09
132,T131,T131,Vance Veazey,66,12.59,109,866,+0.26
133,134,134,Brent Schwarzrock,60,12.74,98,769,+0.14
134,135,135,Jay Haas,89,12.84,129,1005,+0.06
135,136,136,Carlos Franco,99,12.85,163,1268,+0.07
136,137,137,Mike Weir,80,12.87,100,777,-0.01
137,138,138,Stewart Cink,104,12.89,158,1226,+0.04
138,139,139,Peter Lonard,96,12.92,137,1060,+0.09
139,140,140,Nick Price,65,12.93,91,704,+0.32
140,T141,T141,Brian Gay,100,12.95,161,1243,+0.19
141,T141,T141,Neal Lancaster,110,12.95,184,1421,+0.06
142,T141,T141,Scott McCarron,86,12.95,114,880,+0.04
143,144,144,Patrick Sheehan,101,12.98,170,1310,+0.08
144,145,145,José Coceres,62,13.03,98,752,+0.17
145,146,146,Tom Pernice Jr.,105,13.15,172,1308,+0.06
146,147,147,Lee Janzen,83,13.24,118,891,+0.08
147,T148,T148,Ian Leggatt,71,13.36,116,868,+0.15
148,T148,T148,Steve Lowery,86,13.36,128,958,+0.11
149,150,150,Brian Henninger,56,13.51,94,696,+0.03
150,151,151,Michael Clark II,54,13.52,96,710,+0.09
151,152,152,Bob Tway,89,13.57,150,1105,+0.14
152,153,153,Craig Perks,82,13.69,140,1023,+0.06
153,154,154,Ben Curtis,69,13.72,115,838,+0.17
154,155,155,Brad Faxon,97,13.79,150,1088,+0.16
155,156,156,Anthony Painter,87,13.89,155,1116,+0.11
156,157,157,Phil Mickelson,87,13.91,112,805,+0.07
157,158,158,Brenden Pappas,105,13.94,190,1363,+0.01
158,159,159,Ty Tryon,52,13.97,88,630,+0.24
159,160,160,Retief Goosen,69,14.0,98,700,+0.04
160,161,161,Kaname Yokoo,56,14.04,96,684,+0.23
161,162,162,Fred Couples,71,14.18,97,684,+0.20
162,163,163,Jason Gore,83,14.22,156,1097,+0.14
163,T164,T164,Greg Chalmers,98,14.29,185,1295,+0.07
164,T164,T164,Ernie Els,65,14.29,88,616,E
165,T164,T164,Scott Laycock,71,14.29,130,910,+0.12
166,167,167,David Sutherland,77,14.3,135,944,+0.11
167,168,168,Jason Buha,61,14.32,110,768,+0.06
168,169,169,Robert Allenby,87,14.4,129,896,+0.20
169,T170,T170,Jason Caron,74,14.45,135,934,+0.16
170,T170,T170,Deane Pappas,75,14.45,139,962,-0.03
171,172,172,Geoff Ogilvy,86,14.56,150,1030,+0.02
172,173,173,Ben Crane,94,14.7,172,1170,+0.09
173,174,174,K.J. Choi,112,14.73,183,1242,+0.16
174,175,175,Pat Perez,95,14.84,173,1166,+0.12
175,176,176,Bob Estes,92,14.86,156,1050,+0.17
176,177,177,Brett Quigley,92,15.1,170,1126,+0.09
177,178,178,Billy Andrade,100,15.12,187,1237,+0.08
178,179,179,Aaron Baddeley,71,15.17,133,877,+0.12
179,T180,T180,Brent Geiberger,51,15.57,111,713,+0.14
180,T180,T180,Charles Howell III,120,15.57,211,1355,+0.06
181,182,182,Vijay Singh,106,15.58,181,1162,-0.04
182,T183,T183,Hank Kuehne,73,15.76,145,920,-0.01
183,T183,T183,Andrew Magee,91,15.76,182,1155,+0.04
184,T185,T185,Todd Barranger,78,16.58,162,977,+0.12
185,T185,T185,Paul Gow,62,16.58,132,796,-0.02
186,187,187,Steve Allan,53,16.67,109,654,+0.14
187,188,188,Adam Scott,52,16.81,80,476,+0.28
188,189,189,Steve Stricker,59,18.69,146,781,+0.07
189,190,190,John Daly,56,19.82,130,656,+0.17
