,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
55,T56,T56,John Morgan,81,291.0,45396,156
56,T56,T56,Vance Veazey,66,291.0,38124,131
57,58,58,Tim Herron,102,290.9,57596,198
58,T59,T59,Steve Allan,53,290.8,28212,97
59,T59,T59,Woody Austin,107,290.8,59912,206
60,T59,T59,Jason Buha,61,290.8,33735,116
61,62,62,Craig Perks,82,290.7,45929,158
62,63,63,David Sutherland,77,290.4,41822,144
63,64,64,Rod Pampling,87,290.1,47577,164
64,65,65,J.L. Lewis,99,289.7,55629,192
65,66,66,Brett Quigley,92,289.6,50383,174
66,67,67,Cameron Beckman,86,289.4,48036,166
67,T68,T68,Ben Crane,94,289.2,53207,184
68,T68,T68,Mike Weir,80,289.2,43084,149
69,70,70,Tom Pernice Jr.,105,289.1,58684,203
70,71,71,Shaun Micheel,97,288.9,54027,187
71,T72,T72,Steve Lowery,86,288.8,46205,160
72,T72,T72,Kevin Sutherland,97,288.8,53713,186
73,T72,T72,David Toms,90,288.8,46779,162
74,T72,T72,Bob Tway,89,288.8,49101,170
75,T76,T76,Mike Sposa,72,288.5,39237,136
76,T76,T76,Cameron Yancey,58,288.5,31735,110
77,78,78,Duffy Waldorf,90,288.4,49600,172
78,79,79,Jeff Brehaut,110,288.3,61117,212
79,80,80,Greg Chalmers,98,288.2,54750,190
80,81,81,Stewart Cink,104,288.0,57608,200
81,T82,T82,Aaron Baddeley,71,287.9,38585,134
82,T82,T82,David Gossett,92,287.9,52402,182
83,T82,T82,Per-Ulrik Johansson,96,287.9,54709,190
84,T85,T85,Robert Gamez,114,287.7,65019,226
85,T85,T85,Garrett Willis,97,287.7,54670,190
86,T87,T87,Mark Calcavecchia,84,287.6,48313,168
87,T87,T87,Mike Grob,83,287.6,46017,160
88,T89,T89,Brad Elder,51,287.5,28179,98
89,T89,T89,Anthony Painter,87,287.5,48018,167
90,T89,T89,Pat Perez,95,287.5,52895,184
91,92,92,Thomas Levet,85,286.9,47623,166
