,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
107,108,108,John Maginnes,87,+.133
108,109,109,Paul Goydos,86,+.136
109,110,110,Kenichi Kuboya,91,+.137
110,111,111,Steve Allan,53,+.138
111,T112,T112,David Toms,90,+.140
112,T112,T112,Bob Tway,89,+.140
113,T114,T114,Jason Gore,83,+.141
114,T114,T114,Jesper Parnevik,102,+.141
115,T114,T114,Cameron Yancey,58,+.141
116,T117,T117,Loren Roberts,87,+.143
117,T117,T117,Brent Schwarzrock,60,+.143
118,119,119,Brent Geiberger,51,+.144
119,120,120,Ian Leggatt,71,+.147
120,121,121,Glen Hnatiuk,92,+.148
121,122,122,John Riegger,55,+.149
122,T123,T123,Brian Bateman,70,+.151
123,T123,T123,Fred Funk,112,+.151
124,T123,T123,Billy Mayfair,105,+.151
125,126,126,Mathew Goggin,90,+.153
126,127,127,Jason Caron,74,+.156
127,128,128,Corey Pavin,88,+.157
128,129,129,K.J. Choi,112,+.158
129,130,130,Brad Faxon,97,+.160
130,131,131,Shaun Micheel,97,+.163
131,132,132,Chris Smith,92,+.164
132,T133,T133,Bob Burns,88,+.165
133,T133,T133,David Frost,80,+.165
134,T133,T133,Tim Herron,102,+.165
135,136,136,John Daly,56,+.169
136,137,137,Shigeki Maruyama,87,+.170
137,138,138,Bernhard Langer,65,+.172
138,T139,T139,José Coceres,62,+.173
139,T139,T139,Bob Estes,92,+.173
140,141,141,Ben Curtis,69,+.174
141,T142,T142,Kevin Sutherland,97,+.178
142,T142,T142,Garrett Willis,97,+.178
143,144,144,Craig Barlow,95,+.179
144,T145,T145,Brian Gay,100,+.186
145,T145,T145,Tom Lehman,87,+.186
146,147,147,Paul Stankowski,67,+.188
147,T148,T148,Joe Durant,96,+.192
148,T148,T148,Darron Stiles,93,+.192
149,150,150,Akio Sadakata,83,+.194
150,151,151,Jonathan Kaye,91,+.195
151,152,152,Fred Couples,71,+.196
152,153,153,Robert Damron,96,+.197
153,154,154,Paul Azinger,73,+.200
154,155,155,Robert Allenby,87,+.202
155,156,156,Hidemichi Tanaka,112,+.205
156,157,157,Tom Byrum,97,+.209
157,158,158,"Dave Stockton, Jr.",79,+.210
158,159,159,Gene Sauers,87,+.211
159,160,160,Tom Gillis,71,+.212
160,161,161,Carl Pettersson,80,+.213
161,162,162,Tim Clark,79,+.217
162,163,163,J.P. Hayes,79,+.218
163,164,164,Olin Browne,113,+.219
164,T165,T165,Doug Barron,90,+.220
165,T165,T165,Per-Ulrik Johansson,96,+.220
166,167,167,Kaname Yokoo,56,+.229
167,168,168,John Rollins,89,+.231
168,169,169,Todd Fischer,97,+.233
169,170,170,Donnie Hammond,92,+.237
170,T171,T171,Spike McRoy,103,+.238
171,T171,T171,Mark Wilson,82,+.238
172,173,173,Ty Tryon,52,+.239
173,174,174,Mark O'Meara,69,+.241
174,175,175,Mark Brooks,90,+.246
175,176,176,J.L. Lewis,99,+.248
176,177,177,Vance Veazey,66,+.257
177,178,178,Matt Gogel,77,+.261
178,179,179,Peter Jacobsen,75,+.269
179,T180,T180,Gavin Coles,69,+.272
180,T180,T180,Jeff Klein,60,+.272
181,182,182,Adam Scott,52,+.275
182,183,183,Mike Grob,83,+.293
183,184,184,Andy Miller,75,+.294
184,185,185,Jay Don Blake,77,+.295
185,T186,T186,Matt Kuchar,63,+.319
186,T186,T186,Nick Price,65,+.319
187,T186,T186,Dean Wilson,82,+.319
188,189,189,Brad Elder,51,+.324
189,190,190,Rocco Mediate,80,+.341
