,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
118,T119,T119,Carlos Franco,86,+.149
119,T119,T119,Patrick Sheehan,104,+.149
120,121,121,Joey Sindelar,90,+.150
121,122,122,Corey Pavin,74,+.152
122,123,123,Ryan Hietala,61,+.153
123,T124,T124,Steve Flesch,119,+.154
124,T124,T124,Dudley Hart,83,+.154
125,126,126,Jason Schultz,77,+.156
126,T127,T127,Robert Garrigus,85,+.158
127,T127,T127,John Huston,74,+.158
128,T129,T129,Kent Jones,103,+.159
129,T129,T129,Larry Mize,53,+.159
130,T131,T131,Mark Brooks,90,+.160
131,T131,T131,Kenny Perry,73,+.160
132,133,133,Todd Hamilton,72,+.165
133,134,134,"Wes Short, Jr.",96,+.166
134,T135,T135,Steve Lowery,99,+.167
135,T135,T135,Jerry Smith,94,+.167
136,T137,T137,Sergio Garcia,59,+.169
137,T137,T137,Brian Gay,107,+.169
138,T139,T139,Craig Barlow,77,+.170
139,T139,T139,Nicholas Thompson,96,+.170
140,T141,T141,Lucas Glover,105,+.171
141,T141,T141,Mark Wilson,79,+.171
142,143,143,José María Olazábal,62,+.172
143,144,144,Tjaart van der Walt,60,+.174
144,T145,T145,Doug Barron,74,+.176
145,T145,T145,Chad Campbell,91,+.176
146,T145,T145,Zach Johnson,98,+.176
147,148,148,John Rollins,93,+.177
148,T149,T149,John Cook,67,+.179
149,T149,T149,Ian Leggatt,80,+.179
150,151,151,Jeff Sluman,101,+.181
151,T152,T152,Joe Durant,101,+.184
152,T152,T152,Duffy Waldorf,96,+.184
153,T154,T154,D.J. Trahan,92,+.185
154,T154,T154,Scott Verplank,88,+.185
155,156,156,D.A. Points,82,+.186
156,157,157,Tim Herron,82,+.187
157,T158,T158,Brian Bateman,69,+.188
158,T158,T158,Scott Gutschewski,53,+.188
159,160,160,Arjun Atwal,97,+.189
160,T161,T161,Chris Couch,75,+.190
161,T161,T161,John Daly,51,+.190
162,163,163,Jason Gore,86,+.191
163,T164,T164,David Duval,71,+.195
164,T164,T164,Lee Janzen,79,+.195
165,T166,T166,J.J. Henry,96,+.196
166,T166,T166,Stephen Leaney,84,+.196
167,T166,T166,Justin Leonard,83,+.196
168,T166,T166,Len Mattiace,59,+.196
169,170,170,Peter Lonard,77,+.197
170,171,171,Will MacKenzie,91,+.201
171,T172,T172,Robert Gamez,94,+.205
172,T172,T172,Thomas Levet,53,+.205
173,174,174,Jeff Maggert,81,+.207
174,175,175,Richard Johnson,94,+.209
175,176,176,Jon Mills,68,+.211
176,177,177,"John Engler, Jr.",69,+.215
177,178,178,Tim Clark,80,+.217
178,179,179,Fred Funk,106,+.219
179,180,180,Daisuke Maruyama,83,+.221
180,181,181,Ben Crane,85,+.222
181,182,182,Greg Chalmers,71,+.226
182,183,183,Chris Smith,67,+.227
183,184,184,David Howell,52,+.229
184,185,185,Chris DiMarco,83,+.233
185,186,186,Kirk Triplett,58,+.234
186,187,187,Ron Whittaker,81,+.242
187,188,188,Ian Poulter,53,+.246
188,189,189,Michael Connell,51,+.247
189,190,190,Stephen Ames,63,+.258
190,T191,T191,J.L. Lewis,57,+.267
191,T191,T191,Ryan Moore,68,+.267
192,193,193,Steve Jones,83,+.285
193,194,194,Hidemichi Tanaka,74,+.286
194,T195,T195,Olin Browne,108,+.299
195,T195,T195,Brent Geiberger,99,+.299
