,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
50,51,51,Jerry Kelly,85,70.29,1968,28
51,T52,T52,Dustin Johnson,72,70.3,1406,20
52,T52,T52,Charlie Wi,83,70.3,1617,23
53,54,54,Rory Sabbatini,85,70.31,2461,35
54,55,55,Charley Hoffman,93,70.32,2672,38
55,T56,T56,Robert Allenby,84,70.36,2744,39
56,T56,T56,Chris Riley,76,70.36,1548,22
57,T58,T58,Jason Day,76,70.38,1478,21
58,T58,T58,James Driscoll,71,70.38,1689,24
59,T58,T58,Rod Pampling,72,70.38,1478,21
60,61,61,Kevin Na,84,70.39,2182,31
61,62,62,Geoff Ogilvy,69,70.42,1690,24
62,63,63,Cameron Tringale,110,70.44,2254,32
63,64,64,D.J. Trahan,91,70.45,2184,31
64,65,65,Keegan Bradley,91,70.46,1691,24
65,T66,T66,Briny Baird,60,70.48,1480,21
66,T66,T66,Tim Herron,85,70.48,1621,23
67,68,68,Davis Love III,70,70.5,1128,16
68,T69,T69,Jonathan Byrd,83,70.52,1904,27
69,T69,T69,Bill Lunde,92,70.52,2327,33
70,T69,T69,Boo Weekley,66,70.52,1904,27
71,T72,T72,Cameron Beckman,71,70.54,1693,24
72,T72,T72,Ryan Moore,79,70.54,1693,24
73,74,74,Kyle Stanley,98,70.55,2681,38
74,75,75,Ben Curtis,66,70.57,1976,28
75,76,76,J.P. Hayes,56,70.58,847,12
76,77,77,Vijay Singh,79,70.59,1553,22
77,78,78,Stewart Cink,72,70.61,1624,23
78,79,79,Pat Perez,76,70.63,1907,27
79,T80,T80,Chris Couch,73,70.67,1272,18
80,T80,T80,Scott Gutschewski,67,70.67,1484,21
81,T82,T82,Billy Mayfair,94,70.68,2403,34
82,T82,T82,Josh Teater,104,70.68,2615,37
83,T84,T84,Jason Dufner,78,70.7,1626,23
84,T84,T84,Bubba Watson,85,70.7,1626,23
85,T86,T86,Chez Reavie,92,70.71,2404,34
86,T86,T86,Andres Romero,77,70.71,1697,24
87,88,88,Michael Thompson,79,70.74,1344,19
88,89,89,David Mathis,83,70.75,1981,28
89,90,90,William McGirt,103,70.76,1769,25
90,91,91,Tag Ridings,87,70.77,2123,30
91,T92,T92,Woody Austin,59,70.84,1346,19
92,T92,T92,Chris DiMarco,93,70.84,2267,32
93,T92,T92,Joe Ogilvie,75,70.84,1771,25
94,95,95,Michael Bradley,74,70.88,2339,33
95,96,96,Camilo Villegas,69,70.89,1276,18
96,T97,T97,Aaron Baddeley,77,70.9,1418,20
97,T97,T97,Matt Bettencourt,84,70.9,2056,29
98,99,99,Nick Watney,80,70.92,922,13
99,100,100,Graeme McDowell,50,70.93,1064,15
100,T101,T101,Joe Durant,71,70.95,1490,21
101,T101,T101,Ian Poulter,52,70.95,1419,20
102,T103,T103,Kent Jones,76,70.96,1916,27
103,T103,T103,Michael Putnam,67,70.96,1703,24
104,105,105,Troy Matteson,91,70.97,2058,29
105,T106,T106,Andres Gonzales,60,71.0,1633,23
106,T106,T106,Trevor Immelman,84,71.0,1633,23
107,T106,T106,Matt Jones,71,71.0,1704,24
108,T106,T106,Anthony Kim,72,71.0,1775,25
109,T106,T106,Vaughn Taylor,89,71.0,1775,25
110,111,111,Jimmy Walker,79,71.03,2060,29
111,112,112,Bobby Gates,82,71.04,1989,28
112,T113,T113,Steve Marino,76,71.05,1421,20
113,T113,T113,Scott McCarron,65,71.05,1563,22
114,115,115,Kevin Streelman,90,71.09,2275,32
115,116,116,Y.E. Yang,63,71.1,1493,21
116,117,117,Stephen Ames,69,71.12,1209,17
117,T118,T118,Martin Laird,77,71.14,1565,22
118,T118,T118,Ben Martin,74,71.14,1565,22
119,120,120,Sean O'Hair,71,71.15,1850,26
120,T121,T121,Billy Horschel,75,71.18,1566,22
121,T121,T121,Garrett Willis,71,71.18,1566,22
122,123,123,Scott Stallings,84,71.19,2278,32
123,T124,T124,Jim Herman,69,71.2,1424,20
124,T124,T124,Brendan Steele,89,71.2,1780,25
125,126,126,Nate Smith,66,71.21,1353,19
126,T127,T127,George McNeill,69,71.22,1638,23
127,T127,T127,D.A. Points,89,71.22,2564,36
128,T129,T129,Harrison Frazar,58,71.23,1567,22
129,T129,T129,Lucas Glover,74,71.23,1567,22
130,T129,T129,Ryuji Imada,83,71.23,2208,31
131,T129,T129,Mark Wilson,89,71.23,2137,30
132,133,133,Stuart Appleby,65,71.24,1496,21
133,134,134,Jason Bohn,74,71.25,1995,28
134,135,135,Robert Karlsson,61,71.26,1639,23
135,136,136,Dean Wilson,62,71.28,1283,18
136,137,137,Kris Blanks,92,71.33,1926,27
137,138,138,Joseph Bramlett,73,71.36,1784,25
138,T139,T139,D.J. Brigman,67,71.39,1642,23
139,T139,T139,Justin Leonard,82,71.39,1285,18
140,141,141,Justin Hicks,60,71.41,1214,17
141,T142,T142,Greg Chalmers,88,71.44,1786,25
142,T142,T142,Robert Garrigus,83,71.44,2286,32
143,144,144,Steve Flesch,88,71.45,1572,22
144,T145,T145,Hunter Haas,96,71.46,2001,28
145,T145,T145,Bio Kim,71,71.46,1858,26
146,147,147,Michael Connell,76,71.48,1501,21
147,148,148,Tom Gillis,55,71.5,1716,24
148,149,149,Paul Stankowski,78,71.52,1645,23
149,150,150,Alex Prugh,82,71.53,2289,32
150,151,151,Roland Thatcher,67,71.55,1431,20
151,152,152,Derek Lamely,65,71.6,1432,20
152,T153,T153,Padraig Harrington,60,71.61,1289,18
153,T153,T153,Shaun Micheel,77,71.61,2005,28
154,T153,T153,Kevin Stadler,88,71.61,2005,28
155,156,156,J.B. Holmes,57,71.63,1361,19
156,T157,T157,Ricky Barnes,78,71.68,1577,22
157,T157,T157,Fabián Gómez,84,71.68,1577,22
158,159,159,Lee Janzen,62,71.72,2080,29
159,160,160,Troy Merritt,63,71.75,1722,24
160,161,161,Kevin Kisner,70,71.76,1794,25
161,162,162,Matt McQuillan,59,71.84,1365,19
162,163,163,Steve Elkington,50,71.85,934,13
163,164,164,K.J. Choi,77,71.87,1078,15
164,165,165,Arjun Atwal,91,71.88,2444,34
165,166,166,Alexandre Rocha,65,71.9,1438,20
166,167,167,Ernie Els,71,72.0,1440,20
167,168,168,Jim Renner,65,72.05,1513,21
168,169,169,Tim Petrovic,88,72.08,1730,24
169,170,170,Jim Furyk,87,72.1,1442,20
170,171,171,Marc Turnesa,54,72.11,1370,19
171,172,172,Alex Cejka,59,72.14,1587,22
172,T173,T173,Richard Johnson,64,72.15,1876,26
173,T173,T173,Jhonattan Vegas,84,72.15,1443,20
174,T175,T175,Colt Knost,80,72.21,1372,19
175,T175,T175,Jarrod Lyle,83,72.21,1372,19
176,177,177,Jeff Overton,92,72.22,2311,32
177,178,178,Will Strickler,51,72.26,1373,19
178,179,179,Tommy Gainey,104,72.47,2174,30
179,180,180,David Duval,67,72.63,1743,24
180,181,181,Martin Piller,63,72.76,1237,17
181,182,182,Zack Miller,86,72.89,2041,28
182,183,183,Daniel Summerhays,75,73.04,1680,23
183,184,184,Rich Beem,53,73.06,1169,16
184,185,185,Rocco Mediate,53,73.12,1243,17
185,186,186,Paul Goydos,81,73.67,1326,18
