,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
118,T118,T118,Jeff Overton,92,71.25,855,12
119,T118,T118,Rory Sabbatini,85,71.25,1140,16
120,T121,T121,Fabián Gómez,84,71.27,1568,22
121,T121,T121,Andres Romero,77,71.27,1069,15
122,123,123,Kevin Chappell,78,71.32,1355,19
123,T124,T124,Richard Johnson,64,71.33,1284,18
124,T124,T124,Robert Karlsson,61,71.33,642,9
125,T124,T124,Vijay Singh,79,71.33,856,12
126,127,127,John Rollins,85,71.35,1213,17
127,128,128,Brendan Steele,89,71.36,999,14
128,T129,T129,Joe Durant,71,71.38,928,13
129,T129,T129,Bio Kim,71,71.38,1499,21
130,131,131,Chris Riley,76,71.4,714,10
131,132,132,Arjun Atwal,91,71.41,1571,22
132,133,133,Steve Flesch,88,71.42,857,12
133,T134,T134,William McGirt,103,71.44,1143,16
134,T134,T134,Scott Piercy,78,71.44,1143,16
135,136,136,Zack Miller,86,71.47,1215,17
136,T137,T137,Cameron Beckman,71,71.5,1001,14
137,T137,T137,K.J. Choi,77,71.5,429,6
138,T137,T137,Bobby Gates,82,71.5,1573,22
139,T137,T137,Scott Stallings,84,71.5,1430,20
140,141,141,David Duval,67,71.56,1145,16
141,142,142,Matt Jones,71,71.58,1360,19
142,143,143,Michael Bradley,74,71.65,1433,20
143,144,144,Andres Gonzales,60,71.69,932,13
144,145,145,Retief Goosen,50,71.73,789,11
145,146,146,Nathan Green,81,71.74,1363,19
146,147,147,Matt Bettencourt,84,71.75,1435,20
147,148,148,Marc Turnesa,54,71.79,1005,14
148,149,149,Chez Reavie,92,71.82,1221,17
149,T150,T150,Jim Herman,69,71.83,1293,18
150,T150,T150,Pat Perez,76,71.83,862,12
151,T152,T152,Sean O'Hair,71,71.88,1150,16
152,T152,T152,Daniel Summerhays,75,71.88,1222,17
153,154,154,Nate Smith,66,71.9,1438,20
154,155,155,Garrett Willis,71,71.94,1295,18
155,T156,T156,Padraig Harrington,60,72.0,504,7
156,T156,T156,Billy Horschel,75,72.0,792,11
157,T156,T156,Dustin Johnson,72,72.0,648,9
158,T156,T156,Kevin Kisner,70,72.0,1152,16
159,T156,T156,Matt McQuillan,59,72.0,1296,18
160,T156,T156,Bubba Watson,85,72.0,216,3
161,162,162,Stuart Appleby,65,72.07,1009,14
162,163,163,Martin Piller,63,72.11,1370,19
163,164,164,Robert Allenby,84,72.13,1154,16
164,165,165,Jarrod Lyle,83,72.14,1587,22
165,166,166,Derek Lamely,65,72.15,938,13
166,167,167,Joseph Bramlett,73,72.23,939,13
167,T168,T168,Paul Goydos,81,72.27,1084,15
168,T168,T168,Alexandre Rocha,65,72.27,795,11
169,170,170,D.J. Brigman,67,72.28,1301,18
170,171,171,Troy Merritt,63,72.29,1229,17
171,172,172,Justin Hicks,60,72.37,1375,19
172,T173,T173,James Driscoll,71,72.38,579,8
173,T173,T173,Harrison Frazar,58,72.38,941,13
174,175,175,Rocco Mediate,53,72.4,724,10
175,176,176,J.P. Hayes,56,72.55,798,11
176,177,177,Ernie Els,71,72.67,436,6
177,178,178,Scott McCarron,65,72.7,727,10
178,179,179,Rich Beem,53,72.71,1018,14
179,180,180,Alex Prugh,82,72.81,1529,21
180,T181,T181,Scott Gutschewski,67,73.0,949,13
181,T181,T181,Adam Scott,60,73.0,219,3
182,183,183,Roland Thatcher,67,73.09,804,11
183,184,184,Ángel Cabrera,50,73.11,658,9
184,185,185,Will Strickler,51,73.17,878,12
185,186,186,Tom Gillis,55,73.58,883,12
