,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
43,T39,T39,Will Strickler,70.33,422,6
44,45,45,K.J. Choi,70.35,1196,17
45,T46,T46,Ben Crane,70.36,985,14
46,T46,T46,Tim Herron,70.36,985,14
47,T48,T48,Jonathan Byrd,70.38,1126,16
48,T48,T48,Brendan Steele,70.38,1126,16
49,T48,T48,Chris Stroud,70.38,1126,16
50,T51,T51,Jason Dufner,70.4,1056,15
51,T51,T51,Sergio Garcia,70.4,1056,15
52,T53,T53,Chez Reavie,70.41,1197,17
53,T53,T53,Steve Stricker,70.41,1197,17
54,55,55,Charley Hoffman,70.42,1338,19
55,56,56,Blake Adams,70.43,1620,23
56,57,57,Phil Mickelson,70.47,1339,19
57,T58,T58,Stephen Ames,70.5,846,12
58,T58,T58,Scott Stallings,70.5,846,12
59,T60,T60,Kris Blanks,70.53,1199,17
60,T60,T60,Nick O'Hern,70.53,1058,15
61,T60,T60,John Rollins,70.53,1058,15
62,63,63,Billy Horschel,70.55,776,11
63,64,64,Rod Pampling,70.57,988,14
64,65,65,Aaron Baddeley,70.59,1200,17
65,T66,T66,Jason Bohn,70.6,1059,15
66,T66,T66,Chad Campbell,70.6,1412,20
67,T66,T66,Roland Thatcher,70.6,706,10
68,69,69,Robert Karlsson,70.62,918,13
69,70,70,Cameron Beckman,70.64,777,11
70,71,71,Greg Chalmers,70.65,1201,17
71,T72,T72,George McNeill,70.67,848,12
72,T72,T72,Bo Van Pelt,70.67,1272,18
73,T72,T72,Johnson Wagner,70.67,1060,15
74,T75,T75,Ryuji Imada,70.69,919,13
75,T75,T75,Scott Piercy,70.69,1131,16
76,77,77,Jim Furyk,70.72,1273,18
77,T78,T78,Brian Davis,70.73,1556,22
78,T78,T78,James Driscoll,70.73,778,11
79,T80,T80,Dustin Johnson,70.75,1132,16
80,T80,T80,D.J. Trahan,70.75,1132,16
81,82,82,Adam Scott,70.77,920,13
82,83,83,Bio Kim,70.78,637,9
83,84,84,Ernie Els,70.8,1062,15
84,85,85,Kyle Stanley,70.81,1487,21
85,T86,T86,Woody Austin,70.82,779,11
86,T86,T86,Retief Goosen,70.82,779,11
87,T88,T88,David Hearn,70.83,1275,18
88,T88,T88,D.A. Points,70.83,1275,18
89,T88,T88,Rory Sabbatini,70.83,1275,18
90,91,91,Joe Ogilvie,70.85,921,13
91,92,92,Brandt Jobe,70.86,1488,21
92,93,93,Tim Petrovic,70.87,1063,15
93,94,94,Ryan Moore,70.88,1205,17
94,95,95,Y.E. Yang,70.92,922,13
95,T96,T96,Hunter Haas,71.0,1136,16
96,T96,T96,Justin Hicks,71.0,426,6
97,T96,T96,Trevor Immelman,71.0,1278,18
98,T96,T96,Lee Janzen,71.0,781,11
99,T96,T96,Anthony Kim,71.0,781,11
100,T96,T96,Jimmy Walker,71.0,1136,16
101,T102,T102,Freddie Jacobson,71.05,1492,21
102,T102,T102,Jeff Overton,71.05,1421,20
103,104,104,Jhonattan Vegas,71.06,1208,17
104,105,105,Michael Thompson,71.07,995,14
105,106,106,Michael Putnam,71.08,853,12
106,107,107,Boo Weekley,71.09,782,11
107,108,108,Marc Leishman,71.12,1209,17
108,109,109,Paul Stankowski,71.14,996,14
109,T110,T110,John Senden,71.15,1423,20
110,T110,T110,Josh Teater,71.15,1423,20
111,112,112,J.J. Henry,71.2,1424,20
112,113,113,Bubba Watson,71.22,1282,18
113,114,114,Kent Jones,71.23,926,13
114,T115,T115,Ángel Cabrera,71.25,570,8
115,T115,T115,Andres Gonzales,71.25,570,8
116,T115,T115,Daniel Summerhays,71.25,570,8
117,T118,T118,Joseph Bramlett,71.27,784,11
118,T118,T118,Lucas Glover,71.27,1069,15
119,T118,T118,John Merrick,71.27,1069,15
120,T118,T118,Garrett Willis,71.27,784,11
121,T122,T122,Tommy Gainey,71.29,1212,17
122,T122,T122,Bill Haas,71.29,1497,21
123,124,124,Steve Flesch,71.31,1141,16
124,T125,T125,Rickie Fowler,71.33,1284,18
125,T125,T125,Sean O'Hair,71.33,856,12
126,127,127,Jarrod Lyle,71.36,785,11
127,T128,T128,Bill Lunde,71.37,1356,19
128,T128,T128,William McGirt,71.37,1356,19
129,T130,T130,Kevin Chappell,71.38,928,13
130,T130,T130,Troy Merritt,71.38,571,8
131,T132,T132,Richard Johnson,71.4,714,10
132,T132,T132,Kevin Kisner,71.4,714,10
133,T132,T132,Scott McCarron,71.4,714,10
134,135,135,Brendon de Jonge,71.41,1571,22
135,T136,T136,David Duval,71.44,643,9
136,T136,T136,Martin Laird,71.44,1143,16
137,138,138,Padraig Harrington,71.46,929,13
138,139,139,Ryan Palmer,71.47,1215,17
139,T140,T140,Keegan Bradley,71.53,1216,17
140,T140,T140,Andres Romero,71.53,1216,17
141,142,142,Stewart Cink,71.54,930,13
142,T143,T143,Ricky Barnes,71.56,1145,16
143,T143,T143,Chris Couch,71.56,1145,16
144,T143,T143,Tom Gillis,71.56,644,9
145,T143,T143,Troy Matteson,71.56,1145,16
146,T143,T143,Mark Wilson,71.56,1288,18
147,148,148,Justin Leonard,71.57,1002,14
148,149,149,Cameron Tringale,71.59,1575,22
149,150,150,Stuart Appleby,71.6,716,10
150,151,151,Davis Love III,71.62,931,13
151,152,152,Alex Prugh,71.64,788,11
152,153,153,J.B. Holmes,71.67,860,12
153,T154,T154,Bobby Gates,71.7,717,10
154,T154,T154,Matt Jones,71.7,717,10
155,T154,T154,Jim Renner,71.7,717,10
156,157,157,Steve Elkington,71.71,502,7
157,158,158,Kevin Stadler,71.76,1220,17
158,159,159,Chris Riley,71.77,933,13
159,160,160,D.J. Brigman,71.8,718,10
160,161,161,Robert Garrigus,71.81,1149,16
161,162,162,Alexandre Rocha,71.9,719,10
162,163,163,Colt Knost,71.92,863,12
163,T164,T164,Arjun Atwal,72.0,1152,16
164,T164,T164,David Mathis,72.0,1080,15
165,T164,T164,Dean Wilson,72.0,720,10
166,167,167,Matt Bettencourt,72.08,937,13
167,168,168,Ben Martin,72.09,793,11
168,169,169,Charlie Wi,72.24,1228,17
169,170,170,Zack Miller,72.25,867,12
170,171,171,Vaughn Taylor,72.29,1229,17
171,172,172,Harrison Frazar,72.3,723,10
172,T173,T173,Nathan Green,72.38,941,13
173,T173,T173,Nate Smith,72.38,579,8
174,175,175,Shaun Micheel,72.42,869,12
175,176,176,Steve Marino,72.47,1087,15
176,177,177,Jim Herman,72.58,871,12
177,178,178,Fabián Gómez,72.6,1089,15
178,179,179,Scott Gutschewski,72.67,654,9
179,180,180,J.P. Hayes,72.71,509,7
180,181,181,Paul Goydos,72.86,1020,14
181,182,182,Alex Cejka,73.0,730,10
182,183,183,Martin Piller,73.29,513,7
183,184,184,Michael Connell,73.33,880,12
184,185,185,Rocco Mediate,73.5,441,6
185,186,186,Rich Beem,74.2,371,5
