,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
55,56,56,Freddie Jacobson,92,16.28,21,129
56,T57,T57,Derek Lamely,65,16.22,18,111
57,T57,T57,Michael Putnam,67,16.22,18,111
58,59,59,Aron Price,58,15.94,11,69
59,60,60,Tommy Gainey,104,15.93,29,182
60,61,61,Keegan Bradley,91,15.87,20,126
61,62,62,Jason Dufner,78,15.83,19,120
62,63,63,Bio Kim,71,15.82,25,158
63,64,64,Steve Marino,76,15.79,18,114
64,65,65,Paul Goydos,81,15.53,16,103
65,66,66,Joe Ogilvie,75,15.5,20,129
66,T67,T67,Ben Curtis,66,15.38,10,65
67,T67,T67,Brandt Jobe,100,15.38,22,143
68,69,69,Cameron Beckman,71,15.32,17,111
69,70,70,Shane Bertsch,62,15.07,11,73
70,T71,T71,Pat Perez,76,15.04,17,113
71,T71,T71,Jim Renner,65,15.04,17,113
72,73,73,Steve Flesch,88,14.93,20,134
73,74,74,Kevin Na,84,14.91,17,114
74,75,75,Jason Bohn,74,14.81,12,81
75,76,76,Adam Scott,60,14.71,10,68
76,77,77,Nathan Green,81,14.69,21,143
77,78,78,Davis Love III,70,14.47,11,76
78,T79,T79,James Driscoll,71,14.41,17,118
79,T79,T79,Martin Laird,77,14.41,16,111
80,81,81,Bill Lunde,92,14.38,21,146
81,82,82,Webb Simpson,98,14.18,19,134
82,83,83,Anthony Kim,72,14.17,18,127
83,84,84,Woody Austin,59,14.1,11,78
84,85,85,Spencer Levin,113,14.08,20,142
85,86,86,Boo Weekley,66,14.02,15,107
86,87,87,Lee Janzen,62,13.89,10,72
87,88,88,Geoff Ogilvy,69,13.86,14,101
88,89,89,Sergio Garcia,61,13.79,12,87
89,90,90,Fabián Gómez,84,13.74,18,131
90,91,91,Zack Miller,86,13.69,23,168
91,92,92,Zach Johnson,79,13.64,12,88
92,93,93,David Mathis,83,13.6,17,125
93,94,94,John Senden,94,13.57,19,140
94,95,95,Kris Blanks,92,13.51,20,148
95,96,96,William McGirt,103,13.5,22,163
96,97,97,Joseph Bramlett,73,13.49,17,126
97,T98,T98,Hunter Mahan,92,13.33,16,120
98,T98,T98,Bo Van Pelt,92,13.33,16,120
99,100,100,J.P. Hayes,56,13.25,11,83
100,101,101,Marc Turnesa,54,13.19,12,91
101,102,102,Ben Crane,76,13.13,13,99
102,103,103,Retief Goosen,50,13.1,11,84
103,104,104,Stuart Appleby,65,13.01,16,123
104,105,105,John Rollins,85,12.88,17,132
105,T106,T106,Chris DiMarco,93,12.84,19,148
106,T106,T106,Brandt Snedeker,85,12.84,14,109
107,108,108,Ben Martin,74,12.82,15,117
108,109,109,D.J. Trahan,91,12.79,22,172
109,110,110,Vijay Singh,79,12.68,18,142
110,T111,T111,Andres Gonzales,60,12.66,10,79
111,T111,T111,Rocco Mediate,53,12.66,10,79
112,T113,T113,Chez Reavie,92,12.59,17,135
113,T113,T113,Vaughn Taylor,89,12.59,18,143
114,T115,T115,Jonathan Byrd,83,12.5,17,136
115,T115,T115,Matt Jones,71,12.5,17,136
116,117,117,Michael Connell,76,12.36,11,89
117,118,118,Jarrod Lyle,83,12.34,19,154
118,119,119,Cameron Tringale,110,12.25,25,204
119,120,120,Kevin Kisner,70,12.24,12,98
120,T121,T121,Trevor Immelman,84,12.2,15,123
121,T121,T121,Ryan Palmer,82,12.2,15,123
122,123,123,Michael Thompson,79,12.03,16,133
123,124,124,Briny Baird,60,12.0,9,75
124,125,125,Mark Wilson,89,11.97,14,117
125,126,126,Joe Durant,71,11.9,10,84
126,127,127,Scott Gutschewski,67,11.88,12,101
127,T128,T128,D.J. Brigman,67,11.86,14,118
128,T128,T128,Chris Kirk,87,11.86,21,177
129,130,130,Justin Leonard,82,11.82,13,110
130,T131,T131,Ángel Cabrera,50,11.76,8,68
131,T131,T131,Charles Howell III,108,11.76,26,221
132,T131,T131,Paul Stankowski,78,11.76,14,119
133,134,134,Greg Chalmers,88,11.67,21,180
134,135,135,Sean O'Hair,71,11.63,15,129
135,136,136,Bryce Molder,82,11.61,13,112
136,137,137,David Hearn,88,11.59,19,164
137,138,138,Chris Riley,76,11.58,11,95
138,139,139,Charl Schwartzel,58,11.49,10,87
139,140,140,Nick O'Hern,89,11.46,11,96
140,141,141,Will Strickler,51,11.36,10,88
141,142,142,Chad Campbell,99,11.27,16,142
142,143,143,Tag Ridings,87,11.24,19,169
143,144,144,Troy Matteson,91,11.18,19,170
144,T145,T145,Blake Adams,116,10.95,23,210
145,T145,T145,Alex Prugh,82,10.95,15,137
146,147,147,Jim Herman,69,10.83,13,120
147,148,148,David Duval,67,10.78,11,102
148,149,149,Shaun Micheel,77,10.69,14,131
149,150,150,Brian Gay,90,10.64,10,94
150,151,151,Brian Davis,105,10.63,17,160
151,152,152,Andres Romero,77,10.61,14,132
152,153,153,Lucas Glover,74,10.58,11,104
153,154,154,Y.E. Yang,63,10.29,7,68
154,155,155,Alexandre Rocha,65,10.2,10,98
155,156,156,Ernie Els,71,10.19,11,108
156,157,157,Ricky Barnes,78,10.17,12,118
157,158,158,Matt Kuchar,94,10.09,11,109
158,159,159,Camilo Villegas,69,10.07,14,139
159,160,160,Heath Slocum,89,9.89,9,91
160,161,161,Ryan Moore,79,9.71,10,103
161,162,162,Troy Merritt,63,9.65,11,114
162,163,163,Tim Petrovic,88,9.63,13,135
163,164,164,Jason Day,76,9.29,13,140
164,165,165,John Merrick,71,9.26,10,108
165,166,166,Richard Johnson,64,9.2,8,87
166,167,167,J.J. Henry,96,8.82,9,102
167,168,168,Tom Gillis,55,8.79,8,91
168,169,169,Johnson Wagner,81,8.74,9,103
169,170,170,Robert Allenby,84,8.73,11,126
170,171,171,Arjun Atwal,91,8.63,12,139
171,172,172,Sung Kang,63,8.47,10,118
172,173,173,Ryuji Imada,83,8.33,12,144
173,174,174,Nate Smith,66,8.0,8,100
174,175,175,Garrett Willis,71,7.87,7,89
175,176,176,Kent Jones,76,7.75,10,129
176,177,177,Roland Thatcher,67,7.02,8,114
177,178,178,Kevin Streelman,90,6.43,9,140
178,179,179,Rich Beem,53,6.06,4,66
179,180,180,Brendan Steele,89,5.65,7,124
180,181,181,Justin Hicks,60,5.56,3,54
181,T182,T182,Scott McCarron,65,5.32,5,94
182,T182,T182,Dean Wilson,62,5.32,5,94
183,184,184,Daniel Summerhays,75,4.76,6,126
184,185,185,Jerry Kelly,85,4.26,4,94
185,186,186,Steve Elkington,50,4.23,3,71
