,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
37,38,38,David Mathis,83,70.36,1548,22
38,39,39,Phil Mickelson,79,70.37,2463,35
39,T40,T40,J.B. Holmes,57,70.38,1126,16
40,T40,T40,Bill Lunde,92,70.38,1689,24
41,T40,T40,Scott Stallings,84,70.38,1478,21
42,T43,T43,Alexandre Rocha,65,70.39,1267,18
43,T43,T43,Brandt Snedeker,85,70.39,2886,41
44,45,45,John Merrick,71,70.42,1831,26
45,46,46,Kyle Stanley,98,70.43,1972,28
46,47,47,John Senden,94,70.44,2536,36
47,T48,T48,Hunter Haas,96,70.45,2043,29
48,T48,T48,Chris Kirk,87,70.45,1550,22
49,50,50,William McGirt,103,70.46,2607,37
50,51,51,Robert Allenby,84,70.47,1339,19
51,T52,T52,Paul Goydos,81,70.48,1762,25
52,T52,T52,Kevin Streelman,90,70.48,1762,25
53,54,54,Gary Woodland,93,70.49,3313,47
54,55,55,Pat Perez,76,70.5,1410,20
55,56,56,Trevor Immelman,84,70.52,2327,33
56,T57,T57,Brendon de Jonge,105,70.53,2680,38
57,T57,T57,Bubba Watson,85,70.53,2398,34
58,59,59,Michael Thompson,79,70.54,1975,28
59,T60,T60,Tom Gillis,55,70.56,635,9
60,T60,T60,Steve Marino,76,70.56,1905,27
61,62,62,Martin Laird,77,70.57,1976,28
62,63,63,Greg Chalmers,88,70.58,1835,26
63,64,64,Jimmy Walker,79,70.59,1553,22
64,65,65,Bill Haas,93,70.6,2824,40
65,T66,T66,Jonathan Byrd,83,70.61,1977,28
66,T66,T66,Chris Couch,73,70.61,1977,28
67,T66,T66,Ryan Moore,79,70.61,1977,28
68,T66,T66,Sean O'Hair,71,70.61,1271,18
69,T70,T70,Ernie Els,71,70.63,1695,24
70,T70,T70,Spencer Levin,113,70.63,2825,40
71,72,72,Geoff Ogilvy,69,70.64,1554,22
72,73,73,Tim Petrovic,88,70.65,1837,26
73,T74,T74,Robert Garrigus,83,70.68,1767,25
74,T74,T74,Billy Mayfair,94,70.68,1555,22
75,T74,T74,Vijay Singh,79,70.68,1979,28
76,T74,T74,D.J. Trahan,91,70.68,1555,22
77,78,78,D.A. Points,89,70.7,1414,20
78,T79,T79,Keegan Bradley,91,70.71,2475,35
79,T79,T79,Kevin Na,84,70.71,1697,24
80,81,81,Shane Bertsch,62,70.73,1556,22
81,82,82,David Hearn,88,70.78,2265,32
82,T83,T83,Jason Dufner,78,70.79,1982,28
83,T83,T83,Ryuji Imada,83,70.79,1345,19
84,T83,T83,Nick O'Hern,89,70.79,2336,33
85,T86,T86,Kris Blanks,92,70.8,2124,30
86,T86,T86,Retief Goosen,50,70.8,708,10
87,88,88,Y.E. Yang,63,70.81,1487,21
88,T89,T89,Billy Horschel,75,70.84,1771,25
89,T89,T89,Garrett Willis,71,70.84,1346,19
90,91,91,Sergio Garcia,61,70.86,2055,29
91,92,92,Justin Rose,79,70.87,1630,23
92,T93,T93,Blake Adams,116,70.88,1772,25
93,T93,T93,Jason Bohn,74,70.88,1205,17
94,95,95,Jim Renner,65,70.92,922,13
95,96,96,Joe Ogilvie,75,70.95,1348,19
96,T97,T97,Stephen Ames,69,70.96,1632,23
97,T97,T97,Jerry Kelly,85,70.96,1774,25
98,99,99,Ricky Barnes,78,70.97,2058,29
99,T100,T100,Woody Austin,59,71.0,923,13
100,T100,T100,Harrison Frazar,58,71.0,994,14
101,T100,T100,Fabián Gómez,84,71.0,1562,22
102,T100,T100,Matt Jones,71,71.0,1278,18
103,T100,T100,Aron Price,58,71.0,1278,18
104,T100,T100,Josh Teater,104,71.0,2059,29
105,T100,T100,Marc Turnesa,54,71.0,710,10
106,T100,T100,Mark Wilson,89,71.0,2059,29
107,108,108,Jhonattan Vegas,84,71.03,2060,29
108,109,109,Davis Love III,70,71.06,2203,31
109,T110,T110,Lucas Glover,74,71.07,2061,29
110,T110,T110,Tim Herron,85,71.07,1990,28
111,T112,T112,Ben Curtis,66,71.08,853,12
112,T112,T112,Johnson Wagner,81,71.08,1777,25
113,114,114,Cameron Tringale,110,71.09,2346,33
114,115,115,Justin Leonard,82,71.1,2062,29
115,116,116,Charlie Wi,83,71.13,1636,23
116,117,117,Camilo Villegas,69,71.14,1992,28
117,118,118,Steve Flesch,88,71.15,1921,27
118,119,119,Chris DiMarco,93,71.16,1779,25
119,T120,T120,Arjun Atwal,91,71.17,1281,18
120,T120,T120,Graeme McDowell,50,71.17,1281,18
121,122,122,Brian Davis,105,71.18,2776,39
122,123,123,Chris Stroud,88,71.23,1852,26
123,T124,T124,Cameron Beckman,71,71.24,1211,17
124,T124,T124,Scott Gutschewski,67,71.24,1211,17
125,T126,T126,Chad Campbell,99,71.25,1995,28
126,T126,T126,Rod Pampling,72,71.25,1710,24
127,128,128,Charl Schwartzel,58,71.3,1426,20
128,129,129,Kevin Kisner,70,71.31,1141,16
129,130,130,Sung Kang,63,71.37,1356,19
130,131,131,Roland Thatcher,67,71.38,1499,21
131,T132,T132,Bobby Gates,82,71.39,1285,18
132,T132,T132,Daniel Summerhays,75,71.39,1285,18
133,134,134,D.J. Brigman,67,71.4,714,10
134,135,135,Scott Piercy,78,71.41,1571,22
135,136,136,Richard Johnson,64,71.44,643,9
136,137,137,Zack Miller,86,71.45,1572,22
137,138,138,Heath Slocum,89,71.46,1715,24
138,T139,T139,Joseph Bramlett,73,71.47,1215,17
139,T139,T139,Ben Crane,76,71.47,1358,19
140,141,141,Troy Matteson,91,71.52,2074,29
141,142,142,Brendan Steele,89,71.53,2289,32
142,143,143,Anthony Kim,72,71.54,1717,24
143,144,144,Shaun Micheel,77,71.56,1288,18
144,145,145,Vaughn Taylor,89,71.58,2219,31
145,T146,T146,Michael Putnam,67,71.6,1074,15
146,T146,T146,Dean Wilson,62,71.6,1432,20
147,T148,T148,Alex Cejka,59,71.61,1289,18
148,T148,T148,Kevin Chappell,78,71.61,1647,23
149,T148,T148,Michael Connell,76,71.61,1647,23
150,151,151,Chris Riley,76,71.65,1648,23
151,T152,T152,Lee Janzen,62,71.67,860,12
152,T152,T152,Kent Jones,76,71.67,1505,21
153,T152,T152,Ian Poulter,52,71.67,1075,15
154,155,155,Ben Martin,74,71.68,1362,19
155,T156,T156,Rickie Fowler,84,71.69,2581,36
156,T156,T156,Boo Weekley,66,71.69,932,13
157,158,158,Steven Bowditch,86,71.74,1650,23
158,159,159,Rory Sabbatini,85,71.8,1436,20
159,160,160,Charley Hoffman,93,71.82,1580,22
160,161,161,Ryan Palmer,82,71.86,2012,28
161,162,162,Steve Elkington,50,71.87,1078,15
162,T163,T163,Nathan Green,81,71.89,1294,18
163,T163,T163,J.P. Hayes,56,71.89,1366,19
164,165,165,Stewart Cink,72,71.92,1798,25
165,T166,T166,Martin Piller,63,71.93,1007,14
166,T166,T166,Alex Prugh,82,71.93,1007,14
167,T168,T168,Stuart Appleby,65,72.0,1512,21
168,T168,T168,J.J. Henry,96,72.0,1872,26
169,T168,T168,Troy Merritt,63,72.0,720,10
170,T168,T168,Nate Smith,66,72.0,1080,15
171,T172,T172,Matt Bettencourt,84,72.05,1513,21
172,T172,T172,James Driscoll,71,72.05,1585,22
173,174,174,Andres Gonzales,60,72.08,865,12
174,175,175,Joe Durant,71,72.17,1299,18
175,176,176,Derek Lamely,65,72.19,1155,16
176,177,177,Will Strickler,51,72.2,722,10
177,178,178,Colt Knost,80,72.24,1806,25
178,179,179,David Duval,67,72.27,1084,15
179,180,180,Bio Kim,71,72.36,1013,14
180,181,181,Paul Stankowski,78,72.38,1520,21
181,182,182,Tag Ridings,87,72.4,1448,20
182,183,183,Marc Leishman,87,72.42,1376,19
183,184,184,Rich Beem,53,72.92,875,12
184,185,185,Justin Hicks,60,73.2,1098,15
185,186,186,Rocco Mediate,53,73.38,954,13
