,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
133,134,134,Aron Price,58,17.91,36,201
134,135,135,Scott McCarron,65,17.92,38,212
135,136,136,Woody Austin,59,18.0,36,200
136,T137,T137,Lee Janzen,62,18.02,40,222
137,T137,T137,Tim Petrovic,88,18.02,51,283
138,139,139,Nathan Green,81,18.11,46,254
139,140,140,D.J. Brigman,67,18.14,37,204
140,141,141,Vijay Singh,79,18.21,51,280
141,142,142,Fabián Gómez,84,18.25,52,285
142,143,143,Colt Knost,80,18.3,43,235
143,144,144,Dustin Johnson,72,18.31,54,295
144,145,145,Jimmy Walker,79,18.35,49,267
145,146,146,Camilo Villegas,69,18.39,41,223
146,147,147,Matt Jones,71,18.42,42,228
147,148,148,Bill Lunde,92,18.44,59,320
148,149,149,Kevin Stadler,88,18.5,59,319
149,150,150,Jim Renner,65,18.6,40,215
150,151,151,Aaron Baddeley,77,18.73,56,299
151,152,152,Justin Leonard,82,18.8,44,234
152,153,153,Geoff Ogilvy,69,18.85,46,244
153,T154,T154,Paul Goydos,81,18.99,49,258
154,T154,T154,Chris Kirk,87,18.99,60,316
155,156,156,Lucas Glover,74,19.03,51,268
156,157,157,Bio Kim,71,19.26,47,244
157,T158,T158,Matt McQuillan,59,19.27,37,192
158,T158,T158,Tag Ridings,87,19.27,53,275
159,160,160,Jeff Overton,92,19.3,61,316
160,161,161,Andres Romero,77,19.41,59,304
161,T162,T162,Martin Piller,63,19.67,36,183
162,T162,T162,Boo Weekley,66,19.67,47,239
163,164,164,J.B. Holmes,57,19.72,42,213
164,165,165,Marc Turnesa,54,19.75,32,162
165,166,166,Scott Gutschewski,67,20.1,42,209
166,167,167,Jhonattan Vegas,84,20.13,62,308
167,168,168,Kevin Kisner,70,20.27,45,222
168,169,169,Retief Goosen,50,20.57,36,175
169,170,170,Jarrod Lyle,83,20.68,55,266
170,171,171,Richard Johnson,64,20.9,37,177
171,172,172,Rich Beem,53,21.01,29,138
172,173,173,Kent Jones,76,21.03,49,233
173,T174,T174,Rocco Mediate,53,21.05,32,152
174,T174,T174,Joe Ogilvie,75,21.05,56,266
175,176,176,Alex Prugh,82,21.54,56,260
176,177,177,Sean O'Hair,71,21.86,47,215
177,178,178,Will Strickler,51,22.01,35,159
178,179,179,Steven Bowditch,86,22.12,71,321
179,180,180,Ángel Cabrera,50,22.34,42,188
180,181,181,Ryan Palmer,82,22.38,62,277
181,182,182,Harrison Frazar,58,22.46,42,187
182,183,183,Justin Hicks,60,22.99,40,174
183,184,184,David Duval,67,23.72,51,215
184,185,185,Kyle Stanley,98,24.02,92,383
185,186,186,Derek Lamely,65,24.77,53,214
