,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
39,40,40,Bob Estes,92,"22' 5""",134.417,6,48,4
40,41,41,Chris Anderson,66,"22' 3""",133.333,6,44,4
41,T42,T42,Bart Bryant,91,"22' 2""",155.0,7,51,3
42,T42,T42,Jesper Parnevik,84,"22' 2""",110.667,5,66,5
43,44,44,John Huston,90,"22' 0""",88.083,4,73,1
44,45,45,Jason Bohn,91,"21' 11""",131.25,6,54,12
45,46,46,Michael Long,72,"21' 9""",152.417,7,41,7
46,47,47,Bob Tway,87,"21' 8""",86.667,4,35,7
47,48,48,Brian Bateman,98,"21' 7""",172.333,8,32,4
48,49,49,David Toms,87,"21' 6""",150.5,7,39,6
49,50,50,Duffy Waldorf,86,"21' 5""",64.333,3,54,5
50,51,51,Heath Slocum,103,"21' 1""",63.333,3,40,9
51,T52,T52,Dudley Hart,84,"21' 0""",84.0,4,59,5
52,T52,T52,Kevin Stadler,96,"21' 0""",272.75,13,37,3
53,54,54,Steve Stricker,62,"20' 4""",20.333,1,20,20
54,T55,T55,Ryuji Imada,78,"20' 0""",60.083,3,44,8
55,T55,T55,John Senden,101,"20' 0""",119.75,6,57,"1"""
56,57,57,Rocco Mediate,73,"19' 11""",59.75,3,26,10
57,T58,T58,Lucas Glover,88,"19' 10""",178.333,9,58,6
58,T58,T58,Pat Perez,89,"19' 10""",59.583,3,41,4
59,60,60,Patrick Sheehan,114,"19' 7""",58.75,3,41,7
60,T61,T61,Greg Owen,84,"19' 6""",58.583,3,28,11
61,T61,T61,Tom Pernice Jr.,111,"19' 6""",136.333,7,48,4
62,63,63,D.J. Trahan,81,"19' 5""",174.667,9,47,5
63,64,64,Brian Davis,75,"19' 4""",154.583,8,44,7
64,65,65,Matt Davidson,53,"19' 2""",19.167,1,19,19
65,66,66,Omar Uresti,84,"18' 11""",56.667,3,29,6
66,67,67,Tommy Armour III,103,"18' 10""",113.167,6,34,9
67,68,68,Bo Van Pelt,112,"18' 9""",93.667,5,30,5
68,T69,T69,Doug Barron,70,"18' 8""",18.667,1,19,19
69,T69,T69,Brad Faxon,75,"18' 8""",74.75,4,54,2
70,71,71,Gavin Coles,70,"18' 6""",18.5,1,19,19
71,T72,T72,Jeff Brehaut,71,"18' 5""",73.75,4,32,5
72,T72,T72,Sean O'Hair,103,"18' 5""",147.083,8,52,2
73,T74,T74,Jason Allred,75,"18' 4""",55.0,3,36,6
74,T74,T74,Shaun Micheel,81,"18' 4""",91.583,5,30,3
75,T74,T74,Tiger Woods,76,"18' 4""",164.833,9,54,4
76,77,77,Bob Heintz,67,"18' 3""",54.75,3,39,2
77,T78,T78,Thomas Levet,54,"18' 2""",36.25,2,21,15
78,T78,T78,Jay Williamson,53,"18' 2""",36.25,2,27,9
79,80,80,Mathias Grönberg,60,"18' 0""",144.0,8,36,4
80,81,81,Retief Goosen,71,"17' 11""",71.5,4,29,3
81,82,82,Sergio Garcia,73,"17' 10""",53.5,3,33,2
82,83,83,Robert Allenby,95,"17' 5""",121.667,7,31,4
83,84,84,Nick Watney,91,"17' 3""",86.333,5,26,8
84,T85,T85,Rod Pampling,89,"17' 0""",51.083,3,24,12
85,T85,T85,Tim Petrovic,97,"17' 0""",85.0,5,46,4
86,87,87,Darron Stiles,78,"16' 11""",16.917,1,17,17
87,T88,T88,Davis Love III,80,"16' 9""",83.667,5,24,7
88,T88,T88,Geoff Ogilvy,97,"16' 9""",50.333,3,26,5
89,90,90,Paul Azinger,66,"16' 7""",16.583,1,17,17
90,91,91,Ben Crane,78,"16' 5""",98.25,6,34,3
91,92,92,D.A. Points,94,"16' 0""",128.25,8,41,5
92,93,93,Rory Sabbatini,81,"15' 10""",95.083,6,30,3
93,94,94,J.P. Hayes,63,"15' 9""",47.25,3,22,6
94,95,95,Carlos Franco,78,"15' 8""",93.833,6,37,3
95,96,96,Fred Couples,72,"15' 6""",77.417,5,20,11
96,T97,T97,Jonathan Byrd,103,"15' 4""",138.083,9,29,6
97,T97,T97,Charlie Wi,67,"15' 4""",76.833,5,29,7
98,T99,T99,Andrew Magee,82,"15' 2""",76.0,5,33,5
99,T99,T99,Vijay Singh,111,"15' 2""",121.167,8,31,6
100,T101,T101,Phillip Price,77,"14' 11""",59.667,4,29,5
101,T101,T101,Joey Snyder III,102,"14' 11""",134.333,9,44,2
102,T103,T103,Tom Gillis,77,"14' 10""",44.417,3,26,4
103,T103,T103,Charles Howell III,95,"14' 10""",118.583,8,41,2
104,105,105,Briny Baird,98,"14' 5""",86.25,6,25,5
105,106,106,Ian Poulter,62,"14' 4""",28.583000000000002,2,24,5
106,T107,T107,J.J. Henry,102,"14' 3""",42.833,3,21,7
107,T107,T107,Hideto Tanihara,50,"14' 3""",42.667,3,24,9
108,T109,T109,Franklin Langham,91,"14' 1""",14.083,1,14,14
109,T109,T109,Billy Mayfair,114,"14' 1""",154.75,11,40,3
110,T109,T109,Roland Thatcher,75,"14' 1""",42.25,3,24,5
111,T112,T112,Daniel Chopra,108,"13' 10""",55.25,4,23,9
112,T112,T112,Hunter Mahan,103,"13' 10""",69.333,5,30,5
113,114,114,Adam Scott,72,"13' 8""",54.5,4,19,7
114,115,115,Stuart Appleby,84,"13' 5""",40.167,3,17,10
115,T116,T116,Glen Hnatiuk,59,"13' 3""",13.25,1,13,13
116,T116,T116,Peter Lonard,85,"13' 3""",39.833,3,24,7
117,T118,T118,Aaron Baddeley,84,"13' 2""",91.917,7,24,4
118,T118,T118,Jeff Sluman,94,"13' 2""",66.0,5,16,8
119,120,120,Dan Forsman,52,"12' 11""",25.75,2,21,5
120,121,121,Paul Gow,78,"12' 10""",25.666999999999998,2,22,3
121,122,122,Brett Wetterich,76,"12' 8""",88.583,7,23,8
122,123,123,John Rollins,97,"12' 6""",62.667,5,33,3
123,124,124,Ted Purdy,122,"12' 4""",37.0,3,18,4
124,125,125,Hunter Haas,83,"12' 3""",85.75,7,28,1
125,126,126,David Hearn,68,"12' 2""",72.917,6,20,7
126,127,127,Brent Geiberger,61,"12' 1""",72.25,6,17,3
127,T128,T128,D.J. Brigman,76,"12' 0""",12.0,1,12,12
128,T128,T128,Jim Carter,62,"12' 0""",12.0,1,12,12
129,T130,T130,Arjun Atwal,65,"11' 11""",47.583,4,23,4
130,T130,T130,Steve Flesch,90,"11' 11""",59.5,5,33,5
131,T130,T130,Brian Gay,101,"11' 11""",11.917,1,12,12
132,133,133,Scott Gutschewski,86,"11' 10""",71.0,6,18,9
133,T134,T134,José Coceres,56,"11' 9""",11.75,1,12,12
134,T134,T134,Mark Hensby,70,"11' 9""",82.5,7,24,5
135,T136,T136,John Elliott,58,"11' 8""",11.667,1,12,12
136,T136,T136,Kevin Na,88,"11' 8""",35.083,3,26,4
137,T138,T138,Todd Fischer,99,"11' 7""",23.083000000000002,2,12,11
138,T138,T138,Mike Weir,71,"11' 7""",11.583,1,12,12
139,140,140,Skip Kendall,80,"11' 6""",11.5,1,12,12
140,141,141,Justin Rose,99,"11' 4""",33.917,3,13,10
141,142,142,Tim Herron,100,"11' 3""",33.833,3,15,7
142,143,143,Arron Oberholser,65,"11' 1""",33.25,3,25,4
143,144,144,Harrison Frazar,105,"11' 0""",109.583,10,28,"8"""
144,145,145,Woody Austin,100,"10' 11""",54.583,5,28,2
145,T146,T146,Matt Gogel,78,"10' 10""",21.666999999999998,2,16,6
146,T146,T146,Brendan Jones,81,"10' 10""",65.083,6,19,1
147,T146,T146,Neal Lancaster,95,"10' 10""",32.5,3,17,6
148,149,149,Kent Jones,99,"10' 6""",21.0,2,19,2
149,150,150,Craig Barlow,81,"10' 5""",62.417,6,29,3
150,T151,T151,Lee Janzen,75,"10' 3""",10.25,1,10,10
151,T151,T151,Vaughn Taylor,99,"10' 3""",51.333,5,21,3
152,153,153,Paul Claxton,79,"10' 2""",20.25,2,11,10
153,T154,T154,Joe Durant,81,"9' 10""",19.667,2,11,8
154,T154,T154,Craig Perks,67,"9' 10""",39.333,4,18,2
155,T156,T156,Ben Curtis,65,"9' 7""",28.666999999999998,3,16,5
156,T156,T156,Chris Smith,93,"9' 7""",28.833000000000002,3,15,2
157,158,158,Michael Allen,90,"9' 5""",47.083,5,23,2
158,159,159,Chris Riley,67,"9' 3""",9.25,1,9,9
159,160,160,Lee Westwood,50,"9' 1""",27.25,3,16,2
160,T161,T161,Cameron Beckman,96,"8' 11""",17.833,2,9,9
161,T161,T161,Joey Sindelar,104,"8' 11""",8.917,1,9,9
162,163,163,Will MacKenzie,75,"8' 10""",26.416999999999998,3,13,2
163,164,164,Kenny Perry,82,"8' 8""",17.25,2,13,5
164,165,165,Rich Beem,66,"8' 4""",16.667,2,12,5
165,166,166,Chad Campbell,95,"8' 3""",16.417,2,10,6
166,167,167,Jerry Kelly,101,"7' 10""",23.416999999999998,3,19,1
167,T168,T168,Shigeki Maruyama,99,"7' 8""",38.5,5,17,3
168,T168,T168,Rob Rashell,65,"7' 8""",7.667000000000001,1,8,8
169,170,170,Tag Ridings,93,"7' 3""",43.417,6,10,2
170,171,171,Jonathan Kaye,77,"7' 2""",7.167000000000001,1,7,7
171,172,172,Kevin Sutherland,89,"7' 0""",21.0,3,13,2
172,173,173,Jeff Maggert,79,"6' 10""",6.832999999999999,1,7,7
173,174,174,Frank Lickliter II,100,"6' 8""",26.75,4,14,2
174,175,175,Alex Cejka,84,"6' 7""",19.667,3,9,3
175,T176,T176,Stewart Cink,98,"5' 11""",11.75,2,8,4
176,T176,T176,Dennis Paulson,63,"5' 11""",23.666999999999998,4,14,2
177,178,178,Justin Leonard,78,"5' 8""",5.667000000000001,1,6,6
178,179,179,Richard Johnson,50,"5' 7""",5.582999999999999,1,6,6
179,180,180,Corey Pavin,77,"5' 0""",9.917,2,9,"11"""
180,181,181,Brett Quigley,96,"4' 7""",4.583,1,5,5
181,182,182,Jay Haas,54,"3' 3""",3.25,1,3,3
182,183,183,Larry Mize,54,"3' 0""",3.0,1,3,3
183,184,184,Scott Verplank,87,"11""",0.917,1,1,"11"""
