,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
145,T146,T146,Olin Browne,99,37.43,640,1710
146,T146,T146,Retief Goosen,71,37.43,411,1098
147,T146,T146,Greg Owen,84,37.43,539,1440
148,149,149,Bart Bryant,91,37.42,613,1638
149,150,150,Lucas Glover,88,37.4,579,1548
150,T151,T151,Ben Curtis,65,37.35,437,1170
151,T151,T151,D.A. Points,94,37.35,605,1620
152,153,153,Brett Wetterich,76,37.31,497,1332
153,154,154,Craig Barlow,81,37.23,516,1386
154,155,155,Shaun Micheel,81,37.13,528,1422
155,156,156,Brent Geiberger,61,37.1,394,1062
156,157,157,Tom Byrum,83,37.08,554,1494
157,T158,T158,Charles Howell III,95,37.04,600,1620
158,T158,T158,Lee Westwood,50,37.04,320,864
159,160,160,John Rollins,97,37.02,633,1710
160,161,161,Bill Glasson,54,36.97,346,936
161,162,162,Brian Bateman,98,36.88,624,1692
162,163,163,Paul Claxton,79,36.78,523,1422
163,164,164,Steve Elkington,67,36.73,443,1206
164,165,165,Frank Lickliter II,100,36.69,634,1728
165,166,166,Adam Scott,72,36.68,449,1224
166,T167,T167,Luke Donald,67,36.67,396,1080
167,T167,T167,Billy Mayfair,114,36.67,726,1980
168,169,169,Charles Warren,89,36.65,574,1566
169,170,170,Danny Briggs,70,36.6,448,1224
170,171,171,Franklin Langham,91,36.59,573,1566
171,172,172,Chad Campbell,95,36.53,605,1656
172,173,173,Scott Gutschewski,86,36.52,539,1476
173,174,174,Kenny Perry,82,36.46,525,1440
174,175,175,Tom Lehman,69,36.4,439,1206
175,176,176,Rich Beem,66,36.29,405,1116
176,177,177,Briny Baird,98,36.23,626,1728
177,178,178,Tommy Armour III,103,36.19,671,1854
178,179,179,Ted Purdy,122,36.16,794,2196
179,T180,T180,Steve Jones,56,36.11,351,972
180,T180,T180,Hideto Tanihara,50,36.11,312,864
181,182,182,Jim Carter,62,36.02,389,1080
182,183,183,Jeff Brehaut,71,35.99,434,1206
183,184,184,Fred Couples,72,35.87,439,1224
184,185,185,D.J. Trahan,81,35.86,497,1386
185,186,186,Alex Cejka,84,35.8,522,1458
186,187,187,John Senden,101,35.75,637,1782
187,188,188,Roland Thatcher,75,35.62,468,1314
188,189,189,D.J. Brigman,76,35.57,461,1296
189,190,190,Robert Allenby,95,35.46,568,1602
190,191,191,Dennis Paulson,63,35.45,402,1134
191,192,192,Craig Perks,67,35.38,414,1170
192,193,193,Michael Long,72,35.24,444,1260
193,194,194,Glen Hnatiuk,59,34.95,346,990
194,195,195,J.J. Henry,102,34.94,629,1800
195,196,196,Thomas Levet,54,34.91,333,954
196,197,197,David Hearn,68,34.89,427,1224
197,198,198,Sergio Garcia,73,34.8,426,1224
198,199,199,Joey Snyder III,102,34.52,609,1764
199,200,200,Joe Durant,81,34.5,503,1458
200,201,201,Chris Smith,93,33.87,567,1674
201,202,202,Bradley Hughes,52,33.23,311,936
