,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
173,T172,T172,Jay Williamson,53,85.8,866,743
174,175,175,Brendan Jones,81,85.78,1357,1164
175,176,176,Tom Gillis,77,85.76,1285,1102
176,177,177,Mathias Grönberg,60,85.74,1038,890
177,178,178,Craig Perks,67,85.73,1114,955
178,T179,T179,Craig Barlow,81,85.71,1204,1032
179,T179,T179,John Huston,90,85.71,1498,1284
180,T179,T179,Frank Lickliter II,100,85.71,1602,1373
181,182,182,Bradley Hughes,52,85.65,927,794
182,183,183,Robert Damron,89,85.61,1515,1297
183,T184,T184,John Elliott,58,85.58,957,819
184,T184,T184,Billy Mayfair,114,85.58,1900,1626
185,T186,T186,Chris Anderson,66,85.51,1097,938
186,T186,T186,Jim Carter,62,85.51,1056,903
187,188,188,Steve Allan,102,85.36,1639,1399
188,189,189,Rocco Mediate,73,85.24,1253,1068
189,190,190,D.J. Brigman,76,85.1,1168,994
190,191,191,Scott Hend,75,85.09,1207,1027
191,192,192,Paul Gow,78,85.04,1263,1074
192,193,193,Joe Durant,81,84.97,1324,1125
193,194,194,Lee Westwood,50,84.96,625,531
194,195,195,Roland Thatcher,75,84.91,1286,1092
195,196,196,Woody Austin,100,84.83,1701,1443
196,197,197,Brett Wetterich,76,84.78,1281,1086
197,198,198,Will MacKenzie,75,84.7,1307,1107
198,199,199,Fred Couples,72,84.6,818,692
199,200,200,David Hearn,68,84.44,1176,993
200,201,201,Thomas Levet,54,83.7,687,575
201,202,202,Alex Cejka,84,83.51,1340,1119
