,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
19,20,20,Charles Howell III,95,"82' 5""",71243,72,"4' 8""","132' 6"""
20,21,21,J.L. Lewis,98,"82' 4""",79074,80,"4' 7""","202' 3"""
21,22,22,Matt Gogel,78,"82' 3""",65144,66,"4' 8""","156' 2"""
22,23,23,Rory Sabbatini,81,"82' 2""",59148,60,"4' 8""","193' 11"""
23,24,24,Bernhard Langer,67,"82' 1""",43347,44,"4' 7""","186' 7"""
24,25,25,Chad Campbell,95,"81' 11""",72754,74,"4' 8""","178' 1"""
25,T26,T26,Steve Elkington,67,"81' 10""",54024,55,"4' 7""","145' 2"""
26,T26,T26,Brian Gay,101,"81' 10""",89381,91,"4' 7""","154' 6"""
27,T26,T26,Larry Mize,54,"81' 10""",45152,46,"4' 7""","154' 5"""
28,T26,T26,Phillip Price,77,"81' 10""",60909,62,"4' 7""","168' 8"""
29,30,30,Steve Lowery,100,"81' 8""",83289,85,"4' 7""","196' 9"""
30,31,31,Bo Van Pelt,112,"81' 5""",90878,93,"4' 7""","150' 4"""
31,32,32,Charlie Wi,67,"81' 3""",57509,59,"4' 7""","147' 11"""
32,33,33,Bart Bryant,91,"81' 2""",73054,75,"4' 6""","152' 10"""
33,34,34,Stewart Cink,98,"81' 1""",69104,71,"4' 7""","130' 2"""
34,T35,T35,Tim Clark,92,"80' 11""",61175,63,"4' 6""","153' 7"""
35,T35,T35,Jim Furyk,94,"80' 11""",67966,70,"4' 7""","144' 3"""
36,37,37,Tiger Woods,76,"80' 10""",53355,55,"4' 6""","158' 11"""
37,38,38,Hunter Mahan,103,"80' 9""",90152,93,"4' 6""","128' 4"""
38,T39,T39,Stephen Ames,82,"80' 8""",59026,61,"4' 7""","157' 7"""
39,T39,T39,Aaron Baddeley,84,"80' 8""",71652,74,"4' 7""","158' 2"""
40,41,41,Briny Baird,98,"80' 7""",86052,89,"4' 6""","132' 6"""
41,42,42,Scott McCarron,78,"80' 6""",56975,59,"4' 6""","172' 2"""
42,T43,T43,Billy Andrade,83,"80' 4""",69434,72,"4' 6""","156' 8"""
43,T43,T43,Ian Poulter,62,"80' 4""",34705,36,"4' 6""","131' 5"""
44,T45,T45,Harrison Frazar,105,"80' 3""",88633,92,"4' 6""","205' 2"""
45,T45,T45,Mark Hensby,70,"80' 3""",46220,48,"4' 6""","125' 1"""
46,T47,T47,Bob Heintz,67,"80' 2""",59615,62,"4' 6""","174' 7"""
47,T47,T47,Mark O'Meara,66,"80' 2""",48108,50,"4' 6""","169' 8"""
48,T49,T49,Robert Gamez,91,"80' 0""",75828,79,"4' 6""","158' 6"""
49,T49,T49,Brendan Jones,81,"80' 0""",68178,71,"4' 6""","149' 2"""
50,T49,T49,Kevin Na,88,"80' 0""",74871,78,"4' 6""","147' 6"""
51,T49,T49,Loren Roberts,54,"80' 0""",46102,48,"4' 6""","148' 10"""
52,53,53,Jeff Brehaut,71,"79' 11""",60408,63,"4' 6""","156' 1"""
53,T54,T54,Shaun Micheel,81,"79' 10""",60374,63,"4' 5""","156' 2"""
54,T54,T54,Nick Watney,91,"79' 10""",74729,78,"4' 6""","175' 8"""
55,56,56,Patrick Sheehan,114,"79' 9""",90917,95,"4' 6""","167' 6"""
56,T57,T57,Steve Allan,102,"79' 7""",83085,87,"4' 6""","158' 7"""
57,T57,T57,James Driscoll,73,"79' 7""",58264,61,"4' 6""","138' 6"""
58,T57,T57,Padraig Harrington,50,"79' 7""",37264,39,"4' 6""","125' 9"""
59,T57,T57,Steve Stricker,62,"79' 7""",56346,59,"4' 6""","170' 9"""
60,T57,T57,Charles Warren,89,"79' 7""",75420,79,"4' 6""","207' 11"""
61,T62,T62,Olin Browne,99,"79' 6""",78200,82,"4' 5""","148' 6"""
62,T62,T62,Arron Oberholser,65,"79' 6""",48644,51,"4' 6""","138' 7"""
