,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
123,124,124,Jim Herman,88,54.36,81,149
124,125,125,Colt Knost,90,54.31,107,197
125,126,126,John Peterson,84,54.27,89,164
126,127,127,Matt Every,73,54.24,96,177
127,128,128,Mark Hubbard,79,54.19,84,155
128,T129,T129,Sergio Garcia,59,54.12,46,85
129,T129,T129,Bill Lunde,50,54.12,46,85
130,131,131,Dustin Johnson,75,54.11,79,146
131,132,132,Danny Lee,120,54.09,152,281
132,133,133,Gary Woodland,81,53.91,69,128
133,134,134,Vijay Singh,78,53.8,85,158
134,135,135,David Toms,62,53.7,58,108
135,136,136,Sean O'Hair,86,53.54,106,198
136,137,137,Whee Kim,71,53.49,69,129
137,138,138,Padraig Harrington,60,53.23,66,124
138,139,139,Pat Perez,96,53.09,103,194
139,T140,T140,Andres Romero,69,53.05,87,164
140,T140,T140,Michael Thompson,83,53.05,87,164
141,142,142,Brendon de Jonge,106,52.97,116,219
142,143,143,Lee Westwood,56,52.94,45,85
143,144,144,Chris Stroud,84,52.84,93,176
144,145,145,Scott Pinckney,88,52.79,104,197
145,146,146,Bo Van Pelt,81,52.7,78,148
146,147,147,Jhonattan Vegas,90,52.49,95,181
147,148,148,Seung-Yul Noh,65,52.17,72,138
148,149,149,Steven Alker,62,52.14,61,117
149,150,150,Russell Henley,87,52.03,77,148
150,151,151,Kevin Streelman,95,51.75,74,143
151,152,152,Greg Chalmers,58,51.69,61,118
152,153,153,Justin Rose,69,51.58,49,95
153,154,154,Charl Schwartzel,67,51.49,52,101
154,155,155,Brice Garnett,81,51.43,72,140
155,156,156,Jonas Blixt,78,51.41,73,142
156,157,157,Charles Howell III,105,51.36,113,220
157,158,158,Shawn Stefani,94,51.27,101,197
158,159,159,Davis Love III,51,51.25,41,80
159,160,160,Scott Brown,97,51.16,110,215
160,161,161,Oscar Fraustro,58,51.09,70,137
161,162,162,Ben Martin,93,50.98,78,153
162,163,163,Andrew Putnam,68,50.97,79,155
163,164,164,Nicholas Thompson,90,50.77,99,195
164,165,165,Geoff Ogilvy,50,50.72,35,69
165,166,166,John Senden,80,50.41,61,121
166,167,167,K.J. Choi,66,50.38,66,131
167,168,168,Jason Gore,76,50.33,76,151
168,169,169,Heath Slocum,57,50.0,60,120
169,170,170,Carlos Ortiz,100,49.77,109,219
170,171,171,John Merrick,78,49.33,74,150
171,172,172,Cameron Percy,72,49.02,75,153
172,173,173,Charlie Beljan,76,48.97,71,145
173,174,174,Patrick Rodgers,57,48.74,58,119
174,175,175,Robert Allenby,63,48.62,53,109
175,176,176,Stewart Cink,77,48.41,61,126
176,177,177,Hunter Mahan,88,48.0,72,150
177,178,178,Byron Smith,59,47.5,57,120
178,179,179,Johnson Wagner,68,46.85,52,111
179,180,180,Ángel Cabrera,53,46.6,48,103
180,181,181,J.J. Henry,94,45.88,78,170
181,182,182,Roger Sloan,56,44.53,61,137
182,183,183,Andrew Svoboda,80,44.2,80,181
183,184,184,Roberto Castro,54,42.27,41,97
