,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
105,106,106,Ernie Els,57,51.16,22,43
106,T107,T107,Derek Fathauer,81,51.11,46,90
107,T107,T107,Russell Henley,87,51.11,46,90
108,109,109,Erik Compton,86,51.06,48,94
109,110,110,Gary Woodland,81,50.91,28,55
110,111,111,Tom Hoge,83,50.72,35,69
111,112,112,Brice Garnett,81,50.7,36,71
112,T113,T113,Ben Martin,93,50.59,43,85
113,T113,T113,Scott Pinckney,88,50.59,43,85
114,T113,T113,Andrew Putnam,68,50.59,43,85
115,116,116,Shawn Stefani,94,50.52,49,97
116,117,117,David Lingmerth,90,50.51,50,99
117,118,118,Brian Stuard,97,50.46,55,109
118,T119,T119,Ricky Barnes,82,50.0,41,82
119,T119,T119,J.B. Holmes,89,50.0,37,74
120,T119,T119,Scott Stallings,60,50.0,27,54
121,122,122,Michael Thompson,83,49.54,54,109
122,123,123,Jeff Overton,94,49.53,53,107
123,124,124,Matt Jones,89,49.52,52,105
124,125,125,Brooks Koepka,84,49.32,36,73
125,126,126,Bill Haas,89,49.28,34,69
126,127,127,Cameron Percy,72,49.25,33,67
127,128,128,Troy Merritt,91,49.04,51,104
128,129,129,Jason Kokrak,88,48.98,48,98
129,130,130,Roger Sloan,56,48.89,22,45
130,131,131,Jason Bohn,95,48.54,50,103
131,132,132,Lucas Glover,79,48.1,38,79
132,133,133,Charl Schwartzel,67,48.08,25,52
133,134,134,Harris English,105,48.04,49,102
134,135,135,Retief Goosen,81,47.89,34,71
135,136,136,Marc Leishman,74,47.83,33,69
136,137,137,Byron Smith,59,47.73,21,44
137,T138,T138,Sergio Garcia,59,47.5,19,40
138,T138,T138,Bo Van Pelt,81,47.5,38,80
139,T138,T138,Boo Weekley,79,47.5,38,80
140,141,141,Hideki Matsuyama,95,47.22,34,72
141,T142,T142,Kevin Kisner,104,47.06,48,102
142,T142,T142,Justin Leonard,61,47.06,32,68
143,144,144,Billy Horschel,99,46.97,31,66
144,145,145,Kevin Chappell,86,46.94,46,98
145,146,146,Ángel Cabrera,53,46.88,30,64
146,147,147,Jim Furyk,71,46.67,21,45
147,148,148,Justin Thomas,106,46.51,40,86
148,149,149,Ryan Palmer,80,46.48,33,71
149,150,150,Tony Finau,106,46.39,45,97
150,T151,T151,Whee Kim,71,46.38,32,69
151,T151,T151,John Merrick,78,46.38,32,69
152,T151,T151,Patrick Rodgers,57,46.38,32,69
153,T154,T154,Blayne Barber,76,46.15,30,65
154,T154,T154,Brendon de Jonge,106,46.15,48,104
155,156,156,Adam Scott,51,45.95,17,37
156,157,157,Morgan Hoffmann,85,45.68,37,81
157,158,158,Gonzalo Fernandez-Castaño,81,45.45,45,99
158,159,159,Andres Romero,69,45.31,29,64
159,160,160,Charlie Beljan,76,44.59,33,74
160,161,161,Camilo Villegas,83,44.44,44,99
161,162,162,Max Homa,78,43.82,39,89
162,163,163,Scott Piercy,90,43.53,37,85
163,164,164,Spencer Levin,99,43.02,37,86
164,165,165,Johnson Wagner,68,42.62,26,61
165,166,166,Davis Love III,51,42.59,23,54
166,167,167,Robert Allenby,63,42.31,22,52
167,168,168,Hudson Swafford,97,42.17,35,83
168,169,169,J.J. Henry,94,41.43,29,70
169,170,170,David Hearn,97,41.28,45,109
170,T171,T171,Paul Casey,87,41.27,26,63
171,T171,T171,Jim Renner,68,41.27,26,63
172,173,173,Russell Knox,96,41.03,32,78
173,174,174,Alex Prugh,84,40.51,32,79
174,175,175,Nicholas Thompson,90,40.0,36,90
175,176,176,Derek Ernst,75,39.71,27,68
176,177,177,Oscar Fraustro,58,39.34,24,61
177,178,178,Fabián Gómez,83,39.33,35,89
178,179,179,Charles Howell III,105,38.64,34,88
179,180,180,Robert Garrigus,70,35.59,21,59
180,181,181,Andrew Svoboda,80,34.94,29,83
181,182,182,Chez Reavie,56,34.0,17,50
182,183,183,Dustin Johnson,75,33.96,18,53
183,184,184,Jason Dufner,76,33.82,23,68
