,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
41,42,42,Russell Henley,80,101,21,80
42,43,43,Ian Poulter,59,103,91,12
43,44,44,Scott Stallings,79,104,23,81
44,45,45,Brian Stuard,78,111,48,63
45,T46,T46,Scott Gardiner,61,114,56,58
46,T46,T46,Brendan Steele,86,114,54,60
47,T48,T48,Ryan Moore,72,115,94,21
48,T48,T48,Jordan Spieth,82,115,86,29
49,50,50,Casey Wittenberg,72,117,56,61
50,51,51,Josh Teater,86,118,21,97
51,T52,T52,Jonas Blixt,76,120,43,77
52,T52,T52,Martin Laird,68,120,25,95
53,54,54,Rory Sabbatini,86,123,26,97
54,55,55,Phil Mickelson,78,126,71,55
55,56,56,James Hahn,78,129,26,103
56,57,57,Kyle Stanley,71,130,46,84
57,58,58,Lee Williams,62,134,88,46
58,59,59,Daniel Summerhays,83,136,112,24
59,60,60,Aaron Watkins,46,137,76,61
60,T61,T61,Jason Day,86,138,16,122
61,T61,T61,Justin Leonard,86,138,109,29
62,T63,T63,Scott Brown,65,141,71,70
