,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
66,T66,T66,Brian Stuard,25,46.7,141,302,1.56
67,T66,T66,Daniel Summerhays,26,46.7,188,403,2.23
68,69,69,Graeme McDowell,16,47.0,71,151,1.13
69,70,70,Brian Gay,24,47.1,160,340,1.31
70,71,71,Tag Ridings,24,47.2,169,358,1.78
71,T72,T72,Tim Clark,20,47.5,85,179,1.53
72,T72,T72,Ian Poulter,16,47.5,87,183,0.57
73,74,74,Charl Schwartzel,19,47.8,132,276,0.91
74,75,75,Jim Furyk,22,48.0,122,254,1.97
75,76,76,Ben Curtis,20,48.1,117,243,2.65
76,T77,T77,"Ted Potter, Jr.",22,48.3,117,242,0.68
77,T77,T77,Bubba Watson,21,48.3,152,315,0.59
78,T79,T79,K.J. Choi,24,48.5,128,264,1.25
79,T79,T79,Brad Fritsch,24,48.5,189,390,2.59
80,T79,T79,Cameron Tringale,24,48.5,184,379,1.03
81,T82,T82,Will Claxton,24,48.6,138,284,1.96
82,T82,T82,Brian Harman,29,48.6,198,407,2.32
83,T82,T82,Jerry Kelly,22,48.6,119,245,0.92
84,T82,T82,William McGirt,24,48.6,174,358,1.38
85,T82,T82,John Merrick,23,48.6,178,366,1.46
86,T82,T82,Cameron Percy,21,48.6,152,313,1.18
87,T88,T88,Stewart Cink,22,48.7,148,304,1.28
88,T88,T88,Ernie Els,19,48.7,128,263,0.7
89,90,90,Dustin Johnson,22,48.9,154,315,1.23
90,T91,T91,Ben Crane,21,49.0,142,290,0.42
91,T91,T91,Y.E. Yang,19,49.0,96,196,2.4
92,T93,T93,Stuart Appleby,25,49.1,196,399,1.28
93,T93,T93,Matt Kuchar,23,49.1,192,391,0.57
94,95,95,Bud Cauley,24,49.3,149,302,1.61
95,T96,T96,Keegan Bradley,25,49.4,166,336,1.33
96,T96,T96,Luke Guthrie,27,49.4,174,352,1.61
97,T96,T96,Webb Simpson,25,49.4,167,338,1.38
98,T96,T96,Brendan Steele,26,49.4,198,401,2.27
99,100,100,Rory Sabbatini,27,49.5,197,398,1.37
100,T101,T101,Jim Herman,19,49.6,112,226,1.61
101,T101,T101,Troy Matteson,24,49.6,166,335,1.81
102,T101,T101,Ryan Palmer,22,49.6,191,385,1.15
103,104,104,Graham DeLaet,26,49.7,176,354,0.23
104,T105,T105,Brandt Jobe,19,49.8,124,249,0.89
105,T105,T105,David Lingmerth,23,49.8,132,265,1.21
106,T105,T105,Eric Meierdierks,19,49.8,109,219,2.11
107,T105,T105,Brandt Snedeker,23,49.8,148,297,0.14
108,T105,T105,Bo Van Pelt,22,49.8,129,259,1.71
109,T110,T110,Martin Kaymer,17,50.0,103,206,1.36
110,T110,T110,Pat Perez,22,50.0,165,330,1.82
111,T110,T110,Alistair Presnell,23,50.0,131,262,2.82
112,T113,T113,Tommy Gainey,28,50.2,222,442,2.12
113,T113,T113,Geoff Ogilvy,19,50.2,114,227,2.63
114,T113,T113,Kevin Streelman,25,50.2,152,303,0.79
115,T116,T116,Padraig Harrington,17,50.3,92,183,2.5
116,T116,T116,Gary Woodland,26,50.3,231,459,1.6
117,118,118,Vijay Singh,19,50.4,129,256,1.47
118,T119,T119,Billy Horschel,26,50.5,200,396,1.3
119,T119,T119,Adam Scott,16,50.5,110,218,1.18
120,T119,T119,Boo Weekley,27,50.5,190,376,2.11
121,122,122,Matt Every,28,50.6,222,439,0.95
122,T123,T123,Robert Karlsson,18,50.7,103,203,1.17
123,T123,T123,Camilo Villegas,23,50.7,181,357,1.88
124,125,125,Jason Dufner,22,50.9,148,291,0.47
125,126,126,Justin Rose,17,51.1,115,225,0.26
126,127,127,Peter Hanson,15,51.2,105,205,1.71
127,T128,T128,Jason Day,21,51.3,173,337,0.69
128,T128,T128,Zach Johnson,24,51.3,139,271,1.87
129,T130,T130,Erik Compton,24,51.4,189,368,1.38
130,T130,T130,Patrick Reed,26,51.4,224,436,0.54
131,T130,T130,Scott Stallings,27,51.4,178,346,2.36
132,133,133,Justin Leonard,24,51.5,187,363,2.19
133,T134,T134,Robert Garrigus,22,51.6,145,281,1.45
134,T134,T134,Vaughn Taylor,16,51.6,99,192,2.83
135,136,136,Rickie Fowler,22,51.9,154,297,1.49
136,T137,T137,Kevin Chappell,24,52.0,178,342,1.24
137,T137,T137,Seung-Yul Noh,25,52.0,199,383,1.91
138,T139,T139,Jason Bohn,23,52.1,160,307,2.13
139,T139,T139,Doug LaBelle II,23,52.1,134,257,2.46
140,141,141,D.J. Trahan,16,52.2,97,186,0.62
141,142,142,David Toms,16,52.3,80,153,1.75
142,143,143,Aaron Baddeley,24,52.5,201,383,1.39
143,144,144,Richard Lee,24,52.8,172,326,1.98
144,T145,T145,Chad Campbell,25,53.0,202,381,1.93
145,T145,T145,Lee Westwood,19,53.0,131,247,1.22
146,147,147,Bill Haas,25,53.1,182,343,0.22
147,T148,T148,Steven Bowditch,22,53.3,185,347,1.24
148,T148,T148,Charley Hoffman,23,53.3,204,383,1.23
149,T150,T150,Jonas Blixt,24,53.4,198,371,1.87
150,T150,T150,Jason Kokrak,25,53.4,226,423,0.71
151,T152,T152,Tom Gillis,22,53.5,154,288,2.08
152,T152,T152,Henrik Norlander,22,53.5,169,316,2.01
153,T152,T152,Andres Romero,21,53.5,153,286,1.57
154,155,155,Chris Stroud,26,53.6,210,392,1.33
155,156,156,James Driscoll,23,53.7,209,389,1.53
156,157,157,Greg Owen,24,53.9,194,360,2.53
157,158,158,Chez Reavie,22,54.0,148,274,2.16
158,159,159,Lucas Glover,23,54.1,144,266,2.08
159,160,160,Carl Pettersson,24,54.3,182,335,2.91
160,T161,T161,Martin Flores,25,54.6,260,476,1.81
161,T161,T161,Nicholas Thompson,29,54.6,220,403,1.45
162,163,163,D.A. Points,28,54.7,181,331,1.66
163,164,164,Casey Wittenberg,27,55.0,208,378,1.92
164,165,165,Brian Davis,28,55.9,194,347,1.49
165,166,166,Henrik Stenson,18,56.2,91,162,1.54
166,167,167,Luke Donald,17,56.5,134,237,1.42
167,168,168,Ryo Ishikawa,23,56.6,185,327,1.84
168,169,169,Jeff Maggert,21,56.9,144,253,2.71
169,T170,T170,Robert Streb,25,57.1,185,324,1.62
170,T170,T170,Johnson Wagner,24,57.1,168,294,2.32
171,172,172,Phil Mickelson,21,57.4,183,319,0.98
172,173,173,Shawn Stefani,21,57.6,179,311,2.07
173,T174,T174,Luke List,24,58.6,212,362,1.6
174,T174,T174,Kevin Stadler,25,58.6,197,336,0.96
175,176,176,Robert Allenby,24,58.7,175,298,2.29
176,177,177,Sergio Garcia,17,58.8,143,243,0.56
177,178,178,J.J. Henry,26,59.4,205,345,1.9
178,179,179,Michael Bradley,21,60.8,158,260,2.28
179,180,180,Russell Henley,24,62.9,193,307,1.4
