,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
49,T49,T49,Patrick Reed,26,48.6,212,436,2.22
50,T49,T49,Scott Stallings,27,48.6,168,346,2.26
51,T52,T52,Jason Day,21,48.7,164,337,0.61
52,T52,T52,Zach Johnson,24,48.7,132,271,1.29
53,54,54,Peter Hanson,15,48.8,100,205,2.0
54,55,55,Justin Rose,17,48.9,110,225,0.55
55,56,56,Jason Dufner,22,49.1,143,291,1.75
56,T57,T57,Robert Karlsson,18,49.3,100,203,2.8
57,T57,T57,Camilo Villegas,23,49.3,176,357,0.85
58,59,59,Matt Every,28,49.4,217,439,1.43
59,T60,T60,Billy Horschel,26,49.5,196,396,0.61
60,T60,T60,Adam Scott,16,49.5,108,218,0.93
61,T60,T60,Boo Weekley,27,49.5,186,376,2.04
62,63,63,Vijay Singh,19,49.6,127,256,1.65
63,T64,T64,Padraig Harrington,17,49.7,91,183,1.87
64,T64,T64,Gary Woodland,26,49.7,228,459,2.02
65,T66,T66,Tommy Gainey,28,49.8,220,442,2.14
66,T66,T66,Geoff Ogilvy,19,49.8,113,227,1.33
67,T66,T66,Kevin Streelman,25,49.8,151,303,1.13
68,T69,T69,Martin Kaymer,17,50.0,103,206,2.33
69,T69,T69,Pat Perez,22,50.0,165,330,1.7
70,T69,T69,Alistair Presnell,23,50.0,131,262,1.22
71,T72,T72,Brandt Jobe,19,50.2,125,249,3.28
72,T72,T72,David Lingmerth,23,50.2,133,265,1.35
73,T72,T72,Eric Meierdierks,19,50.2,110,219,2.45
74,T72,T72,Brandt Snedeker,23,50.2,149,297,1.07
75,T72,T72,Bo Van Pelt,22,50.2,130,259,2.0
76,77,77,Graham DeLaet,26,50.3,178,354,1.07
77,T78,T78,Jim Herman,19,50.4,114,226,1.67
78,T78,T78,Troy Matteson,24,50.4,169,335,1.07
79,T78,T78,Ryan Palmer,22,50.4,194,385,1.39
80,81,81,Rory Sabbatini,27,50.5,201,398,0.8
81,T82,T82,Keegan Bradley,25,50.6,170,336,0.71
82,T82,T82,Luke Guthrie,27,50.6,178,352,0.79
83,T82,T82,Webb Simpson,25,50.6,171,338,0.12
84,T82,T82,Brendan Steele,26,50.6,203,401,1.87
85,86,86,Bud Cauley,24,50.7,153,302,2.29
86,T87,T87,Stuart Appleby,25,50.9,203,399,1.48
87,T87,T87,Matt Kuchar,23,50.9,199,391,1.01
88,T89,T89,Ben Crane,21,51.0,148,290,2.09
89,T89,T89,Y.E. Yang,19,51.0,100,196,2.8
90,91,91,Dustin Johnson,22,51.1,161,315,0.81
91,T92,T92,Stewart Cink,22,51.3,156,304,1.92
92,T92,T92,Ernie Els,19,51.3,135,263,1.04
93,T94,T94,Will Claxton,24,51.4,146,284,2.47
94,T94,T94,Brian Harman,29,51.4,209,407,1.87
95,T94,T94,Jerry Kelly,22,51.4,126,245,1.67
96,T94,T94,William McGirt,24,51.4,184,358,2.12
97,T94,T94,John Merrick,23,51.4,188,366,1.28
98,T94,T94,Cameron Percy,21,51.4,161,313,1.06
99,T100,T100,K.J. Choi,24,51.5,136,264,1.32
100,T100,T100,Brad Fritsch,24,51.5,201,390,1.39
101,T100,T100,Cameron Tringale,24,51.5,195,379,1.23
102,T103,T103,"Ted Potter, Jr.",22,51.7,125,242,1.92
103,T103,T103,Bubba Watson,21,51.7,163,315,1.66
104,105,105,Ben Curtis,20,51.9,126,243,2.38
105,106,106,Jim Furyk,22,52.0,132,254,1.36
106,107,107,Charl Schwartzel,19,52.2,144,276,1.18
107,T108,T108,Tim Clark,20,52.5,94,179,1.28
108,T108,T108,Ian Poulter,16,52.5,96,183,1.88
109,110,110,Tag Ridings,24,52.8,189,358,2.06
110,111,111,Brian Gay,24,52.9,180,340,2.11
111,112,112,Graeme McDowell,16,53.0,80,151,1.75
112,T113,T113,Sean O'Hair,22,53.3,161,302,1.99
113,T113,T113,Brian Stuard,25,53.3,161,302,2.42
114,T113,T113,Daniel Summerhays,26,53.3,215,403,0.98
115,T116,T116,Jeff Overton,24,53.4,227,425,1.23
116,T116,T116,Jin Park,20,53.4,101,189,2.87
117,118,118,Andrew Svoboda,18,53.6,97,181,0.82
118,T119,T119,Ángel Cabrera,21,53.7,173,322,1.68
119,T119,T119,Roberto Castro,29,53.7,196,365,1.58
120,T119,T119,Jimmy Walker,24,53.7,251,467,-0.28
121,T122,T122,Charlie Beljan,24,53.8,149,277,1.48
122,T122,T122,Ben Kohles,25,53.8,149,277,2.08
123,124,124,David Lynn,22,53.9,166,308,1.57
124,125,125,Rory McIlroy,16,54.1,120,222,1.67
125,T126,T126,Kyle Stanley,24,54.7,168,307,1.37
126,T126,T126,Michael Thompson,22,54.7,145,265,1.86
127,T126,T126,Lee Williams,22,54.7,152,278,2.17
128,T129,T129,Tim Herron,15,54.9,152,277,1.18
129,T129,T129,Morgan Hoffmann,20,54.9,168,306,0.95
130,T131,T131,Sangmoon Bae,26,55.0,224,407,1.56
131,T131,T131,Nicolas Colsaerts,17,55.0,122,222,1.39
132,133,133,Colt Knost,25,55.1,147,267,2.99
133,T134,T134,Harris English,26,55.5,243,438,0.86
134,T134,T134,Bob Estes,18,55.5,171,308,1.29
135,T134,T134,Martin Laird,21,55.5,151,272,2.45
136,T137,T137,Trevor Immelman,24,55.6,183,329,1.53
137,T137,T137,Dicky Pride,23,55.6,159,286,1.51
138,139,139,Matt Jones,24,55.8,183,328,0.77
139,140,140,John Senden,25,56.0,182,325,1.1
140,T141,T141,Justin Hicks,25,56.1,157,280,1.85
141,T141,T141,Jordan Spieth,23,56.1,160,285,0.75
142,T141,T141,Nick Watney,26,56.1,203,362,1.48
143,144,144,Brendon de Jonge,30,56.2,244,434,1.64
144,145,145,Ryan Moore,22,56.3,134,238,2.91
145,146,146,Freddie Jacobson,19,56.4,145,257,0.41
146,147,147,James Hahn,26,56.5,212,375,1.7
147,148,148,Stephen Ames,19,56.7,139,245,1.29
148,149,149,Steve Stricker,13,56.9,74,130,0.14
149,150,150,Fabián Gómez,23,57.1,169,296,1.83
150,151,151,Justin Bolli,23,57.3,141,246,3.76
151,152,152,Ricky Barnes,26,57.6,204,354,2.11
152,T153,T153,John Huh,28,57.7,187,324,1.5
153,T153,T153,Chris Kirk,24,57.7,252,437,1.27
154,155,155,Bobby Gates,20,57.8,144,249,2.85
155,156,156,Greg Chalmers,25,57.9,198,342,1.77
156,157,157,Marc Leishman,23,58.0,202,348,1.04
157,T158,T158,Scott Brown,21,58.1,165,284,1.58
158,T158,T158,David Hearn,26,58.1,222,382,1.76
159,160,160,Scott Gardiner,23,58.2,170,292,1.47
160,161,161,Derek Ernst,21,58.6,156,266,2.24
161,162,162,Tiger Woods,16,58.8,124,211,1.21
162,163,163,John Rollins,24,58.9,218,370,2.02
163,164,164,Hunter Mahan,25,59.0,180,305,0.72
164,165,165,Mike Weir,22,59.2,174,294,1.21
165,T166,T166,George McNeill,21,60.4,180,298,2.28
166,T166,T166,Charlie Wi,23,60.4,203,336,1.77
167,T168,T168,Josh Teater,24,60.5,185,306,0.97
168,T168,T168,Aaron Watkins,19,60.5,107,177,2.24
169,T170,T170,Scott Langley,27,60.6,200,330,2.2
170,T170,T170,Steve LeBrun,21,60.6,174,287,1.72
171,T170,T170,Scott Piercy,24,60.6,217,358,1.75
172,173,173,Darron Stiles,20,60.9,109,179,2.39
173,174,174,David Mathis,24,61.0,189,310,2.54
174,175,175,Charles Howell III,26,61.1,299,489,0.67
175,T176,T176,Rod Pampling,16,62.0,111,179,1.62
176,T176,T176,Mark Wilson,19,62.0,119,192,1.51
177,178,178,Ken Duke,28,63.1,193,306,2.38
178,179,179,D.H. Lee,22,64.1,166,259,1.75
179,180,180,Bryce Molder,24,65.3,218,334,1.65
