,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
170,171,171,Stephen Ames,49,77.06,524,680
171,172,172,Scott Piercy,78,76.97,809,1051
172,173,173,Bobby Gates,49,76.59,481,628
173,174,174,Sean O'Hair,56,76.35,594,778
174,175,175,Seung-Yul Noh,71,76.34,713,934
175,176,176,Casey Wittenberg,72,75.72,739,976
176,177,177,Tim Herron,45,75.4,472,626
177,178,178,Peter Hanson,45,75.25,453,602
178,179,179,Mike Weir,60,74.26,600,808
179,180,180,Aaron Baddeley,68,74.15,680,917
