,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
45,46,46,Robert Karlsson,18,1297,,3.0,3964.0,
46,47,47,Spencer Levin,27,1287,,4.0,3974.0,
47,48,48,Carl Pettersson,25,1284,,4.0,3977.0,
48,49,49,Steve Marino,23,1262,,3.0,3999.0,
49,50,50,Jimmy Walker,24,1252,,4.0,4009.0,
50,51,51,Brandt Jobe,26,1238,,4.0,4023.0,
51,52,52,Brendan Steele,25,1160,1.0,2.0,4101.0,
52,53,53,Ryan Palmer,23,1159,,3.0,4102.0,
53,54,54,Jhonattan Vegas,24,1149,1.0,2.0,4112.0,
54,55,55,Robert Allenby,24,1146,,3.0,4115.0,
55,56,56,D.A. Points,24,1140,1.0,3.0,4121.0,
56,57,57,Scott Stallings,26,1125,1.0,2.0,4136.0,
57,58,58,Sean O'Hair,23,1102,1.0,1.0,4159.0,
58,59,59,Chad Campbell,26,1076,,1.0,4185.0,
59,60,60,Brendon de Jonge,28,1024,,3.0,4237.0,
60,61,61,Chris Stroud,25,1013,,2.0,4248.0,
61,62,62,Tommy Gainey,30,1009,,6.0,4252.0,
62,63,63,Cameron Tringale,28,1002,,4.0,4259.0,
63,64,64,Blake Adams,30,985,,4.0,4276.0,
64,65,65,Marc Leishman,25,947,,2.0,4314.0,
65,66,66,Andres Romero,22,939,,4.0,4322.0,
66,67,67,Ernie Els,20,924,,,4337.0,
67,68,68,George McNeill,18,889,,4.0,4372.0,
68,69,69,Scott Piercy,19,885,1.0,2.0,4376.0,
69,70,70,Johnson Wagner,23,842,1.0,1.0,4419.0,
70,71,71,Kevin Na,24,778,,5.0,4483.0,
71,72,72,Kevin Streelman,23,770,,3.0,4491.0,
72,73,73,Graeme McDowell,15,765,,3.0,4496.0,
73,74,74,Robert Garrigus,23,759,,3.0,4502.0,
74,75,75,Pat Perez,23,751,,4.0,4510.0,
75,76,76,J.J. Henry,26,739,,1.0,4522.0,
76,77,77,Harrison Frazar,18,713,1.0,1.0,4548.0,
77,78,78,Charlie Wi,22,711,,1.0,4550.0,
78,79,79,Anthony Kim,26,702,,2.0,4559.0,
79,80,80,Kris Blanks,26,694,,2.0,4567.0,
80,81,81,Greg Chalmers,25,692,,2.0,4569.0,
81,82,82,Brian Gay,23,685,,3.0,4576.0,
82,83,83,William McGirt,28,674,,,4587.0,
83,84,84,Kevin Chappell,23,673,,2.0,4588.0,
84,85,85,Bill Lunde,25,668,,,4593.0,
85,86,86,J.B. Holmes,16,640,,4.0,4621.0,
86,87,87,Ian Poulter,16,639,,1.0,4622.0,
87,88,88,Trevor Immelman,21,638,,,4623.0,
88,89,89,Padraig Harrington,18,625,,3.0,4636.0,
89,90,90,Jeff Overton,23,619,,3.0,4642.0,
90,91,91,Ryuji Imada,25,617,,2.0,4644.0,
91,92,92,John Rollins,24,616,,2.0,4645.0,
92,93,93,Scott Verplank,15,588,,3.0,4673.0,
93,94,94,Chris Couch,19,573,,3.0,4688.0,
94,95,95,Davis Love III,20,565,,2.0,4696.0,
95,96,96,Ben Crane,20,561,,2.0,4700.0,
96,97,97,Ricky Barnes,21,556,,2.0,4705.0,
97,98,98,Stewart Cink,21,556,,1.0,4705.0,
98,99,99,Troy Matteson,26,547,,2.0,4714.0,
99,100,100,John Merrick,18,535,,1.0,4726.0,
100,101,101,Bryce Molder,24,523,,4.0,4738.0,
101,102,102,Josh Teater,28,513,,1.0,4748.0,
102,103,103,Hunter Haas,26,499,,3.0,4762.0,
103,104,104,Chris DiMarco,27,499,,,4762.0,
104,105,105,Paul Goydos,21,474,,3.0,4787.0,
105,106,106,D.J. Trahan,26,474,,1.0,4787.0,
106,107,107,Nick O'Hern,25,463,,2.0,4798.0,
107,108,108,Matt Bettencourt,26,461,,2.0,4800.0,
108,109,109,Arjun Atwal,25,459,,1.0,4802.0,
109,110,110,Tim Herron,24,456,,2.0,4805.0,
110,111,111,Michael Bradley,21,454,1.0,1.0,4807.0,
111,112,112,Retief Goosen,15,444,,1.0,4817.0,
112,113,113,Kevin Stadler,24,444,,1.0,4817.0,
113,114,114,Tom Gillis,17,431,,2.0,4830.0,
114,115,115,Michael Thompson,21,413,,1.0,4848.0,
115,116,116,Vaughn Taylor,23,397,,,4864.0,
116,117,117,Heath Slocum,25,388,,,4873.0,
117,118,118,Stuart Appleby,24,387,,1.0,4874.0,
118,119,119,Rod Pampling,17,385,,2.0,4876.0,
119,120,120,Joe Ogilvie,21,379,,1.0,4882.0,
120,121,121,David Hearn,22,377,,1.0,4884.0,
121,122,122,Billy Mayfair,25,353,,1.0,4908.0,
122,123,123,James Driscoll,20,353,,2.0,4908.0,
123,124,124,Steve Flesch,23,352,,1.0,4909.0,
124,125,125,Steven Bowditch,24,347,,1.0,4914.0,
125,126,126,Justin Leonard,23,328,,,4933.0,
126,127,127,Matt Jones,21,328,,1.0,4933.0,
127,128,128,Tim Petrovic,25,326,,,4935.0,
128,129,129,David Mathis,21,326,,1.0,4935.0,
129,130,130,Cameron Beckman,22,324,,,4937.0,
130,131,131,Dean Wilson,22,318,,,4943.0,
131,132,132,Tiger Woods,8,318,,2.0,4943.0,
132,133,133,Ben Curtis,19,304,,,4957.0,
133,134,134,Alex Cejka,20,303,,,4958.0,
134,135,135,Roland Thatcher,18,302,,2.0,4959.0,
135,136,136,Michael Putnam,21,300,,,4961.0,
136,137,137,Tim Clark,4,299,,1.0,4962.0,
137,138,138,Stephen Ames,18,298,,2.0,4963.0,
138,139,139,Kent Jones,21,297,,,4964.0,
139,140,140,Chris Riley,21,292,,1.0,4969.0,
140,141,141,Zack Miller,26,290,,1.0,4971.0,
141,142,142,Tag Ridings,24,286,,,4975.0,
142,143,143,Jason Bohn,19,284,,,4977.0,
143,144,144,Paul Casey,13,280,,,4981.0,
144,145,145,Matt McQuillan,17,280,,2.0,4981.0,
145,146,146,Aron Price,15,272,,,4989.0,
146,147,147,Garrett Willis,20,270,,1.0,4991.0,
147,148,148,Louis Oosthuizen,13,267,,1.0,4994.0,
148,149,149,Joe Durant,21,260,,,5001.0,
149,150,150,Bob Estes,9,258,,1.0,5003.0,
