,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
94,95,95,Davis Love III,20,75000
95,96,96,Ben Crane,20,75000
96,97,97,Ricky Barnes,21,75000
97,98,98,Stewart Cink,21,75000
98,99,99,Troy Matteson,26,75000
99,100,100,John Merrick,18,75000
100,101,101,Bryce Molder,24,70000
101,102,102,Josh Teater,28,70000
102,103,103,Hunter Haas,26,70000
103,104,104,Chris DiMarco,27,70000
104,105,105,Paul Goydos,21,70000
105,106,106,D.J. Trahan,26,70000
106,107,107,Nick O'Hern,25,70000
107,108,108,Matt Bettencourt,26,70000
108,109,109,Arjun Atwal,25,70000
109,110,110,Tim Herron,24,70000
110,111,111,Michael Bradley,21,70000
111,112,112,Retief Goosen,15,70000
112,113,113,Kevin Stadler,24,70000
113,114,114,Tom Gillis,17,70000
114,115,115,Michael Thompson,21,70000
115,116,116,Vaughn Taylor,23,70000
116,117,117,Heath Slocum,25,70000
117,118,118,Stuart Appleby,24,70000
118,119,119,Rod Pampling,17,70000
119,120,120,Joe Ogilvie,21,70000
120,121,121,David Hearn,22,70000
121,122,122,Billy Mayfair,25,70000
122,123,123,James Driscoll,20,70000
123,124,124,Steve Flesch,23,70000
124,125,125,Steven Bowditch,24,70000
125,126,126,Justin Leonard,23,32000
126,127,127,Matt Jones,21,32000
127,128,128,Tim Petrovic,25,32000
128,129,129,David Mathis,21,32000
129,130,130,Cameron Beckman,22,32000
130,131,131,Dean Wilson,22,32000
131,132,132,Tiger Woods,8,32000
132,133,133,Ben Curtis,19,32000
133,134,134,Alex Cejka,20,32000
134,135,135,Roland Thatcher,18,32000
135,136,136,Michael Putnam,21,32000
136,137,137,Tim Clark,4,32000
137,138,138,Stephen Ames,18,32000
138,139,139,Kent Jones,21,32000
139,140,140,Chris Riley,21,32000
140,141,141,Zack Miller,26,32000
141,142,142,Tag Ridings,24,32000
142,143,143,Jason Bohn,19,32000
143,144,144,Paul Casey,13,32000
144,145,145,Matt McQuillan,17,32000
145,146,146,Aron Price,15,32000
146,147,147,Garrett Willis,20,32000
147,148,148,Louis Oosthuizen,13,32000
148,149,149,Joe Durant,21,32000
149,150,150,Bob Estes,9,32000
