,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
22,23,23,Charles Howell III,30,10.31,1031,10000,,1.0
23,24,24,Kyle Stanley,28,10.16,762,7500,,1.0
24,25,25,Brian Davis,30,10.05,754,7500,,1.0
25,26,26,Jonathan Byrd,26,9.85,985,10000,,1.0
26,27,27,Jason Dufner,23,9.55,955,10000,,1.0
27,28,28,Phil Mickelson,21,8.84,884,10000,,2.0
28,29,29,Sergio Garcia,16,8.73,655,7500,,
29,30,30,Jimmy Walker,24,8.5,638,7500,,
30,T31,T31,Charley Hoffman,27,8.3,623,7500,,1.0
31,T31,T31,Nick Watney,22,8.3,830,10000,,1.0
32,33,33,Chris Stroud,28,8.0,600,7500,,
33,34,34,Carl Pettersson,27,7.9,593,7500,,
34,35,35,Ryan Moore,22,7.76,582,7500,,1.0
35,36,36,Ernie Els,21,7.57,568,7500,,
36,37,37,Charl Schwartzel,15,7.5,375,5000,,
37,38,38,Mark Wilson,26,7.33,733,10000,,
38,39,39,Freddie Jacobson,25,6.93,693,10000,,
39,40,40,David Toms,23,6.88,688,10000,,1.0
40,41,41,William McGirt,32,6.8,340,5000,,
41,42,42,Robert Karlsson,18,6.77,508,7500,,
42,43,43,Chad Campbell,29,6.47,485,7500,,
43,44,44,Robert Allenby,25,6.23,468,7500,,
44,45,45,Steve Stricker,19,6.2,620,10000,,
45,46,46,Zach Johnson,23,6.03,453,7500,,
46,47,47,Keegan Bradley,28,6.0,600,10000,,
47,48,48,Bubba Watson,22,5.88,588,10000,,
48,49,49,Brandt Jobe,28,5.8,435,7500,,1.0
49,T50,T50,Lucas Glover,23,5.73,430,7500,,
50,T50,T50,Padraig Harrington,18,5.73,287,5000,,
51,52,52,Marc Leishman,27,5.67,425,7500,,
52,53,53,Graeme McDowell,16,5.6,280,5000,,
53,54,54,Ian Poulter,16,5.05,253,5000,,
54,55,55,Sean O'Hair,24,5.03,378,7500,,
55,56,56,Chris Kirk,28,5.0,375,7500,,
56,57,57,Blake Adams,34,4.92,369,7500,,1.0
57,58,58,Greg Chalmers,28,4.85,243,5000,,
58,T59,T59,Arjun Atwal,29,4.8,120,2500,,
59,T59,T59,Bill Lunde,28,4.8,240,5000,,
60,T59,T59,Josh Teater,31,4.8,120,2500,,
61,62,62,Cameron Tringale,32,4.77,358,7500,,
62,63,63,Martin Laird,23,4.73,355,7500,,
63,64,64,Brendan Steele,27,4.46,334,7500,,1.0
64,65,65,Steve Marino,23,4.37,327,7500,,
65,66,66,Anthony Kim,26,4.35,218,5000,,
66,67,67,Rory Sabbatini,24,4.24,318,7500,,
67,68,68,Scott Piercy,23,4.19,314,7500,,
68,69,69,Andres Romero,22,3.83,288,7500,,
69,70,70,Rickie Fowler,24,3.8,285,7500,,
70,71,71,Spencer Levin,31,3.5,263,7500,,
71,T72,T72,Ryan Palmer,24,3.43,258,7500,,
72,T72,T72,Johnson Wagner,25,3.43,258,7500,,
73,T74,T74,Kevin Chappell,26,3.4,170,5000,,
74,T74,T74,Trevor Immelman,25,3.4,170,5000,,
75,T74,T74,Kevin Streelman,26,3.4,170,5000,,
76,77,77,D.J. Trahan,30,3.3,83,2500,,
77,78,78,Brendon de Jonge,30,3.2,240,7500,,
78,79,79,Jhonattan Vegas,25,3.07,230,7500,,
79,80,80,J.J. Henry,28,2.8,140,5000,,
80,81,81,George McNeill,21,2.6,195,7500,,
81,T82,T82,John Merrick,21,2.4,120,5000,,
82,T82,T82,Charlie Wi,25,2.4,120,5000,,
83,84,84,Scott Stallings,28,1.77,133,7500,,
84,85,85,Ryuji Imada,29,1.75,88,5000,,
85,T86,T86,Bryce Molder,27,1.2,30,2500,,
86,T86,T86,Kevin Stadler,27,1.2,30,2500,,
87,88,88,Robert Garrigus,26,1.15,58,5000,,
88,89,89,D.A. Points,26,1.13,85,7500,,
89,T90,T90,Kris Blanks,29,1.05,53,5000,,
90,T90,T90,Harrison Frazar,19,1.05,53,5000,,
91,T92,T92,Ben Crane,23,0.7,35,5000,,
92,T92,T92,Pat Perez,24,0.7,35,5000,,
93,T94,T94,David Hearn,26,0.6,15,2500,,
94,T94,T94,Joe Ogilvie,24,0.6,15,2500,,
95,96,96,Retief Goosen,16,0.19,5,2500,,
96,T97,T97,Davis Love III,22,0.16,8,5000,,
97,T97,T97,Jeff Overton,26,0.16,8,5000,,
98,T97,T97,John Rollins,27,0.16,8,5000,,
99,100,100,Tommy Gainey,34,0.13,10,7500,,
100,T101,T101,Ricky Barnes,23,0.09,4,5000,,
101,T101,T101,Troy Matteson,28,0.09,4,5000,,
