,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
164,165,165,Glen Day,261150
165,166,166,Martin Piller,260316
166,167,167,Peter Tomasulo,250134
167,168,168,Kevin Kisner,234791
168,169,169,Nate Smith,231542
169,170,170,Jason Gore,202193
170,171,171,Mark Calcavecchia,199616
171,172,172,Steve Lowery,194247
172,173,173,Andres Gonzales,191033
173,174,174,Dicky Pride,168546
174,175,175,Robert Gamez,164744
175,176,176,Will Strickler,159866
176,177,177,Duffy Waldorf,106363
177,178,178,Fran Quinn,104289
178,179,179,Fred Funk,101563
179,180,180,Robert Damron,80986
180,181,181,Parker McLachlin,79791
181,182,182,Brad Faxon,76253
182,183,183,Guy Boros,71177
183,184,184,John Huston,69249
184,185,185,Greg Kraft,66876
185,186,186,Mark Brooks,61336
186,187,187,Jonathan Kaye,60656
187,188,188,Scott Gordon,56622
188,189,189,Carl Paulson,39540
189,190,190,Joe Affrunti,37674
190,191,191,Mark O'Meara,36480
191,192,192,Tom Byrum,34228
192,193,193,Steve Pate,31500
193,194,194,Jim Carter,29285
194,195,195,John Morse,28998
195,196,196,J.L. Lewis,27072
196,197,197,Arron Oberholser,26417
197,198,198,Eric Axley,24124
198,199,199,Chris Smith,23400
199,T200,T200,Brian Bateman,22200
200,T200,T200,Len Mattiace,22200
201,202,202,Michael Clark II,21045
202,203,203,Tommy Armour III,19572
203,204,204,Notah Begay III,13380
204,205,205,Robin Freeman,13062
205,206,206,Ernie Gonzalez,10788
206,207,207,Paul Azinger,9486
207,208,208,Spike McRoy,6840
208,209,209,"Jim Gallagher, Jr.",6552
209,210,210,Willie Wood,6540
