,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
36,37,37,Lucas Glover,23,9.89,875.0,8850,1.0,1.0
37,38,38,Ryan Palmer,24,9.59,902.0,9400,,3.0
38,39,39,Steve Marino,23,9.54,935.0,9800,,3.0
39,40,40,Justin Rose,23,9.42,796.0,8450,,3.0
40,41,41,Harrison Frazar,19,9.23,660.0,7150,1.0,1.0
41,42,42,Scott Verplank,15,9.12,588.0,6450,,3.0
42,43,43,Spencer Levin,31,8.95,1025.0,11450,,4.0
43,44,44,Scott Stallings,28,8.9,992.0,11150,1.0,2.0
44,45,45,Shigeki Maruyama,2,8.75,88.0,1000,,1.0
45,46,46,Vijay Singh,25,8.73,903.0,10350,,4.0
46,47,47,Tom Lehman,5,8.67,108.0,1250,,
47,48,48,Scott Piercy,23,8.65,571.0,6600,1.0,2.0
48,49,49,Jhonattan Vegas,25,8.63,919.0,10650,1.0,2.0
49,50,50,Bo Van Pelt,27,8.43,881.0,10450,,3.0
50,51,51,J.B. Holmes,16,8.26,640.0,7750,,4.0
51,52,52,Graeme McDowell,16,8.15,485.0,5950,,3.0
52,T53,T53,Marco Dawson,3,8.0,100.0,1250,,
53,T53,T53,Chris Kirk,28,8.0,957.0,11950,1.0,4.0
54,55,55,Kevin Na,26,7.7,778.0,10100,,5.0
55,56,56,Tommy Gainey,34,7.57,999.0,13200,,6.0
56,57,57,Brendan Steele,27,7.51,826.0,11000,1.0,1.0
57,58,58,Robert Garrigus,26,7.43,702.0,9450,,3.0
58,59,59,John Senden,26,7.35,732.0,9950,,2.0
59,60,60,Brandt Jobe,28,7.33,803.0,10950,,3.0
60,61,61,Sean O'Hair,24,7.31,724.0,9900,1.0,1.0
61,62,62,Peter Lonard,2,7.3,55.0,750,,1.0
62,63,63,Kyle Stanley,28,7.25,761.0,10500,,2.0
63,64,64,Geoff Ogilvy,21,7.19,571.0,7950,,3.0
64,65,65,Tiger Woods,9,7.14,318.0,4450,,2.0
65,66,66,Pat Perez,24,6.92,716.0,10350,,4.0
66,67,67,Fred Couples,5,6.9,180.0,2600,,1.0
67,T68,T68,Bob Estes,12,6.89,258.0,3750,,1.0
68,T68,T68,Andres Romero,22,6.89,651.0,9450,,4.0
69,70,70,Brian Gay,26,6.88,685.0,9950,,3.0
70,71,71,Chris Couch,21,6.86,573.0,8350,,3.0
71,72,72,Robert Allenby,25,6.82,679.0,9950,,3.0
72,T73,T73,Retief Goosen,16,6.81,439.0,6450,,1.0
73,T73,T73,Charley Hoffman,27,6.81,746.0,10950,,1.0
74,75,75,Davis Love III,22,6.71,557.0,8300,,2.0
75,76,76,Jerry Kelly,26,6.64,651.0,9800,,3.0
76,77,77,Brendon de Jonge,30,6.43,784.0,12200,,3.0
77,78,78,Stewart Cink,22,6.42,556.0,8650,,1.0
78,79,79,Steve Pate,1,6.4,16.0,250,,
79,80,80,Jim Furyk,26,6.32,661.0,10450,,3.0
80,81,81,Carl Pettersson,27,6.31,691.0,10950,,4.0
81,82,82,Ben Crane,23,6.3,526.0,8350,,2.0
82,83,83,Jeff Overton,26,6.14,611.0,9950,,3.0
83,84,84,Kevin Streelman,26,6.09,600.0,9850,,3.0
84,85,85,Johnson Wagner,25,6.03,585.0,9700,1.0,1.0
85,86,86,Ian Poulter,16,6.0,387.0,6450,,1.0
86,87,87,Brett Wetterich,8,5.95,208.0,3500,,
87,88,88,Ricky Barnes,23,5.93,552.0,9300,,2.0
88,89,89,Chez Reavie,27,5.88,588.0,10000,,3.0
89,T90,T90,Jimmy Walker,24,5.8,615.0,10600,,4.0
90,T90,T90,Charlie Wi,25,5.8,591.0,10200,,1.0
91,92,92,Brian Davis,30,5.73,685.0,11950,,1.0
92,93,93,John Merrick,21,5.72,415.0,7250,,1.0
93,94,94,Chad Campbell,29,5.71,591.0,10350,,1.0
94,95,95,Tom Pernice Jr.,12,5.6,210.0,3750,,1.0
95,96,96,John Rollins,27,5.56,608.0,10950,,2.0
96,97,97,Kris Blanks,29,5.53,641.0,11600,,2.0
97,98,98,Kirk Triplett,8,5.51,110.0,2000,,
98,99,99,Rod Pampling,21,5.49,385.0,7000,,2.0
99,100,100,Tom Gillis,19,5.32,431.0,8100,,2.0
100,101,101,Trevor Immelman,25,5.31,468.0,8800,,
101,102,102,Kevin Chappell,26,5.24,503.0,9600,,2.0
102,103,103,J.J. Henry,28,5.23,599.0,11450,,1.0
103,104,104,Cameron Tringale,32,5.22,644.0,12350,,4.0
104,105,105,Marc Leishman,27,5.04,522.0,10350,,2.0
105,106,106,Paul Goydos,25,4.82,474.0,9850,,3.0
106,107,107,Blake Adams,34,4.79,616.0,12850,,3.0
107,108,108,Troy Matteson,28,4.78,542.0,11350,,2.0
108,109,109,Paul Casey,15,4.71,280.0,5950,,
109,110,110,Tom Byrum,1,4.7,12.0,250,,
110,111,111,Ryuji Imada,29,4.62,529.0,11450,,2.0
111,112,112,Michael Thompson,25,4.58,413.0,9000,,1.0
112,113,113,Michael Bradley,24,4.56,454.0,9950,1.0,1.0
113,114,114,Padraig Harrington,18,4.54,338.0,7450,,3.0
114,115,115,Louis Oosthuizen,15,4.49,267.0,5950,,1.0
115,116,116,Ernie Els,21,4.48,357.0,7950,,
116,117,117,Bryce Molder,27,4.4,493.0,11200,,4.0
117,118,118,Matt Every,5,4.37,98.0,2250,,
118,119,119,Tom Watson,3,4.36,48.0,1100,,
119,T120,T120,Greg Chalmers,28,4.25,450.0,10600,,2.0
120,T120,T120,Anthony Kim,26,4.25,485.0,11400,,2.0
121,122,122,Hunter Haas,30,4.21,499.0,11850,,3.0
122,123,123,Aron Price,18,4.18,272.0,6500,,
123,124,124,Nick O'Hern,29,4.17,463.0,11100,,2.0
124,T125,T125,James Driscoll,24,4.15,353.0,8500,,2.0
125,T125,T125,Tim Herron,28,4.15,456.0,11000,,2.0
126,127,127,Chris DiMarco,31,4.07,499.0,12250,,
127,128,128,Joe Ogilvie,24,4.04,364.0,9000,,1.0
128,129,129,Briny Baird,19,3.97,258.0,6500,,2.0
129,130,130,Steve Lowery,2,3.95,20.0,500,,
130,131,131,Bill Lunde,28,3.91,428.0,10950,,
131,132,132,Chris Stroud,28,3.9,413.0,10600,,2.0
132,133,133,Kevin Stadler,27,3.82,414.0,10850,,1.0
133,134,134,David Hearn,26,3.81,362.0,9500,,1.0
134,135,135,Camilo Villegas,25,3.8,395.0,10400,,2.0
135,136,136,Cameron Percy,12,3.78,161.0,4250,,1.0
136,137,137,Matt McQuillan,21,3.74,280.0,7500,,2.0
137,138,138,Matt Bettencourt,30,3.73,461.0,12350,,2.0
138,139,139,Vaughn Taylor,27,3.65,397.0,10850,,
139,140,140,Ángel Cabrera,17,3.62,237.0,6550,,2.0
140,141,141,Todd Hamilton,11,3.61,117.0,3250,,
141,142,142,Stephen Ames,22,3.57,298.0,8350,,2.0
142,143,143,Roland Thatcher,22,3.46,302.0,8750,,2.0
143,144,144,Ben Curtis,23,3.43,304.0,8850,,
144,145,145,Woody Austin,18,3.39,221.0,6500,,1.0
145,146,146,Kevin Sutherland,11,3.38,190.0,5600,,
146,T147,T147,Steve Flesch,27,3.35,352.0,10500,,1.0
147,T147,T147,David Mathis,25,3.35,326.0,9750,,1.0
148,149,149,Heath Slocum,29,3.33,388.0,11650,,
149,150,150,Stuart Appleby,24,3.29,387.0,11750,,1.0
150,151,151,Steven Bowditch,28,3.23,347.0,10750,,1.0
151,152,152,D.J. Trahan,30,3.21,392.0,12200,,1.0
152,153,153,Jason Bohn,22,3.18,284.0,8950,,
153,154,154,Matt Jones,25,3.17,328.0,10350,,1.0
154,155,155,Billy Mayfair,29,3.14,353.0,11250,,1.0
155,156,156,Cameron Beckman,25,3.13,324.0,10350,,
156,T157,T157,Alex Cejka,21,3.12,303.0,9700,,
157,T157,T157,Josh Teater,31,3.12,393.0,12600,,1.0
158,159,159,Michael Putnam,21,3.08,300.0,9750,,
159,160,160,Kent Jones,25,3.05,297.0,9750,,
160,161,161,Justin Leonard,26,3.02,328.0,10850,,
161,162,162,Nick Price,1,3.0,15.0,500,,
162,T163,T163,Shane Bertsch,20,2.96,207.0,7000,,1.0
163,T163,T163,Chris Riley,25,2.96,292.0,9850,,1.0
164,165,165,Dean Wilson,22,2.93,318.0,10850,,
165,166,166,Guy Boros,1,2.9,7.0,250,,
166,167,167,Henrik Stenson,15,2.89,159.0,5500,,
167,168,168,Tim Petrovic,29,2.88,326.0,11350,,
168,169,169,Sung Kang,21,2.83,219.0,7750,,1.0
169,170,170,Garrett Willis,24,2.81,270.0,9600,,1.0
170,171,171,Daniel Chopra,2,2.8,21.0,750,,
171,172,172,Arjun Atwal,29,2.75,339.0,12350,,1.0
172,173,173,William McGirt,32,2.72,334.0,12250,,
173,174,174,Scott McCarron,22,2.68,221.0,8250,,
174,175,175,Joe Durant,25,2.64,260.0,9850,,
175,176,176,Craig Barlow,5,2.62,39.0,1500,,
176,177,177,Tag Ridings,28,2.6,286.0,11000,,
177,178,178,Michael Letzig,13,2.54,114.0,4500,,1.0
178,179,179,Andre Stolz,2,2.53,19.0,750,,
179,180,180,Boo Weekley,23,2.52,223.0,8850,,
180,181,181,Ben Martin,25,2.48,242.0,9750,,1.0
181,182,182,Jonathan Kaye,2,2.4,12.0,500,,
182,183,183,Zack Miller,30,2.37,290.0,12250,,1.0
183,184,184,Peter Tomasulo,12,2.31,121.0,5250,,
184,185,185,Paul Stankowski,24,2.3,207.0,9000,,
185,186,186,John Mallinger,15,2.28,137.0,6000,,
186,187,187,Frank Lickliter II,12,2.27,102.0,4500,,
187,188,188,Lee Janzen,19,2.24,168.0,7500,,
188,189,189,Bobby Gates,29,2.23,256.0,11500,,3.0
189,190,190,Michael Connell,26,2.2,233.0,10600,,
190,191,191,Colt Knost,27,2.16,227.0,10500,,
191,192,192,Dicky Pride,8,2.12,64.0,3000,,
192,193,193,Will MacKenzie,14,2.1,105.0,5000,,
193,194,194,Nathan Green,26,2.09,209.0,10000,,
194,195,195,Fabián Gómez,26,2.08,208.0,10000,,1.0
195,196,196,Billy Horschel,25,2.07,197.0,9500,,1.0
196,197,197,Marc Turnesa,20,2.06,175.0,8500,,1.0
197,198,198,David Duval,24,2.05,191.0,9350,,1.0
198,199,199,Robert Damron,3,2.02,25.0,1250,,
199,200,200,Jim Herman,22,2.0,160.0,8000,,
200,201,201,Jeff Quinney,14,1.98,89.0,4500,,
201,202,202,Charles Warren,10,1.97,89.0,4500,,
202,203,203,Bio Kim,25,1.88,179.0,9500,,
203,T204,T204,J.P. Hayes,19,1.87,147.0,7850,,
204,T204,T204,Jim Renner,22,1.87,149.0,8000,,2.0
205,206,206,Jarrod Lyle,29,1.85,217.0,11750,,1.0
206,207,207,Justin Hicks,23,1.82,145.0,8000,,
207,208,208,Daniel Summerhays,29,1.79,210.0,11750,,
208,209,209,Alex Prugh,29,1.77,209.0,11850,,
209,210,210,Corey Pavin,4,1.76,37.0,2100,,
210,211,211,Kenny Perry,13,1.73,110.0,6350,,
211,T212,T212,Mark Calcavecchia,6,1.7,34.0,2000,,
212,T212,T212,Alexandre Rocha,22,1.7,127.0,7500,,
213,214,214,Richard Johnson,23,1.69,144.0,8500,,
214,215,215,Jason Gore,6,1.67,42.0,2500,,
215,216,216,D.J. Brigman,23,1.65,140.0,8500,,
216,217,217,Steve Elkington,17,1.63,107.0,6600,,1.0
217,218,218,Chad Collins,16,1.54,121.0,7850,,
218,219,219,Scott Gutschewski,23,1.47,125.0,8500,,
219,T220,T220,Mark Hensby,6,1.46,29.0,2000,,
220,T220,T220,Shaun Micheel,27,1.46,160.0,10950,,
221,222,222,Troy Merritt,23,1.44,131.0,9100,,
222,223,223,Martin Piller,23,1.42,120.0,8500,,
223,224,224,John Daly,18,1.4,110.0,7850,,1.0
224,225,225,Andres Gonzales,21,1.33,93.0,7000,,
225,226,226,Jeff Maggert,18,1.32,89.0,6750,,
226,227,227,Kevin Kisner,24,1.29,116.0,9000,,
227,228,228,Will Strickler,19,1.28,84.0,6500,,
228,229,229,Omar Uresti,5,1.27,19.0,1500,,
229,230,230,Jay Williamson,6,1.26,25.0,2000,,
230,T231,T231,Garth Mulroy,4,1.23,25.0,2000,,
231,T231,T231,Nate Smith,24,1.23,110.0,9000,,
232,233,233,Greg Kraft,1,1.2,3.0,250,,
233,234,234,Derek Lamely,26,1.19,123.0,10350,,
234,235,235,Brett Quigley,10,1.17,47.0,4000,,
235,236,236,Joseph Bramlett,25,1.16,110.0,9500,,
236,237,237,Craig Bowden,4,1.05,21.0,2000,,
237,238,238,Chris Tidland,12,1.02,44.0,4250,,1.0
238,239,239,Michael Allen,5,0.99,17.0,1750,,
239,240,240,Robert Gamez,9,0.91,32.0,3500,,
240,241,241,Rocco Mediate,23,0.89,85.0,9450,,
241,T242,T242,Rich Beem,21,0.86,78.0,9100,,
242,T242,T242,Fran Quinn,10,0.86,30.0,3500,,
243,244,244,Jesper Parnevik,10,0.85,41.0,4750,,
244,245,245,Jeff Klauk,8,0.79,32.0,4000,,
245,246,246,Jamie Lovemark,9,0.72,31.0,4250,,
246,247,247,Ted Purdy,6,0.7,14.0,2000,,
247,248,248,Chris Baryla,20,0.65,49.0,7500,,
248,T249,T249,Joe Affrunti,6,0.42,11.0,2500,,
249,T249,T249,Notah Begay III,4,0.42,6.0,1500,,
250,T251,T251,Carl Paulson,11,0.41,15.0,3750,,
251,T251,T251,Duffy Waldorf,14,0.41,25.0,6000,,
252,253,253,Matt Weibring,5,0.38,9.0,2250,,
253,254,254,Scott Gordon,19,0.37,26.0,7000,,
254,255,255,Michael Sim,19,0.34,27.0,7850,,
255,256,256,Fred Funk,7,0.33,9.0,2750,,
256,257,257,J.L. Lewis,1,0.19,,250,,
257,258,258,Brian Bateman,1,0.18,,250,,
258,259,259,José María Olazábal,6,0.11,3.0,2950,,
259,T260,T260,Mark Brooks,5,0.09,2.0,2350,,
260,T260,T260,Graham DeLaet,2,0.09,1.0,1000,,
261,262,262,Mark O'Meara,3,0.08,1.0,1200,,
262,263,263,Skip Kendall,6,0.05,1.0,2000,,
263,264,264,Mike Weir,15,0.02,2.0,7350,,
