,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
25,26,26,Brendon de Jonge,54,1.65,89.27,-48.27,55.09
26,27,27,Ángel Cabrera,40,1.61,64.22,-78.74,41.02
27,28,28,Andres Romero,46,1.58,72.49,-28.76,57.16
28,29,29,Thomas Aiken,54,1.57,84.99,-50.82,66.21
29,30,30,Jhonattan Vegas,52,1.54,80.23,-34.39,74.25
30,31,31,Seung-Yul Noh,53,1.53,81.33,-48.43,37.75
31,32,32,Charlie Wi,53,1.36,72.3,-42.66,45.99
32,33,33,Thongchai Jaidee,54,1.35,73.16,-72.37,29.81
33,34,34,Koumei Oda,53,1.32,70.06,-48.32,44.39
34,35,35,Stuart Appleby,54,1.32,71.3,-59.49,26.93
35,36,36,Jaco Van Zyl,40,1.32,52.66,-14.7,45.79
36,37,37,Marc Leishman,54,1.3,70.04,-62.96,49.79
37,38,38,Toru Taniguchi,48,1.29,61.98,-51.9,16.04
38,39,39,Trevor Immelman,42,1.28,53.74,-17.65,44.79
39,40,40,Tomohiro Kondo,49,1.26,61.87,-29.1,53.29
40,41,41,Shingo Katayama,46,1.25,57.27,-43.08,34.24
41,42,42,Do-Hoon Kim,40,1.24,49.66,-20.74,17.59
42,43,43,Kurt Barnes,40,1.22,48.75,-6.7,45.24
43,44,44,Siddikur Rahman,40,1.21,48.53,-17.3,31.77
44,45,45,Michio Matsumura,54,1.18,63.56,-38.77,15.51
45,46,46,Jbe' Kruger,51,1.14,58.15,-32.03,34.6
46,47,47,James Kingston,52,1.12,58.41,-49.65,49.79
47,48,48,Kiradech Aphibarnrat,54,1.08,58.29,-33.48,35.97
48,49,49,Shunsuke Sonoda,43,1.04,44.7,-29.12,10.79
49,50,50,Marcus Fraser,48,1.04,49.84,-37.34,24.21
50,51,51,Ryuji Imada,54,1.03,55.56,-30.93,37.38
51,52,52,Prayad Marksaeng,54,1.03,55.56,-28.69,38.13
52,53,53,Mathew Goggin,50,0.98,49.2,-29.14,45.49
53,54,54,Cho Min-jun,40,0.97,38.76,-10.35,26.96
54,55,55,Tadahiro Takayama,50,0.96,47.97,-26.62,27.62
55,56,56,Matt Jones,53,0.95,50.46,-34.0,23.39
56,57,57,Brett Rumford,51,0.94,48.03,-41.29,17.85
57,58,58,Greg Chalmers,54,0.94,50.54,-44.1,31.99
58,59,59,Arjun Atwal,53,0.92,48.94,-25.06,22.33
59,60,60,Jay Choi,40,0.92,36.62,-14.57,16.86
60,61,61,Nick O'Hern,44,0.91,40.05,-31.51,28.39
61,62,62,Daisuke Maruyama,54,0.91,49.07,-40.43,26.28
62,63,63,D.H. Lee,40,0.9,36.18,-0.34,36.52
63,64,64,WC Liang,49,0.89,43.62,-55.66,4.88
64,65,65,Jeev Milkha Singh,54,0.89,48.06,-40.17,29.44
65,66,66,Mark Tullo,47,0.89,41.72,-17.63,23.22
66,67,67,Thaworn Wiratchant,49,0.88,43.2,-29.39,18.35
67,68,68,Hennie Otto,54,0.86,46.7,-25.7,38.84
68,69,69,Katsumasa Miyamoto,54,0.86,46.66,-39.57,8.56
69,70,70,Hiroo Kawai,47,0.85,39.98,-11.09,33.33
70,71,71,Daniel Gaunt,40,0.84,33.74,-18.38,8.39
71,72,72,Adam Hadwin,40,0.81,32.45,-6.94,26.77
72,73,73,Felipe Aguilar,54,0.8,43.23,-16.97,38.99
73,74,74,Andre Stolz,40,0.77,30.74,-8.15,19.28
74,75,75,Mardan Mamat,49,0.75,36.63,-18.88,19.85
75,76,76,Stephen Ames,44,0.75,32.82,-45.74,18.31
76,77,77,Ricardo Gonzalez,44,0.74,32.67,-25.45,32.01
77,78,78,Jae-bum Park,40,0.74,29.67,-9.17,20.07
78,79,79,Toshinori Muto,48,0.74,35.58,-18.24,27.68
79,80,80,Kim Hyung-Tae,48,0.73,35.05,-13.42,22.97
80,81,81,Fabrizio Zanotti,53,0.72,38.19,-24.84,20.51
81,82,82,Branden Grace,54,0.72,38.7,-16.72,34.1
82,83,83,Takashi Kanemoto,51,0.71,36.26,-30.75,6.29
83,84,84,Pariya Junhasavasdikul,40,0.69,27.72,-17.46,5.31
84,85,85,Danny Lee,51,0.69,35.28,-14.27,35.42
85,86,86,Sung Kang,40,0.67,26.92,-7.53,23.76
86,87,87,Jung-gon Hwang,40,0.67,26.86,-0.18,27.04
87,88,88,David Hearn,52,0.65,33.65,-13.55,23.63
88,89,89,Matthew Zions,49,0.63,30.91,-10.62,23.74
89,90,90,Steve Elkington,40,0.62,24.8,-21.69,6.59
90,91,91,Gaganjeet Bhullar,40,0.6,23.81,-27.57,18.13
91,92,92,Tano Goya,54,0.59,32.05,-20.47,23.69
92,93,93,Benjamín Alvarado,40,0.59,23.65,-3.23,25.5
93,94,94,Steven Bowditch,54,0.59,31.86,-15.06,18.33
94,95,95,Daehyun Kim,40,0.59,23.47,-15.73,15.99
95,96,96,Chan Yih-shin,40,0.59,23.46,-13.37,15.58
96,97,97,Garth Mulroy,51,0.58,29.78,-15.26,32.1
97,98,98,Anirban Lahiri,40,0.58,23.24,-11.41,18.97
98,99,99,S.K. Ho,47,0.58,27.26,-12.16,16.41
99,100,100,Michael Sim,47,0.58,27.08,-53.26,
100,101,101,Park Sang-eon,40,0.57,22.81,-2.6,24.2
101,102,102,Shigeki Maruyama,54,0.57,30.74,-37.73,8.16
102,103,103,Nobuhiro Masuda,47,0.57,26.67,-11.42,19.81
103,104,104,Rod Pampling,51,0.56,28.7,-24.86,23.61
104,105,105,Alistair Presnell,54,0.55,29.74,-22.82,8.35
105,106,106,SSP Chawrasia,53,0.54,28.76,-12.66,25.94
106,107,107,Chawalit Plaphol,46,0.54,24.96,-3.17,22.34
107,108,108,Mamo Osanai,40,0.53,21.38,-11.32,8.23
108,109,109,Brad Kennedy,40,0.53,21.38,-4.49,17.17
109,110,110,Bio Kim,40,0.53,21.06,-6.11,17.03
110,111,111,Masanori Kobayashi,40,0.53,21.02,-2.9,21.95
111,112,112,Kenichi Kuboya,54,0.51,27.66,-38.74,10.12
112,113,113,James Nitties,54,0.51,27.65,-19.58,19.71
113,114,114,Kyung-Nam Kang,40,0.51,20.35,-10.09,9.16
114,115,115,Kunihiro Kamii,50,0.51,25.41,-16.53,11.47
115,116,116,José de Jesús Rodríguez,40,0.51,20.27,-4.99,17.21
116,117,117,Azuma Yano,53,0.51,26.82,-24.51,14.35
117,118,118,Keith Horne,52,0.51,26.3,-19.37,17.31
118,119,119,Hyung-Sung Kim,50,0.5,24.89,-18.06,13.36
119,120,120,Ryuichi Oda,53,0.49,26.19,-36.04,6.66
120,121,121,Peter Karmis,40,0.49,19.66,-10.58,7.1
121,122,122,Shiv Kapur,54,0.48,26.18,-26.7,18.16
122,123,123,Ho Sung Choi,40,0.48,19.23,-4.08,16.36
123,124,124,Joong Kyung Mo,40,0.48,19.12,-4.01,13.45
124,125,125,Peter Senior,40,0.47,18.86,-9.37,
125,126,126,Marcus Both,45,0.47,21.15,-19.26,9.8
126,127,127,Tjaart van der Walt,44,0.47,20.56,-11.33,15.77
127,128,128,Tetsuya Haraguchi,51,0.46,23.64,-17.17,9.6
128,129,129,Hideto Tanihara,54,0.46,25.01,-27.68,5.71
129,130,130,Masatsugo Morofuji,40,0.46,18.43,0.0,18.43
130,131,131,Adilson da Silva,40,0.46,18.43,-8.56,14.75
131,132,132,Yoshikazu Haku,40,0.46,18.34,-5.54,11.6
132,133,133,I J Jang,46,0.45,20.87,-9.75,13.61
133,134,134,S.S. Hong,40,0.44,17.74,-1.16,18.9
134,135,135,Scott Strange,49,0.44,21.49,-27.41,19.64
135,136,136,Aron Price,49,0.43,21.27,-12.68,11.4
136,137,137,Matt McQuillan,40,0.43,17.31,-1.09,16.62
137,138,138,Paul Sheehan,52,0.43,22.49,-11.7,11.92
138,139,139,Andrew Dodt,51,0.43,21.74,-26.86,5.33
139,140,140,Himmat Rai,40,0.42,16.78,-3.48,16.38
140,141,141,Scott Hend,54,0.41,22.1,-18.78,6.48
141,142,142,Kaname Yokoo,52,0.41,21.25,-22.51,13.64
142,143,143,Kodai Ichihara,54,0.41,21.99,-12.96,13.72
143,144,144,Justin Walters,40,0.4,16.17,-2.27,17.36
144,145,145,Cameron Percy,51,0.4,20.43,-24.09,7.79
145,146,146,Mitsuhiro Tateyama,46,0.4,18.3,-14.13,8.82
146,147,147,Warren Abery,40,0.4,15.81,-8.28,6.73
147,148,148,Chinnarat Phadungsil,40,0.39,15.76,-12.94,9.77
148,149,149,Michiel Bothma,50,0.39,19.57,-14.02,14.76
149,150,150,Graham DeLaet,40,0.39,15.65,-23.27,
150,151,151,Hiroshi Iwata,51,0.39,19.85,-16.36,6.87
151,152,152,Fabián Gómez,53,0.39,20.59,-19.53,9.6
152,153,153,Rafael Echenique,54,0.38,20.6,-20.99,10.52
153,154,154,Jarrod Lyle,54,0.38,20.31,-16.22,10.18
154,155,155,Masaya Tomida,53,0.37,19.84,-22.46,3.4
155,156,156,Gavin Coles,46,0.37,17.18,-9.85,10.82
156,157,157,Namchoak Tantipokakul,40,0.37,14.93,-7.83,2.1
157,158,158,Wen-Tang Lin,40,0.37,14.91,-16.01,5.25
158,159,159,Inn Choon Hwang,40,0.37,14.9,-6.18,11.37
159,160,160,Koichiro Kawano,40,0.37,14.63,-5.15,10.09
160,161,161,David Smail,41,0.36,14.73,-21.62,7.68
161,162,162,Prom Meesawat,40,0.36,14.29,-3.65,11.47
162,163,163,Andrew Tampion,42,0.36,15.0,-4.87,15.09
163,164,164,Nathan Green,54,0.36,19.23,-30.56,7.75
164,165,165,Kim Sung-Yoon,40,0.35,14.16,-0.57,14.74
165,166,166,Sung Joon Park,40,0.35,14.12,-2.06,12.45
166,167,167,Angelo Que,40,0.35,13.85,-11.69,5.66
167,168,168,Alex Haindl,40,0.34,13.75,-6.33,6.1
168,169,169,Steven Conran,43,0.34,14.62,-5.48,13.63
169,170,170,Jon Mills,47,0.34,15.98,-10.43,8.31
170,171,171,Yusaku Miyazato,48,0.34,16.17,-13.99,7.85
171,172,172,Sung Lee,40,0.34,13.41,-9.63,4.54
172,173,173,Juvic Pagunsan,40,0.33,13.34,-10.67,5.27
173,174,174,Joaquin Estevez,40,0.33,13.29,-2.31,15.6
174,175,175,Manav Jaini,40,0.33,13.12,-2.98,11.2
175,176,176,Masamichi Uehira,40,0.33,13.11,-6.51,6.82
176,177,177,Hideki Matsuyama,40,0.33,13.04,-4.46,7.48
177,178,178,Adam Bland,54,0.32,17.55,-15.06,1.96
178,179,179,Christiaan Basson,40,0.32,12.92,-3.26,14.0
179,180,180,Udorn Duangdecha,40,0.32,12.92,-12.2,
180,181,181,Roger Sloan,40,0.32,12.67,-1.07,12.42
181,182,182,Won Joon Lee,54,0.31,16.83,-14.06,4.6
182,183,183,Theunis Spangenberg,40,0.31,12.43,-4.67,14.0
183,184,184,Mark Brown,54,0.31,16.72,-12.88,5.86
184,185,185,Yasuharu Imano,40,0.31,12.31,-26.47,6.58
185,186,186,Kiyoshi Miyazato,48,0.31,14.72,-7.42,9.92
186,187,187,Josh Geary,40,0.31,12.22,-7.38,7.84
187,188,188,Mike Hendry,40,0.3,12.1,-8.13,2.6
188,189,189,JG Claassen,40,0.3,11.87,-2.13,14.0
189,190,190,Neil Schietekat,40,0.3,11.86,-4.37,11.8
190,191,191,Shintaro Kai,48,0.3,14.19,-10.71,4.81
191,192,192,Hidemasa Hoshino,47,0.29,13.68,-6.44,12.53
192,193,193,Dustin Risdon,40,0.29,11.6,-8.21,7.2
193,194,194,Neven Basic,40,0.29,11.46,-0.87,11.4
194,195,195,Takuya Taniguchi,51,0.29,14.57,-6.23,4.54
195,196,196,Dawie van der Walt,40,0.28,11.24,-4.68,9.7
196,197,197,Chapchai Nirat,42,0.28,11.79,-14.7,5.97
197,198,198,Taigen Tsumagari,46,0.28,12.86,-6.53,10.81
198,199,199,Kazuhiro Yamashita,49,0.28,13.53,-23.08,3.04
199,200,200,Shinichi Yokota,49,0.28,13.49,-10.37,
200,201,201,Divan van den Heever,40,0.27,10.96,-1.57,12.44
201,202,202,Panuphol Pittayarat,40,0.27,10.89,-0.43,10.01
202,203,203,Seong Ho Lee,40,0.27,10.81,-3.12,10.95
203,204,204,Darren Fichardt,40,0.27,10.81,-12.18,5.96
204,205,205,Sushi Ishigaki,40,0.26,10.59,-5.91,6.27
205,206,206,David Gleeson,40,0.26,10.54,-3.39,8.4
206,207,207,Seuk-hyun Baek,40,0.26,10.54,-3.53,3.84
207,208,208,Jyoti Randhawa,44,0.26,11.58,-13.39,6.82
208,209,209,Dinesh Chand,40,0.26,10.49,-9.66,
209,210,210,Shigeru Nonaka,49,0.26,12.76,-13.75,
210,211,211,Hirohito Koizumi,40,0.26,10.32,-1.49,9.46
211,212,212,Camilo Benedetti,42,0.26,10.82,-5.1,6.99
212,213,213,Yui Ueda,45,0.26,11.59,-5.21,6.84
213,214,214,Akio Sadakata,47,0.26,12.06,-9.17,2.9
214,215,215,Tyrone Ferreira,40,0.26,10.22,-1.78,10.51
215,216,216,Kazuhiko Hosokawa,49,0.25,12.04,-7.45,3.0
216,217,217,Taichi Teshima,48,0.24,11.68,-14.01,
217,218,218,Marco Ruiz,40,0.24,9.63,-6.15,4.95
218,219,219,Hirofumi Miyase,50,0.24,12.02,-20.36,1.21
219,220,220,Hugo León,40,0.24,9.6,-1.8,9.6
220,221,221,Danny Sahl,40,0.24,9.56,-1.04,8.4
221,222,222,Stuart Anderson,40,0.24,9.52,-2.95,9.6
222,223,223,Marc Pucay,40,0.24,9.44,-5.71,5.75
223,224,224,Nick Flanagan,44,0.23,10.3,-3.44,7.0
224,225,225,Josh Cunliffe,40,0.23,9.3,-5.48,8.15
225,226,226,Brenden Pappas,43,0.23,9.71,-3.71,10.0
226,227,227,Jinho Choi,40,0.22,8.99,-1.99,6.6
227,228,228,Scott Gardiner,53,0.22,11.9,-12.81,
228,229,229,Akinori Tani,40,0.22,8.97,-2.93,6.94
229,230,230,Julio Zapata,45,0.22,9.94,-11.35,
230,231,231,Tomokazu Yoshinaga,40,0.22,8.79,-0.09,8.88
231,232,232,Tyrone Van Aswegen,41,0.22,9.0,-5.48,8.08
232,233,233,Mike Weir,40,0.21,8.53,-36.44,
233,234,234,Antonio Lascuna,40,0.21,8.49,-2.94,7.31
234,235,235,Jay Bayron,40,0.21,8.46,-1.69,8.4
235,236,236,César Costilla,40,0.21,8.4,0.0,8.4
236,237,237,Unho Park,40,0.21,8.36,-5.83,3.66
237,238,238,Matthew Griffin,40,0.21,8.27,-8.51,
238,239,239,Toru Suzuki,50,0.21,10.29,-20.37,1.34
239,240,240,Scott Barr,40,0.2,8.15,-7.98,1.28
240,241,241,Oliver Bekker,40,0.2,8.14,-3.33,5.4
241,242,242,John Huh,40,0.2,8.0,-2.07,5.67
242,243,243,Julián Etulain,40,0.2,7.94,-1.01,8.96
243,244,244,Tim Wilkinson,41,0.2,8.07,-8.62,3.71
244,245,245,Rahil Gangjee,40,0.19,7.76,-7.29,2.83
245,246,246,Park Do-kyu,40,0.19,7.74,-0.06,7.8
246,247,247,Daniel Alfredo Vancsik,54,0.19,10.35,-11.91,5.34
247,248,248,Jake Roos,40,0.19,7.64,-4.97,4.56
248,249,249,Kwanchai Tannin,40,0.19,7.59,-4.11,4.26
249,250,250,Matt Carvell,40,0.19,7.5,-2.1,9.6
250,251,251,Terry Pilkadaris,40,0.19,7.44,-7.43,2.68
251,252,252,Piya Swangarunporn,40,0.18,7.31,-3.97,1.28
252,253,253,Bradford Vaughan,40,0.18,7.26,-3.1,7.07
253,254,254,Trevor Fisher Jr,40,0.18,7.24,-4.97,4.98
254,255,255,Andrés Echavarría,40,0.18,7.21,-1.19,8.4
255,256,256,Anthony Michael,40,0.18,7.19,-4.06,
256,257,257,Michael Campbell,51,0.18,9.16,-1.87,6.36
257,258,258,David Vanegas,40,0.18,7.17,-6.22,3.94
258,259,259,Chris Campbell,47,0.18,8.35,-6.83,1.32
259,260,260,Darren Beck,40,0.18,7.08,-9.61,3.96
260,261,261,Kim Felton,40,0.18,7.05,-3.81,1.26
261,262,262,Chang-won Han,40,0.18,7.04,-1.31,5.95
262,263,263,Jin Park,54,0.18,9.47,-7.86,3.49
263,264,264,Zaw Moe,40,0.17,6.99,-1.26,4.73
264,265,265,Gareth Paddison,40,0.17,6.99,-4.51,2.8
265,266,266,Lu Wei-chih,42,0.17,7.3,-6.94,2.43
266,267,267,Daisuke Kataoka,40,0.17,6.93,-0.42,7.35
267,268,268,Wade Ormsby,41,0.17,7.0,-4.33,4.35
268,269,269,Bradley Smith,40,0.17,6.78,-2.36,3.3
269,270,270,Pablo Del Grosso,40,0.17,6.77,-3.51,3.6
270,271,271,Makoto Inoue,51,0.17,8.63,-10.97,
271,272,272,Hyun-woo Ryu,40,0.17,6.76,-0.44,7.2
272,273,273,Aaron Townsend,40,0.17,6.75,-3.08,3.36
273,274,274,Bradley Iles,51,0.17,8.56,-11.38,1.33
274,275,275,Ashley Hall,40,0.16,6.59,-3.11,5.46
275,276,276,Iain Steel,40,0.16,6.56,-5.48,
276,277,277,Adam Groom,40,0.16,6.52,-0.91,4.9
277,278,278,José Garrido,40,0.16,6.48,-0.24,6.72
278,279,279,Satoshi Tomiyama,40,0.16,6.4,-3.41,4.01
279,280,280,Hur In-hoi,40,0.16,6.37,-4.35,2.9
280,281,281,Diego Vanegas,40,0.16,6.3,-0.9,7.2
281,282,282,Andrew Buckle,53,0.16,8.31,-8.67,5.4
282,283,283,Andrew Tschudin,40,0.15,6.14,-2.26,6.0
283,284,284,Danny Chia,40,0.15,6.14,-6.07,3.44
284,285,285,Peter Fowler,40,0.15,6.13,-2.71,
285,286,286,Masamichi Ito,40,0.15,6.1,-0.9,4.4
286,287,287,Álvaro José Arizabaleta,40,0.15,6.0,0.0,6.0
287,288,288,Byung-Jun Kim,40,0.15,6.0,0.0,6.0
288,289,289,Martin Maritz,40,0.15,5.93,-2.58,2.42
289,290,290,Jordan Sherratt,40,0.15,5.92,-2.72,
290,291,291,Yoshinobu Tsukada,48,0.15,7.07,-7.23,6.04
291,292,292,David McKenzie,41,0.15,6.03,-7.63,
292,293,293,Anthony Brown,40,0.14,5.72,-4.1,2.17
293,294,294,Richard Scott,40,0.14,5.7,-0.34,5.7
294,295,295,Masafumi Kawase,40,0.14,5.68,-0.26,5.94
295,296,296,Wes Heffernan,40,0.14,5.61,-1.15,5.1
296,297,297,Michael Long,40,0.14,5.49,-5.78,2.6
297,298,298,Kieran Pratt,40,0.14,5.44,-1.45,2.43
298,299,299,Brad Fritsch,40,0.14,5.44,-1.55,5.19
299,300,300,Hector Cespedes,40,0.14,5.41,-0.59,6.0
300,301,301,Elmer Salvador,40,0.13,5.39,0.0,5.39
301,302,302,Mark Hensby,40,0.13,5.36,-6.39,
302,303,303,Chih-Bing Lam,42,0.13,5.62,-8.68,
303,304,304,Steve Allan,40,0.13,5.28,-5.12,1.2
304,305,305,Ariel Cañete,48,0.13,6.28,-5.26,4.34
305,306,306,Lee Dong-Min,40,0.13,5.2,-0.11,5.31
306,307,307,Thitiphun Chuayprakong,40,0.13,5.14,-0.56,5.7
307,308,308,Hyun Bin Park,40,0.13,5.14,-0.56,5.7
308,309,309,Richard Sterne,40,0.13,5.12,-12.97,1.6
309,310,310,Tim Stewart,40,0.13,5.04,-2.99,3.86
310,311,311,Satoru Hirota,49,0.12,6.1,-7.15,1.34
311,312,312,Miguel Angel Carballo,47,0.12,5.84,-3.13,3.71
312,313,313,Tyrone Mordt,40,0.12,4.97,-2.33,3.33
313,314,314,Gavin Flint,40,0.12,4.93,-4.92,1.75
314,315,315,Peter Lonard,40,0.12,4.92,-3.28,4.85
315,316,316,Ajeetesh Sandhu,40,0.12,4.81,-0.79,5.6
316,317,317,Alexandre Rocha,40,0.12,4.78,-0.45,4.8
317,318,318,Tony Carolan,41,0.12,4.87,-5.96,
318,319,319,Chris Swanepoel,40,0.12,4.68,-4.51,4.01
319,320,320,Desvonde Botes,40,0.12,4.68,-0.5,5.18
320,321,321,Kiyoshi Murota,40,0.12,4.66,-3.26,3.06
321,322,322,Bronson La'Cassie,40,0.11,4.52,-2.31,
322,323,323,Choi Hyuk-jae,40,0.11,4.5,-0.21,4.71
323,324,324,Ewan Porter,43,0.11,4.72,-7.81,
324,325,325,Hiroo Okamo,40,0.11,4.37,-3.67,
325,326,326,Ben Leong,40,0.11,4.35,-3.15,
326,327,327,Michael Wright,40,0.11,4.31,-4.1,1.32
327,328,328,Yoshinori Fujimoto,40,0.11,4.23,-2.39,2.07
328,329,329,Eddie Lee,40,0.1,4.17,-8.2,
329,330,330,Digvijay Singh,40,0.1,4.17,-2.06,4.2
330,331,331,T.C. Wang,40,0.1,4.15,-0.65,3.83
331,332,332,Shaaban Hussin,40,0.1,4.08,-5.84,1.28
332,333,333,Mark Murless,40,0.1,4.08,-2.06,2.71
333,334,334,Rick Gibson,40,0.1,4.07,-0.03,4.1
334,335,335,Toyokazu Fujishima,48,0.1,4.8,-5.07,1.36
335,336,336,Albert Pistorius,40,0.1,3.88,-0.46,4.34
336,337,337,Ryan Haller,40,0.1,3.87,-2.37,
337,338,338,Shamim Khan,40,0.1,3.85,-1.99,3.44
338,339,339,Grant Muller,40,0.1,3.85,-1.42,2.95
339,340,340,Óscar Serna,40,0.1,3.85,-1.53,3.6
340,341,341,Clodomiro Carranza,46,0.09,4.36,-5.27,
341,342,342,Jin Jeong,40,0.09,3.74,-3.3,
342,343,343,Colin Nel,40,0.09,3.71,-1.41,1.2
343,344,344,Matthew Millar,40,0.09,3.71,-1.76,3.02
344,345,345,Lin Wen-hong,40,0.09,3.68,-3.14,3.18
345,346,346,Jung Ji-ho,40,0.09,3.63,-0.68,3.36
346,347,347,Brent McCullough,40,0.09,3.62,-0.38,2.8
347,348,348,Yoon Jung-ho,40,0.09,3.6,0.0,3.6
348,349,349,Rafael Romero,40,0.09,3.6,0.0,3.6
349,350,350,Andrew Georgiou,40,0.09,3.58,-1.95,3.74
350,351,351,Scott Arnold,40,0.09,3.57,-2.1,1.96
351,352,352,Ulrich Van den Berg,40,0.09,3.56,-3.97,1.28
352,353,353,Ryan Tipping,40,0.09,3.56,-0.64,4.2
353,354,354,Sujjan Singh,40,0.09,3.54,-0.86,4.4
354,355,355,Rick Kulacz,46,0.09,3.98,-12.03,1.58
355,356,356,Mukesh Kumar,40,0.09,3.46,-2.17,1.37
356,357,357,Jae An,40,0.08,3.36,0.0,3.36
357,358,358,Jean Hugo,40,0.08,3.29,-1.8,3.73
358,359,359,Anton Haig,40,0.08,3.28,-3.36,
359,360,360,Wayne Perske,40,0.08,3.25,-5.42,
360,361,361,Thanyakorn Khrongpha,40,0.08,3.22,-0.95,1.75
361,362,362,Rohan Blizard,40,0.08,3.22,-1.93,
362,363,363,Massy Kuramoto,40,0.08,3.2,-2.27,1.21
363,364,364,Jesús Rivas,40,0.08,3.19,-0.23,3.42
364,365,365,Scott Laycock,40,0.08,3.15,-1.94,2.6
365,366,366,Yosuke Asaji,40,0.08,3.14,-1.71,1.82
366,367,367,Mark Williams,40,0.08,3.11,-0.81,2.1
367,368,368,Junpei Takayama,40,0.08,3.07,-0.81,2.9
368,369,369,Rafael Gómez,40,0.08,3.05,-2.96,3.31
369,370,370,Keiichiro Fukabori,40,0.08,3.05,-3.05,
370,371,371,Steve Dartnall,40,0.08,3.03,-2.34,1.75
371,372,372,Matthew Giles,40,0.08,3.02,0.0,3.02
372,373,373,Norio Shinozaki,40,0.08,3.0,-2.28,2.86
373,374,374,Tadahisa Inoue,40,0.07,2.99,0.0,2.99
374,375,375,Lian-Wei Zhang,40,0.07,2.99,-4.53,1.2
375,376,376,Lucas Lee,40,0.07,2.98,-5.95,
376,377,377,Craig Parry,40,0.07,2.98,-4.24,
377,378,378,Atthaphon Prathummanee,40,0.07,2.93,-1.36,1.28
378,379,379,Paulo Pinto,40,0.07,2.92,-0.28,3.2
379,380,380,James Kamte,40,0.07,2.91,-8.9,
380,381,381,Shukree Othman,40,0.07,2.89,0.0,2.89
381,382,382,Marc Cayeux,40,0.07,2.88,-8.14,
382,383,383,Mauricio Molina,40,0.07,2.87,-2.63,3.0
383,384,384,Richard Lee,40,0.07,2.84,-2.21,
384,385,385,Tongoona Charamba,40,0.07,2.8,-0.9,2.05
385,386,386,Nelson Ledesma,40,0.07,2.78,-0.3,3.08
386,387,387,Thammanoon Sriroj,40,0.07,2.75,-5.94,1.28
387,388,388,Louis de Jager,40,0.07,2.75,-1.19,3.12
388,389,389,Tatsunori Nukaga,40,0.07,2.75,-5.15,1.2
389,390,390,Ali Sher,40,0.07,2.71,-0.37,3.08
390,391,391,Jacques Blaauw,40,0.07,2.69,-2.53,1.28
391,392,392,Chris Baryla,40,0.07,2.65,-11.81,2.03
392,393,393,Jim Rutledge,40,0.07,2.63,-5.07,
393,394,394,Scott Hawley,40,0.07,2.62,-0.57,2.1
394,395,395,Lee Min-chang,40,0.07,2.61,-0.39,3.0
395,396,396,David Bransdon,40,0.07,2.6,-1.31,
396,397,397,Tomas Argonz,40,0.06,2.58,-0.42,3.0
397,398,398,Ryuichi Tayasu,40,0.06,2.56,0.0,2.56
398,399,399,Rashid Khan,40,0.06,2.55,-0.21,2.76
399,400,400,Nam Young-woo,40,0.06,2.54,-0.07,2.61
400,401,401,Charl Coetzee,40,0.06,2.53,-2.01,2.05
401,402,402,Senroku Isa,40,0.06,2.52,0.0,2.52
402,403,403,Craig Hancock,40,0.06,2.52,-0.08,2.6
