,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
24,25,25,Jason Dufner,19,1143.0,,5.0,763.0,
25,26,26,Charles Howell III,24,1137.0,,6.0,769.0,
26,27,27,D.A. Points,21,1055.0,1.0,3.0,851.0,
27,28,28,Rickie Fowler,20,1038.0,,4.0,868.0,
28,29,29,Spencer Levin,24,1025.0,,4.0,881.0,
29,30,30,Tommy Gainey,27,999.0,,6.0,907.0,
30,31,31,Scott Stallings,23,992.0,1.0,2.0,914.0,
31,32,32,Zach Johnson,19,962.0,,4.0,944.0,
32,33,33,Chris Kirk,24,957.0,1.0,4.0,949.0,
33,34,34,Steve Marino,20,935.0,,3.0,971.0,
34,35,35,Jhonattan Vegas,21,919.0,1.0,2.0,987.0,
35,36,36,Vijay Singh,20,903.0,,4.0,1003.0,
36,37,37,Ryan Palmer,20,902.0,,3.0,1004.0,
37,38,38,Ryan Moore,18,883.0,,3.0,1023.0,
38,39,39,Bo Van Pelt,22,881.0,,3.0,1025.0,
39,40,40,Lucas Glover,19,875.0,1.0,1.0,1031.0,
40,41,41,Brendan Steele,22,826.0,1.0,1.0,1080.0,
41,42,42,Brandt Jobe,23,803.0,,3.0,1103.0,
42,43,43,Y.E. Yang,14,799.0,,4.0,1107.0,
43,44,44,Justin Rose,18,796.0,,3.0,1110.0,
44,45,45,Robert Karlsson,15,789.0,,3.0,1117.0,
45,46,46,Brendon de Jonge,25,784.0,,3.0,1122.0,
46,47,47,Kevin Na,22,778.0,,5.0,1128.0,
47,48,48,Kyle Stanley,23,761.0,,2.0,1145.0,
48,49,49,Charley Hoffman,23,746.0,,1.0,1160.0,
49,50,50,John Senden,21,732.0,,2.0,1174.0,
50,51,51,Sean O'Hair,20,724.0,1.0,1.0,1182.0,
51,52,52,Pat Perez,21,716.0,,4.0,1190.0,
52,53,53,Robert Garrigus,21,702.0,,3.0,1204.0,
53,54,54,George McNeill,15,694.0,,4.0,1212.0,
54,55,55,Carl Pettersson,22,691.0,,4.0,1215.0,
55,56,56,Brian Gay,21,685.0,,3.0,1221.0,
56,57,57,Brian Davis,25,685.0,,1.0,1221.0,
57,58,58,Robert Allenby,21,679.0,,3.0,1227.0,
58,59,59,Sergio Garcia,13,662.0,,3.0,1244.0,
59,60,60,Jim Furyk,22,661.0,,3.0,1245.0,
60,61,61,Harrison Frazar,16,660.0,1.0,1.0,1246.0,
61,62,62,Andres Romero,19,651.0,,4.0,1255.0,
62,63,63,Jerry Kelly,21,651.0,,3.0,1255.0,
63,64,64,Cameron Tringale,25,644.0,,4.0,1262.0,
64,65,65,Kris Blanks,24,641.0,,2.0,1265.0,
65,66,66,J.B. Holmes,16,640.0,,4.0,1266.0,
66,67,67,Blake Adams,27,616.0,,3.0,1290.0,
67,68,68,Jimmy Walker,21,615.0,,4.0,1291.0,
68,69,69,Jeff Overton,21,611.0,,3.0,1295.0,
69,70,70,John Rollins,22,608.0,,2.0,1298.0,
70,71,71,Kevin Streelman,21,600.0,,3.0,1306.0,
71,72,72,J.J. Henry,24,599.0,,1.0,1307.0,
72,73,73,Charlie Wi,20,591.0,,1.0,1315.0,
73,74,74,Chad Campbell,23,591.0,,1.0,1315.0,
74,75,75,Scott Verplank,13,588.0,,3.0,1318.0,
75,76,76,Chez Reavie,22,588.0,,3.0,1318.0,
76,77,77,Johnson Wagner,20,585.0,1.0,1.0,1321.0,
77,78,78,Chris Couch,17,573.0,,3.0,1333.0,
78,79,79,Geoff Ogilvy,17,571.0,,3.0,1335.0,
79,80,80,Scott Piercy,16,571.0,1.0,2.0,1335.0,
80,81,81,Davis Love III,18,557.0,,2.0,1349.0,
81,82,82,Stewart Cink,19,556.0,,1.0,1350.0,
82,83,83,Ricky Barnes,19,552.0,,2.0,1354.0,
83,84,84,Troy Matteson,24,542.0,,2.0,1364.0,
84,85,85,Ryuji Imada,23,529.0,,2.0,1377.0,
85,86,86,Ben Crane,18,526.0,,2.0,1380.0,
86,87,87,Marc Leishman,22,522.0,,2.0,1384.0,
87,88,88,Kevin Chappell,21,503.0,,2.0,1403.0,
88,89,89,Hunter Haas,25,499.0,,3.0,1407.0,
89,90,90,Chris DiMarco,26,499.0,,,1407.0,
90,91,91,Bryce Molder,23,493.0,,4.0,1413.0,
91,92,92,Anthony Kim,24,485.0,,2.0,1421.0,
92,93,93,Graeme McDowell,13,485.0,,3.0,1421.0,
93,94,94,Paul Goydos,20,474.0,,3.0,1432.0,
94,95,95,Trevor Immelman,19,468.0,,,1438.0,
95,96,96,Nick O'Hern,24,463.0,,2.0,1443.0,
96,97,97,Matt Bettencourt,25,461.0,,2.0,1445.0,
97,98,98,Tim Herron,23,456.0,,2.0,1450.0,
98,99,99,Michael Bradley,20,454.0,1.0,1.0,1452.0,
99,100,100,Greg Chalmers,23,450.0,,2.0,1456.0,
100,101,101,Retief Goosen,14,439.0,,1.0,1467.0,
101,102,102,Tom Gillis,16,431.0,,2.0,1475.0,
102,103,103,Bill Lunde,23,428.0,,,1478.0,
103,104,104,John Merrick,16,415.0,,1.0,1491.0,
104,105,105,Kevin Stadler,23,414.0,,1.0,1492.0,
105,106,106,Chris Stroud,22,413.0,,2.0,1493.0,
106,107,107,Michael Thompson,20,413.0,,1.0,1493.0,
107,108,108,Vaughn Taylor,22,397.0,,,1509.0,
108,109,109,Camilo Villegas,22,395.0,,2.0,1511.0,
109,110,110,Josh Teater,27,393.0,,1.0,1513.0,
110,111,111,D.J. Trahan,25,392.0,,1.0,1514.0,
111,112,112,Heath Slocum,24,388.0,,,1518.0,
112,113,113,Stuart Appleby,23,387.0,,1.0,1519.0,
113,114,114,Ian Poulter,14,387.0,,1.0,1519.0,
114,115,115,Rod Pampling,16,385.0,,2.0,1521.0,
115,116,116,Joe Ogilvie,20,364.0,,1.0,1542.0,
116,117,117,David Hearn,21,362.0,,1.0,1544.0,
117,118,118,Ernie Els,17,357.0,,,1549.0,
118,119,119,Billy Mayfair,24,353.0,,1.0,1553.0,
119,120,120,James Driscoll,19,353.0,,2.0,1553.0,
120,121,121,Steve Flesch,22,352.0,,1.0,1554.0,
121,122,122,Steven Bowditch,23,347.0,,1.0,1559.0,
122,123,123,Arjun Atwal,24,339.0,,1.0,1567.0,
123,124,124,Padraig Harrington,16,338.0,,3.0,1568.0,
124,125,125,William McGirt,26,334.0,,,1572.0,
125,126,126,Justin Leonard,23,328.0,,,1578.0,
126,127,127,Matt Jones,21,328.0,,1.0,1578.0,
127,128,128,Tim Petrovic,25,326.0,,,1580.0,
128,129,129,David Mathis,21,326.0,,1.0,1580.0,
129,130,130,Cameron Beckman,22,324.0,,,1582.0,
130,131,131,Dean Wilson,22,318.0,,,1588.0,
131,132,132,Tiger Woods,8,318.0,,2.0,1588.0,
132,133,133,Ben Curtis,19,304.0,,,1602.0,
133,134,134,Alex Cejka,20,303.0,,,1603.0,
134,135,135,Roland Thatcher,18,302.0,,2.0,1604.0,
135,136,136,Michael Putnam,21,300.0,,,1606.0,
136,137,137,Tim Clark,4,299.0,,1.0,1607.0,
137,138,138,Stephen Ames,18,298.0,,2.0,1608.0,
138,139,139,Kent Jones,21,297.0,,,1609.0,
139,140,140,Chris Riley,21,292.0,,1.0,1614.0,
140,141,141,Zack Miller,26,290.0,,1.0,1616.0,
141,142,142,Tag Ridings,24,286.0,,,1620.0,
142,143,143,Jason Bohn,19,284.0,,,1622.0,
143,144,144,Paul Casey,13,280.0,,,1626.0,
144,145,145,Matt McQuillan,17,280.0,,2.0,1626.0,
145,146,146,Aron Price,15,272.0,,,1634.0,
146,147,147,Garrett Willis,20,270.0,,1.0,1636.0,
147,148,148,Louis Oosthuizen,13,267.0,,1.0,1639.0,
148,149,149,Joe Durant,21,260.0,,,1646.0,
149,150,150,Bob Estes,9,258.0,,1.0,1648.0,
150,151,151,Briny Baird,16,258.0,,2.0,1648.0,
151,152,152,Bobby Gates,25,256.0,,3.0,1650.0,
152,153,153,Ben Martin,21,242.0,,1.0,1664.0,
153,154,154,Ángel Cabrera,15,237.0,,2.0,1669.0,
154,155,155,Michael Connell,22,233.0,,,1673.0,
155,156,156,Colt Knost,23,227.0,,,1679.0,
156,157,157,Boo Weekley,19,223.0,,,1683.0,
157,158,158,Scott McCarron,18,221.0,,,1685.0,
158,159,159,Woody Austin,15,221.0,,1.0,1685.0,
159,160,160,Sung Kang,18,219.0,,1.0,1687.0,
160,161,161,Jarrod Lyle,25,217.0,,1.0,1689.0,
161,162,162,Daniel Summerhays,25,210.0,,,1696.0,
162,163,163,Tom Pernice Jr.,9,210.0,,1.0,1696.0,
163,164,164,Alex Prugh,25,209.0,,,1697.0,
164,165,165,Nathan Green,22,209.0,,,1697.0,
165,166,166,Brett Wetterich,8,208.0,,,1698.0,
166,167,167,Fabián Gómez,22,208.0,,1.0,1698.0,
167,168,168,Shane Bertsch,16,207.0,,1.0,1699.0,
168,169,169,Paul Stankowski,20,207.0,,,1699.0,
169,170,170,Billy Horschel,21,197.0,,1.0,1709.0,
170,171,171,David Duval,20,191.0,,1.0,1715.0,
171,172,172,Kevin Sutherland,11,190.0,,,1716.0,
172,173,173,Fred Couples,5,180.0,,1.0,1726.0,
173,174,174,Bio Kim,21,179.0,,,1727.0,
174,175,175,Marc Turnesa,19,175.0,,1.0,1731.0,
175,176,176,Lee Janzen,17,168.0,,,1738.0,
176,177,177,Cameron Percy,10,161.0,,1.0,1745.0,
177,178,178,Jim Herman,18,160.0,,,1746.0,
178,179,179,Shaun Micheel,23,160.0,,,1746.0,
179,180,180,Henrik Stenson,13,159.0,,,1747.0,
180,181,181,Jim Renner,18,149.0,,2.0,1757.0,
181,182,182,J.P. Hayes,17,147.0,,,1759.0,
182,183,183,Justin Hicks,19,145.0,,,1761.0,
183,184,184,Richard Johnson,19,144.0,,,1762.0,
184,185,185,D.J. Brigman,19,140.0,,,1766.0,
185,186,186,John Mallinger,14,137.0,,,1769.0,
186,187,187,Troy Merritt,19,131.0,,,1775.0,
187,188,188,Alexandre Rocha,18,127.0,,,1779.0,
188,189,189,Scott Gutschewski,19,125.0,,,1781.0,
189,190,190,Derek Lamely,22,123.0,,,1783.0,
190,191,191,Peter Tomasulo,12,121.0,,,1785.0,
191,192,192,Chad Collins,16,121.0,,,1785.0,
192,193,193,Martin Piller,19,120.0,,,1786.0,
193,194,194,Todd Hamilton,10,117.0,,,1789.0,
194,195,195,Kevin Kisner,20,116.0,,,1790.0,
195,196,196,Michael Letzig,11,114.0,,1.0,1792.0,
196,197,197,Nate Smith,20,110.0,,,1796.0,
197,198,198,Kirk Triplett,7,110.0,,,1796.0,
198,199,199,Joseph Bramlett,21,110.0,,,1796.0,
199,200,200,John Daly,18,110.0,,1.0,1796.0,
200,201,201,Kenny Perry,13,110.0,,,1796.0,
201,202,202,Tom Lehman,4,108.0,,,1798.0,
202,203,203,Steve Elkington,14,107.0,,1.0,1799.0,
203,204,204,Will MacKenzie,12,105.0,,,1801.0,
204,205,205,Frank Lickliter II,11,102.0,,,1804.0,
205,206,206,Marco Dawson,3,100.0,,,1806.0,
206,207,207,Matt Every,5,98.0,,,1808.0,
207,208,208,John Cook,1,95.0,,1.0,1811.0,
208,209,209,Andres Gonzales,17,93.0,,,1813.0,
209,210,210,Jeff Quinney,11,89.0,,,1817.0,
210,211,211,Jeff Maggert,14,89.0,,,1817.0,
211,212,212,Charles Warren,10,89.0,,,1817.0,
212,213,213,Shigeki Maruyama,2,88.0,,1.0,1818.0,
213,214,214,Rocco Mediate,19,85.0,,,1821.0,
214,215,215,Will Strickler,15,84.0,,,1822.0,
215,216,216,Rich Beem,19,78.0,,,1828.0,
216,217,217,Dicky Pride,8,64.0,,,1842.0,
217,218,218,Peter Lonard,2,55.0,,1.0,1851.0,
218,219,219,Chris Baryla,17,49.0,,,1857.0,
219,220,220,Tom Watson,3,48.0,,,1858.0,
220,221,221,Brett Quigley,10,47.0,,,1859.0,
221,222,222,Chris Tidland,11,44.0,,1.0,1862.0,
222,223,223,Jason Gore,6,42.0,,,1864.0,
223,224,224,Jesper Parnevik,10,41.0,,,1865.0,
224,225,225,Craig Barlow,5,39.0,,,1867.0,
225,226,226,Corey Pavin,4,37.0,,,1869.0,
226,227,227,Mark Calcavecchia,5,34.0,,,1872.0,
227,228,228,Robert Gamez,9,32.0,,,1874.0,
228,229,229,Jeff Klauk,8,32.0,,,1874.0,
229,230,230,Jamie Lovemark,9,31.0,,,1875.0,
230,231,231,Fran Quinn,7,30.0,,,1876.0,
231,232,232,Mark Hensby,6,29.0,,,1877.0,
232,233,233,Michael Sim,16,27.0,,,1879.0,
233,234,234,Scott Gordon,16,26.0,,,1880.0,
234,T235,T235,Robert Damron,3,25.0,,,1881.0,
235,T235,T235,Jay Williamson,6,25.0,,,1881.0,
236,237,237,Duffy Waldorf,13,25.0,,,1881.0,
237,238,238,Garth Mulroy,4,25.0,,,1881.0,
238,T239,T239,Craig Bowden,4,21.0,,,1885.0,
239,T239,T239,Daniel Chopra,2,21.0,,,1885.0,
240,241,241,Steve Lowery,2,20.0,,,1886.0,
241,242,242,Omar Uresti,5,19.0,,,1887.0,
242,243,243,Andre Stolz,2,19.0,,,1887.0,
243,244,244,Michael Allen,4,17.0,,,1889.0,
244,245,245,Steve Pate,1,16.0,,,1890.0,
245,246,246,Carl Paulson,9,15.0,,,1891.0,
246,247,247,Nick Price,1,15.0,,,1891.0,
247,248,248,Ted Purdy,6,14.0,,,1892.0,
248,249,249,Jonathan Kaye,2,12.0,,,1894.0,
249,250,250,Tom Byrum,1,12.0,,,1894.0,
250,251,251,Joe Affrunti,6,11.0,,,1895.0,
251,252,252,Fred Funk,7,9.0,,,1897.0,
252,253,253,Matt Weibring,5,9.0,,,1897.0,
253,254,254,Guy Boros,1,7.0,,,1899.0,
254,255,255,Notah Begay III,4,6.0,,,1900.0,
255,256,256,José María Olazábal,6,3.0,,,1903.0,
256,257,257,Greg Kraft,1,3.0,,,1903.0,
257,258,258,Mark Brooks,5,2.0,,,1904.0,
258,259,259,Mike Weir,15,2.0,,,1904.0,
259,260,260,Skip Kendall,6,1.0,,,1905.0,
260,261,261,Mark O'Meara,3,1.0,,,1905.0,
261,262,262,Graham DeLaet,2,1.0,,,1905.0,
262,263,263,J.L. Lewis,1,,,,1906.0,
263,264,264,Brian Bateman,1,,,,1906.0,
