,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
157,158,158,Zach Johnson,94,28.02,72,257
158,159,159,Tyrone Van Aswegen,101,28.01,79,282
159,160,160,Brian Gay,103,27.93,93,333
160,161,161,Ollie Schniederjans,91,27.9,77,276
161,T162,T162,Anirban Lahiri,82,27.78,75,270
162,T162,T162,Rod Pampling,62,27.78,45,162
163,164,164,Charl Schwartzel,65,27.75,53,191
164,165,165,Johnson Wagner,75,27.67,57,206
165,166,166,Webb Simpson,95,27.65,94,340
166,167,167,Adam Hadwin,92,27.57,83,301
167,168,168,Brandt Snedeker,84,27.48,72,262
168,169,169,Martin Piller,79,27.39,66,241
169,170,170,Nicholas Lindheim,77,27.17,50,184
170,171,171,Brian Harman,94,26.97,82,304
171,172,172,Tyrrell Hatton,58,26.92,49,182
172,173,173,"Ted Potter, Jr.",87,26.89,82,305
173,174,174,Jonathan Randolph,71,26.82,59,220
174,175,175,Billy Hurley III,70,26.7,55,206
175,176,176,Scott Brown,102,26.69,83,311
176,177,177,Retief Goosen,60,26.47,36,136
177,178,178,Russell Knox,94,26.35,73,277
178,179,179,Michael Kim,74,26.15,51,195
179,180,180,Ryan Armour,109,26.1,89,341
180,181,181,D.A. Points,63,25.95,48,185
181,182,182,Rob Oppenheim,74,25.39,49,193
182,183,183,Andrew Landry,82,25.19,67,266
183,184,184,Kyle Thompson,50,25.0,31,124
184,185,185,Andrew Putnam,97,24.92,83,333
185,186,186,Brian Stuard,103,24.91,70,281
186,187,187,Greg Chalmers,56,24.2,38,157
187,188,188,Chad Campbell,87,23.81,50,210
188,189,189,Satoshi Kodaira,51,23.46,38,162
189,190,190,Roberto Díaz,72,23.15,47,203
190,191,191,Kelly Kraft,94,22.59,61,270
191,192,192,Wesley Bryan,69,22.09,38,172
192,193,193,Jim Furyk,50,19.73,29,147
