,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
112,T112,T112,Michael Thompson,70.69,2545,36
113,114,114,J.T. Poston,70.7,3111,44
114,T115,T115,Lucas Glover,70.74,2476,35
115,T115,T115,Branden Grace,70.74,2476,35
116,117,117,Matt Jones,70.77,3114,44
117,118,118,David Hearn,70.78,2831,40
118,119,119,Danny Lee,70.79,3964,56
119,120,120,Whee Kim,70.81,4178,59
120,121,121,Scott Stallings,70.83,4108,58
121,T122,T122,Shawn Stefani,70.84,3542,50
122,T122,T122,Brian Stuard,70.84,4392,62
123,T122,T122,Peter Uihlein,70.84,3471,49
124,125,125,Nicholas Lindheim,70.85,3330,47
125,126,126,Jonathan Byrd,70.87,3260,46
126,127,127,Patton Kizzire,70.88,4040,57
127,128,128,Cameron Smith,70.89,3119,44
128,T129,T129,Dominic Bozzelli,70.9,2978,42
129,T129,T129,William McGirt,70.9,3474,49
130,T129,T129,Patrick Rodgers,70.9,4112,58
131,T129,T129,Conrad Shindler,70.9,2836,40
132,133,133,Jimmy Walker,70.91,3262,46
133,134,134,Tom Lovelady,70.94,3831,54
134,135,135,Nick Taylor,70.95,4257,60
135,T136,T136,Talor Gooch,70.96,3619,51
136,T136,T136,J.B. Holmes,70.96,3335,47
137,138,138,Ben Martin,70.98,2981,42
138,T139,T139,Andrew Landry,71.02,3622,51
139,T139,T139,Sean O'Hair,71.02,3054,43
140,T139,T139,Chris Stroud,71.02,3480,49
141,142,142,Kelly Kraft,71.05,4334,61
142,T143,T143,Scott Brown,71.08,4549,64
143,T143,T143,Si Woo Kim,71.08,4265,60
144,T145,T145,Martin Flores,71.09,3910,55
145,T145,T145,Jhonattan Vegas,71.09,3768,53
146,T147,T147,Harris English,71.1,4195,59
147,T147,T147,Robert Garrigus,71.1,3626,51
148,T147,T147,"Ted Potter, Jr.",71.1,4124,58
149,T150,T150,Wesley Bryan,71.11,3129,44
150,T150,T150,J.J. Henry,71.11,3840,54
151,T150,T150,Trey Mullinax,71.11,3200,45
152,153,153,Stephan Jaeger,71.12,3556,50
153,154,154,Shane Lowry,71.14,2490,35
154,T155,T155,Nate Lashley,71.15,2419,34
155,T155,T155,Adam Schenk,71.15,3842,54
156,157,157,Tyler Duncan,71.16,4412,62
157,158,158,Ethan Tracy,71.17,3274,46
158,T159,T159,Kiradech Aphibarnrat,71.19,1851,26
159,T159,T159,Richy Werenski,71.19,4414,62
160,T161,T161,Kevin Chappell,71.2,3275,46
161,T161,T161,Xinjun Zhang,71.2,3845,54
162,163,163,Adam Scott,71.21,3062,43
163,164,164,Jason Dufner,71.22,2920,41
164,165,165,Matt Atkins,71.23,2849,40
165,T166,T166,Mackenzie Hughes,71.26,3848,54
166,T166,T166,Rob Oppenheim,71.26,3563,50
167,T168,T168,Roberto Díaz,71.3,3280,46
168,T168,T168,Graeme McDowell,71.3,2638,37
169,T170,T170,Grayson Murray,71.39,3141,44
170,T170,T170,Charl Schwartzel,71.39,2570,36
171,172,172,Jonathan Randolph,71.46,3287,46
172,173,173,Bud Cauley,71.47,2287,32
173,174,174,Chad Campbell,71.51,3790,53
174,175,175,Billy Hurley III,71.52,3719,52
175,176,176,Matt Every,71.54,4006,56
176,177,177,Michael Kim,71.6,3795,53
177,178,178,Martin Piller,71.61,4010,56
178,179,179,Robert Streb,71.65,4084,57
179,180,180,Rod Pampling,71.78,2871,40
180,181,181,Cameron Tringale,71.8,3590,50
181,182,182,Retief Goosen,71.81,2585,36
182,183,183,Sung Kang,71.86,4024,56
183,184,184,Jonas Blixt,71.93,3093,43
184,T185,T185,Derek Fathauer,72.09,4037,56
185,T185,T185,Cody Gribble,72.09,3388,47
186,187,187,Kyle Thompson,72.1,3028,42
187,188,188,Zecheng Dou,72.26,3035,42
188,189,189,Daniel Summerhays,72.33,2604,36
189,190,190,Greg Chalmers,72.48,2899,40
190,191,191,D.A. Points,72.57,3556,49
191,192,192,Satoshi Kodaira,72.82,2476,34
192,193,193,Andrew Yun,72.93,3063,42
