,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
132,T131,T131,Ethan Tracy,72,70.72,2546,36
133,T134,T134,Tyler Duncan,97,70.73,3466,49
134,T134,T134,Conrad Shindler,60,70.73,2122,30
135,136,136,Adam Schenk,86,70.74,3254,46
136,137,137,Anirban Lahiri,82,70.76,2972,42
137,138,138,Ben Silverman,90,70.8,3257,46
138,T139,T139,Bill Haas,76,70.84,2692,38
139,T139,T139,Kelly Kraft,94,70.84,3471,49
140,T139,T139,Ben Martin,64,70.84,2196,31
141,142,142,Ben Crane,65,70.86,2480,35
142,T143,T143,"Ted Potter, Jr.",87,70.87,3331,47
143,T143,T143,Xander Schauffele,96,70.87,2764,39
144,T145,T145,Jonathan Byrd,70,70.92,2553,36
145,T145,T145,Harris English,84,70.92,2695,38
146,T147,T147,Chad Campbell,87,70.93,3050,43
147,T147,T147,Tyrone Van Aswegen,101,70.93,3830,54
148,149,149,Billy Hurley III,70,70.94,2341,33
149,T150,T150,Rob Oppenheim,74,70.97,2697,38
150,T150,T150,Chris Stroud,81,70.97,2697,38
151,T152,T152,Abraham Ancer,98,70.98,3407,48
152,T152,T152,Brian Harman,94,70.98,3052,43
153,154,154,Stephan Jaeger,81,71.03,2841,40
154,155,155,Martin Flores,92,71.04,3694,52
155,156,156,Xinjun Zhang,81,71.05,2771,39
156,157,157,Brendan Steele,74,71.06,2487,35
157,158,158,Harold Varner III,91,71.08,3554,50
158,T159,T159,Roberto Díaz,72,71.11,2560,36
159,T159,T159,Shane Lowry,64,71.11,1991,28
160,T161,T161,Tom Lovelady,87,71.12,2916,41
161,T161,T161,Graeme McDowell,67,71.12,2347,33
162,163,163,J.J. Henry,81,71.17,2918,41
163,164,164,Sean O'Hair,67,71.21,2065,29
164,165,165,Jimmy Walker,81,71.25,3135,44
165,166,166,Whee Kim,93,71.28,3279,46
166,167,167,Robert Streb,78,71.3,2852,40
167,168,168,Michael Kim,74,71.31,2282,32
168,169,169,Si Woo Kim,108,71.36,3568,50
169,170,170,Hudson Swafford,73,71.38,2784,39
170,171,171,Greg Chalmers,56,71.42,1857,26
171,172,172,Jhonattan Vegas,92,71.43,3643,51
172,173,173,Wesley Bryan,69,71.44,2786,39
173,174,174,Kiradech Aphibarnrat,51,71.48,1787,25
174,T175,T175,Derek Fathauer,84,71.62,2793,39
175,T175,T175,D.A. Points,63,71.62,2077,29
176,177,177,Rod Pampling,62,71.64,2364,33
177,178,178,Zecheng Dou,53,71.68,1792,25
178,179,179,Retief Goosen,60,71.7,1936,27
179,180,180,Jonas Blixt,67,71.75,2583,36
180,T181,T181,Matt Every,79,71.76,3014,42
181,T181,T181,Martin Piller,79,71.76,2727,38
182,T183,T183,Jonathan Randolph,71,71.81,2585,36
183,T183,T183,Charl Schwartzel,65,71.81,2226,31
184,T183,T183,Cameron Tringale,67,71.81,2298,32
185,T186,T186,Sung Kang,89,71.88,3091,43
186,T186,T186,Kyle Thompson,50,71.88,1797,25
187,188,188,Satoshi Kodaira,51,72.13,1731,24
188,189,189,Cody Gribble,71,72.16,2237,31
189,190,190,Daniel Summerhays,51,72.17,1732,24
190,191,191,Matt Atkins,56,72.38,1882,26
191,192,192,Andrew Yun,51,72.82,1602,22
192,193,193,Grayson Murray,72,72.88,2405,33
